File version	
File path	C:\Users\abetetsuya\Desktop\Data\Motion_360_100Hz_9397.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:48:45.187
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503249317771483,1962,2154,2678,1919,1729,1889,-44,95,-401
132503249317811160,1943,2141,2701,1919,1727,1888,-44,95,-401
132503249317848023,1959,2161,2685,1920,1729,1890,-44,95,-401
132503249317888803,1936,2155,2670,1918,1728,1889,-44,95,-401
132503249318117445,1933,2154,2676,1918,1729,1888,-44,95,-401
132503249318264062,1911,2137,2696,1920,1730,1890,-44,95,-401
132503249318302972,1935,2163,2700,1919,1730,1889,-44,95,-401
132503249318341655,1947,2151,2681,1920,1729,1890,-46,96,-408
132503249318526133,1943,2132,2659,1919,1729,1889,-46,96,-408
132503249318797189,1918,2130,2666,1918,1728,1889,-46,96,-408
132503249319051997,1943,2155,2657,1918,1728,1888,-46,96,-408
132503249319085421,1941,2137,2697,1918,1729,1889,-46,96,-408
132503249319124647,1936,2159,2685,1920,1729,1890,-46,96,-408
132503249319322494,1936,2146,2676,1918,1729,1891,-46,96,-408
132503249319561897,1942,2137,2671,1918,1729,1889,-51,92,-400
132503249319845679,1949,2153,2697,1919,1728,1888,-51,92,-400
132503249320087212,1942,2167,2703,1919,1729,1888,-51,92,-400
132503249320341331,1945,2146,2685,1919,1728,1889,-51,92,-400
132503249320599132,1952,2159,2670,1920,1729,1890,-51,92,-400
132503249320839247,1935,2171,2675,1918,1729,1889,-51,92,-400
132503249320874767,1950,2157,2691,1919,1729,1888,-51,92,-400
132503249321356475,1962,2139,2692,1919,1728,1889,-43,99,-405
132503249321595189,1939,2159,2689,1918,1727,1888,-43,99,-405
132503249321841500,1931,2160,2681,1920,1729,1889,-43,99,-405
132503249322095578,1943,2144,2697,1920,1727,1888,-43,99,-405
132503249322342939,1926,2139,2662,1918,1728,1887,-43,99,-405
132503249322379614,1954,2156,2695,1918,1728,1888,-43,99,-405
132503249322567977,1935,2185,2651,1919,1729,1889,-43,99,-405
132503249322808170,1955,2138,2693,1920,1729,1890,-44,90,-404
132503249323299650,1964,2146,2657,1917,1729,1891,-44,90,-404
132503249323581926,1931,2147,2688,1918,1728,1888,-44,90,-404
132503249323623205,1943,2158,2671,1918,1728,1889,-44,90,-404
132503249323857551,1947,2155,2685,1920,1728,1888,-44,90,-404
132503249324086180,1947,2151,2667,1919,1728,1889,-44,90,-404
132503249324330903,1943,2143,2701,1920,1729,1889,-44,90,-404
132503249324571940,1945,2147,2681,1918,1728,1888,-50,89,-406
132503249324613647,1946,2129,2695,1919,1728,1889,-50,89,-406
132503249324858410,1942,2173,2697,1920,1729,1890,-50,89,-406
132503249325358277,1935,2140,2671,1920,1730,1890,-50,89,-406
132503249325579299,1954,2154,2683,1919,1728,1890,-50,89,-406
132503249325827460,1944,2150,2664,1918,1728,1888,-50,89,-406
132503249325868226,1951,2139,2686,1918,1728,1889,-50,89,-406
132503249326075178,1952,2143,2669,1919,1730,1890,-38,101,-403
132503249326113861,1953,2159,2691,1919,1728,1890,-38,101,-403
132503249326153346,1949,2160,2684,1920,1729,1890,-38,101,-403
132503249326360334,1953,2161,2677,1918,1727,1890,-38,101,-403
132503249326399071,1948,2147,2673,1919,1728,1888,-38,101,-403
132503249326436314,1935,2129,2691,1918,1727,1889,-38,101,-403
132503249326608274,1922,2143,2678,1920,1729,1889,-38,101,-403
132503249326648506,1954,2154,2677,1920,1729,1887,-43,100,-405
132503249326711982,1944,2148,2685,1919,1728,1890,-43,100,-405
132503249326752955,1935,2151,2688,1918,1729,1888,-43,100,-405
132503249326790137,1939,2158,2688,1918,1727,1888,-43,100,-405
132503249326950379,1947,2136,2723,1919,1727,1888,-43,100,-405
132503249326982432,1937,2159,2689,1918,1728,1888,-43,100,-405
132503249327209409,1938,2141,2693,1920,1730,1889,-43,100,-405
132503249327466010,1948,2158,2647,1919,1727,1888,-45,99,-407
132503249327684090,1959,2136,2754,1920,1730,1891,-45,99,-407
132503249327725075,1935,2156,2655,1919,1728,1888,-45,99,-407
132503249327765604,1930,2147,2694,1918,1728,1890,-45,99,-407
132503249327977228,1955,2156,2677,1920,1730,1891,-45,99,-407
132503249328016027,1944,2139,2673,1919,1728,1889,-45,99,-407
132503249328052909,1932,2155,2686,1920,1729,1889,-45,99,-407
132503249328085364,1950,2154,2685,1919,1728,1888,-56,91,-400
132503249328092485,1962,2149,2708,1920,1729,1890,-56,91,-400
132503249328099708,1941,2153,2666,1919,1729,1887,-56,91,-400
132503249328210656,1920,2181,2666,1919,1729,1889,-56,91,-400
132503249328463447,1943,2121,2701,1918,1728,1888,-56,91,-400
132503249328500132,1939,2138,2695,1918,1729,1888,-56,91,-400
132503249328528938,1949,2146,2687,1919,1727,1889,-56,91,-400
132503249328730816,1951,2141,2673,1917,1728,1889,-43,94,-407
132503249328772965,1930,2145,2692,1920,1729,1890,-43,94,-407
132503249328813253,1944,2165,2677,1918,1728,1889,-43,94,-407
132503249328850617,1951,2143,2675,1918,1727,1889,-43,94,-407
132503249328886631,1932,2149,2700,1919,1728,1889,-43,94,-407
132503249328919523,1953,2148,2683,1919,1728,1890,-43,94,-407
132503249329292000,1955,2141,2691,1921,1729,1890,-43,94,-407
132503249329517113,1949,2147,2674,1919,1728,1888,-50,93,-408
132503249329558402,1947,2146,2682,1919,1728,1888,-50,93,-408
132503249329599295,1956,2134,2657,1919,1728,1888,-50,93,-408
132503249329780576,1941,2144,2712,1920,1728,1889,-50,93,-408
132503249329819051,1934,2151,2693,1920,1729,1888,-50,93,-408
132503249329859125,1937,2151,2686,1919,1729,1889,-50,93,-408
132503249329895025,1960,2149,2699,1920,1727,1889,-50,93,-408
132503249329930701,1935,2162,2683,1918,1728,1889,-51,102,-408
132503249330034581,1946,2147,2699,1919,1728,1889,-51,102,-408
132503249330076976,1950,2170,2679,1919,1728,1889,-51,102,-408
132503249330113433,1933,2155,2677,1919,1729,1889,-51,102,-408
132503249330271691,1950,2130,2687,1920,1730,1891,-51,102,-408
132503249330311034,1957,2154,2678,1918,1728,1889,-51,102,-408
132503249330350871,1942,2140,2686,1919,1727,1889,-51,102,-408
132503249330551027,1939,2149,2684,1918,1728,1889,-44,93,-404
132503249330589647,1936,2149,2687,1919,1729,1890,-44,93,-404
132503249330763672,1947,2148,2675,1919,1728,1888,-44,93,-404
132503249330789313,1951,2148,2671,1919,1728,1888,-44,93,-404
132503249330813762,1948,2139,2696,1919,1728,1889,-44,93,-404
132503249331088614,1939,2151,2694,1919,1729,1890,-44,93,-404
132503249331274360,1944,2168,2684,1922,1729,1888,-44,93,-404
132503249331313162,1950,2150,2691,1919,1729,1889,-47,94,-409
132503249331350633,1955,2166,2700,1918,1728,1889,-47,94,-409
132503249331545577,1939,2139,2711,1919,1728,1888,-47,94,-409
132503249331583103,1927,2161,2666,1920,1729,1890,-47,94,-409
132503249331616615,1942,2143,2665,1919,1728,1889,-47,94,-409
132503249331794436,1955,2150,2673,1919,1729,1890,-47,94,-409
132503249332011188,1935,2135,2683,1919,1729,1889,-47,94,-409
132503249332051462,1949,2155,2682,1918,1728,1888,-46,97,-404
132503249332261505,1946,2161,2662,1919,1728,1889,-46,97,-404
132503249332299254,1940,2155,2685,1919,1728,1889,-46,97,-404
132503249332336229,1940,2145,2691,1920,1729,1890,-46,97,-404
132503249332518931,1940,2153,2681,1918,1728,1888,-46,97,-404
132503249332560125,1949,2155,2689,1919,1728,1888,-46,97,-404
132503249332599080,1933,2146,2702,1920,1729,1889,-46,97,-404
132503249332627995,1960,2159,2662,1919,1729,1890,-45,99,-403
132503249332795914,1943,2147,2691,1919,1728,1889,-45,99,-403
132503249332833567,1944,2146,2682,1920,1729,1889,-45,99,-403
132503249332946611,1971,2139,2675,1919,1728,1888,-45,99,-403
132503249332982637,1946,2149,2705,1919,1728,1888,-45,99,-403
132503249333014999,1950,2153,2666,1919,1728,1889,-45,99,-403
132503249333196049,1954,2142,2684,1920,1730,1890,-45,99,-403
132503249333444472,1944,2169,2703,1920,1729,1890,-48,95,-414
132503249333482426,1950,2146,2692,1918,1728,1888,-48,95,-414
132503249333694526,1945,2157,2695,1918,1728,1888,-48,95,-414
132503249333733009,1950,2150,2675,1918,1728,1889,-48,95,-414
132503249333766377,1951,2148,2705,1918,1728,1888,-48,95,-414
132503249333792176,1954,2157,2702,1920,1729,1890,-48,95,-414
132503249333799737,1937,2154,2690,1919,1729,1890,-48,95,-414
132503249333937441,1950,2132,2678,1918,1728,1888,-48,95,-414
132503249333963985,1931,2139,2693,1919,1728,1889,-48,95,-414
132503249333974038,1934,2135,2686,1919,1729,1889,-48,95,-414
132503249334194506,1936,2156,2690,1920,1729,1890,-48,95,-414
132503249334230104,1943,2148,2683,1920,1729,1890,-48,95,-414
132503249334445971,1937,2146,2691,1919,1728,1888,-48,95,-414
132503249334484361,1961,2157,2689,1919,1729,1889,-50,87,-415
132503249334963571,1937,2145,2708,1919,1728,1888,-50,87,-415
132503249335001838,1933,2148,2679,1918,1728,1888,-50,87,-415
132503249335192019,1932,2138,2689,1920,1729,1889,-50,87,-415
132503249335231145,1947,2128,2677,1921,1730,1891,-50,87,-415
132503249335269408,1930,2156,2660,1919,1728,1888,-50,87,-415
132503249335456775,1954,2156,2693,1919,1728,1888,-50,87,-415
132503249335497878,1960,2146,2692,1918,1729,1888,-54,99,-402
132503249335535586,1951,2153,2699,1920,1730,1889,-54,99,-402
132503249335701858,1941,2146,2695,1918,1729,1888,-54,99,-402
132503249335738048,1957,2154,2689,1919,1728,1888,-54,99,-402
132503249335974547,1946,2149,2675,1919,1728,1888,-54,99,-402
132503249336012355,1943,2149,2676,1920,1729,1889,-54,99,-402
132503249336047290,1953,2158,2688,1920,1729,1889,-54,99,-402
132503249336205820,1933,2147,2687,1919,1729,1889,-53,95,-405
132503249336248092,1933,2159,2673,1919,1727,1888,-53,95,-405
132503249336282805,1937,2151,2672,1918,1728,1888,-53,95,-405
132503249336482767,1937,2143,2709,1918,1728,1888,-53,95,-405
132503249336517409,1948,2150,2701,1918,1727,1888,-53,95,-405
132503249336702253,1938,2157,2695,1920,1729,1890,-53,95,-405
132503249336742393,1970,2088,2657,1918,1728,1888,-53,95,-405
132503249336959986,1921,2123,2625,1919,1727,1889,-46,92,-404
132503249336999597,1979,2175,2627,1917,1728,1888,-46,92,-404
132503249337038960,1947,2137,2713,1918,1727,1887,-46,92,-404
132503249337215926,1965,2150,2645,1919,1730,1890,-46,92,-404
132503249337253564,1946,2134,2671,1919,1727,1888,-46,92,-404
132503249337480294,1950,2137,2752,1918,1728,1888,-46,92,-404
132503249337518808,1931,2136,2640,1920,1729,1890,-46,92,-404
132503249337554647,1952,2139,2694,1919,1729,1890,-45,93,-409
132503249337760029,1948,2157,2694,1921,1729,1889,-45,93,-409
132503249337799374,1944,2145,2685,1920,1729,1889,-45,93,-409
