File version	
File path	C:\Users\abetetsuya\Desktop\Data\Motion_360_100Hz_AA1B.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/19/2020 - 13:58:38.269
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132502355248482310,1933,2170,2710,1808,1780,1850,-482,-284,-283
132502355248802655,1949,2174,2719,1806,1779,1849,-482,-284,-283
132502355249055159,1954,2163,2700,1807,1778,1849,-482,-284,-283
132502355249095276,1942,2187,2703,1808,1780,1850,-482,-284,-283
132502355249208985,1930,2192,2685,1808,1780,1851,-482,-284,-283
132502355249247751,1947,2175,2697,1808,1780,1851,-482,-284,-283
132502355249285311,1929,2194,2695,1808,1779,1850,-482,-284,-283
132502355249322123,1930,2182,2697,1806,1779,1849,-483,-286,-282
132502355249355831,1936,2191,2700,1807,1778,1849,-483,-286,-282
132502355249440653,1939,2198,2713,1807,1778,1848,-483,-286,-282
132502355249475918,1934,2169,2708,1808,1780,1851,-483,-286,-282
132502355249508667,1941,2212,2713,1808,1780,1851,-483,-286,-282
132502355249656622,1931,2180,2703,1807,1778,1849,-483,-286,-282
132502355249767631,1936,2190,2697,1809,1781,1851,-483,-286,-282
132502355249894182,1950,2184,2702,1806,1778,1851,-480,-274,-282
132502355249918723,1938,2191,2706,1808,1780,1850,-480,-274,-282
132502355250004508,1930,2179,2714,1808,1780,1850,-480,-274,-282
132502355250045298,1943,2171,2716,1807,1779,1849,-480,-274,-282
132502355250355761,1937,2175,2708,1807,1779,1849,-480,-274,-282
132502355250396346,1926,2179,2690,1808,1779,1850,-480,-274,-282
132502355250433273,1938,2180,2696,1808,1779,1850,-480,-274,-282
132502355250524664,1946,2165,2705,1808,1780,1850,-479,-278,-281
132502355250638615,1942,2175,2691,1807,1779,1850,-479,-278,-281
132502355250677674,1948,2183,2701,1807,1778,1848,-479,-278,-281
132502355250800820,1928,2188,2695,1806,1778,1849,-479,-278,-281
132502355250922756,1948,2177,2692,1807,1779,1849,-479,-278,-281
132502355251147046,1952,2174,2711,1806,1778,1849,-479,-278,-281
132502355251183889,1928,2170,2698,1807,1780,1850,-479,-278,-281
132502355251223024,1940,2159,2692,1807,1778,1850,-476,-294,-277
132502355251264909,1952,2187,2708,1807,1779,1849,-476,-294,-277
132502355251302058,1930,2181,2711,1807,1779,1850,-476,-294,-277
132502355251553046,1937,2167,2717,1808,1779,1849,-476,-294,-277
132502355251594270,1947,2178,2692,1808,1780,1850,-476,-294,-277
132502355251720128,1956,2177,2673,1807,1779,1849,-476,-294,-277
132502355251759539,1915,2178,2680,1809,1780,1851,-476,-294,-277
132502355251797366,1937,2173,2705,1807,1778,1850,-472,-272,-287
132502355251927934,1941,2174,2711,1805,1779,1849,-472,-272,-287
132502355251969257,1935,2174,2699,1808,1780,1849,-472,-272,-287
132502355252195224,1935,2180,2685,1807,1779,1850,-472,-272,-287
132502355252262530,1946,2187,2682,1807,1779,1849,-472,-272,-287
132502355252300387,1937,2191,2709,1807,1779,1849,-472,-272,-287
132502355252545757,1929,2175,2706,1806,1779,1849,-472,-272,-287
132502355252785351,1954,2166,2703,1806,1778,1849,-483,-287,-284
132502355252822652,1949,2165,2723,1808,1780,1851,-483,-287,-284
132502355252861528,1928,2179,2703,1807,1777,1848,-483,-287,-284
132502355252898062,1947,2197,2703,1807,1779,1849,-483,-287,-284
132502355253065635,1905,2183,2710,1808,1779,1850,-483,-287,-284
132502355253106700,1934,2191,2721,1807,1779,1850,-483,-287,-284
132502355253143015,1937,2190,2691,1808,1780,1851,-483,-287,-284
132502355253178401,1933,2167,2720,1807,1779,1849,-471,-274,-278
132502355253279210,1946,2186,2722,1806,1778,1849,-471,-274,-278
132502355253499410,1939,2191,2713,1807,1779,1850,-471,-274,-278
132502355253534724,1928,2185,2693,1805,1779,1849,-471,-274,-278
132502355253571465,1938,2176,2696,1808,1780,1850,-471,-274,-278
132502355253653913,1941,2175,2697,1808,1780,1849,-471,-274,-278
132502355253813804,1937,2188,2707,1807,1778,1849,-471,-274,-278
