File version	
File path	C:\Users\abetetsuya\Desktop\Data\Default_B15C.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 16:53:36.094
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503324162039069,1956,2188,2584,1600,1653,1782,-20,69,-405
132503324162082998,1961,2191,2589,1843,1840,1842,-23,72,-412
132503324162124096,1958,2183,2592,1847,1842,1840,-24,68,-399
132503324162438070,1961,2215,2578,1852,1841,1835,-19,68,-395
132503324162548607,1953,2197,2569,1850,1843,1838,-11,70,-397
132503324162693335,1976,2196,2571,1852,1844,1838,-22,75,-399
132503324162930994,1978,2191,2589,1850,1842,1837,-20,72,-395
132503324163113047,1974,2223,2606,1850,1843,1837,-21,71,-395
132503324163289004,1959,2206,2582,1851,1844,1838,-29,66,-402
132503324163570428,1969,2205,2579,1851,1843,1837,-24,62,-400
132503324163674498,1961,2195,2585,1851,1842,1837,-23,62,-405
132503324163814134,1960,2188,2587,1851,1842,1837,-23,73,-405
132503324164114923,1968,2188,2582,1852,1843,1838,-24,70,-403
132503324164245218,1964,2184,2579,1852,1843,1838,-19,72,-399
132503324164453761,1962,2193,2574,1850,1842,1837,-24,72,-401
132503324164924145,1964,2186,2565,1850,1842,1837,-17,60,-400
132503324164955960,1964,2201,2555,1851,1845,1839,-26,74,-405
132503324165079546,2007,2212,2583,1851,1841,1837,-22,70,-401
132503324165417918,1973,2211,2586,1853,1844,1838,-29,68,-398
132503324165687747,1960,2195,2586,1850,1842,1837,-21,64,-403
132503324165752819,1966,2189,2607,1851,1843,1837,-19,73,-399
132503324166005851,1970,2206,2586,1852,1844,1838,-26,79,-395
132503324166047580,1961,2210,2575,1851,1842,1837,-25,66,-400
132503324166283269,1980,2221,2586,1850,1842,1837,-21,67,-402
132503324166556043,1952,2206,2560,1852,1843,1838,-25,78,-397
132503324166663113,1960,2198,2593,1850,1843,1837,-24,72,-401
132503324166751928,1976,2185,2574,1851,1843,1838,-24,65,-398
132503324167025157,1970,2191,2595,1850,1842,1837,-24,75,-397
132503324167276921,1957,2195,2591,1851,1842,1838,-25,70,-400
132503324167339836,1971,2204,2588,1852,1844,1839,-20,77,-400
132503324167619522,1984,2199,2603,1851,1842,1837,-21,65,-401
132503324167789345,1978,2170,2579,1851,1843,1838,-21,66,-397
132503324168288831,1956,2209,2584,1850,1843,1838,-25,69,-409
132503324168406927,1993,2208,2583,1851,1843,1838,-26,72,-400
132503324168447899,1969,2183,2574,1851,1843,1838,-28,66,-400
132503324169079276,1949,2222,2570,1851,1843,1837,-21,69,-407
132503324169481007,1972,2191,2565,1851,1843,1837,-13,72,-394
132503324169524629,1968,2189,2575,1852,1844,1838,-22,74,-396
132503324169557196,1961,2194,2582,1851,1843,1837,-15,65,-390
132503324169599496,1986,2181,2585,1851,1843,1837,-21,77,-401
132503324169639732,1976,2197,2587,1852,1843,1838,-15,73,-393
132503324169815879,1965,2189,2569,1853,1844,1839,-18,67,-407
132503324169857508,1968,2195,2561,1850,1843,1837,-18,68,-400
132503324170114245,1966,2197,2578,1851,1843,1837,-28,69,-401
132503324170348868,1951,2195,2585,1851,1843,1838,-20,64,-400
132503324170523661,1974,2191,2587,1852,1844,1839,-23,79,-400
132503324170687049,1970,2195,2581,1850,1842,1837,-23,69,-400
132503324170930195,1980,2202,2587,1851,1842,1837,-23,70,-401
132503324171103478,1974,2185,2568,1851,1843,1838,-16,71,-400
132503324171257385,1964,2197,2579,1850,1842,1837,-21,76,-395
132503324171510899,1948,2194,2575,1850,1843,1838,-21,71,-403
132503324171682116,1964,2172,2586,1852,1844,1838,-28,74,-402
132503324171949534,1955,2196,2583,1853,1844,1839,-23,68,-399
132503324172111717,1969,2213,2580,1852,1843,1839,-15,63,-402
132503324172400333,1937,2180,2581,1851,1843,1838,-32,65,-401
132503324172499089,1973,2183,2567,1852,1844,1839,-29,64,-402
132503324172754065,1991,2202,2589,1852,1843,1839,-19,65,-401
132503324173029445,1966,2196,2583,1851,1842,1836,-23,65,-403
132503324173069569,1970,2182,2580,1850,1842,1837,-27,65,-395
132503324173316527,1962,2180,2602,1851,1843,1838,-26,69,-404
132503324173489420,1979,2189,2595,1851,1842,1837,-30,74,-395
132503324173614587,1962,2188,2599,1852,1844,1839,-26,68,-399
132503324173869700,1954,2210,2577,1851,1842,1837,-19,77,-396
132503324174007383,1966,2193,2567,1851,1843,1838,-28,72,-396
132503324174551462,1955,2210,2584,1851,1843,1839,-23,70,-400
132503324174595815,1971,2187,2574,1851,1843,1838,-19,69,-399
132503324174699203,1967,2188,2591,1850,1843,1838,-16,70,-409
132503324174835227,1966,2208,2577,1851,1842,1837,-16,71,-402
132503324175035939,1969,2197,2578,1852,1843,1838,-20,70,-403
132503324175214854,1956,2198,2597,1852,1844,1838,-22,71,-400
132503324175406379,1970,2209,2603,1850,1843,1838,-21,72,-401
132503324175601481,1974,2177,2566,1850,1842,1837,-20,67,-400
132503324175903928,1972,2191,2581,1852,1843,1839,-20,64,-400
132503324176020312,1973,2205,2576,1850,1842,1837,-18,66,-405
132503324176107376,1957,2194,2596,1851,1843,1837,-26,63,-397
132503324176390855,1944,2213,2590,1850,1842,1837,-14,73,-402
132503324176832766,1968,2199,2578,1850,1842,1837,-17,67,-392
132503324176851328,1964,2186,2575,1851,1843,1839,-18,70,-402
132503324177002244,1966,2186,2601,1851,1842,1837,-26,71,-392
132503324177163870,1954,2190,2571,1852,1843,1839,-26,65,-406
132503324177416524,1961,2198,2578,1851,1842,1838,-22,70,-400
132503324177564104,1959,2179,2577,1851,1843,1837,-17,64,-406
132503324177771871,1968,2175,2576,1851,1843,1837,-18,67,-400
132503324177987165,1966,2194,2570,1851,1842,1838,-24,69,-403
132503324178172302,1970,2201,2569,1851,1842,1837,-26,63,-402
132503324178363828,1960,2178,2591,1852,1844,1839,-19,69,-402
132503324178577650,1963,2183,2583,1849,1842,1836,-19,77,-397
