File version	
File path	C:\Users\abetetsuya\Desktop\Data\Motion_360_100Hz_B4BF.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/19/2020 - 13:55:50.562
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132502353572074033,1921,2221,2658,1862,1822,1851,-443,-328,-496
132502353572109476,1948,2208,2628,1863,1823,1851,-443,-328,-496
132502353572148180,1944,2210,2626,1864,1824,1852,-443,-328,-496
132502353572187288,1939,2202,2651,1864,1824,1852,-443,-328,-496
132502353572218589,1967,2211,2639,1865,1823,1852,-443,-328,-496
132502353572244073,1947,2229,2651,1863,1823,1851,-443,-328,-496
132502353572270531,1941,2213,2621,1863,1824,1851,-443,-328,-496
132502353572295278,1929,2218,2631,1865,1825,1853,-448,-329,-487
132502353572322145,1940,2211,2649,1863,1821,1852,-448,-329,-487
132502353572538578,1941,2199,2634,1865,1824,1852,-448,-329,-487
132502353572642843,1957,2199,2632,1864,1823,1851,-448,-329,-487
132502353572685173,1928,2203,2637,1864,1824,1853,-448,-329,-487
132502353572752412,1934,2208,2631,1863,1823,1851,-448,-329,-487
132502353572870590,1937,2200,2657,1863,1823,1851,-448,-329,-487
132502353572911319,1930,2215,2642,1865,1824,1853,-441,-320,-492
132502353573036916,1928,2204,2646,1863,1822,1851,-441,-320,-492
132502353573167520,1946,2195,2628,1863,1823,1851,-441,-320,-492
132502353573203359,1936,2192,2650,1864,1823,1852,-441,-320,-492
132502353573812439,1954,2211,2627,1865,1823,1852,-441,-320,-492
132502353573847609,1946,2207,2639,1865,1824,1853,-441,-320,-492
132502353573880728,1937,2227,2631,1864,1823,1852,-441,-320,-492
132502353573920086,1943,2204,2646,1863,1823,1851,-442,-328,-493
132502353573955121,1939,2226,2652,1863,1823,1851,-442,-328,-493
132502353573965199,1920,2197,2653,1862,1822,1851,-442,-328,-493
132502353574007472,1928,2207,2635,1862,1822,1851,-442,-328,-493
132502353574046319,1954,2192,2638,1865,1824,1852,-442,-328,-493
132502353574101877,1927,2201,2631,1863,1823,1851,-442,-328,-493
132502353574193056,1942,2204,2636,1863,1823,1851,-442,-328,-493
132502353574331875,1951,2213,2653,1863,1823,1851,-445,-334,-486
132502353574364691,1944,2204,2645,1863,1823,1852,-445,-334,-486
132502353574535980,1944,2214,2650,1864,1824,1853,-445,-334,-486
132502353574606875,1941,2197,2623,1863,1823,1851,-445,-334,-486
132502353574686652,1930,2197,2642,1863,1823,1851,-445,-334,-486
132502353574816434,1939,2202,2654,1864,1824,1852,-445,-334,-486
132502353574853968,1941,2204,2638,1864,1824,1852,-445,-334,-486
132502353575082760,1949,2212,2656,1865,1824,1853,-445,-330,-498
132502353575139066,1940,2207,2655,1864,1824,1852,-445,-330,-498
132502353575189174,1926,2205,2638,1863,1823,1851,-445,-330,-498
132502353575225844,1917,2203,2642,1867,1825,1853,-445,-330,-498
132502353575473571,1941,2206,2641,1863,1824,1851,-445,-330,-498
132502353575725226,1952,2191,2640,1864,1823,1851,-445,-330,-498
132502353575773756,1941,2212,2644,1864,1825,1853,-445,-330,-498
132502353575813398,1935,2210,2660,1864,1821,1850,-438,-332,-487
132502353575853158,1946,2194,2633,1863,1823,1851,-438,-332,-487
132502353575885012,1938,2235,2624,1863,1823,1852,-438,-332,-487
132502353575963301,1929,2197,2651,1864,1823,1852,-438,-332,-487
132502353576001336,1930,2227,2638,1864,1824,1853,-438,-332,-487
132502353576229693,1951,2194,2625,1864,1824,1852,-438,-332,-487
132502353576353730,1935,2194,2647,1864,1824,1852,-438,-332,-487
132502353576387197,1930,2201,2637,1863,1823,1851,-445,-326,-498
132502353576425824,1917,2216,2630,1864,1823,1851,-445,-326,-498
132502353576482908,1947,2206,2656,1865,1824,1852,-445,-326,-498
132502353576572710,1942,2218,2649,1865,1824,1852,-445,-326,-498
132502353576714644,1959,2209,2650,1863,1823,1851,-445,-326,-498
132502353576886769,1932,2213,2628,1863,1824,1852,-445,-326,-498
132502353577125416,1936,2202,2640,1864,1824,1852,-445,-326,-498
132502353577163600,1939,2215,2636,1864,1822,1854,-438,-327,-499
132502353577257540,1948,2214,2653,1864,1824,1853,-438,-327,-499
132502353577298103,1944,2191,2639,1863,1823,1851,-438,-327,-499
132502353577452979,1939,2203,2639,1865,1824,1852,-438,-327,-499
132502353577652366,1908,2201,2650,1864,1825,1853,-438,-327,-499
132502353577686290,1936,2207,2646,1864,1823,1853,-438,-327,-499
132502353577725664,1901,2221,2657,1866,1824,1853,-438,-327,-499
132502353577764339,1973,2206,2638,1863,1823,1851,-430,-334,-495
132502353577796987,1937,2196,2634,1863,1823,1851,-430,-334,-495
132502353577841446,1938,2219,2662,1864,1824,1852,-430,-334,-495
132502353577982350,1938,2181,2630,1864,1824,1851,-430,-334,-495
132502353578134469,1934,2204,2639,1864,1824,1853,-430,-334,-495
132502353578284076,1934,2195,2647,1865,1825,1851,-430,-334,-495
132502353578324130,1926,2213,2643,1864,1824,1852,-430,-334,-495
132502353578443549,1949,2206,2632,1864,1823,1851,-449,-328,-489
132502353578488670,1957,2208,2635,1864,1823,1852,-449,-328,-489
132502353578576733,1945,2214,2630,1863,1822,1851,-449,-328,-489
132502353578895630,1948,2221,2638,1864,1824,1852,-449,-328,-489
132502353579138905,1931,2207,2640,1865,1823,1849,-449,-328,-489
132502353579176999,1934,2204,2651,1863,1823,1851,-449,-328,-489
132502353579403461,1925,2224,2650,1864,1823,1851,-449,-328,-489
132502353579437946,1929,2195,2663,1865,1824,1852,-446,-332,-493
132502353579471878,1947,2215,2649,1864,1824,1852,-446,-332,-493
132502353579511118,1935,2205,2631,1862,1822,1849,-446,-332,-493
132502353579547988,1928,2214,2636,1863,1823,1850,-446,-332,-493
132502353579579737,1943,2201,2643,1863,1823,1851,-446,-332,-493
132502353579611165,1947,2217,2638,1863,1822,1851,-446,-332,-493
132502353579679263,1931,2203,2627,1865,1824,1853,-446,-332,-493
132502353579807142,1917,2207,2630,1863,1824,1851,-435,-336,-494
132502353580083965,1939,2215,2638,1863,1822,1851,-435,-336,-494
132502353580120656,1936,2228,2642,1863,1823,1851,-435,-336,-494
132502353580156812,1934,2214,2619,1863,1823,1851,-435,-336,-494
132502353580219198,1932,2210,2650,1862,1822,1851,-435,-336,-494
132502353580260075,1946,2216,2653,1864,1824,1851,-435,-336,-494
132502353580367963,1936,2201,2639,1864,1823,1851,-435,-336,-494
132502353580553676,1934,2190,2649,1865,1825,1852,-435,-336,-494
132502353580590610,1946,2191,2626,1863,1823,1850,-435,-336,-494
132502353580666014,1945,2205,2643,1863,1823,1851,-435,-336,-494
132502353580858362,1934,2188,2637,1864,1824,1851,-435,-336,-494
132502353580897206,1931,2193,2645,1864,1823,1850,-435,-336,-494
132502353580962508,1948,2199,2650,1863,1823,1850,-435,-336,-494
132502353581033852,1942,2198,2643,1863,1823,1850,-446,-329,-488
132502353581072436,1939,2209,2651,1863,1821,1850,-446,-329,-488
132502353581201373,1933,2205,2632,1865,1824,1852,-446,-329,-488
132502353581401910,1940,2227,2628,1864,1824,1851,-446,-329,-488
132502353581527980,1940,2210,2646,1865,1824,1851,-446,-329,-488
132502353581567723,1947,2208,2641,1863,1823,1850,-446,-329,-488
132502353581599595,1931,2207,2657,1863,1823,1850,-446,-329,-488
132502353581636896,1955,2200,2651,1861,1823,1849,-446,-331,-492
132502353581885501,1937,2190,2641,1864,1823,1851,-446,-331,-492
132502353581921116,1953,2203,2637,1863,1823,1850,-446,-331,-492
132502353582041679,1932,2211,2643,1863,1823,1850,-446,-331,-492
132502353582080582,1922,2181,2644,1863,1822,1850,-446,-331,-492
132502353582116821,1954,2220,2642,1863,1824,1850,-446,-331,-492
132502353582298559,1922,2212,2645,1865,1824,1851,-446,-331,-492
132502353582383219,1924,2220,2638,1863,1823,1850,-439,-328,-485
132502353582854184,1949,2204,2635,1864,1823,1850,-439,-328,-485
132502353582891236,1942,2215,2663,1864,1823,1850,-439,-328,-485
132502353583136403,1925,2205,2643,1864,1824,1851,-439,-328,-485
132502353583175398,1950,2212,2658,1865,1824,1851,-439,-328,-485
132502353583207114,1932,2213,2644,1863,1825,1850,-439,-328,-485
132502353583244559,1950,2187,2642,1863,1823,1849,-439,-328,-485
132502353583279188,1933,2207,2645,1863,1823,1850,-439,-317,-488
132502353583288648,1954,2209,2655,1864,1824,1849,-439,-317,-488
132502353583295793,1941,2219,2631,1864,1823,1849,-439,-317,-488
132502353583366216,1943,2206,2631,1864,1824,1850,-439,-317,-488
132502353583379008,1941,2223,2629,1863,1823,1849,-439,-317,-488
132502353583556711,1948,2205,2655,1866,1825,1851,-439,-317,-488
132502353583818486,1934,2204,2644,1863,1823,1849,-439,-317,-488
132502353583852581,1945,2200,2633,1862,1824,1850,-446,-333,-488
132502353583890766,1934,2201,2635,1864,1824,1850,-446,-333,-488
132502353583928341,1950,2218,2653,1863,1823,1849,-446,-333,-488
132502353584010856,1936,2207,2639,1865,1825,1850,-446,-333,-488
132502353584153098,1944,2194,2629,1863,1823,1848,-446,-333,-488
132502353584275504,1945,2206,2640,1863,1823,1849,-446,-333,-488
132502353584410046,1950,2217,2649,1864,1824,1850,-446,-333,-488
132502353584446337,1955,2224,2645,1863,1825,1850,-442,-329,-489
132502353584526945,1945,2217,2646,1863,1823,1849,-442,-329,-489
132502353584845534,1956,2222,2639,1862,1823,1848,-442,-329,-489
132502353584884924,1926,2213,2654,1864,1823,1850,-442,-329,-489
132502353584926639,1941,2200,2640,1864,1823,1848,-442,-329,-489
132502353584961033,1944,2211,2635,1864,1824,1850,-442,-329,-489
132502353585059591,1947,2199,2633,1865,1825,1850,-442,-329,-489
132502353585100042,1934,2203,2646,1863,1823,1849,-432,-330,-490
132502353585247482,1931,2201,2642,1864,1823,1849,-432,-330,-490
132502353585742203,1929,2203,2653,1863,1824,1849,-432,-330,-490
132502353585782724,1942,2209,2650,1865,1825,1850,-432,-330,-490
132502353585822981,1933,2191,2651,1864,1822,1849,-432,-330,-490
132502353585854292,1927,2210,2637,1863,1823,1848,-432,-330,-490
132502353585885558,1941,2231,2627,1864,1820,1850,-432,-330,-490
132502353585915144,1932,2227,2627,1865,1825,1850,-440,-329,-491
132502353586096872,1930,2209,2660,1864,1824,1850,-440,-329,-491
132502353586136529,1936,2218,2626,1863,1823,1850,-440,-329,-491
132502353586243334,1949,2183,2640,1863,1823,1849,-440,-329,-491
132502353586281841,1961,2204,2656,1864,1823,1848,-440,-329,-491
132502353586318591,1945,2195,2621,1864,1824,1850,-440,-329,-491
132502353586756498,1934,2201,2644,1865,1823,1848,-440,-329,-491
132502353586970671,1940,2204,2645,1864,1824,1850,-440,-320,-502
132502353587006033,1945,2215,2613,1863,1823,1848,-440,-320,-502
132502353587037475,1931,2218,2658,1863,1823,1849,-440,-320,-502
132502353587076493,1942,2206,2641,1863,1823,1849,-440,-320,-502
132502353587113651,1932,2234,2629,1864,1823,1848,-440,-320,-502
132502353587143728,1934,2230,2633,1865,1824,1849,-440,-320,-502
132502353587270386,1950,2193,2643,1864,1823,1849,-440,-320,-502
132502353587306286,1949,2191,2639,1865,1825,1851,-439,-323,-490
132502353587385506,1932,2203,2639,1864,1824,1850,-439,-323,-490
132502353587423137,1940,2203,2653,1864,1824,1847,-439,-323,-490
132502353587508543,1952,2202,2647,1864,1824,1850,-439,-323,-490
132502353587580123,1923,2198,2644,1863,1823,1849,-439,-323,-490
132502353587696669,1938,2202,2639,1864,1823,1849,-439,-323,-490
132502353587733644,1930,2207,2638,1864,1823,1850,-439,-323,-490
132502353587987277,1940,2175,2656,1863,1823,1848,-437,-332,-491
132502353588020054,1938,2218,2643,1865,1825,1849,-437,-332,-491
132502353588055338,1939,2200,2653,1865,1824,1850,-437,-332,-491
132502353588196844,1940,2189,2642,1863,1823,1849,-437,-332,-491
132502353588232936,1952,2181,2620,1861,1823,1848,-437,-332,-491
132502353588266856,1932,2220,2655,1863,1823,1849,-437,-332,-491
132502353588410520,1932,2200,2653,1864,1823,1851,-437,-332,-491
132502353588581201,1941,2193,2665,1864,1825,1850,-444,-327,-491
132502353588718842,1942,2191,2652,1863,1823,1849,-444,-327,-491
132502353588797880,1943,2199,2627,1863,1823,1849,-444,-327,-491
132502353588839082,1929,2215,2649,1863,1823,1850,-444,-327,-491
132502353588880517,1934,2216,2636,1863,1824,1848,-444,-327,-491
132502353589123571,1934,2218,2649,1864,1824,1851,-444,-327,-491
132502353589260972,1930,2200,2654,1863,1823,1850,-444,-327,-491
132502353589294282,1923,2207,2641,1863,1823,1850,-438,-325,-494
132502353589491267,1947,2209,2639,1864,1822,1849,-438,-325,-494
132502353589527806,1929,2216,2647,1864,1824,1850,-438,-325,-494
132502353589564913,1942,2210,2643,1864,1824,1850,-438,-325,-494
132502353589660153,1923,2187,2659,1864,1824,1851,-438,-325,-494
132502353589699848,1914,2222,2643,1863,1823,1849,-438,-325,-494
