File version	
File path	C:\Users\abetetsuya\Desktop\Data\Motion_360_100Hz_B532(1).csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 16:43:05.704
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503317857692385,1939,2104,2779,1860,1883,1835,-31,6,-354
132503317857863639,1934,2112,2769,1701,1638,1850,-34,1,-343
132503317858141113,1950,2122,2755,1735,1670,1850,-39,6,-344
132503317858353819,1937,2116,2763,1719,1667,1847,-28,-1,-347
132503317858528675,1947,2128,2771,1723,1664,1848,-26,3,-332
132503317858686580,1956,2107,2753,1722,1666,1850,-52,12,-346
132503317858948873,1954,2103,2759,1722,1665,1850,-37,5,-339
132503317859124293,1939,2118,2775,1723,1666,1849,-36,11,-343
132503317859151078,1970,2109,2776,1722,1664,1847,-35,10,-343
132503317859655206,1971,2121,2772,1722,1664,1848,-38,4,-340
132503317859697351,1951,2114,2785,1722,1665,1849,-29,9,-342
132503317859802033,1953,2102,2785,1724,1666,1851,-36,12,-342
132503317860074884,1960,2111,2785,1723,1664,1847,-39,6,-338
132503317860177445,1950,2101,2770,1722,1663,1849,-37,7,-342
132503317860393633,1928,2105,2775,1722,1664,1852,-38,3,-331
132503317860657711,1942,2115,2775,1723,1665,1847,-38,11,-341
132503317860813473,1950,2105,2771,1722,1663,1848,-31,9,-345
132503317861003451,1933,2129,2787,1721,1664,1848,-38,10,-344
132503317861374204,1967,2107,2764,1723,1665,1850,-40,6,-349
132503317861407195,1950,2094,2761,1721,1664,1848,-37,5,-334
132503317861598821,1952,2126,2764,1722,1665,1848,-35,5,-337
132503317861885322,1945,2111,2760,1722,1664,1849,-36,3,-344
132503317861925678,1950,2098,2767,1721,1663,1848,-39,13,-345
132503317862190117,1952,2111,2781,1723,1666,1848,-42,9,-344
132503317862386699,1933,2090,2781,1721,1663,1848,-40,5,-344
132503317862530627,1933,2100,2780,1722,1665,1849,-38,5,-341
132503317862804018,1970,2108,2779,1723,1664,1849,-32,5,-339
132503317863265366,1941,2113,2783,1722,1664,1847,-33,6,-337
132503317863476341,1932,2091,2778,1720,1663,1849,-32,4,-339
132503317863516580,1956,2099,2778,1721,1664,1850,-39,8,-344
132503317863567644,1950,2105,2768,1721,1663,1848,-27,2,-341
132503317863738753,1960,2122,2791,1721,1664,1848,-33,10,-340
132503317863912851,1945,2116,2766,1722,1664,1849,-36,7,-351
132503317864167097,1962,2098,2767,1721,1664,1848,-40,6,-345
132503317864282370,1946,2110,2773,1723,1665,1849,-39,8,-349
132503317864564087,1946,2127,2762,1721,1663,1848,-37,-1,-339
132503317864650146,1946,2103,2769,1722,1665,1848,-42,6,-341
132503317864893642,1952,2111,2783,1721,1663,1849,-38,5,-342
132503317865132570,1930,2118,2756,1722,1664,1848,-35,7,-340
132503317865302193,1950,2080,2776,1723,1664,1851,-36,5,-338
132503317865452284,1942,2124,2768,1721,1663,1847,-33,4,-338
132503317865715972,1949,2116,2770,1722,1664,1849,-36,2,-339
132503317865899364,1952,2111,2759,1723,1665,1849,-41,2,-340
132503317866100080,1920,2116,2766,1722,1665,1848,-40,6,-339
132503317866341289,1945,2119,2769,1722,1665,1848,-33,11,-349
132503317866512319,1975,2114,2767,1721,1663,1850,-35,11,-339
132503317866818010,1940,2124,2778,1722,1663,1848,-38,2,-338
132503317866857241,1951,2117,2766,1722,1664,1847,-36,3,-337
132503317867155564,1947,2101,2761,1722,1664,1847,-34,3,-343
132503317867182652,1939,2107,2764,1722,1664,1849,-36,10,-344
132503317867434801,1957,2111,2787,1723,1665,1849,-39,3,-343
132503317867670341,1944,2126,2767,1723,1665,1850,-36,4,-338
132503317867946166,1943,2130,2774,1722,1664,1849,-37,3,-345
132503317867990655,1942,2125,2761,1721,1663,1848,-46,2,-343
132503317868261238,1947,2106,2786,1722,1663,1847,-43,3,-337
132503317868415167,1952,2134,2771,1724,1665,1850,-38,5,-344
132503317868655962,1964,2093,2770,1721,1664,1848,-43,5,-338
132503317868826593,1945,2122,2787,1722,1665,1850,-38,2,-332
132503317868962652,1945,2112,2771,1722,1664,1849,-41,7,-344
132503317869217761,1941,2115,2779,1722,1664,1848,-34,12,-350
132503317869379699,1950,2135,2790,1722,1664,1849,-37,4,-345
132503317869551447,1944,2111,2774,1721,1663,1849,-44,10,-338
132503317869789315,1957,2102,2781,1721,1664,1848,-35,1,-344
132503317869966027,1950,2126,2783,1722,1665,1849,-37,10,-343
132503317870204820,1944,2089,2786,1722,1664,1849,-42,9,-345
132503317870450439,1961,2109,2771,1721,1664,1848,-37,9,-345
132503317870703159,1954,2115,2770,1723,1664,1850,-39,6,-341
132503317870884436,1944,2104,2774,1722,1663,1848,-35,4,-342
132503317871086628,1960,2099,2794,1722,1665,1849,-42,10,-343
132503317871246621,1940,2123,2765,1721,1663,1848,-34,12,-340
132503317871515947,1954,2128,2787,1722,1664,1846,-41,8,-342
132503317871828638,1943,2110,2774,1723,1665,1849,-32,-2,-344
132503317871865694,1949,2093,2782,1721,1663,1848,-45,-2,-338
132503317872144116,1934,2128,2787,1723,1665,1849,-39,-1,-335
132503317872171371,1941,2113,2790,1723,1664,1849,-43,5,-344
132503317872340442,1929,2121,2781,1723,1665,1851,-25,7,-339
132503317872523059,1937,2102,2758,1723,1665,1849,-35,-2,-338
132503317872739922,1953,2115,2776,1720,1663,1847,-39,3,-348
132503317872896330,1944,2118,2769,1722,1664,1846,-30,3,-354
132503317873134525,1945,2116,2778,1723,1664,1849,-37,2,-338
132503317873239653,1936,2103,2790,1722,1664,1849,-30,8,-342
132503317873492026,1928,2124,2778,1721,1663,1848,-45,-1,-347
132503317873711320,1952,2109,2766,1723,1665,1849,-42,6,-342
132503317874029182,1954,2111,2771,1721,1663,1847,-32,1,-345
