File version	
File path	C:\Users\abetetsuya\Desktop\Data\Motion_360_100Hz_BODF.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:50:01.348
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503250079534506,1888,2149,2676,1844,1799,1812,37,39,-534
132503250079776175,1924,2155,2648,1844,1798,1811,37,39,-534
132503250079812741,1931,2157,2648,1844,1799,1812,37,39,-534
132503250080050198,1919,2151,2665,1842,1797,1811,37,39,-534
132503250080265592,1930,2166,2647,1842,1797,1811,37,39,-534
132503250080300416,1944,2131,2665,1843,1797,1810,37,39,-534
132503250080796384,1949,2159,2629,1842,1797,1811,37,39,-534
132503250081038984,1940,2163,2665,1844,1798,1811,38,35,-537
132503250081285488,1926,2167,2654,1842,1799,1812,38,35,-537
132503250081558463,1921,2158,2643,1842,1797,1811,38,35,-537
132503250081800135,1942,2154,2667,1842,1797,1810,38,35,-537
132503250082046324,1955,2154,2658,1844,1798,1810,38,35,-537
132503250082293444,1944,2155,2660,1843,1798,1812,38,35,-537
132503250082547552,1933,2154,2643,1843,1798,1812,38,35,-537
132503250082794119,1917,2162,2658,1842,1797,1811,28,37,-533
132503250083070082,1935,2168,2655,1842,1798,1811,28,37,-533
132503250083311265,1956,2143,2673,1843,1797,1811,28,37,-533
132503250083350268,1937,2135,2647,1843,1797,1811,28,37,-533
132503250083802985,1955,2165,2650,1843,1798,1812,28,37,-533
132503250084046994,1921,2156,2658,1841,1796,1810,28,37,-533
132503250084292771,1929,2147,2657,1842,1797,1811,28,37,-533
132503250084561241,1954,2141,2655,1843,1797,1811,41,40,-529
132503250084818761,1919,2165,2669,1842,1798,1812,41,40,-529
132503250085077569,1936,2155,2676,1844,1799,1812,41,40,-529
132503250085330159,1907,2151,2649,1842,1799,1811,41,40,-529
132503250085566568,1947,2158,2644,1844,1799,1813,41,40,-529
132503250085606153,1953,2151,2671,1843,1797,1810,41,40,-529
132503250086134789,1932,2145,2656,1844,1798,1812,41,40,-529
132503250086167506,1950,2139,2646,1843,1797,1811,32,40,-529
132503250086210027,1948,2170,2653,1843,1798,1812,32,40,-529
132503250086332265,1939,2109,2652,1842,1797,1811,32,40,-529
132503250086368769,1942,2163,2648,1843,1798,1811,32,40,-529
132503250086407567,1905,2148,2666,1843,1799,1812,32,40,-529
132503250086625938,1925,2147,2638,1842,1797,1811,32,40,-529
132503250086663353,1945,2166,2660,1844,1799,1812,32,40,-529
132503250086702054,1951,2161,2668,1843,1797,1811,30,37,-534
132503250086734918,1922,2151,2639,1842,1797,1811,30,37,-534
132503250086766488,1942,2156,2651,1842,1797,1810,30,37,-534
132503250086798355,1939,2151,2668,1842,1796,1811,30,37,-534
132503250086810297,1939,2166,2650,1844,1799,1811,30,37,-534
132503250086870071,1928,2158,2654,1843,1797,1811,30,37,-534
132503250086902267,1921,2157,2656,1843,1797,1811,30,37,-534
132503250086929191,1940,2157,2648,1842,1797,1811,29,46,-538
132503250086940752,1936,2154,2659,1843,1798,1811,29,46,-538
132503250087149323,1928,2162,2669,1843,1795,1810,29,46,-538
132503250087375358,1943,2166,2638,1843,1798,1812,29,46,-538
132503250087414978,1936,2154,2656,1843,1796,1810,29,46,-538
132503250087449832,1935,2159,2665,1842,1797,1810,29,46,-538
132503250087616153,1916,2163,2651,1843,1796,1811,29,46,-538
132503250087648508,1927,2148,2651,1842,1796,1811,34,43,-526
132503250087680415,1941,2155,2641,1844,1798,1813,34,43,-526
132503250087915345,1941,2155,2654,1842,1797,1811,34,43,-526
132503250087952284,1927,2162,2675,1843,1797,1810,34,43,-526
132503250087986174,1921,2172,2645,1843,1797,1810,34,43,-526
132503250088165824,1949,2151,2645,1842,1796,1811,34,43,-526
132503250088205208,1942,2150,2662,1843,1798,1812,34,43,-526
132503250088415471,1921,2160,2679,1843,1797,1812,34,39,-525
132503250088454808,1927,2162,2658,1843,1797,1811,34,39,-525
132503250088485179,1908,2185,2641,1842,1797,1810,34,39,-525
132503250088662573,1938,2147,2669,1844,1798,1809,34,39,-525
132503250088699577,1941,2159,2663,1843,1795,1812,34,39,-525
132503250089163344,1932,2157,2645,1843,1798,1811,34,39,-525
132503250089201151,1936,2163,2654,1842,1796,1811,34,39,-525
132503250089234266,1926,2152,2658,1842,1796,1810,32,40,-535
132503250089416197,1943,2169,2670,1842,1797,1810,32,40,-535
132503250089452410,1939,2158,2662,1842,1797,1810,32,40,-535
132503250089488937,1928,2168,2669,1844,1798,1812,32,40,-535
132503250089665278,1933,2154,2646,1842,1798,1811,32,40,-535
132503250089908123,1939,2167,2649,1842,1797,1811,32,40,-535
132503250089947050,1949,2164,2661,1841,1797,1811,32,40,-535
132503250089980163,1934,2166,2644,1843,1797,1812,37,34,-534
132503250090644090,1935,2153,2641,1844,1798,1813,37,34,-534
132503250090682325,1947,2165,2664,1843,1797,1813,37,34,-534
132503250090716944,1937,2180,2642,1842,1797,1811,37,34,-534
132503250090879312,1944,2138,2646,1843,1797,1810,37,34,-534
132503250090915174,1921,2179,2659,1843,1798,1811,37,34,-534
132503250091138635,1928,2151,2672,1843,1796,1812,37,34,-534
132503250091171922,1927,2150,2662,1843,1798,1811,20,44,-536
132503250091200706,1936,2168,2667,1842,1798,1811,20,44,-536
132503250091402794,1939,2112,2650,1842,1798,1811,20,44,-536
132503250091647341,1957,2170,2682,1844,1798,1812,20,44,-536
132503250091916949,1963,2146,2639,1844,1798,1812,20,44,-536
132503250092176052,1936,2156,2663,1844,1798,1811,20,44,-536
132503250092203378,1952,2149,2619,1843,1798,1811,20,44,-536
132503250092238744,1945,2159,2657,1843,1797,1811,30,36,-531
132503250092441969,1934,2150,2662,1843,1797,1811,30,36,-531
132503250092484353,1945,2154,2645,1843,1797,1812,30,36,-531
132503250092665012,1944,2151,2671,1843,1799,1812,30,36,-531
132503250092704977,1923,2174,2665,1843,1798,1811,30,36,-531
132503250092932051,1926,2168,2662,1843,1797,1810,30,36,-531
132503250092970336,1928,2175,2653,1841,1798,1811,30,36,-531
132503250093004213,1939,2159,2663,1843,1798,1812,38,41,-534
132503250093190598,1930,2167,2671,1842,1798,1811,38,41,-534
132503250093227381,1936,2146,2666,1844,1797,1812,38,41,-534
132503250093263928,1943,2166,2657,1842,1796,1810,38,41,-534
132503250093302376,1934,2159,2649,1842,1798,1811,38,41,-534
132503250093467039,1929,2148,2672,1842,1797,1810,38,41,-534
132503250093693256,1924,2151,2631,1843,1798,1811,38,41,-534
132503250093734843,1944,2159,2653,1844,1798,1812,31,37,-528
132503250093772165,1935,2139,2655,1842,1797,1811,31,37,-528
132503250093937970,1928,2165,2662,1842,1797,1811,31,37,-528
132503250093977980,1935,2160,2657,1843,1797,1811,31,37,-528
132503250094014509,1933,2166,2643,1843,1797,1812,31,37,-528
132503250094207430,1937,2150,2663,1844,1799,1812,31,37,-528
132503250094242731,1923,2143,2658,1843,1798,1811,31,37,-528
132503250094281529,1904,2152,2649,1843,1796,1810,34,43,-534
132503250094319838,1947,2158,2647,1843,1797,1811,34,43,-534
132503250094351965,1943,2149,2661,1843,1798,1812,34,43,-534
132503250094465031,1967,2178,2645,1843,1798,1810,34,43,-534
132503250094502637,1940,2167,2641,1844,1798,1812,34,43,-534
132503250094680810,1947,2153,2654,1842,1797,1811,34,43,-534
132503250094721025,1934,2148,2658,1843,1797,1811,34,43,-534
132503250094752893,1930,2144,2662,1842,1797,1811,32,38,-529
132503250094790096,1935,2148,2659,1844,1798,1811,32,38,-529
132503250094980629,1941,2155,2656,1843,1799,1812,32,38,-529
132503250095199326,1940,2149,2667,1843,1798,1810,32,38,-529
132503250095232792,1940,2169,2648,1842,1796,1811,32,38,-529
132503250095271992,1936,2169,2659,1843,1797,1811,32,38,-529
132503250095307407,1937,2164,2667,1844,1798,1814,32,38,-529
132503250095340126,1946,2158,2646,1844,1799,1812,37,40,-534
132503250095355825,1940,2148,2654,1842,1797,1811,37,40,-534
132503250095459186,1939,2167,2648,1842,1796,1811,37,40,-534
132503250095495984,1926,2153,2661,1843,1797,1810,37,40,-534
132503250095527351,1952,2154,2652,1843,1798,1812,37,40,-534
132503250095558031,1921,2173,2648,1844,1798,1809,37,40,-534
132503250095573569,1949,2148,2656,1844,1798,1812,37,40,-534
132503250095739548,1923,2152,2675,1843,1797,1810,33,35,-531
132503250095777331,1934,2151,2662,1842,1797,1811,33,35,-531
132503250095806764,1930,2146,2663,1843,1797,1811,33,35,-531
132503250095987671,1924,2169,2669,1843,1797,1811,33,35,-531
132503250096026767,1943,2161,2650,1844,1798,1812,33,35,-531
132503250096243319,1950,2160,2646,1840,1796,1812,33,35,-531
132503250096278292,1946,2157,2655,1843,1798,1812,33,35,-531
132503250096475772,1926,2148,2657,1843,1796,1811,24,40,-536
132503250096515331,1944,2145,2650,1842,1797,1811,24,40,-536
132503250096547971,1938,2155,2667,1844,1799,1812,24,40,-536
132503250096709888,1931,2165,2644,1842,1796,1811,24,40,-536
132503250096745215,1948,2162,2663,1843,1797,1811,24,40,-536
132503250096782178,1934,2161,2670,1842,1798,1811,24,40,-536
132503250096970236,1924,2153,2666,1843,1797,1810,24,40,-536
132503250097007949,1932,2167,2655,1844,1797,1808,37,35,-536
132503250097213053,1931,2139,2671,1844,1798,1812,37,35,-536
132503250097248940,1932,2171,2660,1843,1797,1810,37,35,-536
132503250097283567,1936,2173,2667,1843,1797,1811,37,35,-536
132503250097473148,1948,2145,2644,1842,1797,1810,37,35,-536
132503250097509498,1939,2157,2645,1842,1797,1810,37,35,-536
132503250097722939,1929,2151,2660,1844,1799,1812,37,35,-536
132503250097762900,1932,2152,2664,1843,1797,1811,37,35,-536
132503250097800489,1928,2150,2671,1843,1797,1811,37,35,-536
132503250097978085,1932,2161,2638,1842,1796,1811,37,35,-536
132503250098016127,1926,2167,2658,1842,1797,1810,37,35,-536
132503250098054807,1947,2164,2672,1843,1798,1812,37,35,-536
132503250098235231,1938,2155,2669,1845,1799,1812,37,35,-536
132503250098274902,1898,2151,2660,1843,1797,1811,37,35,-536
132503250098312063,1942,2175,2658,1842,1797,1811,37,35,-536
132503250098540331,1925,2171,2672,1843,1798,1812,37,35,-536
132503250098578359,1927,2163,2666,1844,1798,1810,37,35,-536
132503250098760145,1931,2162,2651,1843,1798,1811,37,35,-536
132503250098798734,1942,2158,2673,1843,1797,1810,37,35,-536
132503250098836299,1934,2159,2659,1843,1797,1811,37,35,-536
132503250099038172,1940,2153,2646,1843,1797,1811,37,44,-532
132503250099077406,1933,2125,2652,1842,1798,1811,37,44,-532
132503250099113561,1931,2159,2680,1844,1798,1811,37,44,-532
132503250099199805,1928,2159,2638,1842,1797,1810,37,44,-532
132503250099449140,1927,2160,2643,1843,1797,1811,37,44,-532
