File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_1_100Hz_9397.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:41:45.164
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503245117794153,1940,1357,2268,1919,1728,1893,-459,403,-152
132503245117835069,1936,1349,2279,1920,1729,1889,-459,403,-152
132503245117946463,1949,1362,2263,1919,1728,1888,-459,403,-152
132503245118200743,1943,1351,2281,1919,1727,1888,-459,403,-152
132503245118443054,1954,1355,2243,1916,1728,1887,-459,403,-152
132503245118685929,1922,1341,2285,1918,1728,1889,-459,403,-152
132503245118940678,1939,1344,2264,1919,1729,1889,-459,403,-152
132503245119176062,1947,1354,2279,1918,1728,1888,-450,402,-150
132503245119422764,1947,1365,2275,1918,1728,1889,-450,402,-150
132503245119697148,1942,1349,2262,1918,1728,1889,-450,402,-150
132503245119942905,1951,1348,2254,1920,1729,1889,-450,402,-150
132503245120184600,1952,1368,2274,1919,1729,1890,-450,402,-150
132503245120436477,1934,1363,2265,1918,1729,1889,-450,402,-150
132503245120698235,1966,1353,2266,1921,1730,1891,-450,402,-150
132503245120738501,1950,1353,2248,1918,1728,1889,-458,396,-154
132503245121222174,1930,1353,2278,1919,1727,1888,-458,396,-154
132503245121486917,1956,1347,2266,1919,1728,1889,-458,396,-154
132503245121723209,1933,1344,2292,1919,1729,1889,-458,396,-154
132503245121983382,1945,1337,2272,1918,1728,1888,-458,396,-154
132503245122020836,1934,1350,2270,1918,1729,1889,-458,396,-154
132503245122260249,1945,1347,2280,1918,1728,1888,-458,396,-154
132503245122747539,1929,1370,2289,1919,1728,1889,-456,396,-153
132503245122984932,1948,1351,2270,1919,1729,1890,-456,396,-153
132503245123026120,1944,1349,2264,1917,1727,1888,-456,396,-153
132503245123483115,1938,1371,2274,1919,1728,1888,-456,396,-153
132503245123523577,1946,1364,2281,1919,1728,1888,-456,396,-153
132503245123758180,1934,1355,2274,1919,1730,1889,-456,396,-153
132503245124244066,1944,1362,2282,1920,1729,1890,-456,396,-153
132503245124518151,1950,1362,2270,1919,1729,1889,-449,390,-144
132503245124556123,1937,1356,2277,1919,1728,1888,-449,390,-144
132503245124765920,1943,1350,2266,1919,1728,1888,-449,390,-144
132503245124804525,1923,1350,2274,1918,1728,1889,-449,390,-144
132503245124840123,1930,1341,2270,1917,1728,1889,-449,390,-144
