File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_1_100Hz_AA1B.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:41:02.906
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503244695200994,1915,1375,2319,1807,1778,1848,-493,454,-76
132503244695431599,1911,1384,2315,1808,1779,1850,-493,454,-76
132503244695679847,1932,1388,2299,1807,1778,1850,-493,454,-76
132503244695948622,1931,1391,2292,1808,1780,1850,-493,454,-76
132503244696181612,1916,1394,2306,1807,1778,1851,-493,454,-76
132503244696416774,1925,1402,2314,1806,1777,1849,-493,454,-76
132503244696698719,1928,1375,2291,1806,1778,1849,-493,454,-76
132503244696944919,1930,1393,2257,1807,1779,1850,-494,442,-82
132503244697187803,1941,1385,2304,1807,1778,1850,-494,442,-82
132503244697455068,1930,1378,2297,1807,1779,1850,-494,442,-82
132503244697681366,1944,1380,2311,1807,1778,1849,-494,442,-82
132503244697709620,1919,1385,2315,1809,1779,1850,-494,442,-82
132503244698196286,1942,1363,2273,1808,1779,1850,-494,442,-82
132503244698455394,1911,1396,2275,1808,1780,1850,-494,442,-82
132503244698483625,1932,1382,2289,1808,1780,1850,-492,449,-84
132503244698514491,1915,1400,2285,1807,1778,1848,-492,449,-84
132503244698716741,1938,1374,2267,1807,1778,1850,-492,449,-84
132503244698742299,1928,1380,2286,1807,1778,1848,-492,449,-84
132503244699245784,1922,1400,2299,1806,1778,1850,-492,449,-84
132503244699489557,1939,1396,2280,1808,1779,1851,-492,449,-84
132503244699734777,1934,1383,2307,1806,1778,1850,-492,449,-84
132503244700013567,1937,1404,2276,1807,1779,1848,-489,450,-79
132503244700034441,1929,1378,2294,1807,1778,1849,-489,450,-79
132503244700282197,1927,1375,2302,1807,1779,1850,-489,450,-79
132503244700782302,1926,1377,2290,1806,1779,1849,-489,450,-79
132503244700810010,1935,1388,2278,1808,1779,1850,-489,450,-79
132503244700836419,1931,1382,2291,1807,1779,1849,-489,450,-79
132503244700861997,1924,1377,2307,1806,1778,1849,-489,450,-79
132503244700883592,1927,1370,2302,1807,1778,1849,-492,452,-73
132503244700908636,1936,1393,2281,1807,1779,1849,-492,452,-73
132503244701064003,1930,1394,2294,1808,1779,1850,-492,452,-73
132503244701581154,1937,1399,2298,1806,1779,1850,-492,452,-73
132503244701611902,1945,1367,2306,1807,1778,1849,-492,452,-73
132503244701636348,1923,1387,2285,1807,1778,1849,-492,452,-73
132503244701660435,1930,1388,2290,1807,1777,1851,-492,452,-73
132503244701684864,1940,1396,2289,1808,1779,1850,-498,445,-77
132503244701709846,1923,1380,2319,1807,1778,1850,-498,445,-77
132503244701733297,1923,1387,2316,1808,1779,1851,-498,445,-77
132503244701755738,1928,1392,2299,1806,1778,1849,-498,445,-77
132503244701853283,1934,1393,2291,1808,1779,1850,-498,445,-77
132503244701879878,1929,1375,2305,1807,1779,1850,-498,445,-77
132503244702113944,1939,1391,2289,1808,1780,1850,-498,445,-77
132503244702609115,1923,1403,2300,1807,1778,1849,-489,449,-81
132503244702635947,1922,1386,2296,1807,1778,1849,-489,449,-81
132503244702646509,1923,1382,2308,1808,1779,1850,-489,449,-81
132503244702652936,1930,1387,2283,1812,1779,1850,-489,449,-81
132503244703140568,1920,1412,2309,1807,1779,1850,-489,449,-81
132503244703176509,1937,1385,2272,1807,1778,1849,-489,449,-81
132503244703387822,1922,1391,2308,1806,1778,1849,-489,449,-81
132503244703411956,1926,1377,2301,1807,1778,1849,-489,451,-83
132503244703432552,1950,1385,2291,1806,1778,1851,-489,451,-83
132503244703641794,1936,1393,2293,1808,1779,1850,-489,451,-83
132503244703674146,1933,1395,2292,1807,1779,1849,-489,451,-83
132503244703893307,1940,1410,2287,1807,1778,1848,-489,451,-83
132503244703923127,1930,1388,2276,1807,1778,1849,-489,451,-83
132503244703952389,1930,1398,2305,1807,1779,1850,-489,451,-83
132503244704136872,1922,1391,2281,1808,1779,1848,-490,452,-84
132503244704167716,1947,1387,2275,1808,1779,1850,-490,452,-84
132503244704192592,1949,1398,2305,1807,1778,1849,-490,452,-84
132503244704387570,1907,1385,2298,1807,1778,1848,-490,452,-84
132503244704605771,1930,1388,2271,1806,1778,1849,-490,452,-84
132503244704634977,1940,1407,2286,1807,1779,1849,-490,452,-84
132503244704662729,1933,1371,2307,1808,1779,1850,-490,452,-84
132503244704668680,1937,1392,2298,1807,1779,1849,-490,442,-85
132503244704884126,1918,1395,2300,1806,1778,1849,-490,442,-85
132503244705130744,1910,1387,2300,1807,1778,1849,-490,442,-85
132503244705410378,1916,1382,2304,1806,1778,1849,-490,442,-85
132503244705447581,1923,1387,2302,1808,1780,1850,-490,442,-85
132503244705656577,1945,1394,2286,1806,1778,1849,-490,442,-85
132503244705687858,1937,1384,2288,1806,1778,1849,-490,442,-85
132503244705713766,1931,1402,2317,1807,1778,1849,-490,453,-80
132503244705720126,1923,1407,2275,1807,1779,1850,-490,453,-80
132503244705892674,1946,1375,2331,1808,1780,1850,-490,453,-80
132503244706166011,1916,1393,2297,1808,1779,1850,-490,453,-80
132503244706644960,1927,1391,2291,1807,1778,1849,-490,453,-80
132503244706682569,1932,1388,2281,1807,1778,1849,-490,453,-80
132503244706715736,1930,1386,2304,1806,1778,1849,-490,453,-80
132503244706898202,1916,1386,2294,1807,1778,1849,-492,447,-76
132503244706921594,1933,1402,2296,1809,1780,1851,-492,447,-76
132503244706957460,1935,1395,2303,1807,1778,1849,-492,447,-76
132503244707138769,1915,1399,2290,1808,1777,1849,-492,447,-76
132503244707164867,1914,1353,2290,1808,1776,1850,-492,447,-76
132503244707397420,1931,1373,2288,1808,1779,1849,-492,447,-76
132503244707427891,1907,1409,2303,1808,1779,1850,-492,447,-76
132503244707643902,1929,1373,2288,1807,1779,1849,-490,452,-83
132503244707664701,1911,1377,2304,1807,1778,1849,-490,452,-83
132503244707702972,1937,1389,2324,1807,1778,1849,-490,452,-83
132503244707741539,1947,1391,2310,1808,1779,1850,-490,452,-83
132503244707770519,1912,1385,2304,1808,1777,1850,-490,452,-83
132503244707896277,1924,1371,2296,1808,1779,1850,-490,452,-83
132503244707928969,1933,1397,2306,1808,1780,1852,-490,452,-83
132503244707964254,1936,1391,2304,1807,1778,1848,-494,452,-82
132503244708000329,1921,1391,2304,1807,1778,1849,-494,452,-82
132503244708156003,1919,1382,2291,1807,1778,1849,-494,452,-82
132503244708172548,1925,1389,2303,1808,1779,1850,-494,452,-82
132503244708405372,1928,1377,2273,1807,1778,1850,-494,452,-82
132503244708437700,1920,1384,2307,1807,1778,1849,-494,452,-82
132503244708654883,1923,1393,2304,1808,1779,1851,-494,452,-82
132503244708683626,1916,1388,2296,1807,1778,1849,-488,448,-84
132503244708721255,1921,1385,2292,1808,1778,1850,-488,448,-84
132503244708911185,1936,1387,2298,1807,1778,1849,-488,448,-84
132503244708946429,1933,1395,2315,1806,1778,1848,-488,448,-84
132503244708982032,1925,1399,2297,1807,1777,1848,-488,448,-84
132503244709188559,1941,1374,2291,1807,1778,1849,-488,448,-84
132503244709257452,1947,1394,2279,1808,1779,1850,-488,448,-84
132503244709292429,1938,1397,2294,1809,1779,1850,-492,446,-80
132503244709435840,1922,1391,2268,1807,1779,1850,-492,446,-80
132503244709475388,1917,1371,2283,1806,1778,1848,-492,446,-80
132503244709701524,1929,1394,2275,1808,1779,1850,-492,446,-80
132503244709737188,1940,1380,2301,1807,1778,1848,-492,446,-80
132503244709770557,1918,1410,2299,1808,1779,1850,-492,446,-80
132503244709960205,1943,1381,2300,1807,1779,1850,-492,446,-80
132503244709996268,1927,1398,2273,1807,1778,1849,-489,447,-84
132503244710030174,1937,1374,2276,1807,1778,1849,-489,447,-84
132503244710047982,1932,1401,2297,1807,1778,1849,-489,447,-84
132503244710053717,1933,1376,2304,1808,1779,1850,-489,447,-84
132503244710227699,1912,1385,2297,1808,1779,1850,-489,447,-84
132503244710254262,1926,1383,2285,1807,1778,1849,-489,447,-84
132503244710484498,1930,1391,2309,1807,1779,1850,-489,447,-84
132503244710517992,1916,1397,2291,1807,1779,1850,-482,446,-74
132503244710555293,1932,1398,2301,1808,1779,1850,-482,446,-74
132503244710591804,1941,1378,2293,1808,1779,1850,-482,446,-74
132503244710624186,1930,1393,2289,1807,1779,1849,-482,446,-74
132503244710651228,1916,1385,2306,1807,1778,1849,-482,446,-74
132503244710677249,1935,1392,2296,1807,1778,1849,-482,446,-74
132503244710706778,1926,1395,2280,1807,1779,1849,-482,446,-74
132503244710737325,1923,1403,2294,1808,1780,1851,-499,448,-89
132503244710763701,1933,1398,2281,1807,1779,1849,-499,448,-89
132503244710794973,1931,1389,2295,1807,1778,1849,-499,448,-89
132503244711049270,1913,1377,2275,1807,1779,1849,-499,448,-89
132503244711083096,1932,1396,2292,1807,1779,1849,-499,448,-89
132503244711116795,1935,1411,2296,1808,1779,1850,-499,448,-89
132503244711155848,1911,1391,2290,1808,1779,1849,-499,448,-89
132503244711292285,1923,1397,2285,1807,1779,1849,-492,446,-77
132503244711315197,1926,1410,2280,1807,1778,1849,-492,446,-77
132503244711353447,1927,1393,2306,1808,1779,1850,-492,446,-77
132503244711552627,1938,1390,2286,1808,1780,1850,-492,446,-77
132503244711571828,1937,1379,2289,1808,1779,1849,-492,446,-77
132503244711805890,1943,1387,2314,1807,1778,1849,-492,446,-77
132503244711828753,1938,1372,2278,1809,1781,1852,-492,446,-77
132503244711866465,1925,1393,2295,1806,1778,1849,-493,451,-82
132503244712057033,1926,1382,2317,1806,1778,1849,-493,451,-82
132503244712079332,1924,1404,2314,1808,1779,1850,-493,451,-82
132503244712112057,1927,1397,2283,1807,1778,1849,-493,451,-82
132503244712309253,1939,1376,2300,1807,1778,1849,-493,451,-82
132503244712331334,1922,1379,2299,1807,1778,1849,-493,451,-82
132503244712567571,1921,1378,2295,1807,1779,1849,-493,451,-82
132503244712592797,1928,1383,2293,1808,1780,1850,-488,441,-86
132503244712633123,1940,1381,2293,1807,1779,1849,-488,441,-86
132503244712825525,1946,1391,2299,1807,1778,1849,-488,441,-86
132503244712853177,1931,1393,2294,1807,1778,1849,-488,441,-86
132503244712891839,1918,1388,2310,1808,1779,1850,-488,441,-86
132503244713071825,1923,1388,2296,1808,1780,1850,-488,441,-86
132503244713106403,1939,1383,2285,1808,1780,1851,-488,441,-86
132503244713331405,1931,1399,2304,1807,1778,1849,-493,444,-79
132503244713362268,1949,1384,2303,1806,1778,1849,-493,444,-79
132503244713404346,1944,1385,2286,1805,1779,1849,-493,444,-79
132503244713437918,1927,1382,2297,1807,1778,1849,-493,444,-79
132503244713888252,1932,1384,2302,1808,1779,1850,-493,444,-79
132503244713912121,1917,1398,2279,1807,1778,1849,-493,444,-79
132503244713951237,1927,1395,2291,1807,1779,1850,-493,444,-79
132503244714185088,1937,1384,2295,1807,1778,1849,-485,441,-88
132503244714204008,1936,1393,2303,1807,1778,1849,-485,441,-88
132503244714448965,1933,1379,2287,1808,1779,1850,-485,441,-88
132503244714696500,1924,1381,2287,1807,1778,1849,-485,441,-88
132503244714940965,1945,1394,2291,1806,1778,1849,-485,441,-88
132503244714958601,1926,1431,2290,1807,1778,1848,-485,441,-88
132503244714982994,1937,1389,2290,1809,1780,1851,-485,441,-88
132503244715019760,1917,1398,2309,1808,1779,1849,-481,442,-78
132503244715205285,1935,1383,2286,1808,1779,1850,-481,442,-78
132503244715461478,1948,1397,2301,1807,1778,1848,-481,442,-78
132503244715498532,1915,1387,2313,1807,1778,1849,-481,442,-78
132503244715960267,1917,1395,2288,1806,1778,1849,-481,442,-78
132503244715966729,1927,1388,2284,1807,1778,1849,-481,442,-78
132503244716223108,1933,1385,2311,1808,1779,1851,-481,442,-78
132503244716245370,1921,1379,2285,1807,1778,1849,-483,449,-80
132503244716448424,1921,1388,2297,1807,1778,1848,-483,449,-80
132503244716477229,1930,1388,2293,1807,1779,1849,-483,449,-80
132503244716509062,1927,1398,2291,1807,1779,1849,-483,449,-80
132503244716731205,1922,1378,2276,1807,1779,1848,-483,449,-80
132503244716756488,1923,1394,2295,1807,1778,1849,-483,449,-80
132503244716786831,1932,1394,2295,1808,1779,1849,-483,449,-80
132503244716975866,1916,1391,2293,1807,1778,1849,-490,445,-78
132503244717007336,1927,1397,2299,1808,1779,1850,-490,445,-78
132503244717230457,1922,1388,2308,1807,1780,1850,-490,445,-78
132503244717261639,1932,1395,2280,1809,1779,1850,-490,445,-78
132503244717292012,1928,1404,2293,1807,1778,1849,-490,445,-78
132503244717476293,1926,1395,2289,1806,1778,1849,-490,445,-78
132503244717508617,1921,1409,2284,1808,1779,1850,-490,445,-78
132503244717547711,1923,1387,2312,1807,1778,1849,-490,445,-78
132503244717723355,1927,1408,2312,1808,1779,1850,-490,445,-78
132503244717756276,1920,1397,2290,1807,1779,1849,-490,445,-78
132503244717976091,1941,1393,2303,1807,1778,1849,-490,445,-78
132503244718010879,1930,1361,2315,1806,1779,1849,-490,445,-78
132503244718033289,1927,1403,2282,1807,1778,1849,-490,445,-78
132503244718472598,1922,1392,2289,1809,1780,1851,-490,445,-78
132503244718497318,1929,1377,2291,1807,1778,1849,-490,445,-78
132503244718529310,1931,1367,2278,1807,1779,1849,-490,445,-78
132503244718714547,1924,1399,2301,1807,1778,1849,-490,445,-78
132503244718942576,1921,1399,2287,1807,1779,1849,-490,445,-78
132503244719200550,1915,1397,2284,1808,1779,1850,-490,445,-78
132503244719232060,1929,1397,2292,1807,1779,1850,-490,445,-78
132503244719260900,1936,1400,2285,1807,1778,1849,-485,440,-80
132503244719290083,1967,1395,2294,1807,1779,1850,-485,440,-80
132503244719459991,1928,1395,2293,1808,1780,1850,-485,440,-80
132503244719700678,1941,1395,2320,1807,1778,1854,-485,440,-80
132503244719734658,1939,1397,2305,1807,1779,1851,-485,440,-80
132503244719771108,1926,1378,2294,1807,1778,1849,-485,440,-80
132503244719944585,1922,1395,2304,1807,1778,1849,-485,440,-80
132503244719968806,1910,1403,2292,1807,1778,1849,-500,444,-80
132503244720005991,1921,1375,2308,1807,1779,1849,-500,444,-80
132503244720196455,1931,1387,2284,1808,1779,1851,-500,444,-80
132503244720217928,1928,1384,2315,1807,1778,1848,-500,444,-80
132503244720453664,1933,1387,2302,1807,1778,1849,-500,444,-80
132503244720490962,1918,1398,2303,1807,1779,1848,-500,444,-80
132503244720517761,1938,1382,2277,1809,1779,1850,-500,444,-80
132503244720702993,1946,1385,2292,1808,1780,1851,-481,447,-81
132503244720733259,1928,1396,2293,1807,1778,1849,-481,447,-81
132503244720764681,1937,1399,2318,1807,1778,1849,-481,447,-81
132503244720793236,1922,1387,2307,1807,1778,1849,-481,447,-81
132503244720822703,1929,1377,2290,1808,1779,1850,-481,447,-81
132503244720851824,1933,1384,2290,1807,1778,1849,-481,447,-81
132503244720972667,1936,1381,2293,1807,1779,1851,-481,447,-81
132503244721192748,1935,1387,2287,1807,1778,1849,-484,445,-77
132503244721218866,1921,1376,2305,1808,1780,1851,-484,445,-77
