File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_1_100Hz_B15C(1).csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 16:40:45.074
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503316451506413,1970,1497,2286,1607,1659,1765,-470,319,-214
132503316451630770,1975,1487,2297,1845,1841,1840,-461,318,-203
132503316452018276,1977,1489,2292,1848,1843,1840,-465,323,-197
132503316452082311,1995,1485,2292,1853,1842,1835,-467,316,-198
132503316452224208,1963,1504,2294,1850,1844,1837,-462,319,-199
132503316452351370,1974,1507,2294,1851,1842,1836,-476,318,-202
132503316452891497,1979,1492,2267,1850,1842,1836,-467,324,-204
132503316453145651,1980,1505,2293,1853,1844,1838,-476,325,-203
132503316453391021,1960,1522,2292,1850,1842,1837,-473,325,-199
132503316453482387,1958,1503,2269,1852,1843,1838,-474,324,-200
132503316453518039,1964,1500,2285,1851,1843,1838,-465,319,-203
132503316453549088,1972,1493,2271,1851,1843,1837,-464,324,-202
132503316453928426,1966,1505,2309,1850,1842,1836,-471,322,-201
132503316454033930,1960,1480,2279,1851,1843,1836,-466,311,-207
132503316454172029,1962,1492,2274,1850,1843,1836,-472,321,-202
132503316454405576,1976,1505,2275,1851,1844,1838,-475,319,-197
132503316454638507,1976,1488,2287,1851,1843,1837,-470,324,-195
132503316454684588,1964,1490,2277,1850,1842,1836,-471,326,-205
132503316454948801,1994,1485,2279,1850,1843,1838,-473,315,-196
132503316455252794,1967,1489,2285,1853,1844,1838,-468,320,-198
132503316455294391,1980,1497,2281,1851,1842,1837,-469,325,-209
132503316455705392,1971,1510,2289,1851,1842,1836,-469,322,-200
132503316455798717,1955,1489,2271,1852,1842,1837,-466,323,-204
132503316455909102,1964,1499,2287,1851,1843,1837,-477,318,-200
132503316456146225,1979,1473,2271,1851,1842,1837,-462,318,-197
132503316456493069,1977,1499,2294,1852,1844,1839,-471,322,-209
132503316456761841,1947,1492,2273,1852,1844,1838,-463,318,-201
132503316456933996,1953,1506,2281,1852,1844,1838,-471,324,-202
132503316456964919,1966,1502,2295,1850,1841,1836,-472,320,-200
132503316457033068,1982,1506,2270,1851,1843,1837,-465,323,-195
132503316457407141,1984,1480,2283,1850,1842,1836,-472,317,-200
132503316457495160,1967,1508,2294,1852,1843,1837,-463,321,-202
132503316457684921,1973,1493,2286,1851,1842,1836,-466,315,-201
132503316457837550,1985,1493,2301,1851,1842,1836,-476,323,-200
132503316458076253,1980,1490,2285,1853,1843,1837,-469,325,-191
132503316458253466,1971,1505,2277,1850,1843,1836,-462,321,-206
132503316458470764,1985,1495,2276,1852,1843,1838,-468,323,-194
132503316458722406,1986,1503,2286,1852,1844,1838,-466,320,-204
132503316458849343,1946,1494,2268,1851,1843,1837,-473,318,-194
132503316459197265,1976,1489,2272,1852,1843,1838,-476,318,-198
132503316459244974,1963,1495,2298,1851,1842,1836,-471,320,-205
132503316459394477,1957,1509,2282,1851,1842,1836,-474,325,-192
132503316459701516,1969,1493,2269,1851,1842,1837,-465,317,-201
132503316459856361,1979,1503,2266,1852,1843,1837,-465,320,-199
132503316460174585,1972,1496,2282,1851,1841,1838,-465,321,-198
132503316460643991,1976,1489,2279,1850,1843,1837,-475,323,-198
132503316460678855,1971,1493,2276,1851,1842,1836,-474,319,-197
132503316460711084,1974,1495,2284,1852,1844,1838,-475,322,-204
132503316460864183,1970,1501,2239,1851,1843,1837,-465,316,-197
132503316461068215,1978,1488,2282,1851,1842,1837,-467,325,-201
132503316461117342,1976,1480,2294,1852,1844,1837,-470,324,-200
132503316461478479,1971,1494,2295,1851,1843,1836,-470,325,-199
132503316461585819,1958,1494,2291,1852,1843,1837,-470,325,-197
132503316461735572,1941,1494,2275,1852,1844,1838,-476,323,-197
132503316462022032,1982,1492,2288,1852,1842,1837,-465,318,-194
132503316462243122,1964,1495,2283,1852,1844,1838,-467,326,-196
132503316462311594,1954,1496,2297,1851,1843,1837,-467,323,-199
132503316462539760,1966,1516,2254,1851,1842,1836,-462,327,-201
132503316462785918,1980,1507,2297,1852,1843,1837,-460,321,-203
132503316462902789,1959,1514,2287,1852,1842,1837,-469,322,-202
132503316463075251,1968,1488,2301,1849,1842,1836,-462,321,-196
132503316463569082,1974,1488,2278,1851,1843,1837,-470,318,-199
132503316463607901,1976,1492,2270,1850,1842,1836,-473,330,-196
132503316463844188,1976,1492,2295,1852,1843,1838,-467,326,-199
132503316464095789,1962,1487,2275,1851,1842,1836,-470,321,-196
132503316464233072,1968,1476,2304,1852,1844,1838,-463,324,-197
132503316464265941,1964,1488,2286,1851,1845,1837,-470,327,-199
132503316464534698,1968,1494,2283,1851,1842,1836,-463,322,-206
132503316464753016,1969,1490,2277,1849,1843,1836,-475,309,-206
132503316465022757,1952,1484,2295,1851,1843,1836,-472,323,-205
132503316465175042,1958,1506,2286,1851,1842,1837,-465,318,-207
132503316465314200,1971,1484,2285,1853,1843,1838,-462,323,-194
132503316465505135,1968,1495,2319,1854,1845,1839,-469,319,-202
132503316465963961,1974,1491,2298,1852,1843,1837,-465,323,-202
132503316466017958,1972,1487,2308,1852,1844,1838,-464,321,-209
132503316466053526,2001,1479,2269,1850,1844,1837,-469,325,-202
132503316466296554,1955,1488,2278,1851,1843,1836,-462,325,-202
132503316466400267,1955,1507,2283,1851,1842,1836,-469,324,-201
132503316466660712,1958,1473,2263,1851,1842,1837,-476,327,-200
132503316466933579,1952,1484,2291,1853,1845,1839,-480,323,-200
132503316467084918,1970,1495,2261,1851,1842,1837,-468,317,-196
132503316467174263,1976,1496,2288,1852,1843,1838,-469,318,-203
132503316467695051,1972,1497,2293,1852,1843,1837,-468,322,-201
132503316467953165,1960,1493,2285,1853,1845,1839,-467,326,-195
132503316468057627,1972,1484,2284,1851,1841,1836,-469,321,-199
132503316468086777,1973,1488,2273,1850,1842,1837,-467,317,-204
132503316468174734,1961,1493,2283,1851,1842,1836,-464,318,-192
132503316468417892,1957,1497,2292,1851,1844,1837,-471,320,-200
132503316468645495,1966,1478,2287,1851,1843,1837,-470,326,-198
132503316468771000,1969,1507,2280,1851,1842,1836,-464,320,-199
132503316468962007,1976,1489,2291,1854,1843,1838,-467,322,-200
132503316469209342,1982,1497,2298,1851,1843,1836,-468,317,-195
132503316469384580,1965,1500,2301,1853,1841,1837,-465,317,-197
132503316469597270,1977,1512,2277,1850,1841,1836,-465,319,-203
132503316469817620,1948,1491,2272,1851,1842,1836,-474,324,-202
132503316469942358,1961,1501,2279,1852,1843,1837,-469,323,-199
132503316470200719,1994,1492,2255,1851,1842,1837,-470,319,-204
132503316470639170,1955,1497,2271,1852,1844,1837,-465,322,-201
132503316470668862,1997,1489,2279,1851,1843,1837,-472,322,-198
132503316470843740,1974,1489,2295,1851,1843,1837,-470,322,-201
132503316471194342,1970,1489,2278,1851,1842,1837,-463,324,-184
132503316471676123,1997,1486,2289,1851,1843,1837,-464,317,-198
132503316471725397,1992,1505,2304,1851,1841,1836,-466,318,-198
132503316471814439,1990,1490,2292,1852,1844,1837,-468,318,-194
132503316471844742,1949,1496,2289,1850,1842,1836,-469,318,-196
