File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_1_100Hz_B532(1).csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 16:40:45.082
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503316451628435,1926,1414,2470,1842,1850,1834,-480,251,-181
132503316451818689,1938,1408,2483,1697,1641,1850,-470,256,-167
132503316452005649,1930,1404,2492,1734,1668,1849,-482,255,-168
132503316452335903,1948,1406,2487,1720,1668,1849,-476,252,-176
132503316452353910,1948,1399,2483,1722,1664,1850,-475,255,-163
132503316452520585,1938,1398,2484,1724,1666,1849,-479,251,-166
132503316453015620,1930,1427,2500,1722,1665,1848,-471,252,-165
132503316453303737,1934,1421,2476,1723,1665,1850,-479,253,-162
132503316453345960,1950,1401,2478,1721,1664,1848,-474,249,-163
132503316453531596,1930,1427,2471,1723,1666,1848,-480,252,-163
132503316453839929,1935,1409,2472,1723,1666,1850,-473,251,-162
132503316453880060,1931,1404,2485,1722,1664,1849,-472,260,-170
132503316454134764,1943,1404,2501,1723,1665,1850,-477,250,-173
132503316454159236,1958,1391,2485,1722,1664,1849,-467,256,-164
132503316454402157,1950,1399,2485,1723,1665,1850,-479,256,-166
132503316454755021,1932,1411,2468,1722,1664,1848,-474,250,-176
132503316454793963,1929,1423,2475,1722,1665,1849,-471,245,-168
132503316454832354,1948,1405,2469,1722,1665,1848,-469,257,-165
132503316455087597,1934,1416,2477,1722,1664,1848,-471,243,-163
132503316455383336,1926,1425,2468,1722,1664,1849,-471,256,-170
132503316455415455,1941,1399,2479,1721,1664,1849,-477,254,-162
132503316455698905,1948,1396,2485,1721,1664,1847,-473,254,-167
132503316455860206,1936,1410,2471,1722,1665,1849,-470,260,-173
132503316456016031,1941,1418,2475,1722,1664,1848,-479,255,-167
132503316456486093,1937,1410,2470,1723,1665,1848,-476,243,-171
132503316456900206,1937,1410,2479,1723,1664,1849,-476,255,-167
132503316456931955,1944,1399,2468,1721,1664,1848,-471,254,-174
132503316456991917,1928,1407,2480,1721,1664,1848,-472,253,-168
132503316457194113,1950,1425,2499,1723,1665,1849,-483,251,-162
132503316457414402,1959,1431,2480,1722,1664,1848,-467,253,-172
132503316457584212,1941,1395,2488,1723,1666,1850,-476,247,-168
132503316457661346,1933,1407,2474,1721,1663,1847,-469,255,-161
132503316457951483,1938,1397,2471,1722,1665,1849,-476,257,-164
132503316458071945,1947,1407,2471,1723,1664,1849,-473,256,-166
132503316458239565,1958,1395,2462,1721,1665,1849,-476,253,-163
132503316458394612,1941,1415,2468,1720,1664,1848,-472,246,-164
132503316458649631,1960,1413,2474,1723,1665,1849,-469,254,-161
132503316458736012,1943,1412,2473,1721,1663,1847,-471,250,-167
132503316459080688,1950,1416,2488,1721,1664,1849,-476,251,-165
132503316459261517,1938,1400,2468,1722,1663,1848,-473,259,-167
132503316459334885,1931,1416,2480,1721,1664,1848,-477,249,-172
132503316459874854,1932,1412,2479,1723,1666,1850,-480,253,-178
132503316459946411,1972,1369,2464,1721,1664,1848,-474,245,-170
132503316460183992,1931,1418,2477,1722,1664,1849,-464,247,-170
132503316460434044,1940,1383,2495,1722,1665,1849,-473,252,-161
132503316460545989,1937,1400,2480,1723,1665,1850,-477,250,-164
132503316460586673,1939,1416,2480,1722,1664,1848,-474,244,-171
132503316460692030,1958,1406,2484,1721,1663,1848,-468,260,-170
132503316461108812,1940,1398,2473,1722,1665,1849,-472,249,-166
132503316461149514,1948,1401,2473,1723,1665,1847,-479,253,-163
132503316461289687,1927,1420,2479,1724,1666,1850,-476,255,-163
132503316461562321,1927,1405,2465,1721,1664,1848,-469,245,-169
132503316461658977,1935,1404,2488,1723,1664,1849,-473,249,-162
132503316461863697,1931,1422,2482,1721,1664,1849,-477,253,-168
132503316462115651,1935,1408,2450,1723,1664,1848,-475,255,-172
132503316462302034,1931,1398,2471,1722,1664,1848,-477,248,-168
132503316462460668,1933,1404,2486,1721,1663,1848,-472,246,-164
