File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_1_100Hz_BODF.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:41:02.898
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503244695438127,1938,1357,2236,1843,1797,1811,-368,332,-287
132503244695725353,1937,1353,2255,1842,1797,1811,-368,332,-287
132503244695957992,1942,1333,2249,1843,1797,1811,-368,332,-287
132503244696227061,1948,1360,2243,1843,1798,1812,-368,332,-287
132503244696461791,1947,1349,2248,1843,1797,1811,-368,332,-287
132503244696701679,1940,1355,2221,1843,1796,1811,-368,332,-287
132503244696964296,1953,1359,2253,1842,1798,1811,-368,332,-287
132503244697217686,1945,1368,2234,1844,1798,1813,-365,332,-287
132503244697455289,1945,1365,2256,1843,1798,1809,-365,332,-287
132503244697722129,1953,1351,2239,1844,1798,1811,-365,332,-287
132503244697962733,1941,1348,2257,1843,1798,1810,-365,332,-287
132503244697997370,1950,1356,2248,1843,1797,1811,-365,332,-287
132503244698489311,1923,1364,2261,1843,1799,1811,-365,332,-287
132503244698734077,1948,1355,2241,1843,1796,1811,-365,332,-287
132503244698994772,1943,1348,2257,1844,1798,1812,-369,333,-284
132503244699252457,1939,1346,2245,1842,1797,1811,-369,333,-284
132503244699489560,1930,1375,2249,1843,1797,1810,-369,333,-284
132503244699513979,1941,1365,2229,1842,1798,1811,-369,333,-284
132503244700027995,1940,1353,2260,1843,1797,1810,-369,333,-284
132503244700280725,1933,1346,2245,1844,1798,1812,-369,333,-284
132503244700310600,1941,1358,2253,1843,1797,1811,-369,333,-284
132503244700338528,1953,1351,2242,1843,1797,1811,-362,328,-283
132503244700617900,1947,1356,2255,1843,1797,1811,-362,328,-283
132503244700644921,1947,1361,2236,1844,1798,1812,-362,328,-283
132503244701129188,1938,1361,2238,1843,1797,1809,-362,328,-283
132503244701154939,1944,1355,2251,1843,1798,1812,-362,328,-283
132503244701180523,1943,1346,2249,1842,1797,1810,-362,328,-283
132503244701372554,1939,1344,2254,1842,1797,1811,-362,328,-283
132503244701398092,1948,1364,2245,1843,1796,1810,-360,329,-283
132503244701423825,1948,1358,2235,1843,1797,1810,-360,329,-283
132503244701638779,1933,1367,2257,1843,1798,1812,-360,329,-283
132503244701661494,1939,1351,2250,1843,1796,1811,-360,329,-283
132503244701686057,1941,1347,2248,1843,1797,1811,-360,329,-283
132503244701898895,1953,1368,2259,1842,1796,1811,-360,329,-283
132503244701923913,1937,1356,2259,1842,1797,1811,-360,329,-283
132503244701944959,1939,1361,2261,1843,1799,1812,-359,336,-286
132503244702149550,1922,1368,2240,1842,1797,1811,-359,336,-286
132503244702391303,1940,1348,2243,1843,1796,1811,-359,336,-286
132503244702407345,1947,1369,2264,1842,1797,1810,-359,336,-286
132503244702422619,1932,1371,2253,1843,1797,1811,-359,336,-286
132503244702435326,1945,1349,2242,1844,1799,1812,-359,336,-286
132503244702925411,1943,1355,2240,1843,1797,1812,-359,336,-286
132503244702964604,1970,1360,2237,1842,1797,1811,-362,339,-285
132503244702994365,1950,1362,2245,1844,1799,1813,-362,339,-285
132503244703421152,1940,1347,2240,1843,1799,1813,-362,339,-285
132503244703453662,1934,1354,2228,1843,1800,1812,-362,339,-285
132503244703492082,1941,1354,2242,1843,1798,1812,-362,339,-285
132503244703525990,1941,1360,2249,1842,1797,1810,-362,339,-285
132503244703668701,1952,1379,2262,1843,1797,1811,-362,339,-285
