File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_2_100Hz_A833.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:46:29.557
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503247961663286,1146,2174,2272,1779,1772,1848,342,37,-473
132503247961914417,1175,2153,2263,1779,1773,1848,342,37,-473
132503247962166464,1164,2153,2268,1780,1773,1849,342,37,-473
132503247962435281,1155,2159,2262,1779,1772,1847,342,37,-473
132503247962659622,1154,2154,2270,1779,1772,1848,342,37,-473
132503247962698019,1152,2175,2256,1780,1772,1848,342,37,-473
132503247963193698,1147,2168,2250,1780,1773,1850,342,37,-473
132503247963228691,1163,2152,2273,1780,1773,1850,348,42,-480
132503247963265136,1161,2161,2268,1780,1772,1850,348,42,-480
132503247963473627,1152,2153,2261,1779,1771,1848,348,42,-480
132503247963717747,1166,2160,2266,1779,1773,1849,348,42,-480
132503247963958132,1156,2143,2266,1779,1772,1848,348,42,-480
132503247964213173,1148,2161,2263,1779,1772,1849,348,42,-480
132503247964451986,1152,2167,2268,1780,1773,1850,348,42,-480
132503247964697729,1140,2167,2267,1778,1771,1848,352,41,-476
132503247964965458,1160,2156,2267,1780,1773,1849,352,41,-476
132503247965212832,1160,2170,2277,1779,1771,1848,352,41,-476
132503247965455320,1167,2157,2278,1780,1772,1849,352,41,-476
132503247965701473,1154,2156,2280,1780,1774,1849,352,41,-476
132503247965946440,1168,2166,2251,1779,1772,1848,352,41,-476
132503247965985115,1114,2142,2282,1780,1773,1848,352,41,-476
132503247966472474,1160,2163,2287,1779,1772,1848,354,32,-482
132503247966705410,1180,2155,2258,1781,1773,1850,354,32,-482
132503247966742752,1172,2168,2258,1781,1774,1849,354,32,-482
132503247967215831,1145,2153,2279,1780,1773,1849,354,32,-482
132503247967458645,1173,2147,2258,1779,1771,1847,354,32,-482
132503247967491161,1176,2150,2258,1780,1772,1848,354,32,-482
132503247967974137,1172,2172,2264,1778,1773,1849,354,32,-482
132503247968215153,1154,2163,2271,1779,1772,1848,344,45,-486
132503247968254871,1160,2166,2264,1780,1773,1851,344,45,-486
132503247968469661,1145,2177,2264,1779,1771,1848,344,45,-486
132503247968509456,1177,2151,2266,1780,1772,1848,344,45,-486
132503247968545202,1156,2154,2269,1779,1772,1848,344,45,-486
132503247968737416,1153,2164,2257,1779,1772,1848,344,45,-486
132503247968774304,1156,2169,2256,1780,1774,1850,344,45,-486
132503247968959701,1163,2169,2261,1779,1772,1847,358,36,-474
132503247968999757,1146,2165,2284,1780,1771,1848,358,36,-474
132503247969039200,1155,2159,2253,1779,1772,1849,358,36,-474
132503247969238113,1168,2167,2260,1779,1771,1848,358,36,-474
132503247969275643,1174,2159,2261,1780,1773,1848,358,36,-474
132503247969459325,1152,2163,2267,1780,1773,1849,358,36,-474
132503247969496263,1159,2156,2258,1779,1773,1848,358,36,-474
132503247969726303,1168,2161,2282,1779,1772,1849,354,38,-475
132503247969766817,1164,2158,2260,1780,1773,1849,354,38,-475
132503247969801299,1149,2165,2270,1779,1772,1849,354,38,-475
132503247969977044,1157,2165,2278,1780,1773,1849,354,38,-475
132503247970014893,1162,2158,2269,1779,1772,1849,354,38,-475
132503247970049651,1159,2165,2255,1779,1772,1848,354,38,-475
132503247970216517,1164,2167,2268,1779,1772,1849,354,38,-475
132503247970253922,1168,2165,2261,1780,1772,1848,355,40,-479
132503247970289436,1158,2160,2272,1781,1773,1850,355,40,-479
132503247970513122,1171,2168,2286,1780,1772,1848,355,40,-479
132503247970549809,1172,2157,2273,1779,1772,1849,355,40,-479
132503247970588361,1152,2171,2262,1779,1772,1848,355,40,-479
132503247970623731,1175,2167,2275,1780,1773,1849,355,40,-479
132503247970658767,1158,2164,2252,1781,1773,1849,355,40,-479
132503247970672630,1143,2168,2262,1780,1772,1849,354,39,-472
132503247970679261,1157,2170,2260,1779,1771,1848,354,39,-472
132503247970685116,1180,2171,2254,1780,1772,1848,354,39,-472
132503247970781327,1170,2146,2281,1778,1773,1848,354,39,-472
132503247970813019,1160,2159,2280,1779,1772,1848,354,39,-472
132503247971043560,1155,2149,2263,1781,1773,1850,354,39,-472
132503247971080276,1169,2169,2260,1780,1771,1848,354,39,-472
132503247971118256,1149,2173,2278,1780,1772,1848,350,34,-480
132503247971291289,1151,2167,2271,1779,1772,1848,350,34,-480
132503247971327410,1163,2161,2262,1780,1771,1848,350,34,-480
132503247971559732,1154,2160,2250,1780,1773,1849,350,34,-480
132503247971591941,1158,2155,2269,1780,1772,1849,350,34,-480
132503247971619518,1170,2156,2263,1779,1772,1848,350,34,-480
132503247971649034,1157,2159,2280,1779,1772,1849,350,34,-480
132503247971679006,1138,2183,2257,1780,1773,1849,341,49,-472
132503247971816459,1165,2161,2278,1781,1774,1849,341,49,-472
132503247971853546,1167,2163,2255,1781,1773,1849,341,49,-472
132503247972085708,1147,2178,2248,1779,1772,1848,341,49,-472
132503247972121407,1160,2168,2259,1779,1772,1848,341,49,-472
132503247972153600,1161,2144,2270,1781,1772,1849,341,49,-472
132503247972322616,1164,2150,2276,1780,1772,1848,341,49,-472
132503247972361033,1155,2149,2271,1780,1773,1850,354,39,-474
132503247972394373,1164,2158,2275,1779,1771,1848,354,39,-474
132503247972830339,1152,2162,2287,1781,1774,1851,354,39,-474
132503247972869249,1160,2159,2275,1779,1772,1848,354,39,-474
132503247973067876,1168,2151,2266,1779,1772,1848,354,39,-474
132503247973105171,1157,2169,2272,1780,1773,1849,354,39,-474
132503247973141962,1172,2151,2249,1779,1771,1849,354,39,-474
132503247973303458,1171,2165,2280,1780,1772,1848,356,40,-468
132503247973343106,1145,2182,2250,1779,1772,1848,356,40,-468
132503247973568781,1152,2160,2245,1780,1773,1849,356,40,-468
132503247973606074,1176,2155,2270,1781,1773,1850,356,40,-468
132503247973644057,1154,2151,2273,1779,1773,1849,356,40,-468
132503247973808781,1162,2153,2276,1779,1771,1848,356,40,-468
132503247973849653,1146,2163,2277,1780,1771,1848,356,40,-468
132503247973886715,1172,2151,2254,1780,1771,1848,347,39,-472
132503247974071192,1170,2158,2262,1779,1771,1853,347,39,-472
132503247974111082,1154,2167,2249,1780,1773,1850,347,39,-472
