File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_3_100Hz_B15C.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 16:42:12.454
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503317325171229,1960,2203,2585,1598,1649,1784,-414,8,-450
132503317325448649,1979,2190,2594,1844,1842,1841,-410,13,-439
132503317325738391,1955,2186,2583,1847,1842,1839,-404,15,-429
132503317326226179,1966,2176,2601,1852,1842,1836,-407,13,-426
132503317326261248,1961,2183,2587,1848,1841,1835,-414,8,-429
132503317326327137,1968,2191,2572,1850,1842,1836,-407,14,-436
132503317326521342,1968,2198,2586,1851,1843,1837,-413,6,-435
132503317326648652,1964,2197,2584,1851,1843,1837,-409,6,-436
132503317326802232,1969,2181,2575,1852,1844,1837,-413,6,-439
132503317326968026,1963,2191,2599,1853,1844,1838,-399,15,-437
132503317327183701,1956,2167,2558,1851,1843,1837,-406,2,-437
132503317327381481,1971,2195,2570,1852,1843,1837,-415,9,-437
132503317327537912,1975,2193,2586,1850,1843,1836,-405,7,-440
132503317327801412,1979,2205,2575,1851,1843,1837,-409,9,-439
132503317327957756,1987,2199,2579,1852,1843,1838,-412,8,-442
132503317328298092,1984,2177,2568,1850,1842,1836,-399,11,-436
132503317328332472,1981,2202,2599,1852,1844,1838,-414,12,-435
132503317328484235,1976,2199,2557,1852,1844,1838,-410,7,-429
132503317328800365,1983,2200,2577,1853,1844,1839,-410,11,-434
132503317328983234,1978,2178,2586,1850,1842,1837,-411,11,-431
132503317329026222,1978,2200,2567,1851,1843,1837,-406,11,-436
132503317329513076,1976,2183,2583,1851,1843,1837,-401,11,-439
132503317329777696,1959,2183,2593,1851,1844,1836,-402,11,-429
132503317329818743,1965,2188,2584,1849,1842,1836,-404,15,-432
132503317329928371,1969,2184,2578,1849,1843,1837,-415,6,-435
132503317330116079,1961,2187,2586,1851,1843,1838,-407,8,-434
132503317330181996,1956,2202,2578,1851,1842,1836,-405,11,-425
132503317330473031,1960,2176,2580,1851,1842,1837,-412,7,-420
132503317330665554,1978,2183,2581,1851,1843,1837,-409,12,-431
132503317330780001,1974,2175,2562,1850,1843,1837,-404,13,-431
132503317331097905,1979,2192,2577,1852,1843,1838,-411,11,-436
132503317331187117,1971,2189,2577,1851,1843,1836,-411,9,-433
132503317331442358,1968,2192,2586,1850,1842,1836,-408,14,-431
132503317331722560,1960,2193,2563,1851,1844,1838,-403,15,-429
132503317331763758,1966,2203,2587,1851,1843,1837,-407,14,-433
132503317332008303,1963,2189,2571,1850,1842,1836,-408,13,-427
132503317332225301,1944,2180,2595,1851,1843,1837,-403,17,-437
132503317332424247,1974,2189,2557,1850,1843,1836,-408,0,-430
132503317332626709,1955,2179,2596,1852,1844,1838,-407,16,-438
132503317333125615,1961,2180,2592,1850,1842,1837,-406,10,-435
132503317333417828,1974,2204,2575,1852,1843,1838,-402,7,-434
132503317333455874,1975,2171,2601,1852,1844,1838,-419,6,-437
132503317333488101,1986,2182,2587,1851,1842,1836,-405,10,-431
132503317333553719,1969,2181,2580,1853,1844,1838,-413,12,-440
132503317333815099,1976,2202,2581,1851,1840,1836,-409,15,-430
132503317334050888,1977,2174,2577,1852,1844,1839,-409,13,-429
132503317334094432,1966,2177,2589,1852,1843,1838,-411,6,-432
132503317334364815,1949,2190,2601,1850,1843,1836,-412,12,-436
132503317334612698,1959,2191,2587,1850,1842,1836,-415,8,-426
132503317334690029,1961,2191,2570,1851,1843,1837,-412,15,-434
132503317334935818,1981,2185,2579,1850,1841,1836,-408,10,-444
132503317335176525,1966,2179,2585,1851,1843,1837,-406,9,-437
132503317335259105,1967,2190,2572,1851,1842,1836,-400,15,-430
132503317335501063,1964,2191,2579,1851,1842,1836,-405,7,-444
132503317335800362,1962,2188,2564,1852,1844,1839,-408,9,-432
132503317335903522,1962,2184,2571,1849,1842,1834,-412,10,-431
132503317336049897,1971,2191,2599,1851,1843,1837,-412,7,-443
132503317336301237,1967,2194,2573,1851,1843,1837,-417,13,-433
132503317336509544,1964,2155,2555,1850,1842,1836,-403,7,-441
132503317336764826,1983,2200,2562,1850,1842,1836,-402,8,-436
132503317337031766,1961,2181,2573,1850,1842,1837,-409,7,-437
132503317337166143,1954,2192,2577,1851,1842,1837,-409,10,-435
132503317337375896,1977,2187,2595,1852,1844,1837,-410,8,-444
132503317337639236,1957,2202,2563,1851,1842,1837,-401,12,-435
132503317337714838,1980,2189,2599,1852,1844,1838,-411,7,-428
132503317337824654,1949,2181,2586,1852,1844,1838,-397,6,-439
132503317338107472,1970,2167,2598,1851,1842,1836,-406,6,-435
132503317338267836,1957,2180,2567,1851,1844,1837,-407,5,-437
132503317338547600,1960,2193,2579,1849,1842,1835,-412,3,-427
132503317338719079,1986,2184,2568,1852,1843,1838,-407,10,-435
132503317338862659,1956,2217,2581,1852,1844,1838,-411,10,-438
132503317339222727,1960,2179,2595,1852,1844,1838,-407,4,-436
132503317339317049,1964,2190,2588,1851,1842,1837,-408,8,-433
132503317339491428,1966,2183,2575,1850,1843,1838,-405,8,-434
132503317339596314,1980,2219,2600,1852,1843,1837,-406,3,-433
132503317339850187,1958,2189,2581,1850,1843,1837,-412,6,-433
132503317340247044,1968,2181,2567,1850,1842,1835,-414,9,-431
132503317340734823,1959,2189,2577,1850,1842,1836,-406,4,-439
132503317340867739,1976,2169,2597,1852,1844,1838,-411,10,-435
132503317340898380,1966,2181,2566,1850,1842,1836,-412,3,-431
132503317340929197,1964,2187,2605,1852,1843,1837,-411,13,-438
132503317341221309,1983,2209,2572,1851,1843,1839,-413,12,-438
132503317341368435,1958,2211,2555,1851,1843,1837,-412,9,-432
132503317341489233,1978,2212,2575,1851,1843,1837,-394,2,-437
132503317341511941,1977,2194,2561,1851,1842,1836,-408,13,-437
132503317341829180,1960,2170,2569,1853,1844,1837,-416,12,-439
132503317342021312,1964,2192,2584,1851,1843,1838,-410,7,-438
132503317342153806,1976,2195,2597,1851,1842,1836,-405,11,-429
132503317342520836,1966,2197,2579,1852,1842,1837,-411,15,-431
132503317342643710,1965,2187,2569,1851,1843,1837,-406,11,-437
132503317342697439,1968,2184,2585,1852,1843,1837,-408,14,-431
132503317342974876,1972,2197,2564,1851,1842,1837,-400,8,-432
132503317343199443,1969,2165,2581,1851,1843,1838,-410,11,-432
132503317343285920,1962,2181,2567,1851,1842,1837,-406,14,-434
132503317343575930,1973,2215,2573,1852,1844,1838,-406,5,-436
132503317343714329,1986,2187,2585,1851,1843,1837,-407,7,-428
132503317343954340,1957,2185,2572,1851,1843,1836,-409,12,-437
132503317344455011,1961,2187,2571,1852,1844,1838,-407,4,-432
132503317344564443,1961,2178,2582,1850,1842,1836,-404,7,-423
132503317344595913,1977,2191,2579,1851,1843,1837,-412,1,-430
132503317344794904,1974,2183,2577,1851,1842,1836,-405,13,-443
132503317344887431,1961,2175,2602,1852,1845,1838,-402,2,-434
132503317345135695,1989,2169,2582,1851,1843,1837,-407,13,-432
132503317345296658,1971,2172,2598,1853,1845,1838,-408,6,-437
132503317345499698,1961,2184,2573,1851,1843,1837,-413,14,-435
132503317345736995,1954,2187,2587,1851,1842,1837,-410,15,-435
132503317345991941,1964,2182,2590,1852,1843,1837,-410,13,-434
132503317346034504,1956,2190,2574,1849,1842,1836,-409,14,-440
132503317346298144,1987,2166,2581,1851,1842,1836,-411,12,-439
132503317346575188,1973,2175,2580,1848,1843,1836,-402,6,-430
132503317346632687,1980,2201,2573,1852,1844,1838,-411,4,-440
132503317346883715,1980,2199,2576,1851,1842,1837,-400,19,-440
132503317347049018,1973,2192,2591,1850,1842,1836,-408,17,-432
132503317347221253,1957,2191,2582,1851,1843,1837,-403,7,-431
132503317347471498,1968,2187,2590,1851,1842,1836,-411,10,-436
132503317347598255,1968,2193,2581,1849,1842,1837,-399,9,-439
132503317347836601,1988,2193,2565,1851,1843,1836,-407,12,-431
132503317348282063,1981,2184,2598,1851,1842,1837,-405,10,-433
132503317348323760,1984,2185,2591,1852,1843,1838,-406,7,-431
132503317348380454,1964,2176,2587,1850,1842,1837,-402,10,-441
132503317348649800,1973,2192,2610,1851,1844,1837,-405,11,-437
132503317348850305,1965,2170,2582,1852,1844,1837,-414,11,-439
132503317349104880,1960,2189,2571,1850,1842,1836,-410,10,-438
132503317349168542,1963,2198,2591,1850,1843,1836,-414,18,-437
132503317349418563,1968,2201,2588,1851,1842,1837,-413,12,-441
132503317349638287,1961,2199,2606,1851,1843,1837,-409,7,-434
132503317349812812,1955,2210,2589,1853,1843,1838,-407,12,-438
132503317349984092,1948,2182,2580,1851,1842,1836,-406,13,-427
132503317350122489,1994,2192,2580,1852,1843,1837,-412,14,-435
132503317350375930,1984,2197,2572,1851,1843,1837,-404,13,-431
132503317350590371,1978,2195,2585,1850,1842,1836,-408,9,-437
132503317350792338,1979,2198,2584,1851,1843,1836,-405,6,-437
132503317351060852,1965,2188,2570,1853,1844,1839,-413,5,-432
132503317351158258,1975,2195,2589,1851,1843,1837,-404,3,-434
132503317351711634,1970,2180,2589,1852,1843,1837,-404,16,-438
132503317352059897,1967,2190,2590,1851,1843,1837,-402,9,-439
132503317352128369,1989,2175,2579,1851,1843,1838,-406,1,-432
132503317352185416,1966,2186,2584,1852,1844,1837,-409,6,-437
132503317352226714,1955,2168,2559,1853,1845,1838,-409,7,-433
132503317352495440,1964,2191,2582,1851,1842,1836,-403,15,-436
132503317352570966,1970,2181,2596,1850,1842,1837,-404,8,-437
132503317352762489,1978,2177,2586,1850,1842,1836,-404,11,-433
132503317352948036,1979,2185,2581,1852,1844,1839,-401,11,-431
132503317353113247,1983,2204,2588,1853,1845,1839,-415,17,-431
132503317353327910,1980,2179,2598,1851,1843,1837,-406,4,-436
132503317353471009,1969,2169,2573,1852,1844,1838,-407,12,-437
132503317353726783,1979,2197,2578,1851,1843,1837,-404,12,-433
132503317353895981,1974,2189,2587,1851,1840,1836,-415,7,-438
132503317354087090,1976,2220,2573,1853,1844,1838,-407,7,-434
132503317354381835,1979,2171,2589,1852,1843,1838,-410,13,-440
132503317354510172,1978,2196,2573,1852,1844,1838,-406,13,-443
132503317354686627,1975,2205,2590,1853,1845,1839,-409,10,-436
132503317354916001,1978,2185,2580,1849,1842,1837,-413,8,-432
132503317355424341,1976,2201,2580,1852,1843,1839,-400,11,-437
132503317355604158,1980,2183,2585,1850,1842,1836,-405,20,-432
132503317355641735,1980,2174,2595,1851,1842,1837,-411,13,-437
132503317355740029,1983,2202,2595,1850,1843,1837,-414,3,-431
132503317355983693,1957,2202,2566,1852,1840,1838,-406,6,-438
132503317356150469,1974,2197,2573,1851,1843,1837,-405,-1,-437
132503317356242771,1972,2203,2564,1851,1842,1836,-411,8,-425
132503317356405315,1968,2185,2591,1849,1843,1837,-409,8,-434
132503317356765284,1966,2171,2585,1851,1843,1838,-408,8,-440
132503317356801298,1957,2176,2587,1854,1845,1839,-411,12,-432
132503317356987525,1971,2176,2581,1850,1842,1837,-413,13,-432
132503317357344829,1978,2187,2597,1852,1843,1837,-407,7,-430
132503317357427514,1964,2189,2594,1850,1842,1837,-410,15,-434
132503317357567325,1964,2166,2595,1852,1843,1838,-403,13,-428
132503317357825822,1966,2199,2581,1851,1842,1836,-404,9,-432
132503317357969790,1963,2199,2575,1851,1843,1836,-407,14,-439
132503317358158541,1965,2183,2597,1852,1844,1837,-404,3,-437
132503317358384433,1970,2192,2563,1850,1842,1836,-415,9,-439
132503317358535325,1954,2186,2587,1852,1844,1837,-403,8,-436
132503317358786243,1936,2171,2580,1850,1842,1836,-406,13,-428
132503317359195972,1980,2175,2564,1852,1843,1837,-403,8,-433
132503317359233584,1989,2193,2557,1852,1843,1837,-410,9,-433
132503317359442278,1972,2191,2588,1851,1842,1837,-407,12,-437
132503317359637341,1973,2183,2581,1853,1844,1837,-408,4,-434
132503317359813562,1973,2171,2601,1853,1844,1837,-416,14,-435
132503317359959910,1969,2182,2570,1851,1843,1839,-414,7,-436
132503317360136094,1950,2187,2582,1852,1843,1835,-408,3,-436
132503317360284156,1971,2169,2588,1851,1843,1837,-409,14,-430
132503317360548173,1964,2197,2574,1848,1844,1836,-407,13,-434
132503317360721482,1968,2191,2588,1853,1844,1839,-406,14,-437
132503317360962226,1954,2197,2571,1850,1842,1837,-405,13,-427
132503317361082193,1970,2185,2587,1852,1843,1837,-409,14,-432
132503317361326954,1954,2181,2589,1852,1843,1837,-410,4,-430
132503317361531669,1970,2186,2564,1850,1842,1836,-408,7,-433
132503317361726977,1972,2193,2577,1852,1843,1836,-403,7,-437
132503317362083827,1980,2179,2588,1853,1843,1837,-410,7,-441
132503317362145600,1973,2181,2584,1852,1844,1836,-397,12,-434
132503317362266331,1982,2177,2585,1852,1843,1837,-405,10,-440
132503317362502560,1970,2212,2587,1851,1846,1838,-406,5,-434
132503317362764969,1972,2202,2573,1851,1843,1837,-406,15,-433
132503317362950532,1969,2185,2571,1852,1844,1837,-406,7,-436
132503317363143272,1978,2168,2610,1850,1842,1836,-421,14,-432
132503317363303242,1956,2194,2594,1851,1842,1837,-406,11,-429
132503317363472838,1969,2185,2564,1851,1843,1837,-413,11,-430
132503317363674622,1973,2187,2577,1852,1841,1836,-405,10,-434
132503317363868021,1965,2177,2575,1852,1844,1839,-409,6,-439
132503317364097685,1967,2172,2570,1852,1842,1836,-405,6,-442
132503317364299072,1954,2190,2593,1853,1844,1837,-410,21,-435
132503317364648620,1968,2181,2563,1851,1844,1838,-412,2,-431
132503317364684886,1987,2173,2561,1850,1842,1836,-404,7,-431
132503317364870897,1969,2164,2579,1852,1842,1837,-401,11,-444
132503317365122407,1962,2181,2572,1851,1843,1836,-410,10,-441
132503317365184440,1969,2184,2586,1852,1843,1835,-407,11,-431
132503317365354459,1981,2186,2565,1851,1843,1837,-408,16,-435
132503317365615299,1987,2183,2587,1850,1843,1837,-405,9,-438
132503317365757288,1986,2202,2561,1850,1842,1837,-401,8,-441
132503317365982382,1962,2199,2568,1850,1844,1838,-412,11,-440
132503317366520515,1962,2195,2545,1850,1842,1836,-410,15,-435
132503317366552770,1973,2188,2551,1852,1842,1837,-417,17,-432
132503317366593378,1967,2191,2594,1850,1842,1836,-407,15,-438
132503317366821031,1960,2193,2562,1851,1843,1837,-413,13,-439
132503317366926623,1974,2191,2575,1852,1844,1838,-402,11,-429
132503317367180729,1977,2190,2594,1850,1842,1836,-407,11,-441
132503317367469872,1957,2196,2580,1852,1843,1835,-412,13,-432
132503317367564856,1984,2194,2560,1850,1843,1837,-401,10,-438
132503317367840721,1952,2186,2556,1851,1843,1836,-409,5,-440
132503317368176534,1963,2205,2570,1851,1841,1836,-406,4,-429
132503317368221606,1977,2204,2571,1850,1842,1836,-409,8,-434
132503317368306680,1958,2195,2599,1851,1843,1837,-406,6,-424
132503317368566875,1989,2191,2573,1852,1844,1837,-408,11,-438
132503317368672038,1948,2207,2587,1853,1845,1839,-414,14,-435
132503317368907135,1980,2182,2582,1850,1842,1836,-407,9,-430
132503317369159069,1982,2184,2567,1851,1843,1837,-412,9,-434
132503317369300916,1993,2187,2579,1852,1843,1841,-408,9,-434
132503317369474823,1987,2193,2575,1851,1843,1836,-408,12,-435
132503317369951306,1973,2198,2576,1850,1842,1837,-406,12,-432
132503317370259751,1964,2180,2583,1852,1844,1834,-406,15,-433
132503317370294537,1974,2195,2582,1852,1843,1837,-405,22,-429
132503317370348601,1985,2202,2571,1851,1842,1836,-403,11,-440
132503317370447761,1952,2185,2575,1851,1843,1837,-411,16,-429
132503317370686479,1981,2179,2587,1850,1843,1838,-407,13,-429
132503317370887247,1966,2185,2578,1852,1843,1837,-409,16,-438
132503317371014194,1966,2197,2569,1853,1844,1837,-404,7,-442
132503317371267097,1966,2195,2570,1851,1841,1836,-405,17,-440
132503317371498206,1968,2204,2581,1851,1843,1836,-409,13,-435
132503317371628181,1956,2190,2594,1852,1843,1837,-406,8,-439
132503317371879861,1959,2175,2581,1851,1842,1836,-408,16,-433
132503317372071458,1982,2182,2595,1851,1842,1836,-401,13,-444
132503317372256794,1960,2182,2569,1851,1843,1838,-412,11,-434
132503317372471449,1941,2159,2581,1851,1843,1837,-407,19,-432
132503317372596166,1953,2179,2583,1853,1844,1838,-402,10,-434
132503317372840258,1951,2190,2570,1850,1842,1836,-405,12,-433
132503317373080905,1968,2199,2600,1851,1842,1836,-412,10,-435
132503317373208610,1963,2192,2586,1852,1843,1838,-406,8,-437
132503317373455617,1980,2187,2583,1851,1842,1836,-411,18,-438
132503317373705555,1975,2199,2562,1852,1842,1837,-404,11,-435
132503317373936539,1970,2188,2569,1851,1842,1837,-409,17,-429
132503317373973389,1975,2174,2573,1851,1842,1837,-414,20,-438
132503317374272167,1976,2183,2596,1852,1843,1837,-409,8,-437
132503317374410120,1953,2181,2575,1851,1843,1837,-402,12,-439
132503317374545798,1965,2194,2588,1851,1843,1837,-402,14,-435
132503317375046237,1960,2187,2602,1852,1843,1838,-412,14,-442
132503317375071182,1948,2180,2590,1851,1842,1837,-410,14,-430
132503317375129734,1986,2187,2586,1851,1842,1838,-415,8,-428
132503317375421440,1957,2176,2578,1852,1843,1837,-408,4,-438
132503317375659687,1971,2208,2592,1852,1843,1835,-412,16,-432
132503317375870382,1964,2214,2586,1853,1844,1835,-412,11,-426
132503317376228944,1986,2171,2560,1851,1842,1837,-406,17,-434
