File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_3_100Hz_B4BF.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:17:03.178
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503230297549283,1923,2195,2637,1862,1824,1850,-414,56,-495
132503230297565935,1929,2196,2639,1863,1824,1853,-414,56,-495
132503230297584975,1938,2209,2620,1862,1822,1851,-414,56,-495
132503230297770305,1927,2180,2651,1862,1823,1851,-414,56,-495
132503230298020168,1943,2191,2637,1861,1823,1850,-414,56,-495
132503230298118033,1932,2183,2627,1862,1824,1851,-414,56,-495
132503230298220620,1928,2187,2660,1863,1824,1852,-414,56,-495
132503230298267472,1932,2186,2645,1862,1823,1851,-413,47,-491
132503230298312833,1927,2175,2627,1862,1823,1851,-413,47,-491
132503230298347383,1953,2207,2641,1862,1823,1851,-413,47,-491
132503230298495931,1940,2195,2632,1862,1823,1851,-413,47,-491
132503230298516687,1935,2194,2632,1863,1824,1852,-413,47,-491
132503230298540481,1946,2185,2643,1863,1824,1851,-413,47,-491
132503230298638420,1932,2203,2635,1861,1824,1850,-413,47,-491
132503230298663688,1934,2209,2630,1863,1825,1853,-408,46,-488
132503230298903683,1924,2192,2637,1863,1823,1852,-408,46,-488
132503230299043905,1953,2194,2649,1863,1824,1850,-408,46,-488
132503230299068378,1942,2183,2630,1862,1824,1852,-408,46,-488
132503230299161399,1926,2197,2622,1862,1822,1851,-408,46,-488
132503230299366341,1939,2188,2635,1862,1823,1850,-408,46,-488
132503230299402544,1935,2197,2650,1860,1823,1851,-408,46,-488
132503230299737169,1928,2188,2641,1861,1822,1851,-415,52,-486
132503230299963824,1927,2203,2639,1863,1825,1853,-415,52,-486
132503230299979184,1940,2212,2650,1862,1823,1851,-415,52,-486
132503230300064444,1928,2169,2635,1862,1823,1851,-415,52,-486
132503230300078624,1931,2178,2647,1862,1823,1851,-415,52,-486
132503230300099538,1940,2164,2635,1864,1824,1852,-415,52,-486
132503230300115833,1934,2169,2643,1863,1824,1852,-415,52,-486
132503230300317880,1934,2200,2620,1862,1824,1852,-411,56,-487
132503230300332146,1939,2221,2662,1862,1823,1850,-411,56,-487
132503230300345329,1935,2186,2607,1862,1822,1851,-411,56,-487
132503230300438605,1926,2207,2659,1863,1824,1852,-411,56,-487
132503230300942552,1936,2199,2633,1863,1823,1849,-411,56,-487
132503230301218061,1928,2180,2631,1863,1824,1852,-411,56,-487
132503230301242870,1949,2189,2611,1862,1823,1850,-411,56,-487
132503230301265483,1939,2189,2630,1862,1822,1851,-410,62,-487
132503230301373955,1935,2190,2633,1863,1823,1851,-410,62,-487
132503230301392766,1926,2205,2631,1862,1823,1851,-410,62,-487
132503230301418543,1936,2193,2628,1863,1824,1852,-410,62,-487
132503230301454509,1930,2195,2629,1861,1821,1850,-410,62,-487
132503230301510795,1923,2166,2642,1861,1822,1849,-410,62,-487
132503230301529593,1930,2180,2628,1862,1823,1850,-410,62,-487
132503230301561003,1935,2190,2635,1862,1822,1850,-412,55,-487
132503230301631606,1940,2187,2631,1863,1824,1851,-412,55,-487
132503230301654733,1937,2204,2634,1863,1824,1851,-412,55,-487
132503230301777663,1939,2186,2634,1862,1822,1849,-412,55,-487
132503230301816611,1948,2215,2639,1862,1823,1850,-412,55,-487
132503230301943800,1926,2193,2625,1863,1824,1851,-412,55,-487
132503230302198322,1915,2178,2657,1864,1823,1851,-412,55,-487
132503230302220101,1932,2197,2634,1863,1824,1851,-411,56,-488
132503230302268219,1934,2193,2660,1863,1823,1850,-411,56,-488
132503230302364965,1944,2196,2643,1862,1822,1850,-411,56,-488
132503230302390814,1944,2189,2640,1862,1823,1850,-411,56,-488
132503230302454746,1945,2207,2640,1862,1822,1849,-411,56,-488
132503230302629006,1925,2186,2642,1863,1824,1851,-411,56,-488
132503230302781196,1917,2186,2653,1862,1823,1851,-411,56,-488
132503230302888542,1934,2201,2634,1862,1822,1850,-414,52,-492
132503230302936699,1924,2184,2623,1862,1823,1849,-414,52,-492
132503230302963202,1942,2173,2657,1861,1823,1850,-414,52,-492
132503230303121926,1938,2181,2646,1864,1824,1851,-414,52,-492
132503230303282817,1939,2196,2643,1862,1824,1850,-414,52,-492
132503230303369854,1914,2203,2639,1862,1823,1850,-414,52,-492
132503230303394519,1932,2175,2654,1862,1823,1850,-414,52,-492
132503230303470845,1926,2182,2644,1864,1823,1850,-415,56,-486
132503230303556195,1939,2203,2652,1863,1822,1850,-415,56,-486
132503230303808205,1927,2195,2650,1863,1824,1850,-415,56,-486
132503230304056939,1939,2196,2643,1862,1823,1849,-415,56,-486
132503230304612513,1932,2215,2636,1862,1823,1849,-415,56,-486
132503230304919826,1944,2184,2628,1863,1823,1850,-415,56,-486
132503230305155119,1919,2190,2635,1862,1823,1850,-415,56,-486
132503230305456466,1944,2195,2645,1863,1823,1849,-416,52,-489
132503230305504301,1931,2184,2614,1861,1822,1848,-416,52,-489
132503230305587568,1926,2178,2644,1863,1822,1848,-416,52,-489
132503230305696317,1934,2199,2644,1862,1823,1849,-416,52,-489
132503230305736284,1933,2195,2645,1862,1824,1849,-416,52,-489
132503230305828044,1935,2207,2628,1863,1824,1849,-416,52,-489
132503230305890829,1936,2199,2666,1863,1825,1851,-416,52,-489
132503230306135937,1923,2190,2632,1862,1822,1848,-408,54,-481
132503230306153524,1926,2185,2637,1861,1823,1849,-408,54,-481
132503230306401978,1928,2205,2634,1863,1824,1849,-408,54,-481
132503230306454547,1920,2176,2639,1862,1823,1849,-408,54,-481
132503230306500815,1940,2205,2633,1862,1823,1850,-408,54,-481
132503230306565186,1927,2191,2637,1862,1823,1849,-408,54,-481
132503230306580476,1928,2185,2653,1863,1824,1849,-408,54,-481
132503230306613339,1958,2198,2634,1863,1823,1849,-409,54,-482
132503230306747368,1928,2186,2642,1863,1822,1848,-409,54,-482
132503230306792367,1933,2179,2647,1863,1823,1850,-409,54,-482
132503230306817796,1925,2189,2636,1861,1822,1848,-409,54,-482
132503230306859122,1943,2184,2620,1862,1823,1848,-409,54,-482
132503230306877201,1945,2216,2628,1863,1822,1849,-409,54,-482
132503230306929983,1930,2201,2657,1864,1824,1851,-409,54,-482
132503230306995668,1939,2198,2640,1863,1824,1850,-409,54,-482
132503230307023890,1938,2188,2631,1862,1823,1849,-409,54,-482
132503230307047718,1934,2194,2629,1862,1823,1849,-409,54,-482
132503230307238289,1940,2195,2644,1862,1823,1848,-409,54,-482
132503230307262585,1934,2196,2629,1862,1824,1849,-409,54,-482
132503230307305743,1939,2192,2657,1863,1824,1849,-409,54,-482
132503230307493652,1929,2178,2650,1863,1823,1850,-410,54,-488
132503230307537527,1927,2209,2631,1862,1823,1848,-410,54,-488
132503230307586107,1944,2192,2653,1862,1823,1849,-410,54,-488
132503230307711294,1924,2198,2639,1863,1824,1849,-410,54,-488
132503230307734029,1920,2197,2653,1861,1822,1848,-410,54,-488
132503230307779571,1927,2190,2632,1863,1824,1849,-410,54,-488
132503230308063453,1909,2197,2643,1863,1823,1849,-410,54,-488
132503230308089984,1936,2190,2627,1862,1823,1849,-423,55,-487
132503230308115016,1943,2178,2648,1862,1823,1848,-423,55,-487
132503230308563996,1935,2188,2627,1861,1823,1849,-423,55,-487
132503230308590552,1930,2191,2636,1863,1823,1850,-423,55,-487
132503230308830000,1936,2188,2649,1863,1823,1849,-423,55,-487
132503230308966015,1933,2183,2647,1862,1823,1848,-423,55,-487
132503230308992418,1931,2191,2637,1862,1823,1848,-423,55,-487
132503230309016535,1932,2186,2643,1862,1824,1849,-416,54,-490
132503230309063986,1915,2193,2623,1863,1824,1848,-416,54,-490
132503230309089593,1954,2196,2633,1862,1823,1849,-416,54,-490
132503230309174638,1940,2180,2625,1862,1822,1847,-416,54,-490
132503230309287962,1923,2205,2651,1862,1823,1849,-416,54,-490
132503230309304562,1944,2184,2631,1862,1822,1848,-416,54,-490
132503230309342267,1927,2179,2635,1862,1823,1848,-416,54,-490
132503230309545795,1936,2175,2642,1863,1825,1850,-418,54,-495
132503230309608929,1939,2197,2639,1862,1822,1847,-418,54,-495
