File version	
File path	C:\Users\abetetsuya\Desktop\Data\WoodPlate_20201202_2_A833.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	12/02/2020 - 16:10:08.622
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132513666152403833,1693,2141,2544,1781,1771,1834,10,-480,-475
132513666152822662,1680,2160,2533,1780,1770,1835,10,-480,-475
132513666153092623,1671,2174,2545,1776,1768,1836,10,-480,-475
132513666153677973,1660,2161,2552,1775,1769,1840,4,-485,-473
132513666154170369,1681,2160,2561,1777,1770,1842,4,-485,-473
132513666154485598,1682,2143,2541,1778,1767,1841,4,-485,-473
132513666154972061,1686,2137,2541,1776,1766,1842,4,-485,-473
132513666155455857,1695,2183,2533,1775,1765,1842,7,-485,-465
132513666155738548,1712,2154,2532,1778,1766,1843,7,-485,-465
132513666156211356,1705,2162,2541,1783,1769,1844,7,-485,-465
132513666156491694,1688,2137,2526,1783,1770,1841,8,-487,-473
132513666156763513,1674,2140,2514,1784,1769,1840,8,-487,-473
132513666157295601,1675,2139,2552,1783,1768,1839,8,-487,-473
132513666157546623,1699,2160,2556,1785,1766,1841,8,-487,-473
132513666157837600,1660,2173,2524,1784,1766,1843,8,-487,-474
132513666158382663,1689,2135,2531,1776,1766,1843,8,-487,-474
132513666158657010,1684,2130,2513,1774,1769,1842,8,-487,-474
132513666158904857,1656,2154,2546,1778,1772,1843,-4,-486,-476
132513666159419926,1666,2135,2515,1782,1775,1846,-4,-486,-476
132513666159670040,1695,2142,2531,1780,1775,1845,-4,-486,-476
132513666159973146,1689,2148,2507,1778,1775,1847,-4,-486,-476
132513666160469406,1698,2142,2537,1776,1775,1846,4,-483,-474
132513666160786440,1689,2152,2530,1777,1771,1847,4,-483,-474
132513666160811500,1713,2159,2532,1775,1772,1846,4,-483,-474
132513666161044360,1722,2124,2535,1773,1772,1847,-1,-482,-474
132513666161368982,1687,2146,2547,1771,1774,1850,-1,-482,-474
132513666161404258,1704,2145,2532,1766,1773,1849,-1,-482,-474
132513666161864497,1704,2142,2544,1765,1773,1848,-1,-482,-474
132513666161900778,1721,2141,2542,1769,1773,1848,0,-488,-473
132513666162121270,1728,2138,2538,1779,1770,1845,0,-488,-473
132513666162365667,1736,2147,2536,1786,1768,1843,0,-488,-473
132513666162605132,1732,2121,2544,1788,1764,1838,-2,-483,-477
132513666162624206,1715,2143,2513,1790,1761,1834,-2,-483,-477
132513666162880178,1701,2157,2526,1795,1763,1835,-2,-483,-477
132513666162905275,1690,2163,2522,1796,1763,1837,-2,-483,-477
132513666163130963,1662,2158,2529,1798,1767,1841,-2,-491,-486
132513666163402488,1679,2141,2523,1798,1771,1846,-2,-491,-486
132513666163656853,1654,2178,2515,1793,1775,1849,-2,-491,-486
132513666163695188,1661,2163,2535,1786,1779,1855,-1,-479,-477
132513666164169431,1672,2149,2555,1781,1781,1860,-1,-479,-477
132513666164465154,1679,2123,2541,1777,1781,1860,-1,-479,-477
132513666164719416,1668,2124,2546,1774,1781,1859,-1,-479,-477
132513666164944592,1696,2147,2538,1767,1779,1854,4,-477,-472
132513666164970058,1711,2140,2519,1765,1776,1852,4,-477,-472
132513666165243213,1722,2133,2535,1768,1773,1849,4,-477,-472
132513666165520949,1699,2155,2517,1777,1771,1843,-1,-486,-473
132513666165553975,1688,2134,2535,1784,1769,1843,-1,-486,-473
132513666165790973,1692,2149,2533,1787,1767,1843,-1,-486,-473
132513666166018803,1704,2148,2536,1787,1768,1844,-1,-486,-473
132513666166034132,1682,2127,2522,1786,1770,1848,1,-491,-472
132513666166293066,1685,2136,2537,1782,1770,1849,1,-491,-472
132513666166329323,1667,2152,2525,1778,1772,1849,1,-491,-472
132513666166532279,1695,2151,2518,1775,1772,1849,-2,-482,-484
132513666166794531,1686,2124,2536,1776,1774,1851,-2,-482,-484
132513666167319830,1665,2119,2543,1780,1774,1850,-2,-482,-484
132513666167566926,1682,2141,2515,1779,1774,1847,-2,-482,-484
132513666167817392,1680,2144,2531,1777,1772,1848,1,-482,-472
132513666167859029,1685,2140,2529,1774,1774,1851,1,-482,-472
132513666168064175,1696,2139,2526,1768,1773,1849,1,-482,-472
132513666168323207,1691,2124,2534,1766,1772,1847,-4,-475,-476
132513666168564266,1708,2128,2533,1767,1771,1845,-4,-475,-476
132513666168598082,1724,2131,2555,1769,1769,1845,-4,-475,-476
132513666168811517,1723,2146,2535,1774,1770,1843,-4,-475,-476
132513666169073526,1726,2146,2527,1777,1768,1845,-13,-478,-486
132513666169333587,1699,2140,2542,1784,1769,1846,-13,-478,-486
132513666169371107,1707,2129,2534,1789,1770,1847,-13,-478,-486
132513666169585419,1693,2140,2522,1788,1771,1845,-8,-484,-482
132513666169838568,1679,2143,2513,1782,1772,1846,-8,-484,-482
132513666170081596,1703,2155,2527,1775,1774,1848,-8,-484,-482
132513666170112340,1653,2124,2544,1772,1775,1851,-8,-484,-482
132513666170356507,1685,2133,2532,1773,1774,1848,-6,-480,-480
132513666170596703,1699,2144,2540,1774,1774,1849,-6,-480,-480
132513666170635033,1681,2149,2558,1779,1776,1852,-6,-480,-480
132513666171089524,1701,2126,2546,1781,1778,1851,-1,-488,-475
132513666171127357,1701,2127,2535,1779,1775,1848,-1,-488,-475
132513666171353007,1690,2142,2533,1774,1774,1847,-1,-488,-475
132513666171597945,1715,2133,2540,1770,1773,1848,-1,-488,-475
132513666171636076,1706,2118,2550,1769,1772,1848,2,-483,-485
132513666171852862,1728,2137,2534,1771,1770,1847,2,-483,-485
132513666171886760,1719,2122,2528,1772,1768,1844,2,-483,-485
132513666172100222,1732,2133,2548,1777,1768,1846,-4,-482,-483
132513666172137128,1723,2145,2534,1782,1768,1849,-4,-482,-483
132513666172619237,1700,2145,2544,1784,1769,1849,-4,-482,-483
132513666172653556,1709,2138,2524,1786,1771,1849,-4,-482,-483
132513666172872120,1708,2135,2533,1783,1772,1849,-7,-485,-477
132513666173114162,1711,2158,2516,1782,1776,1855,-7,-485,-477
132513666173396775,1698,2149,2543,1783,1780,1859,-7,-485,-477
132513666173422203,1690,2119,2544,1784,1781,1856,-10,-483,-480
132513666173688570,1694,2129,2544,1787,1781,1852,-10,-483,-480
132513666173931610,1723,2136,2540,1788,1780,1850,-10,-483,-480
132513666173969416,1698,2121,2509,1785,1776,1847,-10,-483,-480
132513666174186293,1697,2133,2543,1785,1771,1846,3,-488,-470
132513666174442420,1695,2127,2537,1787,1768,1845,3,-488,-470
132513666174693193,1676,2123,2483,1790,1766,1841,3,-488,-470
132513666174921687,1697,2141,2524,1791,1766,1843,-5,-484,-472
132513666175166967,1695,2129,2517,1787,1765,1843,-5,-484,-472
132513666175187925,1684,2120,2539,1783,1767,1845,-5,-484,-472
132513666175449805,1683,2130,2551,1783,1770,1851,-5,-484,-472
132513666175693144,1695,2145,2540,1784,1774,1852,9,-489,-472
132513666175722192,1693,2135,2533,1781,1777,1850,9,-489,-472
132513666175950145,1711,2135,2491,1778,1781,1851,9,-489,-472
132513666176213886,1705,2134,2520,1773,1781,1852,3,-480,-470
132513666176464040,1713,2145,2542,1774,1780,1854,3,-480,-470
132513666176706242,1704,2157,2550,1777,1779,1853,3,-480,-470
132513666176735606,1703,2141,2559,1783,1780,1851,3,-480,-470
132513666176970238,1698,2127,2541,1786,1779,1850,2,-478,-473
132513666177224695,1685,2161,2541,1783,1774,1848,2,-478,-473
132513666177246162,1683,2148,2529,1783,1771,1847,2,-478,-473
132513666177471941,1676,2124,2524,1781,1768,1846,-1,-483,-473
132513666177705489,1664,2136,2527,1779,1766,1841,-1,-483,-473
