File version	
File path	C:\Users\Takuya\Desktop\Data\Elbow_20201222_A833.csv
Subject's name	Default
Subject's age	23
Subject's height	178
Subject's weight	60
Time start	12/22/2020 - 17:06:35.231
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132530980019267982,1782,1223,1683,1779,1770,1848,-60,150,-481
132530980019277904,1792,1220,1692,1780,1771,1848,-60,150,-481
132530980019283221,1781,1205,1682,1782,1771,1848,-60,150,-481
132530980019290024,1778,1217,1694,1783,1772,1850,-60,150,-481
132530980019296394,1761,1208,1704,1781,1771,1849,-60,150,-481
132530980019303624,1771,1206,1682,1778,1773,1849,-60,150,-481
132530980019315115,1801,1213,1675,1778,1772,1850,-60,150,-481
132530980019480945,1793,1211,1707,1780,1773,1851,-56,145,-481
132530980019486208,1823,1229,1668,1781,1774,1851,-56,145,-481
132530980019712872,1772,1218,1694,1782,1772,1850,-56,145,-481
132530980019764482,1772,1206,1668,1779,1772,1848,-56,145,-481
132530980019771029,1784,1223,1676,1777,1771,1848,-56,145,-481
132530980020015008,1778,1219,1694,1777,1772,1849,-56,145,-481
132530980020021638,1779,1213,1702,1775,1771,1849,-56,145,-481
132530980020166091,1793,1207,1683,1776,1773,1850,-57,154,-484
132530980020204305,1784,1219,1695,1779,1773,1847,-57,154,-484
132530980020488522,1781,1210,1655,1781,1771,1848,-57,154,-484
132530980020495731,1773,1220,1672,1784,1774,1849,-57,154,-484
132530980020521088,1780,1209,1663,1783,1774,1849,-57,154,-484
132530980020691272,1781,1229,1652,1782,1774,1848,-57,154,-484
132530980020697750,1772,1217,1683,1778,1773,1847,-57,154,-484
132530980020880941,1792,1219,1683,1777,1772,1846,-58,151,-481
132530980020887646,1779,1199,1691,1777,1772,1845,-58,151,-481
