File version	
File path	C:\Users\Takuya\Desktop\Data\Elbow_20201222_B532.csv
Subject's name	Default
Subject's age	23
Subject's height	178
Subject's weight	60
Time start	12/22/2020 - 17:06:35.303
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132530980019394574,1035,2322,1868,1727,1665,1850,54,-220,-209
132530980019407328,1040,2310,1856,1725,1665,1850,54,-220,-209
132530980019412603,1014,2307,1883,1726,1665,1849,54,-220,-209
132530980019420243,1042,2311,1875,1725,1665,1849,54,-220,-209
132530980019468090,1030,2313,1902,1725,1665,1847,54,-220,-209
132530980019542222,988,2280,1891,1725,1667,1848,54,-220,-209
132530980019593389,1045,2322,1891,1726,1668,1848,54,-220,-209
132530980019608201,1037,2297,1883,1727,1669,1849,56,-230,-198
132530980019620771,1026,2295,1879,1726,1667,1849,56,-230,-198
132530980020194356,1044,2333,1858,1726,1665,1849,56,-230,-198
132530980020201142,1037,2303,1883,1728,1667,1851,56,-230,-198
132530980020232336,1026,2327,1880,1726,1664,1852,56,-230,-198
132530980020269159,1026,2313,1899,1724,1661,1849,56,-230,-198
132530980020278401,1039,2315,1877,1727,1661,1849,56,-230,-198
132530980020307945,1011,2311,1871,1726,1657,1847,53,-233,-193
132530980020318949,1021,2312,1870,1726,1659,1847,53,-233,-193
132530980020324951,1019,2311,1873,1724,1662,1847,53,-233,-193
132530980020620532,1029,2287,1871,1724,1668,1848,53,-233,-193
132530980020656181,1012,2313,1875,1725,1671,1848,53,-233,-193
132530980020790942,1038,2309,1890,1723,1671,1847,53,-233,-193
132530980020804628,1037,2330,1880,1723,1669,1846,53,-233,-193
132530980021081562,1015,2339,1868,1725,1667,1848,58,-235,-198
132530980021113912,1029,2323,1868,1725,1661,1846,58,-235,-198
132530980021120406,1032,2338,1866,1726,1659,1844,58,-235,-198
132530980021442160,1030,2301,1899,1727,1657,1846,58,-235,-198
132530980021477690,1031,2317,1886,1725,1657,1845,58,-235,-198
132530980021486904,1037,2281,1876,1727,1664,1848,58,-235,-198
132530980021555293,1046,2312,1872,1725,1665,1846,58,-235,-198
132530980021568202,1028,2306,1878,1723,1665,1844,59,-229,-202
132530980021852360,1031,2303,1870,1725,1667,1846,59,-229,-202
132530980021878692,1032,2316,1887,1726,1667,1847,59,-229,-202
132530980021901567,1050,2312,1870,1724,1665,1844,59,-229,-202
132530980021908678,1037,2311,1876,1723,1664,1844,59,-229,-202
132530980021970748,1017,2306,1867,1723,1663,1845,59,-229,-202
132530980022244683,1027,2299,1867,1725,1666,1847,59,-229,-202
132530980022282707,1042,2318,1882,1723,1666,1847,58,-231,-200
132530980022605354,1020,2321,1875,1723,1665,1847,58,-231,-200
132530980022613572,1038,2347,1871,1724,1660,1847,58,-231,-200
132530980022620263,1028,2342,1886,1726,1659,1847,58,-231,-200
132530980022906877,1037,2325,1873,1729,1658,1843,58,-231,-200
132530980022916661,1024,2301,1884,1729,1656,1847,58,-231,-200
132530980022923818,1036,2295,1886,1729,1657,1848,58,-231,-200
132530980022952094,1012,2282,1872,1725,1661,1847,66,-238,-201
132530980022957952,1007,2299,1855,1723,1667,1848,66,-238,-201
132530980023313838,1033,2295,1895,1720,1672,1849,66,-238,-201
132530980023327383,1039,2301,1886,1725,1674,1851,66,-238,-201
132530980023340176,1015,2326,1873,1723,1671,1850,66,-238,-201
132530980023346581,1035,2327,1891,1724,1666,1848,66,-238,-201
132530980023890871,1034,2324,1875,1726,1663,1848,66,-238,-201
132530980023896946,1032,2323,1874,1727,1660,1849,47,-228,-205
132530980023920169,1024,2291,1876,1726,1659,1850,47,-228,-205
132530980023926114,1030,2279,1898,1725,1660,1848,47,-228,-205
132530980023932172,1013,2284,1887,1724,1663,1849,47,-228,-205
132530980024233199,1026,2286,1876,1723,1669,1849,47,-228,-205
132530980024288619,1043,2302,1881,1722,1671,1851,47,-228,-205
132530980024295320,1028,2327,1873,1722,1672,1851,47,-228,-205
132530980024320414,1017,2322,1883,1722,1671,1850,55,-220,-203
132530980024626445,1022,2353,1888,1722,1667,1849,55,-220,-203
132530980024633285,1025,2325,1887,1723,1665,1849,55,-220,-203
132530980024672246,1028,2311,1878,1723,1662,1850,55,-220,-203
132530980024677803,1031,2302,1876,1722,1662,1849,55,-220,-203
132530980024694316,1020,2307,1871,1724,1664,1850,55,-220,-203
132530980024994206,1031,2294,1887,1725,1667,1852,55,-220,-203
132530980025031270,1044,2312,1866,1722,1668,1849,57,-228,-200
132530980025133120,1028,2330,1875,1721,1671,1850,57,-228,-200
132530980025159230,1048,2335,1860,1721,1671,1851,57,-228,-200
132530980025310384,1046,2326,1878,1722,1670,1852,57,-228,-200
132530980025416678,1038,2309,1870,1723,1666,1851,57,-228,-200
132530980025704367,1043,2346,1884,1720,1661,1851,57,-228,-200
132530980025711301,1031,2326,1877,1725,1660,1850,57,-228,-200
132530980025781017,1042,2321,1871,1724,1657,1846,55,-228,-199
132530980025790785,1014,2307,1877,1727,1656,1848,55,-228,-199
132530980025855542,1032,2301,1870,1724,1659,1849,55,-228,-199
132530980026356649,1032,2292,1865,1724,1663,1852,55,-228,-199
132530980026389694,1045,2284,1874,1723,1668,1852,55,-228,-199
132530980026398587,1049,2300,1886,1719,1670,1849,55,-228,-199
132530980026456183,1032,2327,1868,1721,1674,1848,55,-228,-199
132530980026466058,1026,2322,1891,1723,1672,1850,53,-229,-193
132530980026478403,1045,2338,1861,1723,1668,1847,53,-229,-193
132530980026567069,1040,2327,1875,1723,1664,1847,53,-229,-193
132530980027116786,1035,2332,1862,1725,1663,1848,53,-229,-193
132530980027148948,1039,2329,1885,1726,1660,1846,53,-229,-193
132530980027154526,1034,2292,1890,1727,1663,1848,53,-229,-193
132530980027252934,1027,2294,1888,1726,1662,1848,53,-229,-193
132530980027258981,1025,2307,1875,1725,1662,1847,60,-223,-201
132530980027279560,991,2319,1866,1725,1663,1847,60,-223,-201
132530980027306654,1030,2295,1875,1726,1663,1847,60,-223,-201
