File version	
File path	C:\Users\abetetsuya\Desktop\Data\Motion_360_100Hz_A833.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:51:47.172
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503251137830005,1846,2167,2553,1780,1772,1848,133,50,-609
132503251138078873,1855,2165,2563,1779,1772,1848,133,50,-609
132503251138318112,1832,2159,2546,1780,1773,1849,133,50,-609
132503251138619887,1849,2173,2555,1781,1773,1850,133,50,-609
132503251138865756,1857,2183,2548,1779,1773,1848,133,50,-609
132503251139109328,1833,2169,2542,1780,1772,1848,133,50,-609
132503251139385356,1853,2164,2547,1779,1772,1848,133,50,-609
132503251139621449,1841,2151,2563,1780,1774,1850,134,56,-620
132503251139862456,1850,2174,2551,1781,1774,1849,134,56,-620
132503251140124456,1847,2183,2550,1781,1773,1849,134,56,-620
132503251140357994,1866,2175,2557,1781,1775,1850,134,56,-620
132503251140387492,1843,2168,2545,1779,1772,1848,134,56,-620
132503251140871566,1865,2166,2537,1780,1773,1848,134,56,-620
132503251141104591,1873,2178,2535,1779,1772,1849,134,56,-620
132503251141355314,1854,2167,2561,1780,1774,1850,135,49,-611
132503251141612148,1854,2169,2544,1779,1772,1848,135,49,-611
132503251141856827,1840,2174,2545,1779,1772,1848,135,49,-611
132503251141888293,1848,2169,2526,1780,1773,1848,135,49,-611
132503251142374708,1852,2183,2570,1780,1773,1849,135,49,-611
132503251142615388,1855,2163,2542,1780,1774,1849,135,49,-611
132503251142857600,1834,2186,2551,1779,1772,1848,135,49,-611
132503251143135553,1842,2171,2567,1780,1771,1848,123,51,-624
132503251143176297,1866,2173,2545,1780,1773,1848,123,51,-624
132503251143393976,1851,2163,2554,1781,1773,1849,123,51,-624
132503251143879301,1864,2174,2546,1781,1774,1849,123,51,-624
132503251143919559,1856,2169,2541,1780,1774,1849,123,51,-624
132503251144111713,1863,2177,2531,1780,1773,1849,123,51,-624
132503251144151889,1874,2165,2558,1780,1773,1849,123,51,-624
132503251144190243,1860,2150,2527,1781,1773,1850,135,48,-624
132503251144380304,1857,2166,2539,1779,1772,1848,135,48,-624
132503251144614541,1858,2166,2541,1781,1774,1849,135,48,-624
132503251144644789,1848,2192,2553,1779,1772,1848,135,48,-624
132503251144675223,1843,2168,2541,1779,1772,1848,135,48,-624
132503251144855026,1850,2166,2549,1779,1772,1848,135,48,-624
132503251144884671,1862,2188,2546,1779,1772,1848,135,48,-624
132503251144913661,1856,2168,2537,1781,1774,1849,136,58,-614
132503251145111741,1848,2156,2535,1779,1774,1849,136,58,-614
132503251145134082,1861,2167,2531,1780,1772,1849,136,58,-614
132503251145156755,1839,2172,2549,1779,1772,1849,136,58,-614
132503251145366764,1848,2165,2559,1780,1773,1849,136,58,-614
132503251145384329,1834,2191,2549,1780,1774,1848,136,58,-614
132503251145618689,1846,2171,2534,1781,1773,1849,136,58,-614
132503251145638332,1843,2170,2559,1779,1772,1848,126,53,-617
132503251145656676,1851,2184,2543,1779,1772,1849,126,53,-617
132503251145909349,1852,2168,2531,1778,1773,1848,126,53,-617
132503251145928086,1848,2171,2559,1779,1772,1848,126,53,-617
132503251145934719,1849,2175,2559,1780,1774,1850,126,53,-617
132503251146158370,1865,2161,2550,1780,1772,1850,126,53,-617
132503251146383335,1833,2171,2540,1779,1772,1848,126,53,-617
132503251146419133,1841,2174,2559,1779,1772,1848,135,48,-619
132503251146459613,1840,2159,2566,1779,1772,1848,135,48,-619
132503251146496832,1857,2180,2538,1781,1774,1850,135,48,-619
132503251146667685,1864,2163,2549,1779,1773,1848,135,48,-619
132503251146707833,1844,2184,2544,1780,1772,1848,135,48,-619
132503251146882334,1826,2160,2549,1779,1772,1849,135,48,-619
132503251146923743,1850,2183,2549,1781,1773,1849,135,48,-619
132503251146960358,1845,2171,2564,1780,1773,1848,135,48,-626
132503251147167572,1841,2173,2549,1780,1773,1849,135,48,-626
132503251147208324,1842,2167,2564,1779,1772,1848,135,48,-626
132503251147417278,1849,2187,2549,1782,1774,1850,135,48,-626
132503251147457048,1861,2183,2562,1777,1773,1849,135,48,-626
132503251147493159,1860,2174,2533,1779,1772,1848,135,48,-626
132503251147669667,1848,2176,2558,1781,1774,1850,135,48,-626
132503251147712211,1851,2161,2533,1779,1772,1849,127,48,-623
132503251147749304,1851,2181,2549,1779,1772,1848,127,48,-623
132503251147925797,1859,2173,2565,1780,1772,1849,127,48,-623
132503251147962261,1866,2182,2565,1779,1772,1848,127,48,-623
132503251148667341,1862,2164,2565,1780,1773,1849,127,48,-623
132503251148698018,1855,2166,2554,1779,1772,1849,127,48,-623
132503251148730785,1818,2161,2537,1779,1772,1848,127,48,-623
132503251148909592,1883,2188,2549,1779,1772,1849,126,49,-616
132503251149151099,1875,2165,2539,1780,1773,1850,126,49,-616
132503251149180921,1854,2179,2538,1781,1774,1850,126,49,-616
132503251149211426,1847,2171,2563,1782,1773,1849,126,49,-616
132503251149395864,1868,2153,2558,1779,1772,1849,126,49,-616
132503251149425296,1847,2163,2556,1779,1772,1848,126,49,-616
132503251149663221,1843,2169,2528,1778,1773,1848,126,49,-616
132503251149692346,1823,2185,2577,1779,1772,1848,131,49,-614
132503251149723328,1847,2178,2566,1780,1774,1850,131,49,-614
132503251149920171,1846,2164,2557,1780,1772,1848,131,49,-614
132503251149956120,1852,2171,2548,1779,1772,1848,131,49,-614
132503251149991333,1850,2158,2555,1779,1772,1848,131,49,-614
132503251150162580,1844,2167,2558,1780,1773,1849,131,49,-614
132503251150198053,1870,2171,2554,1781,1774,1850,131,49,-614
132503251150397127,1856,2167,2558,1780,1772,1849,127,51,-621
132503251150436738,1851,2178,2539,1780,1772,1848,127,51,-621
132503251150477957,1846,2165,2551,1779,1772,1848,127,51,-621
132503251150514545,1842,2162,2531,1780,1773,1849,127,51,-621
132503251150665184,1846,2178,2544,1781,1773,1850,127,51,-621
132503251150897972,1867,2173,2545,1781,1773,1849,127,51,-621
132503251150939142,1852,2174,2547,1781,1774,1850,127,51,-621
132503251150978744,1862,2166,2552,1780,1772,1848,122,50,-625
132503251151015468,1859,2158,2559,1780,1772,1848,122,50,-625
132503251151180955,1854,2168,2552,1780,1772,1848,122,50,-625
132503251151220630,1838,2174,2559,1781,1773,1849,122,50,-625
132503251151396996,1856,2164,2541,1779,1772,1848,122,50,-625
132503251151435411,1848,2168,2556,1779,1772,1848,122,50,-625
132503251151659704,1853,2168,2559,1780,1773,1848,122,50,-625
132503251151697232,1850,2159,2549,1780,1773,1849,129,48,-616
132503251151739555,1848,2166,2551,1781,1773,1850,129,48,-616
132503251151921040,1854,2172,2541,1780,1773,1848,129,48,-616
132503251151962092,1844,2169,2557,1779,1773,1848,129,48,-616
132503251151998524,1856,2168,2542,1779,1772,1848,129,48,-616
132503251152196896,1858,2166,2560,1781,1774,1849,129,48,-616
132503251152235168,1842,2171,2550,1781,1773,1850,129,48,-616
132503251152266952,1834,2162,2555,1779,1773,1849,120,49,-618
132503251152430349,1849,2168,2548,1779,1773,1848,120,49,-618
132503251152461782,1848,2170,2532,1779,1772,1848,120,49,-618
132503251152680531,1853,2165,2556,1779,1772,1848,120,49,-618
132503251152713176,1856,2178,2540,1779,1772,1849,120,49,-618
132503251152746451,1856,2177,2561,1780,1774,1850,120,49,-618
132503251153666778,1853,2157,2555,1779,1772,1848,120,49,-618
132503251153688116,1858,2182,2542,1779,1771,1848,125,49,-613
132503251153703024,1843,2155,2545,1780,1772,1848,125,49,-613
132503251153919637,1862,2176,2552,1780,1772,1848,125,49,-613
132503251153939796,1864,2174,2552,1781,1773,1849,125,49,-613
132503251153960405,1839,2175,2562,1780,1772,1848,125,49,-613
132503251153968383,1841,2176,2543,1779,1773,1849,125,49,-613
132503251153975332,1853,2171,2547,1779,1772,1848,125,49,-613
132503251153981706,1848,2143,2530,1781,1774,1849,122,46,-616
132503251154181905,1847,2189,2552,1781,1773,1851,122,46,-616
132503251154210674,1847,2172,2547,1779,1772,1849,122,46,-616
132503251154220397,1862,2173,2549,1779,1772,1848,122,46,-616
132503251154227397,1856,2160,2559,1779,1772,1848,122,46,-616
132503251154447416,1847,2159,2541,1780,1770,1848,122,46,-616
132503251154472655,1854,2163,2555,1778,1772,1848,122,46,-616
132503251154700104,1840,2177,2542,1780,1774,1850,122,46,-617
132503251154737044,1851,2168,2554,1780,1772,1848,122,46,-617
132503251154772661,1845,2185,2543,1780,1771,1848,122,46,-617
132503251154955392,1861,2172,2550,1779,1772,1848,122,46,-617
132503251154993237,1842,2184,2538,1780,1771,1848,122,46,-617
132503251155194543,1845,2176,2542,1781,1773,1850,122,46,-617
132503251155230638,1847,2159,2567,1780,1772,1848,122,46,-617
132503251155418889,1847,2181,2550,1779,1772,1848,128,47,-618
132503251155452828,1832,2171,2543,1780,1772,1848,128,47,-618
132503251155489969,1834,2173,2567,1779,1773,1849,128,47,-618
132503251155520013,1863,2165,2541,1781,1773,1850,128,47,-618
132503251155701863,1845,2169,2545,1779,1773,1849,128,47,-618
132503251155929996,1850,2172,2537,1779,1772,1849,128,47,-618
132503251155967884,1868,2171,2550,1779,1772,1848,128,47,-618
132503251156005915,1844,2181,2531,1780,1772,1849,134,46,-620
132503251156180050,1853,2170,2555,1778,1773,1849,134,46,-620
132503251156217922,1857,2167,2531,1781,1774,1850,134,46,-620
132503251156461642,1853,2185,2534,1779,1772,1848,134,46,-620
132503251156498175,1858,2186,2548,1779,1772,1848,134,46,-620
132503251156527311,1846,2164,2562,1779,1772,1848,134,46,-620
132503251156952383,1842,2157,2535,1779,1772,1848,134,46,-620
132503251156988076,1860,2171,2547,1781,1773,1849,128,40,-620
132503251157025342,1847,2175,2550,1779,1772,1848,128,40,-620
132503251157188507,1857,2155,2550,1779,1773,1848,128,40,-620
132503251157223134,1866,2174,2577,1779,1772,1848,128,40,-620
132503251157251113,1843,2174,2539,1779,1774,1850,128,40,-620
132503251157458562,1863,2164,2559,1781,1773,1849,128,40,-620
132503251157491930,1863,2164,2560,1779,1774,1849,128,40,-620
132503251157520219,1843,2164,2552,1779,1772,1848,137,56,-617
132503251157717889,1836,2155,2550,1779,1772,1848,137,56,-617
132503251157941019,1848,2180,2557,1780,1773,1849,137,56,-617
132503251157969695,1865,2183,2554,1780,1773,1848,137,56,-617
132503251158002147,1841,2186,2545,1780,1773,1850,137,56,-617
132503251158330491,1850,2159,2557,1780,1773,1848,137,56,-617
132503251158359258,1847,2174,2551,1779,1773,1849,137,56,-617
132503251158591370,1861,2176,2542,1780,1772,1848,128,52,-609
132503251158614037,1864,2177,2563,1779,1772,1848,128,52,-609
132503251158635160,1851,2169,2532,1780,1774,1850,128,52,-609
132503251158688760,1850,2181,2572,1779,1772,1849,128,52,-609
132503251158704764,1837,2184,2542,1779,1773,1849,128,52,-609
132503251158721108,1868,2173,2537,1779,1772,1848,128,52,-609
132503251158840051,1861,2177,2554,1780,1773,1849,128,52,-609
132503251158860177,1840,2168,2542,1781,1774,1850,128,49,-616
132503251158882269,1857,2168,2528,1779,1773,1849,128,49,-616
132503251158914083,1861,2170,2550,1780,1772,1848,128,49,-616
132503251158938633,1841,2179,2539,1780,1772,1848,128,49,-616
132503251158947817,1863,2181,2539,1780,1772,1847,128,49,-616
132503251159369472,1846,2174,2564,1780,1771,1848,128,49,-616
132503251159406776,1842,2186,2551,1780,1773,1849,128,49,-616
132503251159441374,1843,2170,2543,1780,1772,1849,129,47,-623
132503251159471173,1850,2185,2554,1780,1772,1847,129,47,-623
132503251159482846,1844,2164,2541,1780,1772,1848,129,47,-623
132503251159632867,1858,2182,2534,1779,1772,1848,129,47,-623
132503251159666301,1848,2169,2536,1780,1774,1850,129,47,-623
132503251159891513,1852,2179,2551,1781,1774,1851,129,47,-623
132503251159928751,1865,2156,2553,1779,1772,1848,129,47,-623
132503251160108810,1836,2166,2553,1779,1772,1848,133,46,-620
132503251160149572,1851,2159,2544,1779,1773,1850,133,46,-620
132503251160185301,1870,2151,2561,1780,1773,1850,133,46,-620
132503251160414170,1832,2169,2574,1779,1772,1848,133,46,-620
132503251160452388,1817,2159,2548,1780,1773,1848,133,46,-620
132503251160489447,1855,2157,2561,1779,1772,1848,133,46,-620
132503251160669286,1865,2157,2566,1781,1774,1848,133,46,-620
132503251160708410,1855,2175,2541,1781,1770,1849,129,55,-623
132503251160741544,1867,2180,2548,1780,1773,1850,129,55,-623
132503251160918909,1868,2175,2537,1779,1772,1848,129,55,-623
132503251160959410,1849,2172,2547,1779,1772,1848,129,55,-623
132503251161171669,1855,2185,2544,1779,1772,1848,129,55,-623
132503251161210392,1855,2177,2542,1779,1772,1848,129,55,-623
132503251161457178,1857,2160,2555,1781,1774,1850,129,55,-623
132503251161500041,1848,2171,2551,1779,1771,1848,135,46,-620
132503251161536107,1855,2165,2540,1779,1772,1848,135,46,-620
132503251161708480,1859,2181,2547,1780,1773,1849,135,46,-620
