File version	
File path	C:\Users\abetetsuya\Desktop\Data\OMC_reference_2021_1_A833.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	01/08/2021 - 10:13:18.200
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132545420047681942,1870,1186,1592,1780,1774,1849,-89,285,-470
132545420047726047,1895,1178,1580,1779,1773,1848,-89,285,-470
132545420047770123,1901,1173,1603,1780,1774,1849,-89,285,-470
132545420047975544,1898,1192,1587,1781,1774,1850,-89,285,-470
132545420048109524,1881,1206,1607,1779,1773,1850,-89,285,-470
132545420048141507,1881,1201,1601,1779,1773,1848,-89,285,-470
132545420048277282,1877,1183,1578,1780,1771,1849,-89,285,-470
132545420048345598,1889,1205,1589,1780,1774,1849,-91,296,-470
132545420048422910,1914,1193,1592,1779,1770,1848,-91,296,-470
132545420048537313,1871,1189,1594,1780,1774,1850,-91,296,-470
132545420048696930,1881,1218,1582,1779,1773,1848,-91,296,-470
132545420048737857,1881,1203,1597,1779,1773,1848,-91,296,-470
132545420048848646,1882,1203,1609,1779,1773,1848,-91,296,-470
132545420048931272,1890,1201,1575,1780,1773,1851,-91,296,-470
132545420048984475,1897,1205,1592,1780,1774,1850,-93,294,-467
132545420049101413,1908,1204,1599,1779,1774,1849,-93,294,-467
132545420049342153,1853,1202,1612,1782,1775,1851,-93,294,-467
132545420049381108,1899,1179,1594,1779,1773,1848,-93,294,-467
132545420049474998,1899,1186,1585,1780,1774,1846,-93,294,-467
132545420049549043,1898,1196,1600,1781,1775,1851,-93,294,-467
132545420049589944,1880,1178,1586,1779,1773,1851,-93,294,-467
132545420049720234,1869,1185,1572,1779,1773,1848,-93,290,-460
132545420049760395,1900,1216,1589,1780,1770,1849,-93,290,-460
132545420050005309,1924,1188,1576,1780,1774,1848,-93,290,-460
132545420050042405,1892,1191,1587,1781,1775,1848,-93,290,-460
132545420050098582,1887,1215,1606,1780,1774,1849,-93,290,-460
132545420050156781,1880,1199,1605,1779,1773,1848,-93,290,-460
132545420050281423,1875,1206,1583,1779,1773,1848,-93,290,-460
132545420050321803,1883,1199,1591,1780,1774,1850,-96,288,-464
132545420050616316,1902,1175,1592,1779,1773,1851,-96,288,-464
132545420050817180,1884,1204,1593,1780,1774,1850,-96,288,-464
132545420050857199,1857,1195,1614,1779,1773,1848,-96,288,-464
132545420050896647,1882,1207,1599,1782,1775,1851,-96,288,-464
132545420050933233,1895,1201,1550,1775,1775,1847,-96,288,-464
132545420050975016,1897,1192,1566,1779,1772,1851,-96,288,-464
132545420051025071,1888,1179,1599,1781,1774,1851,-90,289,-463
132545420051134531,1872,1198,1579,1779,1772,1850,-90,289,-463
132545420051174016,1883,1181,1591,1779,1773,1848,-90,289,-463
132545420051405011,1885,1213,1588,1781,1774,1851,-90,289,-463
132545420051519964,1897,1187,1589,1780,1774,1849,-90,289,-463
132545420051560973,1898,1175,1577,1779,1773,1849,-90,289,-463
132545420051599101,1891,1197,1613,1781,1774,1849,-90,289,-463
132545420051795212,1867,1211,1592,1781,1775,1851,-94,295,-461
132545420051837115,1863,1196,1595,1779,1773,1848,-94,295,-461
132545420051875784,1886,1212,1617,1779,1773,1848,-94,295,-461
