File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_2_100Hz_9397.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:43:46.774
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503246333488677,1276,2139,2350,1919,1728,1888,185,77,-251
132503246333731814,1273,2143,2399,1920,1729,1889,185,77,-251
132503246333995839,1295,2151,2402,1920,1729,1890,185,77,-251
132503246334271825,1296,2139,2371,1919,1730,1889,185,77,-251
132503246334514941,1284,2138,2378,1920,1731,1891,185,77,-251
132503246334759242,1288,2164,2378,1919,1728,1889,185,77,-251
132503246335525646,1289,2133,2376,1920,1727,1889,185,77,-251
132503246335774480,1290,2159,2381,1919,1728,1888,176,87,-256
132503246336018380,1285,2143,2370,1920,1729,1889,176,87,-256
132503246336286226,1285,2142,2406,1919,1729,1888,176,87,-256
132503246336532857,1284,2149,2391,1918,1729,1888,176,87,-256
132503246336781551,1296,2152,2367,1919,1728,1888,176,87,-256
132503246337048057,1302,2135,2387,1919,1729,1888,176,87,-256
132503246337286621,1290,2131,2363,1919,1729,1890,176,87,-256
132503246337529178,1273,2174,2378,1919,1728,1887,184,87,-244
132503246337803712,1291,2110,2352,1918,1728,1888,184,87,-244
132503246337839203,1294,2122,2394,1919,1729,1888,184,87,-244
132503246338037317,1288,2143,2378,1919,1729,1889,184,87,-244
132503246338078575,1283,2149,2381,1920,1730,1890,184,87,-244
132503246338281073,1292,2144,2381,1919,1729,1889,184,87,-244
132503246338322786,1285,2132,2378,1919,1727,1888,184,87,-244
132503246338798541,1283,2156,2375,1919,1728,1888,181,84,-249
132503246338837053,1290,2151,2389,1920,1727,1888,181,84,-249
132503246339314609,1270,2132,2388,1918,1728,1888,181,84,-249
132503246339487648,1292,2128,2398,1919,1729,1890,181,84,-249
132503246339715667,1280,2139,2375,1918,1728,1887,181,84,-249
132503246339756310,1301,2141,2370,1919,1728,1888,181,84,-249
132503246340231030,1279,2143,2375,1918,1728,1889,181,84,-249
132503246340261537,1272,2147,2374,1918,1729,1889,174,85,-248
132503246340302092,1298,2159,2373,1920,1729,1890,174,85,-248
132503246340734535,1306,2145,2351,1919,1728,1889,174,85,-248
132503246340771985,1294,2145,2395,1918,1728,1888,174,85,-248
132503246340810662,1271,2148,2380,1918,1728,1889,174,85,-248
132503246340852156,1284,2161,2374,1919,1730,1889,174,85,-248
132503246340886490,1304,2150,2369,1920,1730,1890,174,85,-248
132503246340919383,1280,2147,2390,1919,1729,1889,176,88,-244
132503246340951558,1287,2158,2371,1918,1728,1888,176,88,-244
132503246340959204,1293,2128,2379,1918,1728,1888,176,88,-244
132503246341016917,1283,2131,2377,1919,1730,1890,176,88,-244
132503246341025381,1277,2149,2374,1917,1728,1888,176,88,-244
132503246341279309,1295,2152,2375,1919,1729,1890,176,88,-244
132503246341317609,1283,2152,2358,1918,1729,1887,176,88,-244
132503246341534483,1298,2149,2378,1918,1728,1889,183,90,-252
132503246341573230,1281,2145,2367,1920,1729,1889,183,90,-252
132503246341607651,1301,2148,2392,1918,1727,1888,183,90,-252
132503246341683813,1280,2156,2380,1919,1730,1890,183,90,-252
132503246341724173,1301,2136,2388,1918,1728,1888,183,90,-252
132503246341760412,1295,2138,2399,1919,1728,1888,183,90,-252
132503246341926144,1299,2149,2393,1918,1728,1889,183,90,-252
132503246341964961,1289,2146,2379,1919,1730,1889,175,76,-246
132503246342000140,1306,2142,2389,1920,1730,1889,175,76,-246
132503246342213327,1283,2142,2382,1918,1730,1890,175,76,-246
132503246342247527,1296,2138,2394,1918,1729,1887,175,76,-246
132503246342268740,1262,2150,2375,1919,1728,1888,175,76,-246
132503246342452513,1284,2154,2373,1920,1728,1889,175,76,-246
132503246342483125,1302,2155,2389,1920,1728,1889,175,76,-246
132503246342711949,1291,2139,2398,1919,1730,1889,178,83,-251
132503246342749292,1294,2143,2377,1918,1729,1889,178,83,-251
132503246342777178,1273,2163,2369,1919,1728,1889,178,83,-251
132503246342958818,1295,2154,2357,1918,1728,1889,178,83,-251
132503246342987809,1287,2156,2376,1918,1728,1888,178,83,-251
132503246343214991,1285,2148,2379,1920,1729,1889,178,83,-251
132503246343255168,1292,2150,2347,1919,1729,1889,178,83,-251
132503246343296469,1292,2138,2382,1918,1728,1888,181,76,-251
132503246343335704,1300,2134,2384,1918,1728,1889,181,76,-251
132503246343369938,1278,2158,2374,1918,1729,1889,181,76,-251
132503246343457626,1287,2149,2373,1921,1730,1890,181,76,-251
132503246343723948,1286,2151,2382,1918,1729,1890,181,76,-251
132503246343878822,1268,2143,2369,1921,1730,1890,181,76,-251
132503246343918010,1282,2146,2365,1919,1728,1889,181,76,-251
132503246343960277,1291,2163,2379,1919,1728,1887,180,88,-251
132503246343999411,1297,2137,2392,1920,1727,1888,180,88,-251
132503246344031333,1288,2156,2367,1919,1729,1889,180,88,-251
132503246344118917,1294,2134,2385,1919,1729,1888,180,88,-251
132503246344156668,1287,2151,2384,1918,1729,1889,180,88,-251
132503246344192295,1299,2138,2383,1918,1728,1888,180,88,-251
132503246344422564,1297,2139,2399,1919,1728,1889,180,88,-251
132503246344458755,1294,2158,2390,1920,1729,1890,182,82,-249
132503246344486730,1299,2163,2379,1918,1729,1889,182,82,-249
132503246344914466,1297,2154,2365,1919,1729,1888,182,82,-249
132503246344952034,1288,2143,2396,1919,1727,1889,182,82,-249
132503246344982563,1289,2147,2384,1918,1729,1890,182,82,-249
132503246345172027,1304,2157,2376,1920,1730,1890,182,82,-249
132503246345211090,1293,2145,2361,1919,1729,1890,182,82,-249
