File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_2_100Hz_B15C.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 16:41:42.298
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503317023608181,1262,2211,2278,1599,1653,1781,165,85,-217
132503317023874308,1293,2202,2269,1843,1842,1841,168,94,-212
132503317024171035,1280,2200,2306,1847,1842,1839,162,93,-216
132503317024263196,1290,2190,2292,1853,1842,1836,166,96,-212
132503317024359847,1262,2207,2287,1851,1843,1837,166,94,-199
132503317024633158,1265,2175,2278,1850,1842,1837,170,92,-208
132503317025018418,1284,2180,2292,1851,1843,1837,170,93,-212
132503317025283658,1289,2192,2296,1852,1843,1838,172,87,-212
132503317025321056,1294,2180,2299,1852,1845,1839,164,95,-210
132503317025437412,1285,2200,2295,1851,1843,1837,176,89,-204
132503317025581256,1266,2198,2286,1850,1842,1836,165,90,-213
132503317025817346,1285,2196,2265,1852,1844,1838,165,95,-215
132503317026026282,1281,2217,2275,1851,1843,1838,169,94,-203
132503317026164225,1273,2201,2254,1850,1842,1836,170,91,-215
132503317026418797,1274,2215,2282,1851,1843,1835,170,89,-205
132503317026637759,1295,2186,2278,1850,1843,1838,164,93,-214
132503317026740024,1289,2210,2286,1851,1842,1837,165,95,-208
132503317026983332,1284,2191,2277,1850,1843,1837,172,89,-211
132503317027223399,1259,2191,2281,1851,1843,1837,163,86,-208
132503317027534088,1266,2212,2292,1852,1843,1835,165,100,-209
132503317027678421,1280,2202,2272,1852,1844,1838,167,88,-213
132503317027843221,1283,2195,2295,1850,1842,1837,170,86,-208
132503317027895976,1286,2211,2296,1851,1842,1836,168,93,-208
