File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_2_100Hz_B532.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 16:41:21.547
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503316816367969,1277,2126,2479,1839,1852,1835,148,12,-157
132503316816408857,1279,2131,2466,1694,1639,1849,151,14,-148
132503316816478353,1284,2122,2466,1736,1668,1851,151,26,-144
132503316816872768,1300,2136,2476,1721,1670,1848,151,16,-149
132503316816909661,1285,2093,2479,1722,1661,1848,156,17,-145
132503316817138542,1289,2121,2504,1722,1665,1848,145,18,-147
132503316817460198,1280,2128,2473,1721,1664,1847,145,20,-140
132503316817496964,1289,2129,2495,1723,1665,1849,157,22,-144
132503316817653524,1280,2126,2488,1723,1665,1850,145,24,-144
132503316817888549,1315,2123,2484,1722,1665,1848,152,18,-145
132503316818090004,1287,2119,2492,1722,1665,1849,151,22,-153
132503316818249535,1292,2111,2485,1723,1665,1849,142,22,-138
132503316818491870,1279,2114,2474,1722,1664,1848,144,22,-159
132503316818605512,1288,2139,2474,1723,1664,1848,147,15,-148
132503316818838759,1277,2128,2479,1721,1664,1848,150,17,-144
132503316819085179,1292,2127,2487,1722,1665,1849,152,14,-139
132503316819197314,1281,2135,2488,1723,1665,1848,146,26,-139
132503316819438702,1291,2125,2451,1722,1663,1848,156,20,-140
132503316819840771,1273,2116,2482,1721,1663,1848,151,21,-140
132503316819882486,1300,2138,2469,1722,1665,1849,148,15,-139
132503316819990850,1276,2104,2486,1723,1665,1850,157,16,-143
132503316820371661,1285,2135,2462,1723,1665,1848,145,24,-146
132503316820529133,1290,2113,2457,1721,1663,1848,138,23,-146
132503316820573119,1303,2124,2485,1722,1665,1849,149,23,-143
132503316821062314,1290,2126,2479,1723,1664,1848,150,10,-140
132503316821151580,1290,2117,2482,1723,1665,1850,153,20,-134
132503316821194052,1302,2137,2482,1719,1664,1848,151,20,-154
132503316821468087,1279,2117,2480,1723,1664,1849,150,29,-140
