File version	
File path	C:\Users\abetetsuya\Desktop\Data\Static_2_100Hz_BODF.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	11/20/2020 - 14:45:44.690
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132503247512885373,1240,2139,2363,1843,1797,1810,269,15,-386
132503247513125731,1258,2149,2361,1842,1797,1811,269,15,-386
132503247513384881,1235,2159,2378,1844,1798,1812,269,15,-386
132503247513652816,1269,2177,2358,1843,1797,1811,269,15,-386
132503247513900061,1271,2167,2367,1842,1797,1810,269,15,-386
132503247514146130,1263,2131,2368,1843,1797,1811,269,15,-386
132503247514390177,1259,2168,2354,1843,1798,1810,269,15,-386
132503247514428570,1257,2175,2367,1843,1795,1811,269,14,-386
132503247514634119,1259,2175,2371,1844,1798,1811,269,14,-386
132503247514903780,1261,2152,2344,1842,1796,1811,269,14,-386
132503247515148868,1255,2187,2360,1843,1797,1811,269,14,-386
132503247515389779,1263,2137,2356,1842,1797,1811,269,14,-386
132503247515645242,1243,2159,2364,1843,1797,1810,269,14,-386
132503247515882053,1258,2148,2370,1844,1799,1812,269,14,-386
132503247516126349,1262,2140,2364,1842,1797,1810,259,22,-382
132503247516402022,1233,2162,2344,1843,1797,1811,259,22,-382
132503247516540608,1266,2143,2367,1839,1797,1811,259,22,-382
132503247516575666,1264,2168,2351,1844,1798,1812,259,22,-382
132503247516796929,1276,2162,2369,1844,1799,1812,259,22,-382
132503247517089842,1249,2157,2370,1843,1797,1813,259,22,-382
132503247517127415,1250,2141,2365,1842,1797,1810,259,22,-382
132503247517169482,1254,2149,2352,1843,1798,1813,260,12,-373
132503247517377638,1263,2144,2367,1843,1798,1810,260,12,-373
132503247517633544,1254,2160,2346,1843,1796,1811,260,12,-373
132503247517891395,1255,2163,2358,1843,1798,1812,260,12,-373
132503247518151760,1249,2139,2363,1842,1796,1810,260,12,-373
132503247518193696,1255,2153,2372,1842,1797,1810,260,12,-373
132503247518932330,1251,2170,2364,1842,1797,1810,260,12,-373
132503247518972021,1258,2150,2355,1842,1797,1811,263,13,-378
132503247519008021,1243,2158,2367,1844,1799,1811,263,13,-378
132503247519047066,1252,2149,2358,1842,1797,1810,263,13,-378
132503247520157995,1256,2153,2368,1843,1797,1811,263,13,-378
132503247520197311,1246,2153,2379,1843,1797,1811,263,13,-378
132503247520413939,1258,2146,2349,1843,1797,1812,263,13,-378
132503247520452803,1241,2167,2339,1844,1799,1812,263,13,-378
132503247520487078,1244,2171,2361,1842,1797,1812,264,19,-380
132503247520522034,1259,2156,2367,1843,1796,1811,264,19,-380
132503247520556189,1242,2133,2368,1842,1797,1811,264,19,-380
132503247520590304,1254,2175,2361,1843,1798,1812,264,19,-380
132503247521014314,1225,2163,2361,1842,1798,1811,264,19,-380
132503247521052735,1245,2158,2357,1844,1798,1811,264,19,-380
132503247521251141,1265,2155,2385,1842,1797,1810,264,19,-380
132503247521293016,1244,2155,2362,1843,1797,1810,260,19,-387
