File version	
File path	C:\Users\abetetsuya\Desktop\Data\WoodPlate_20201202_2_AA1B.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	12/02/2020 - 16:10:08.631
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132513666152399860,1740,2200,2675,1810,1777,1835,-150,-367,-212
132513666152799568,1764,2189,2678,1810,1777,1837,-150,-367,-212
132513666152826586,1750,2214,2666,1805,1774,1836,-150,-367,-212
132513666153324121,1769,2193,2696,1804,1772,1838,-165,-368,-208
132513666153907768,1768,2210,2678,1805,1775,1843,-165,-368,-208
132513666154181140,1772,2200,2687,1808,1776,1845,-165,-368,-208
132513666154711750,1759,2179,2671,1806,1772,1842,-165,-368,-208
132513666155194051,1773,2199,2680,1804,1771,1843,-156,-371,-210
132513666155474661,1756,2201,2643,1805,1771,1844,-156,-371,-210
132513666155957409,1776,2191,2698,1809,1774,1846,-156,-371,-210
132513666156441689,1740,2175,2681,1811,1774,1844,-166,-369,-222
132513666156744287,1735,2174,2662,1813,1772,1842,-166,-369,-222
132513666157235054,1746,2183,2659,1813,1775,1841,-166,-369,-222
132513666157488715,1770,2197,2689,1813,1771,1840,-166,-369,-222
132513666157742952,1765,2218,2649,1813,1770,1843,-164,-369,-216
132513666158233477,1759,2195,2662,1808,1770,1844,-164,-369,-216
132513666158493338,1783,2179,2683,1805,1774,1845,-164,-369,-216
132513666158745903,1754,2167,2680,1804,1777,1845,-161,-368,-210
132513666159236483,1747,2182,2698,1806,1776,1843,-161,-368,-210
132513666159492532,1746,2203,2685,1811,1778,1846,-161,-368,-210
132513666159743788,1750,2197,2685,1809,1782,1849,-161,-368,-210
132513666160234819,1755,2181,2674,1805,1781,1848,-158,-371,-214
132513666160727497,1754,2179,2651,1804,1780,1847,-158,-371,-214
132513666160745030,1754,2173,2685,1803,1778,1848,-158,-371,-214
132513666161034054,1780,2172,2687,1803,1778,1848,-161,-366,-209
132513666161052650,1787,2186,2667,1802,1779,1850,-161,-366,-209
132513666161343229,1765,2199,2666,1797,1778,1851,-161,-366,-209
132513666161595832,1766,2182,2683,1794,1780,1851,-161,-366,-209
132513666161862048,1776,2185,2708,1795,1781,1850,-165,-372,-219
132513666162110248,1791,2199,2706,1801,1778,1847,-165,-372,-219
132513666162347838,1790,2179,2707,1811,1774,1846,-165,-372,-219
132513666162594649,1784,2170,2687,1815,1771,1842,-161,-369,-218
132513666162612239,1770,2167,2677,1817,1768,1837,-161,-369,-218
132513666162872939,1759,2199,2662,1821,1768,1835,-161,-369,-218
132513666162888974,1754,2193,2692,1823,1767,1838,-161,-369,-218
132513666163122053,1754,2197,2691,1827,1771,1839,-158,-370,-216
132513666163386574,1744,2193,2701,1828,1775,1844,-158,-370,-216
132513666163636527,1748,2205,2691,1825,1778,1847,-158,-370,-216
132513666163880696,1777,2208,2667,1818,1781,1854,-155,-368,-220
132513666164173417,1737,2222,2678,1813,1785,1860,-155,-368,-220
132513666164189295,1749,2189,2679,1808,1787,1862,-155,-368,-220
132513666164452417,1747,2176,2678,1806,1788,1863,-155,-368,-220
132513666164695911,1766,2169,2668,1799,1785,1857,-158,-363,-223
132513666164953110,1758,2190,2656,1794,1783,1855,-158,-363,-223
132513666164983076,1772,2174,2679,1795,1782,1852,-158,-363,-223
132513666165217494,1766,2173,2703,1800,1778,1847,-160,-369,-222
132513666165481683,1771,2179,2679,1808,1776,1845,-160,-369,-222
132513666165498709,1767,2178,2665,1814,1773,1843,-160,-369,-222
132513666165730799,1777,2195,2690,1816,1773,1845,-160,-369,-222
132513666166229103,1772,2195,2673,1815,1774,1849,-151,-362,-210
132513666166479884,1764,2171,2657,1813,1776,1852,-151,-362,-210
132513666166497675,1747,2172,2683,1809,1777,1848,-151,-362,-210
132513666166731544,1758,2204,2684,1806,1778,1850,-162,-369,-214
132513666166982542,1779,2200,2683,1804,1779,1851,-162,-369,-214
132513666166998774,1743,2198,2698,1806,1780,1853,-162,-369,-214
132513666167232144,1734,2187,2672,1808,1780,1852,-162,-369,-214
132513666167477100,1762,2168,2663,1807,1779,1848,-158,-368,-218
132513666167728772,1748,2183,2676,1805,1779,1850,-158,-368,-218
132513666167980258,1772,2177,2661,1799,1778,1850,-158,-368,-218
132513666167995723,1763,2182,2660,1795,1780,1850,-156,-362,-227
132513666168281573,1773,2161,2678,1796,1778,1849,-156,-362,-227
132513666168517589,1769,2178,2701,1796,1775,1846,-156,-362,-227
132513666168780648,1767,2164,2670,1800,1775,1847,-156,-362,-227
132513666168799530,1777,2192,2693,1803,1773,1845,-163,-373,-221
132513666169054297,1775,2184,2698,1808,1773,1846,-163,-373,-221
132513666169309704,1766,2178,2699,1815,1775,1848,-163,-373,-221
132513666169572173,1786,2173,2690,1817,1775,1847,-165,-357,-229
132513666169812879,1779,2186,2658,1815,1777,1847,-165,-357,-229
132513666169834604,1776,2194,2656,1809,1778,1849,-165,-357,-229
132513666170085058,1769,2199,2674,1803,1780,1850,-165,-357,-229
132513666170345824,1775,2164,2679,1801,1780,1850,-167,-362,-218
132513666170381276,1766,2179,2694,1801,1779,1850,-167,-362,-218
132513666170582755,1755,2181,2678,1804,1780,1851,-167,-362,-218
132513666170835970,1765,2182,2680,1809,1782,1853,-161,-363,-218
132513666170870085,1764,2154,2685,1809,1781,1851,-161,-363,-218
132513666171081161,1764,2154,2672,1806,1780,1850,-161,-363,-218
132513666171324352,1774,2200,2670,1803,1780,1849,-161,-363,-218
132513666171344005,1794,2196,2661,1799,1779,1851,-161,-363,-218
132513666171582747,1788,2156,2675,1800,1779,1850,-161,-363,-218
132513666171834412,1782,2172,2698,1798,1775,1846,-161,-363,-218
132513666171860950,1803,2180,2689,1802,1773,1846,-170,-372,-221
132513666172083832,1802,2192,2687,1808,1773,1849,-170,-372,-221
132513666172351496,1807,2187,2677,1810,1773,1850,-170,-372,-221
132513666172612578,1789,2187,2687,1813,1774,1851,-172,-368,-221
132513666172646961,1781,2191,2680,1814,1777,1851,-172,-368,-221
132513666173102138,1808,2174,2664,1811,1779,1852,-172,-368,-221
132513666173127890,1782,2207,2685,1808,1781,1856,-172,-368,-221
132513666173396605,1781,2189,2684,1811,1784,1859,-162,-364,-220
132513666173665250,1752,2160,2698,1814,1786,1856,-162,-364,-220
132513666173688481,1768,2155,2668,1818,1787,1853,-162,-364,-220
132513666173923701,1783,2162,2668,1815,1783,1849,-167,-363,-214
132513666174173722,1781,2173,2676,1814,1780,1849,-167,-363,-214
132513666174203737,1771,2157,2673,1815,1776,1848,-167,-363,-214
132513666174426347,1773,2169,2674,1817,1773,1845,-167,-363,-214
132513666174673769,1775,2171,2692,1820,1771,1843,-165,-371,-214
132513666174923721,1768,2175,2681,1818,1770,1843,-165,-371,-214
132513666175437173,1765,2159,2661,1815,1773,1846,-165,-371,-214
132513666175680935,1774,2180,2673,1811,1775,1848,-162,-370,-212
132513666175696782,1764,2168,2681,1811,1775,1850,-162,-370,-212
132513666175933523,1775,2183,2697,1811,1780,1853,-162,-370,-212
132513666176182343,1747,2199,2669,1810,1784,1852,-162,-370,-212
132513666176204915,1775,2182,2634,1805,1786,1853,-161,-360,-210
132513666176471035,1783,2172,2666,1801,1786,1854,-161,-360,-210
132513666176501978,1781,2170,2678,1802,1784,1854,-161,-360,-210
132513666176540155,1758,2172,2707,1807,1784,1854,-163,-365,-218
132513666176569675,1761,2186,2675,1814,1785,1853,-163,-365,-218
132513666176989397,1765,2171,2660,1813,1781,1850,-163,-365,-218
132513666177027713,1764,2196,2669,1813,1779,1850,-163,-365,-218
132513666177249008,1752,2182,2674,1811,1776,1849,-155,-362,-218
132513666177513532,1728,2187,2657,1809,1773,1845,-155,-362,-218
132513666177549001,1741,2166,2672,1809,1772,1841,-155,-362,-218
132513666177763009,1770,2181,2682,1810,1771,1840,-161,-370,-216
132513666178003244,1748,2171,2707,1812,1770,1843,-161,-370,-216
132513666178041614,1738,2190,2694,1815,1771,1846,-161,-370,-216
132513666178250075,1745,2193,2681,1812,1771,1846,-161,-370,-216
132513666178498086,1756,2170,2669,1807,1775,1848,-163,-366,-223
132513666178763097,1767,2175,2687,1804,1777,1849,-163,-366,-223
132513666179037607,1792,2161,2681,1800,1778,1849,-163,-366,-223
132513666179070771,1776,2178,2681,1802,1777,1851,-156,-368,-217
132513666179285143,1775,2195,2706,1803,1782,1854,-156,-368,-217
132513666179535533,1779,2159,2710,1807,1785,1854,-156,-368,-217
132513666179566643,1780,2179,2711,1811,1786,1854,-156,-368,-217
132513666179604569,1761,2168,2677,1811,1783,1852,-161,-362,-215
132513666179786760,1771,2177,2696,1810,1782,1853,-161,-362,-215
132513666180070709,1766,2170,2702,1810,1781,1853,-161,-362,-215
132513666180323463,1778,2171,2695,1810,1779,1850,-159,-367,-225
132513666180573504,1749,2168,2710,1814,1778,1850,-159,-367,-225
132513666180821171,1782,2137,2649,1810,1781,1847,-159,-367,-225
132513666181098117,1767,2170,2646,1804,1781,1844,-159,-367,-225
132513666181346318,1771,2173,2680,1807,1781,1843,-155,-362,-217
132513666181616119,1772,2145,2690,1811,1779,1842,-155,-362,-217
132513666182123178,1764,2155,2681,1818,1775,1841,-155,-362,-217
132513666182148200,1743,2169,2683,1822,1775,1841,-155,-371,-217
132513666182376067,1741,2199,2672,1821,1775,1840,-155,-371,-217
132513666182621048,1732,2183,2658,1819,1775,1841,-155,-371,-217
132513666182650979,1738,2178,2698,1817,1773,1843,-155,-371,-217
132513666182880491,1729,2158,2683,1813,1773,1842,-163,-368,-228
132513666183125294,1748,2167,2676,1809,1775,1847,-163,-368,-228
132513666183382915,1759,2175,2668,1805,1777,1847,-163,-368,-228
132513666183411554,1757,2181,2645,1803,1777,1846,-160,-372,-225
132513666183629192,1767,2183,2650,1803,1779,1848,-160,-372,-225
132513666183875008,1774,2160,2678,1803,1779,1846,-160,-372,-225
132513666184121724,1761,2205,2675,1808,1780,1845,-160,-372,-225
132513666184371939,1785,2177,2665,1812,1779,1843,-160,-364,-216
132513666184397946,1777,2165,2686,1816,1777,1843,-160,-364,-216
132513666184638949,1760,2164,2727,1821,1779,1845,-160,-364,-216
132513666184889854,1737,2167,2712,1822,1778,1844,-153,-372,-214
132513666185132298,1740,2182,2697,1823,1780,1846,-153,-372,-214
132513666185156500,1748,2178,2671,1818,1781,1849,-153,-372,-214
132513666185383993,1751,2189,2615,1809,1781,1851,-153,-372,-214
132513666185638100,1755,2175,2616,1801,1781,1856,-161,-366,-214
132513666185681166,1764,2211,2691,1798,1780,1854,-161,-366,-214
132513666186144770,1763,2164,2677,1799,1780,1854,-161,-366,-214
132513666186169250,1762,2182,2696,1809,1783,1854,-159,-364,-224
132513666186427450,1733,2166,2694,1816,1784,1849,-159,-364,-224
132513666186450084,1744,2167,2677,1820,1785,1849,-159,-364,-224
132513666186688941,1716,2214,2649,1817,1784,1850,-159,-364,-224
132513666186938480,1728,2181,2643,1806,1781,1851,-164,-367,-210
132513666187182087,1738,2189,2668,1799,1779,1851,-164,-367,-210
132513666187464443,1758,2171,2708,1796,1780,1851,-164,-367,-210
132513666187491926,1767,2191,2668,1794,1778,1852,-165,-364,-217
132513666187745326,1773,2178,2665,1798,1778,1855,-165,-364,-217
132513666188035709,1772,2175,2666,1801,1777,1853,-165,-364,-217
132513666188308526,1753,2186,2706,1811,1780,1853,-165,-364,-217
132513666188557425,1748,2174,2692,1817,1779,1850,-156,-372,-213
132513666188579691,1756,2156,2700,1818,1778,1848,-156,-372,-213
132513666188826359,1742,2204,2669,1816,1777,1848,-156,-372,-213
