File version	
File path	C:\Users\abetetsuya\Desktop\Data\WoodPlate_20201202_2_B15C.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	12/02/2020 - 16:10:08.651
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132513666152379709,1802,2207,2560,1851,1838,1823,-121,-426,-317
132513666152624972,1801,2204,2585,1848,1837,1824,-121,-426,-317
132513666152876820,1812,2195,2560,1846,1837,1827,-121,-426,-317
132513666153376685,1803,2198,2581,1849,1838,1831,-136,-421,-320
132513666153880097,1809,2188,2572,1852,1839,1833,-136,-421,-320
132513666154154966,1805,2180,2558,1849,1836,1831,-136,-421,-320
132513666154688144,1814,2215,2557,1848,1836,1833,-136,-421,-320
132513666154937473,1783,2204,2559,1848,1835,1832,-128,-426,-321
132513666155187712,1795,2189,2552,1852,1837,1833,-128,-426,-321
132513666155682507,1795,2204,2566,1854,1839,1832,-128,-426,-321
132513666156182799,1793,2217,2549,1856,1839,1830,-121,-431,-321
132513666156437485,1791,2200,2553,1856,1838,1829,-121,-431,-321
132513666157019207,1785,2179,2566,1859,1838,1831,-121,-431,-321
132513666157516059,1796,2227,2564,1855,1832,1833,-121,-431,-321
132513666157806133,1827,2199,2580,1850,1836,1834,-123,-424,-322
132513666158552918,1815,2191,2567,1845,1838,1832,-123,-424,-322
132513666159058711,1813,2186,2548,1847,1840,1832,-123,-424,-322
132513666159317928,1785,2204,2574,1851,1841,1833,-128,-420,-332
132513666159810027,1782,2196,2581,1853,1845,1835,-128,-420,-332
132513666160304038,1803,2201,2572,1851,1846,1837,-128,-420,-332
132513666160568060,1806,2183,2568,1848,1845,1837,-128,-420,-332
132513666161052294,1794,2185,2572,1846,1843,1837,-135,-420,-324
132513666161307350,1810,2196,2573,1848,1843,1838,-135,-420,-324
132513666161326001,1811,2203,2561,1845,1842,1836,-135,-420,-324
132513666161571104,1822,2190,2566,1842,1841,1838,-126,-420,-325
132513666161818592,1822,2197,2582,1838,1843,1838,-126,-420,-325
132513666161835404,1805,2205,2571,1835,1844,1838,-126,-420,-325
132513666162085343,1847,2199,2547,1840,1846,1838,-126,-420,-325
132513666162335246,1835,2195,2556,1847,1841,1835,-137,-416,-327
132513666162352505,1849,2184,2556,1855,1837,1834,-137,-416,-327
132513666162826193,1824,2208,2541,1860,1834,1830,-137,-416,-327
132513666162851036,1828,2192,2536,1861,1832,1825,-131,-415,-324
132513666162871799,1827,2206,2539,1864,1831,1824,-131,-415,-324
132513666163080997,1812,2201,2557,1867,1832,1826,-131,-415,-324
132513666163101107,1805,2211,2543,1870,1836,1830,-131,-415,-324
132513666163358502,1803,2185,2575,1871,1842,1834,-131,-415,-324
132513666163608067,1786,2203,2575,1865,1843,1837,-131,-415,-324
132513666163863776,1779,2202,2588,1859,1846,1844,-131,-415,-324
132513666163881054,1777,2203,2606,1855,1851,1851,-136,-415,-335
132513666164419988,1781,2181,2567,1849,1850,1851,-136,-415,-335
132513666164669777,1783,2189,2582,1845,1849,1849,-136,-415,-335
132513666164925200,1807,2185,2569,1839,1848,1845,-136,-420,-332
132513666164944293,1803,2203,2566,1835,1846,1841,-136,-420,-332
132513666165196923,1813,2201,2568,1839,1845,1838,-136,-420,-332
132513666165510302,1810,2159,2531,1846,1841,1835,-136,-420,-332
132513666165759645,1788,2182,2544,1855,1840,1832,-132,-425,-318
132513666166012069,1801,2181,2562,1859,1838,1834,-132,-425,-318
