File version	
File path	C:\Users\abetetsuya\Desktop\Data\WoodPlate_20201202_2_B4BF.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	12/02/2020 - 16:10:08.659
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132513666152609332,1770,2227,2610,1862,1816,1837,-131,-421,-388
132513666153095083,1785,2227,2634,1860,1817,1840,-131,-421,-388
132513666153365268,1767,2220,2672,1858,1816,1842,-131,-421,-388
132513666153877990,1778,2201,2631,1860,1817,1846,-127,-419,-394
132513666154120545,1763,2213,2621,1861,1816,1846,-127,-419,-394
132513666154422956,1774,2221,2596,1859,1813,1844,-127,-419,-394
132513666154924758,1767,2228,2620,1858,1812,1846,-127,-419,-394
132513666155408512,1770,2222,2624,1860,1814,1846,-135,-416,-389
132513666155675387,1761,2206,2642,1864,1815,1846,-135,-416,-389
132513666156169076,1773,2219,2598,1868,1817,1846,-135,-416,-389
132513666156654836,1769,2204,2613,1866,1817,1843,-135,-421,-401
132513666157014555,1767,2235,2634,1868,1816,1842,-135,-421,-401
132513666157497277,1761,2195,2621,1871,1814,1845,-135,-421,-401
132513666157765742,1758,2237,2628,1866,1812,1846,-135,-421,-401
132513666158018032,1771,2213,2613,1860,1813,1847,-133,-417,-393
132513666158497291,1760,2206,2629,1856,1815,1845,-133,-417,-393
132513666158770706,1764,2212,2631,1859,1819,1845,-133,-417,-393
132513666159015520,1770,2216,2631,1865,1822,1849,-135,-424,-398
132513666159514216,1749,2208,2626,1863,1821,1849,-135,-424,-398
132513666159767478,1746,2214,2634,1862,1824,1851,-135,-424,-398
132513666160014416,1773,2197,2641,1861,1823,1851,-135,-424,-398
132513666160756203,1774,2195,2599,1858,1821,1850,-134,-418,-391
132513666161267052,1754,2225,2638,1859,1820,1852,-134,-418,-391
132513666161294473,1782,2221,2638,1856,1820,1850,-134,-418,-391
132513666161543091,1770,2213,2634,1853,1819,1853,-140,-418,-395
132513666161765320,1785,2211,2635,1851,1822,1854,-140,-418,-395
132513666161807492,1787,2201,2645,1846,1822,1851,-140,-418,-395
132513666162061978,1806,2211,2641,1852,1822,1852,-140,-418,-395
132513666162315668,1794,2208,2650,1861,1820,1850,-142,-428,-399
132513666162559730,1802,2207,2622,1868,1814,1846,-142,-428,-399
132513666162806819,1788,2197,2621,1871,1812,1842,-142,-428,-399
132513666163069024,1767,2224,2608,1874,1810,1838,-147,-411,-386
132513666163087234,1806,2215,2621,1876,1809,1837,-147,-411,-386
132513666163343878,1773,2219,2638,1880,1812,1842,-147,-411,-386
132513666163596120,1754,2223,2657,1885,1817,1846,-147,-411,-386
132513666163613248,1755,2211,2659,1882,1819,1849,-139,-427,-399
132513666163840770,1755,2219,2630,1878,1823,1853,-139,-427,-399
132513666164169157,1747,2233,2652,1870,1825,1860,-139,-427,-399
132513666164409077,1744,2231,2631,1863,1828,1865,-132,-417,-399
