File version	
File path	C:\Users\abetetsuya\Desktop\Data\WoodPlate_20201202_2_B532.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	12/02/2020 - 16:10:08.671
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132513666153348078,1796,2097,2762,1718,1659,1839,-162,-484,-242
132513666153870992,1809,2090,2766,1720,1660,1843,-162,-484,-242
132513666154135255,1802,2061,2768,1721,1658,1843,-162,-484,-242
132513666154419521,1810,2087,2757,1720,1656,1841,-163,-485,-242
132513666154672056,1801,2090,2748,1721,1657,1844,-163,-485,-242
132513666155169571,1802,2070,2743,1721,1658,1843,-163,-485,-242
132513666155666329,1815,2084,2725,1725,1659,1843,-163,-485,-242
132513666156154629,1810,2081,2753,1728,1661,1843,-168,-493,-247
132513666156421038,1793,2085,2746,1727,1659,1839,-168,-493,-247
132513666156998339,1801,2058,2767,1728,1658,1840,-168,-493,-247
132513666157482153,1792,2052,2778,1728,1656,1841,-165,-479,-248
132513666157745903,1804,2087,2738,1725,1655,1843,-165,-479,-248
132513666158245598,1807,2073,2772,1720,1657,1843,-165,-479,-248
132513666158730710,1804,2080,2747,1718,1660,1843,-165,-479,-248
132513666159005570,1793,2072,2745,1720,1662,1843,-175,-473,-244
132513666159487146,1796,2083,2767,1725,1664,1845,-175,-473,-244
132513666159747300,1810,2087,2769,1724,1665,1845,-175,-473,-244
132513666160004835,1815,2095,2767,1721,1666,1848,-169,-484,-242
132513666160493432,1812,2074,2768,1719,1665,1847,-169,-484,-242
132513666160746430,1809,2080,2758,1719,1665,1847,-169,-484,-242
132513666161017923,1816,2075,2764,1720,1664,1848,-169,-484,-242
132513666161283352,1825,2069,2770,1717,1663,1846,-175,-478,-249
132513666161307854,1807,2060,2770,1714,1663,1849,-175,-478,-249
132513666161326489,1820,2074,2766,1711,1665,1851,-175,-478,-249
132513666161545473,1837,2071,2753,1708,1665,1849,-172,-481,-245
132513666161563722,1835,2087,2737,1713,1663,1848,-172,-481,-245
132513666161824581,1840,2089,2759,1723,1661,1845,-172,-481,-245
132513666162072898,1845,2088,2765,1728,1657,1842,-172,-481,-245
132513666162327047,1833,2113,2740,1732,1655,1836,-169,-479,-247
132513666162342400,1813,2077,2745,1734,1652,1833,-169,-479,-247
132513666162812321,1806,2064,2742,1736,1652,1833,-169,-479,-247
132513666162832570,1792,2089,2759,1741,1655,1838,-166,-481,-253
132513666163080355,1795,2073,2773,1742,1658,1840,-166,-481,-253
132513666163337384,1780,2078,2774,1741,1662,1845,-166,-481,-253
132513666163582120,1790,2079,2782,1737,1666,1851,-166,-481,-253
132513666163600931,1783,2071,2786,1730,1668,1857,-170,-486,-253
132513666163845220,1770,2069,2780,1725,1672,1859,-170,-486,-253
132513666164166390,1804,2094,2773,1720,1671,1861,-170,-486,-253
132513666164182271,1790,2076,2756,1716,1670,1858,-167,-479,-250
132513666164408065,1820,2091,2772,1711,1670,1856,-167,-479,-250
132513666164657240,1826,2075,2743,1708,1666,1850,-167,-479,-250
132513666164905883,1824,2079,2745,1714,1665,1849,-167,-479,-250
132513666165164871,1803,2074,2749,1721,1663,1845,-169,-485,-247
132513666165184486,1824,2083,2724,1727,1659,1843,-169,-485,-247
132513666165485485,1815,2094,2748,1731,1659,1842,-169,-485,-247
132513666165978158,1829,2081,2751,1729,1658,1845,-168,-484,-252
132513666165999989,1810,2061,2734,1727,1659,1848,-168,-484,-252
132513666166235721,1785,2097,2742,1726,1662,1851,-168,-484,-252
132513666166483018,1803,2066,2759,1722,1662,1848,-168,-484,-252
132513666166736224,1815,2063,2748,1719,1663,1848,-164,-487,-248
132513666166985270,1788,2061,2732,1720,1665,1851,-164,-487,-248
132513666167219408,1786,2074,2765,1723,1664,1851,-164,-487,-248
132513666167237074,1793,2075,2768,1724,1664,1848,-170,-485,-244
132513666167484011,1795,2064,2768,1721,1663,1848,-170,-485,-244
132513666167737233,1804,2084,2778,1717,1663,1850,-170,-485,-244
