File version	
File path	C:\Users\abetetsuya\Desktop\Data\WoodPlate_20201202_2_BODF.csv
Subject's name	Default
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	12/02/2020 - 16:10:08.642
Configuration information	
samplingRatesIndex	3	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	0	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132513666152625148,1751,2155,2643,1842,1794,1799,-66,-488,-433
132513666152891856,1758,2149,2652,1839,1793,1801,-66,-488,-433
132513666153166799,1753,2151,2641,1838,1793,1803,-66,-488,-433
132513666153655009,1772,2139,2666,1839,1792,1804,-68,-496,-425
132513666154142667,1777,2130,2631,1841,1792,1804,-68,-496,-425
132513666154457981,1782,2115,2622,1839,1790,1804,-68,-496,-425
132513666154953383,1776,2158,2626,1839,1790,1807,-68,-496,-425
132513666155432267,1771,2129,2629,1841,1790,1807,-75,-498,-426
132513666155701643,1776,2129,2625,1845,1793,1807,-75,-498,-426
132513666156199634,1771,2134,2632,1848,1794,1805,-75,-498,-426
132513666156708065,1755,2130,2629,1846,1793,1802,-80,-493,-428
132513666157042629,1739,2122,2637,1848,1792,1801,-80,-493,-428
132513666157532159,1733,2148,2631,1848,1790,1803,-80,-493,-428
132513666158055570,1773,2143,2615,1846,1790,1807,-80,-493,-428
132513666158328463,1767,2154,2616,1840,1792,1807,-87,-488,-433
132513666158819087,1767,2127,2649,1837,1794,1804,-87,-488,-433
132513666159085606,1768,2121,2620,1840,1795,1808,-87,-488,-433
132513666159329227,1735,2134,2649,1844,1798,1807,-85,-488,-433
132513666159822303,1778,2127,2639,1844,1800,1809,-85,-488,-433
132513666160312595,1763,2138,2643,1842,1801,1809,-85,-488,-433
132513666160577901,1786,2106,2620,1839,1800,1810,-85,-488,-433
132513666160834145,1768,2143,2642,1840,1799,1811,-81,-501,-437
132513666161079136,1778,2121,2642,1840,1799,1811,-81,-501,-437
132513666161116062,1788,2120,2638,1837,1796,1810,-81,-501,-437
132513666161331999,1779,2120,2612,1834,1797,1813,-85,-488,-434
132513666161569482,1785,2118,2615,1830,1799,1814,-85,-488,-434
132513666161588212,1774,2127,2661,1827,1798,1810,-85,-488,-434
132513666161847895,1794,2126,2672,1834,1798,1809,-85,-488,-434
132513666162098407,1812,2138,2676,1842,1795,1808,-89,-489,-438
132513666162343116,1818,2108,2649,1849,1792,1806,-89,-489,-438
132513666162595437,1790,2147,2622,1853,1791,1801,-89,-489,-438
132513666162614056,1783,2118,2625,1854,1787,1797,-85,-491,-433
132513666162859724,1777,2132,2632,1859,1787,1798,-85,-491,-433
132513666163115652,1748,2120,2638,1859,1788,1800,-85,-491,-433
132513666163131099,1739,2132,2655,1863,1793,1803,-85,-491,-433
132513666163373042,1750,2152,2627,1863,1798,1807,-86,-496,-433
132513666163623002,1750,2133,2630,1856,1799,1812,-86,-496,-433
132513666163873029,1764,2169,2632,1850,1804,1820,-86,-496,-433
132513666164182271,1738,2122,2633,1845,1807,1825,-79,-496,-433
132513666164669822,1753,2122,2637,1839,1805,1823,-79,-496,-433
132513666164694684,1764,2121,2625,1835,1805,1821,-79,-496,-433
132513666164935687,1758,2124,2599,1831,1803,1818,-79,-496,-433
132513666165206441,1774,2120,2625,1827,1800,1813,-83,-494,-429
132513666165221565,1785,2124,2667,1833,1799,1811,-83,-494,-429
132513666165522962,1773,2090,2636,1841,1796,1807,-83,-494,-429
132513666165774272,1775,2129,2633,1848,1794,1806,-82,-488,-428
132513666166019180,1777,2130,2636,1852,1794,1807,-82,-488,-428
132513666166035246,1769,2125,2637,1851,1795,1810,-82,-488,-428
132513666166274451,1785,2136,2603,1849,1795,1813,-82,-488,-428
132513666166521545,1751,2133,2623,1845,1795,1812,-82,-492,-440
132513666166770374,1754,2138,2615,1841,1795,1811,-82,-492,-440
132513666167037533,1751,2139,2628,1840,1798,1813,-82,-492,-440
132513666167074109,1747,2130,2614,1839,1798,1814,-85,-491,-432
132513666167303966,1728,2126,2645,1842,1798,1813,-85,-491,-432
132513666167558212,1763,2125,2651,1844,1799,1811,-85,-491,-432
132513666167798999,1749,2118,2642,1840,1797,1810,-85,-491,-432
132513666167841201,1739,2135,2626,1835,1796,1811,-82,-491,-428
132513666168053655,1747,2132,2628,1831,1797,1812,-82,-491,-428
132513666168299931,1769,2114,2642,1829,1797,1810,-82,-491,-428
132513666168558845,1811,2118,2637,1831,1796,1809,-84,-490,-432
132513666168780036,1784,2122,2639,1835,1796,1810,-84,-490,-432
132513666168798076,1811,2137,2646,1837,1794,1808,-84,-490,-432
132513666169047264,1786,2136,2645,1843,1794,1810,-84,-490,-432
132513666169064735,1781,2141,2636,1846,1793,1808,-88,-489,-437
132513666169096048,1784,2120,2641,1852,1794,1808,-88,-489,-437
132513666169302587,1781,2120,2616,1852,1796,1808,-88,-489,-437
132513666169560902,1792,2104,2597,1845,1797,1809,-73,-492,-439
132513666169796825,1776,2155,2609,1840,1799,1812,-73,-492,-439
132513666170054076,1762,2140,2616,1834,1799,1812,-73,-492,-439
132513666170077851,1761,2128,2654,1836,1799,1813,-86,-489,-430
132513666170320151,1768,2138,2645,1839,1800,1813,-86,-489,-430
132513666170575819,1777,2150,2661,1843,1802,1816,-86,-489,-430
132513666170592903,1773,2121,2650,1843,1801,1813,-86,-489,-430
132513666170825294,1764,2128,2636,1842,1800,1812,-84,-487,-435
132513666171070811,1776,2131,2620,1838,1798,1811,-84,-487,-435
