,state,action,reward,next_state
0,"0.13274078,0.10344201",3,-0.45762605608059925,"0.13598512485018666,0.1035519354600753"
1,"0.13598512,0.10355194",5,-0.48538515738827226,"0.14986465970455337,0.10355194599305517"
2,"0.14986466,0.10355195",3,-0.5313103931310619,"0.17282727757594818,0.10355194599305517"
3,"0.17282727,0.10355195",5,-0.5872969896056136,"0.20082057581322404,0.10355194599305517"
4,"0.20082058,0.10355195",3,-0.6416631640392302,"0.2280036630300323,0.10355194599305517"
5,"0.22800367,0.10355195",3,-0.7034976473872665,"0.2589209047040505,0.10355194599305517"
6,"0.2589209,0.10355195",2,-0.7666277384405442,"0.29048595023068935,0.10355194599305517"
7,"0.29048595,0.10355195",3,-0.828418616867799,"0.32138138944431677,0.10355194599305517"
8,"0.3213814,0.10355195",3,-0.8932117654277523,"0.3537779637242934,0.10355194599305517"
9,"0.35377797,0.10355195",3,-0.9579147195003845,"0.38566704606038854,0.10355194599305517"
10,"0.38566706,0.10355195",2,-0.9136417736175095,"0.363992967819172,0.10355194599305517"
11,"0.36399296,0.10355195",9,-0.893461587744507,"0.35390287488267075,0.10355194599305517"
12,"0.35390288,0.10355195",6,-0.8812286115253718,"0.34778638677310314,0.10355194599305517"
13,"0.3477864,0.10355195",3,-0.9238559674624822,"0.3687749501290356,0.10355194599305517"
14,"0.36877495,0.10355195",3,-0.9864916851339601,"0.4004179235773973,0.10355194599305517"
15,"0.40041792,0.10355195",3,-1.042758651934365,"0.42855140697759975,0.10355194599305517"
16,"0.4285514,0.10355195",3,-1.0672404049536832,"0.44079228348725885,0.10355194599305517"
17,"0.4407923,0.10355195",3,-1.0751184111847887,"0.44473128660281164,0.10355194599305517"
18,"0.4447313,0.10355195",7,-1.0809774409190387,"0.4476666954669324,0.10355194599305517"
19,"0.4476667,0.10355195",3,-1.0784940509286858,"0.44641910647476013,0.10355194599305517"
20,"0.44641912,0.10355195",3,-1.0768735389513175,"0.44560885048607607,0.10355194599305517"
21,"0.44560885,0.10355195",9,-1.078518668434779,"0.4464314152278067,0.10355194599305517"
22,"0.44643143,0.10355195",8,-1.080419228856221,"0.4473816954385278,0.10355194599305517"
23,"0.4473817,0.10355195",9,-1.0807221847518835,"0.447533173386359,0.10355194599305517"
24,"0.44753316,0.10355195",3,-1.0807681504342033,"0.44755615622751893,0.10355194599305517"
25,"0.44755617,0.10355195",3,-1.0807616770560535,"0.4475488870970496,0.10355194599305517"
26,"0.4475489,0.10355195",3,-1.080766810436389,"0.4475554862286118,0.10355194599305517"
27,"0.44755548,0.10355195",0,-1.0810736739303093,"0.4477089179755719,0.10355194599305517"
28,"0.4477089,0.10355195",5,-1.0809560048187885,"0.44765008341981155,0.10355194599305517"
29,"0.44765007,0.10355195",3,-1.0809077739643156,"0.44762596799257504,0.10355194599305517"
30,"0.13271333,0.10344201",8,-0.44897616634825366,"0.13166021025606717,0.10355191527870644"
31,"0.13166021,0.10355192",8,-0.43723059838562073,"0.12578738020322758,0.10355194599305517"
32,"0.12578738,0.10355195",8,-0.41991019159228604,"0.11712717680656023,0.10355194599305517"
33,"0.11712718,0.10355195",0,-0.4012951434870454,"0.10781965275393993,0.10355194599305517"
34,"0.107819654,0.10355195",7,-0.4000345870032421,"0.1071899841273475,0.10355194599305517"
35,"0.10718998,0.10355195",1,-0.40027267940553224,"0.10730842071318333,0.10355194599305517"
36,"0.10730842,0.10355195",1,-0.41285590999699784,"0.11360003600891615,0.10355194599305517"
37,"0.11360004,0.10355195",8,-0.4374987277959337,"0.12590618015676913,0.10355194599305517"
38,"0.12590618,0.10355195",8,-0.4606401276895802,"0.13749214485520733,0.10355194599305517"
39,"0.13749215,0.10355195",8,-0.48351104208373363,"0.14892760205228406,0.10355194599305517"
40,"0.1489276,0.10355195",8,-0.5058338178447698,"0.16008898993280213,0.10355194599305517"
41,"0.16008899,0.10355195",4,-0.5257182392754528,"0.17003120064814364,0.10355194599305517"
42,"0.1700312,0.10355195",0,-0.5068247503750809,"0.16058445619795766,0.10355194599305517"
43,"0.16058445,0.10355195",8,-0.45879771235178024,"0.13657093718630733,0.10355194599305517"
44,"0.13657093,0.10355195",8,-0.4186638915503287,"0.11650402678558157,0.10355194599305517"
45,"0.11650403,0.10355195",6,-0.3958566326480941,"0.1051003973344643,0.10355194599305517"
46,"0.1051004,0.10355195",0,-0.39124689512605904,"0.10279552857344677,0.10355194599305517"
47,"0.10279553,0.10355195",7,-0.3911901931207389,"0.10276546454960815,0.10355194599305517"
48,"0.10276546,0.10355195",4,-0.3916589344947705,"0.10300154825780249,0.10355194599305517"
49,"0.10300155,0.10355195",4,-0.3926849926570769,"0.10351457733895568,0.10355194599305517"
50,"0.103514574,0.10355195",1,-0.39446201892402155,"0.10440309047242802,0.10355194599305517"
51,"0.10440309,0.10355195",8,-0.3946287214238535,"0.10448644172234399,0.10355194599305517"
52,"0.10448644,0.10355195",0,-0.392879574178445,"0.10361186809963975,0.10355194599305517"
53,"0.10361187,0.10355195",1,-0.3944788025445368,"0.10441148228268567,0.10355194599305517"
54,"0.10441148,0.10355195",8,-0.3946343018056486,"0.10448923191324154,0.10355194599305517"
55,"0.10448923,0.10355195",1,-0.4070903713702213,"0.11071726669552788,0.10355194599305517"
56,"0.11071727,0.10355195",4,-0.4291503989873241,"0.1217472805040793,0.10355194599305517"
57,"0.12174728,0.10355195",8,-0.45191855208335907,"0.13313135705209675,0.10355194599305517"
58,"0.13313136,0.10355195",8,-0.4738022026253961,"0.14407318232311525,0.10355194599305517"
59,"0.14407319,0.10355195",8,-0.49514500472783396,"0.15474458337433422,0.10355194599305517"
60,"0.1330644,0.10344201",4,-0.4469456584410379,"0.13064852245408598,0.10354953784428864"
61,"0.13064852,0.10354954",4,-0.43490751057063326,"0.12462583629573384,0.10355194599305517"
62,"0.12462584,0.10355195",4,-0.41667717838005236,"0.11551067020044344,0.10355194599305517"
63,"0.11551067,0.10355195",7,-0.40542363194608,"0.10988389698345724,0.10355194599305517"
64,"0.1098839,0.10355195",4,-0.40506733564703024,"0.1097029028283864,0.10355194599305517"
65,"0.1097029,0.10355195",4,-0.40419378406243567,"0.10926897304163505,0.10355194599305517"
66,"0.10926897,0.10355195",4,-0.403104440492267,"0.10872430125655075,0.10355194599305517"
67,"0.1087243,0.10355195",4,-0.40192940922278186,"0.10813745082379349,0.10355194599305517"
68,"0.10813745,0.10355195",7,-0.4006838107264944,"0.10751500802871217,0.10355194599305517"
69,"0.10751501,0.10355195",4,-0.39936263008773876,"0.10685339605428663,0.10355194599305517"
70,"0.106853396,0.10355195",4,-0.3979682309706828,"0.10615660005908663,0.10355194599305517"
71,"0.1061566,0.10355195",4,-0.39649880336483323,"0.10542231935104647,0.10355194599305517"
72,"0.10542232,0.10355195",4,-0.3960713539151133,"0.10520775796797385,0.10355194599305517"
73,"0.105207756,0.10355195",9,-0.3960349969543423,"0.10518957948758839,0.10355194599305517"
74,"0.10518958,0.10355195",1,-0.4083692242828797,"0.11135669315185708,0.10355194599305517"
75,"0.11135669,0.10355195",4,-0.4320111997192285,"0.12317768087003148,0.10355194599305517"
76,"0.12317768,0.10355195",7,-0.45487376427035453,"0.1346089631455945,0.10355194599305517"
77,"0.13460897,0.10355195",4,-0.4777121576173884,"0.14602815981911144,0.10355194599305517"
78,"0.14602816,0.10355195",9,-0.4989074505898138,"0.1566258063053241,0.10355194599305517"
79,"0.1566258,0.10355195",4,-0.5194288048643808,"0.16688648344260762,0.10355194599305517"
80,"0.16688648,0.10355195",4,-0.5387579427894582,"0.17655105240514635,0.10355194599305517"
81,"0.17655106,0.10355195",4,-0.5578314404225029,"0.18608780122166865,0.10355194599305517"
82,"0.1860878,0.10355195",4,-0.5764965681866909,"0.1954203651037627,0.10355194599305517"
83,"0.19542037,0.10355195",4,-0.5937122778752393,"0.20402821994803685,0.10355194599305517"
84,"0.20402822,0.10355195",4,-0.6098150172534996,"0.21207958963716703,0.10355194599305517"
85,"0.21207958,0.10355195",4,-0.6254138426712981,"0.21987900234606625,0.10355194599305517"
86,"0.219879,0.10355195",7,-0.639243331042242,"0.2267937465315382,0.10355194599305517"
87,"0.22679375,0.10355195",4,-0.6530171159845171,"0.23368063900267577,0.10355194599305517"
88,"0.23368064,0.10355195",6,-0.6650536424796191,"0.23969890225022675,0.10355194599305517"
89,"0.2396989,0.10355195",4,-0.6682901151132984,"0.2413171385670664,0.10355194599305517"
90,"0.13329914,0.10344201",6,-0.42468848042102597,"0.11951983322090635,0.10354960465973777"
91,"0.11951983,0.10354961",7,-0.4245849091928755,"0.11946453560685501,0.10355194599305517"
92,"0.11946454,0.10355195",1,-0.445435012447974,"0.12988958723440425,0.10355194599305517"
93,"0.12988959,0.10355195",7,-0.46589950757684473,"0.14012183479883958,0.10355194599305517"
94,"0.14012183,0.10355195",1,-0.4875447040250924,"0.15094443302296343,0.10355194599305517"
95,"0.15094443,0.10355195",7,-0.510683409220786,"0.16251378562081026,0.10355194599305517"
96,"0.16251379,0.10355195",7,-0.5339872746959528,"0.1741657183583936,0.10355194599305517"
97,"0.17416573,0.10355195",7,-0.5563157889370812,"0.18532997547895785,0.10355194599305517"
98,"0.18532997,0.10355195",7,-0.5778653669873532,"0.19610476450409386,0.10355194599305517"
99,"0.19610476,0.10355195",7,-0.5989976469882874,"0.2066709045045609,0.10355194599305517"
100,"0.20667091,0.10355195",9,-0.6197885035019036,"0.21706633276136905,0.10355194599305517"
101,"0.21706633,0.10355195",7,-0.6404131792654439,"0.2273786706431392,0.10355194599305517"
102,"0.22737867,0.10355195",7,-0.6602845279256281,"0.23731434497323128,0.10355194599305517"
103,"0.23731434,0.10355195",7,-0.6800924485362072,"0.24721830527852082,0.10355194599305517"
104,"0.24721831,0.10355195",7,-0.6990896495886364,"0.25671690580473544,0.10355194599305517"
105,"0.2567169,0.10355195",1,-0.7187227656572251,"0.2665334638390298,0.10355194599305517"
106,"0.26653346,0.10355195",7,-0.737715629233572,"0.27602989562720326,0.10355194599305517"
107,"0.27602988,0.10355195",6,-0.7570806534402871,"0.2857124077305608,0.10355194599305517"
108,"0.28571242,0.10355195",1,-0.7756427297497738,"0.29499344588530413,0.10355194599305517"
109,"0.29499346,0.10355195",9,-0.7942380955334588,"0.30429112877714665,0.10355194599305517"
110,"0.30429113,0.10355195",7,-0.8131615221155022,"0.31375284206816834,0.10355194599305517"
111,"0.31375283,0.10355195",6,-0.8308834625669419,"0.3226138122938882,0.10355194599305517"
112,"0.3226138,0.10355195",7,-0.8488096979412391,"0.33157692998103677,0.10355194599305517"
113,"0.33157694,0.10355195",7,-0.8664696513016706,"0.34040690666125256,0.10355194599305517"
114,"0.3404069,0.10355195",0,-0.8841265977315609,"0.3492353798761977,0.10355194599305517"
115,"0.3492354,0.10355195",7,-0.9012462453978325,"0.3577952037093335,0.10355194599305517"
116,"0.3577952,0.10355195",7,-0.9180345459635316,"0.36618935399218305,0.10355194599305517"
117,"0.36618936,0.10355195",7,-0.9360304347413377,"0.3751872983810861,0.10355194599305517"
118,"0.3751873,0.10355195",7,-0.9532177802855751,"0.3837809711532048,0.10355194599305517"
119,"0.38378096,0.10355195",1,-0.9704828649714016,"0.392413513496118,0.10355194599305517"
120,"0.13325939,0.10344201",1,-0.4604640188735857,"0.13740410553276475,0.10355193593601873"
121,"0.1374041,0.10355194",1,-0.4802577952935042,"0.14730097865716932,0.10355194599305517"
122,"0.14730097,0.10355195",9,-0.5042863434026569,"0.15931525271174565,0.10355194599305517"
123,"0.15931526,0.10355195",1,-0.5266073080088168,"0.17047573501482566,0.10355194599305517"
124,"0.17047574,0.10355195",1,-0.5505501660249081,"0.18236500224621674,0.10355194599305517"
125,"0.182365,0.10355195",1,-0.5735608886489707,"0.19395252533490256,0.10355194599305517"
126,"0.19395253,0.10355195",1,-0.5959152260843625,"0.20512969405259848,0.10355194599305517"
127,"0.2051297,0.10355195",1,-0.6174722843949875,"0.21590822320791098,0.10355194599305517"
128,"0.21590823,0.10355195",9,-0.6391166761006684,"0.2267304190607514,0.10355194599305517"
129,"0.22673042,0.10355195",1,-0.6600319105414698,"0.23718803628115215,0.10355194599305517"
130,"0.23718804,0.10355195",1,-0.6805834554273729,"0.24746380872410365,0.10355194599305517"
131,"0.24746381,0.10355195",1,-0.7008404054478339,"0.2575922837343342,0.10355194599305517"
132,"0.2575923,0.10355195",1,-0.72072542641115,"0.26753479421599224,0.10355194599305517"
133,"0.2675348,0.10355195",1,-0.7411007485872555,"0.27769914628538345,0.10355194599305517"
134,"0.27769914,0.10355195",1,-0.7603869754929727,"0.2873655687569036,0.10355194599305517"
135,"0.28736556,0.10355195",6,-0.7773169929005184,"0.29576577200275017,0.10355194599305517"
136,"0.29576576,0.10355195",1,-0.7965379238302995,"0.305441042925567,0.10355194599305517"
137,"0.30544105,0.10355195",9,-0.815672412670483,"0.3150082873456587,0.10355194599305517"
138,"0.31500828,0.10355195",2,-0.8350308142108066,"0.32468748811582054,0.10355194599305517"
139,"0.32468748,0.10355195",6,-0.8415009523512188,"0.32792255718602664,0.10355194599305517"
140,"0.32792255,0.10355195",1,-0.861588706431721,"0.33796643422627776,0.10355194599305517"
141,"0.33796644,0.10355195",6,-0.8630074626683265,"0.3386758123445805,0.10355194599305517"
142,"0.33867583,0.10355195",9,-0.887946014854849,"0.35114508843784176,0.10355194599305517"
143,"0.3511451,0.10355195",1,-0.9140890943120957,"0.3642166281664651,0.10355194599305517"
144,"0.36421663,0.10355195",1,-0.9401101008739007,"0.3772271314473676,0.10355194599305517"
145,"0.37722713,0.10355195",1,-0.9442105973096445,"0.3792773796652395,0.10355194599305517"
146,"0.37927738,0.10355195",1,-0.9448281875495966,"0.37958617478521556,0.10355194599305517"
147,"0.37958616,0.10355195",1,-0.9449701742456499,"0.3796571681332422,0.10355194599305517"
148,"0.37965718,0.10355195",9,-0.9449992615325066,"0.37967171177667053,0.10355194599305517"
149,"0.37967172,0.10355195",1,-0.944988405737961,"0.3796662838793977,0.10355194599305517"
150,"0.13460802,0.10344201",6,-0.43348332446436166,"0.12392085497313143,0.10354720483936625"
151,"0.12392086,0.10354721",6,-0.39767535793696407,"0.10600975997889925,0.10355194599305517"
152,"0.10600976,0.10355195",6,-0.38438523623800896,"0.10154210224985541,0.10210034391276604"
153,"0.1015421,0.10210034",6,-0.3788153787790586,"0.0987924049860651,0.10207685626897611"
154,"0.098792404,0.10207686",1,-0.4245677526280295,"0.12161566342643773,0.10211214192505133"
155,"0.12161566,0.102112144",9,-0.4573211228987301,"0.13799234856178805,0.10211214192505133"
156,"0.13799235,0.102112144",9,-0.4638248444955288,"0.1412442093601874,0.10211214192505133"
157,"0.1412442,0.102112144",6,-0.46603269944666914,"0.14234813683575756,0.10211214192505133"
158,"0.14234814,0.102112144",6,-0.468436128206891,"0.1435498512158685,0.10211214192505133"
159,"0.14354984,0.102112144",6,-0.47113237697652866,"0.14489797560068732,0.10211214192505133"
160,"0.14489798,0.102112144",6,-0.47420546635431,"0.14643301074071013,0.10211214192505133"
161,"0.14643301,0.102112144",1,-0.482667045063142,"0.150665309643994,0.10211214192505133"
162,"0.15066531,0.102112144",6,-0.49928122658426266,"0.15897240040455432,0.10211214192505133"
163,"0.1589724,0.102112144",6,-0.5196111811899538,"0.16913737770739987,0.10211214192505133"
164,"0.16913737,0.102112144",6,-0.5419829120115407,"0.1803232431181933,0.10211214192505133"
165,"0.18032324,0.102112144",6,-0.5656559781307153,"0.19215977617778068,0.10211214192505133"
166,"0.19215977,0.102112144",6,-0.5864914772435128,"0.2025775257341794,0.10211214192505133"
167,"0.20257753,0.102112144",1,-0.6089468661202003,"0.21380522017252315,0.10211214192505133"
168,"0.21380521,0.102112144",6,-0.6381126692018677,"0.22838812171335682,0.10211214192505133"
169,"0.22838812,0.102112144",6,-0.6668075801282678,"0.24273557717655692,0.10211214192505133"
170,"0.24273558,0.102112144",6,-0.6953300219461547,"0.25699679808550036,0.10211214192505133"
171,"0.2569968,0.102112144",6,-0.7248112900783914,"0.2716527809746002,0.10211214192505133"
172,"0.2716528,0.102112144",6,-0.750798203729497,"0.2847308889771715,0.10211214192505133"
