,state,action,reward,next_state
0,"0.13336498,0.10344201",1,-0.46297742204305903,"0.13866774876235494,0.10354730817278306"
1,"0.13866775,0.103547305",1,-0.4833557173130375,"0.148849939666936,0.10355194599305517"
2,"0.14884993,0.10355195",5,-0.5066478702867862,"0.16049601615381032,0.10355194599305517"
3,"0.16049601,0.10355195",1,-0.5297053823322125,"0.17202477217652348,0.10355194599305517"
4,"0.17202477,0.10355195",1,-0.5525539095250984,"0.18344903577296645,0.10355194599305517"
5,"0.18344903,0.10355195",3,-0.5867906983844359,"0.20056743020263518,0.10355194599305517"
6,"0.20056742,0.10355195",9,-0.6410414410065629,"0.2276928015136987,0.10355194599305517"
7,"0.2276928,0.10355195",5,-0.6741826493724054,"0.2442634056966199,0.10355194599305517"
8,"0.24426341,0.10355195",8,-0.7018000486049869,"0.2580721053129107,0.10355194599305517"
9,"0.2580721,0.10355195",1,-0.7285931188121582,"0.2714686404164963,0.10355194599305517"
10,"0.27146864,0.10355195",1,-0.756302328581482,"0.28529048910235755,0.10355194599305517"
11,"0.28529048,0.10355195",1,-0.7829278577824916,"0.29863600990166306,0.10355194599305517"
12,"0.29863602,0.10355195",9,-0.8102029507516368,"0.31227355638623566,0.10355194599305517"
13,"0.31227356,0.10355195",1,-0.8363256979079897,"0.3253349299644121,0.10355194599305517"
14,"0.32533494,0.10355195",1,-0.8627917932056707,"0.33854932493300993,0.10355194599305517"
15,"0.33854932,0.10355195",1,-0.8890265424583234,"0.3516853522395789,0.10355194599305517"
16,"0.35168535,0.10355195",7,-0.9162114643146959,"0.3652778131677652,0.10355194599305517"
17,"0.36527783,0.10355195",3,-0.947773155593148,"0.38105865880699125,0.10355194599305517"
18,"0.38105866,0.10355195",7,-0.9777321984491782,"0.39603818023500637,0.10355194599305517"
19,"0.39603817,0.10355195",9,-1.0068796995759068,"0.4106119307983707,0.10355194599305517"
20,"0.41061193,0.10355195",1,-1.0357478361737937,"0.42504599909731416,0.10355194599305517"
21,"0.425046,0.10355195",1,-1.0631699154569383,"0.4387570387388864,0.10355194599305517"
22,"0.43875703,0.10355195",1,-1.0908762499819487,"0.45247952113108836,0.10355194599305517"
23,"0.4524795,0.10355195",0,-1.1173441403601636,"0.46584415119049905,0.10355194599305517"
24,"0.46584415,0.10355195",8,-1.1429336806980501,"0.4785912071624079,0.10355194599305517"
25,"0.4785912,0.10355195",1,-1.1686405238551032,"0.4914923429379689,0.10355194599305517"
26,"0.49149233,0.10355195",7,-1.1939427157301097,"0.5041434388754721,0.10355194599305517"
27,"0.5041434,0.10355195",1,-1.2185076367026386,"0.5164113040013133,0.10355194599305517"
28,"0.5164113,0.10355195",1,-1.2422169475560074,"0.5281678059091482,0.10355194599305517"
29,"0.5281678,0.10355195",5,-1.2493591429761108,"0.5318516524984727,0.10355194599305517"
30,"0.1327528,0.10344201",5,-0.44705946296774485,"0.1307088213146393,0.10354727344615543"
31,"0.13070883,0.103547275",6,-0.41801859451651757,"0.116181378268676,0.10355194599305517"
32,"0.11618138,0.10355195",2,-0.3801490952961811,"0.09724662865850778,0.10355194599305517"
33,"0.09724663,0.10355195",8,-0.36923627227015654,"0.09179021714549553,0.10355194599305517"
34,"0.091790214,0.10355195",4,-0.3743986799913035,"0.09437142100606898,0.10355194599305517"
35,"0.09437142,0.10355195",3,-0.3809114877167409,"0.09757975026364574,0.10355194599305517"
36,"0.09757975,0.10355195",0,-0.4033502684069955,"0.10884721521391497,0.10355194599305517"
37,"0.108847216,0.10355195",2,-0.3872199635070145,"0.10078206276392448,0.10355194599305517"
38,"0.10078206,0.10355195",2,-0.37902647260482814,"0.0966853173128313,0.10355194599305517"
39,"0.09668532,0.10355195",1,-0.3826229613249361,"0.09848356167288531,0.10355194599305517"
40,"0.09848356,0.10355195",0,-0.3850626296033518,"0.09970339581209312,0.10355194599305517"
41,"0.099703394,0.10355195",1,-0.38947080008959933,"0.10185927676872437,0.10355194599305517"
42,"0.10185928,0.10355195",9,-0.39368822621895505,"0.10401619411989478,0.10355194599305517"
43,"0.10401619,0.10355195",7,-0.4276911124403192,"0.12101763723057683,0.10355194599305517"
44,"0.121017635,0.10355195",3,-0.4825734571629563,"0.14845880959189536,0.10355194599305517"
