,state,action,reward,next_state
0,"0.13260084,0.10344201",1,9.539810148534142,"0.13727051731546086,0.10354960561164475"
1,"0.13727051,0.10354961",2,9.521627559384054,"0.1463440675241329,0.10355194599305517"
2,"0.14634407,0.10355195",8,9.500086342853692,"0.157128909583572,0.10355194599305517"
3,"0.15712892,0.10355195",7,9.479113100795264,"0.16761553061278625,0.10355194599305517"
4,"0.16761553,0.10355195",8,9.458712105006475,"0.17781602850718004,0.10355194599305517"
5,"0.17781603,0.10355195",2,9.438466614967519,"0.1879387735266581,0.10355194599305517"
6,"0.18793878,0.10355195",7,9.4192828287389,"0.19753066664096744,0.10355194599305517"
7,"0.19753067,0.10355195",2,9.400987622600908,"0.20667826970996314,0.10355194599305517"
8,"0.20667827,0.10355195",4,9.383025502880699,"0.21565932957006817,0.10355194599305517"
9,"0.21565934,0.10355195",4,9.366722677996291,"0.22381074201227222,0.10355194599305517"
10,"0.22381075,0.10355195",8,9.352144036456485,"0.2311000627821748,0.10355194599305517"
11,"0.23110007,0.10355195",3,9.31766819150827,"0.24833798525628265,0.10355194599305517"
12,"0.24833798,0.10355195",6,9.291628726676658,"0.2613577176720884,0.10355194599305517"
13,"0.26135772,0.10355195",0,9.312958835310596,"0.25069266335512,0.10355194599305517"
14,"0.25069267,0.10355195",5,9.350363774615587,"0.23199019370262372,0.10355194599305517"
15,"0.23199019,0.10355195",8,9.386633341507045,"0.21385541025689545,0.10355194599305517"
16,"0.21385542,0.10355195",2,9.463279271015972,"0.17553244550243172,0.10355194599305517"
17,"0.17553245,0.10355195",5,9.519049368367897,"0.14764739682646905,0.10355194599305517"
18,"0.1476474,0.10355195",1,9.53008068312847,"0.14213173944618285,0.10355194599305517"
19,"0.14213175,0.10355195",4,9.50842287275495,"0.15296064463294257,0.10355194599305517"
20,"0.15296064,0.10355195",1,9.485875749947862,"0.16423420603648692,0.10355194599305517"
21,"0.1642342,0.10355195",9,9.463286259046795,"0.17552895148702027,0.10355194599305517"
22,"0.17552896,0.10355195",2,9.440796746393564,"0.18677370781363517,0.10355194599305517"
23,"0.1867737,0.10355195",4,9.419915098805525,"0.197214531607655,0.10355194599305517"
24,"0.19721453,0.10355195",1,9.39878012648339,"0.20778201776872257,0.10355194599305517"
25,"0.20778202,0.10355195",0,9.378311354696844,"0.21801640366199534,0.10355194599305517"
26,"0.2180164,0.10355195",0,9.361859968627027,"0.226117271224077,0.10355194599305517"
27,"0.22611727,0.10355195",9,9.347846789743542,"0.23324868613864694,0.10355194599305517"
28,"0.23324868,0.10355195",7,9.336308354942991,"0.23901790353892247,0.10355194599305517"
29,"0.2390179,0.10355195",1,9.324267728405403,"0.24503821680771598,0.10355194599305517"
30,"0.13285875,0.10344201",6,9.575738507430684,"0.11939770594956296,0.10355193474616009"
31,"0.11939771,0.10355193",4,9.60575458657431,"0.1042947877232623,0.10355194599305517"
32,"0.104294784,0.10355195",0,9.617143871597616,"0.09860014521160987,0.10355194599305517"
33,"0.09860014,0.10355195",0,9.616695389044084,"0.09882438648837584,0.10355194599305517"
34,"0.09882439,0.10355195",3,9.608504748721346,"0.10291970664974445,0.10355194599305517"
35,"0.102919705,0.10355195",1,9.583203709259406,"0.11557022638071486,0.10355194599305517"
36,"0.115570225,0.10355195",3,9.542378201593376,"0.1359829802137294,0.10355194599305517"
