,state,action,reward,next_state
0,"0.13331285,0.10344201",1,-0.461113695922477,"0.13772891155893102,0.1035519576015383"
1,"0.13772891,0.103551954",5,-0.4809670270733041,"0.14765559454706928,0.10355194599305517"
2,"0.14765559,0.10355195",2,-0.5020826437339907,"0.1582134028774126,0.10355194599305517"
3,"0.1582134,0.10355195",2,-0.5229282543794207,"0.16859407450706626,0.10355194599305517"
4,"0.16859408,0.10355195",2,-0.542852174525155,"0.1785981682729947,0.10355194599305517"
5,"0.17859817,0.10355195",6,-0.5371907645683658,"0.1757674632946001,0.10355194599305517"
6,"0.17576747,0.10355195",4,-0.540589136322802,"0.17746664917181826,0.10355194599305517"
7,"0.17746665,0.10355195",9,-0.5409016478576999,"0.1776229049392672,0.10355194599305517"
8,"0.1776229,0.10355195",1,-0.5521357341822947,"0.18323994810156455,0.10355194599305517"
9,"0.18323995,0.10355195",7,-0.5735203153526499,"0.1939322386867422,0.10355194599305517"
10,"0.19393224,0.10355195",5,-0.5938143206201019,"0.20407924132046817,0.10355194599305517"
11,"0.20407924,0.10355195",0,-0.6121059848304073,"0.2132250734256209,0.10355194599305517"
12,"0.21322507,0.10355195",7,-0.6292056484271902,"0.2217749052240123,0.10355194599305517"
13,"0.2217749,0.10355195",6,-0.6443442435336485,"0.22934420277724146,0.10355194599305517"
14,"0.2293442,0.10355195",4,-0.6576568259584749,"0.23600049398965467,0.10355194599305517"
15,"0.2360005,0.10355195",8,-0.6633353727725798,"0.2387860004128155,0.10355194599305517"
16,"0.238786,0.10355195",2,-0.66466295396257,"0.23950355799170225,0.10355194599305517"
17,"0.23950356,0.10355195",8,-0.6648391400514948,"0.23959165103616462,0.10355194599305517"
18,"0.23959166,0.10355195",3,-0.6921126280599733,"0.2532283950404039,0.10355194599305517"
19,"0.2532284,0.10355195",9,-0.7084444168489006,"0.26139428943486753,0.10355194599305517"
20,"0.2613943,0.10355195",7,-0.708529855691392,"0.26143700885611326,0.10355194599305517"
21,"0.261437,0.10355195",3,-0.7634569450399933,"0.2889005535304139,0.10355194599305517"
22,"0.28890055,0.10355195",3,-0.8503696586101951,"0.3323569103155148,0.10355194599305517"
23,"0.3323569,0.10355195",8,-0.8842772137925202,"0.34931068790667735,0.10355194599305517"
24,"0.3493107,0.10355195",7,-0.8864798263227293,"0.35040507895551865,0.10355194599305517"
25,"0.35040507,0.10355195",6,-0.8876177513787343,"0.3509809566997844,0.10355194599305517"
26,"0.35098097,0.10355195",8,-0.8888597208966293,"0.3516019414587319,0.10355194599305517"
27,"0.35160193,0.10355195",9,-0.8901524629826767,"0.3522483125017556,0.10355194599305517"
28,"0.3522483,0.10355195",3,-0.9466925412892537,"0.3805183516550441,0.10355194599305517"
29,"0.38051835,0.10355195",0,-0.9656882263811309,"0.3900161942009827,0.10355194599305517"
30,"0.13258478,0.10344201",9,-0.4480237227079479,"0.13118755458754097,0.10354953784428864"
31,"0.13118756,0.10354954",2,-0.43666312129101903,"0.12550364165592673,0.10355194599305517"
32,"0.12550364,0.10355195",3,-0.4301476527255568,"0.12224590737319563,0.10355194599305517"
33,"0.12224591,0.10355195",1,-0.46239921108827653,"0.1383716865545555,0.10355194599305517"
34,"0.13837169,0.10355195",2,-0.4788882141048256,"0.1465987061688451,0.10355194599305517"
35,"0.14659871,0.10355195",1,-0.5010843297999161,"0.15771424591037528,0.10355194599305517"
36,"0.15771425,0.10355195",4,-0.5247827642479004,"0.1695634631343674,0.10355194599305517"
37,"0.16956346,0.10355195",6,-0.5474001824442692,"0.18087217223255186,0.10355194599305517"
38,"0.18087217,0.10355195",6,-0.5694864155297871,"0.19191528877531078,0.10355194599305517"
39,"0.19191529,0.10355195",1,-0.5929184576280798,"0.20363130982445715,0.10355194599305517"
40,"0.20363131,0.10355195",2,-0.616645619289987,"0.2154948906554107,0.10355194599305517"
41,"0.21549489,0.10355195",5,-0.6374514132308342,"0.22589778762583435,0.10355194599305517"
42,"0.22589779,0.10355195",3,-0.6792626734237126,"0.24680341772227354,0.10355194599305517"
43,"0.24680342,0.10355195",9,-0.715328542044211,"0.26483635203252276,0.10355194599305517"
44,"0.26483634,0.10355195",5,-0.7448587165812425,"0.2796014393010385,0.10355194599305517"
45,"0.27960142,0.10355195",8,-0.7759655037247027,"0.2951548328727686,0.10355194599305517"
46,"0.29515484,0.10355195",4,-0.8260748894429426,"0.32020952573188854,0.10355194599305517"
47,"0.32020953,0.10355195",3,-0.8856532516867157,"0.3499987068537751,0.10355194599305517"
48,"0.3499987,0.10355195",3,-0.9315437631497872,"0.3729439625853108,0.10355194599305517"
49,"0.37294397,0.10355195",9,-0.9487493281779169,"0.3815226719688104,0.10355194599305517"
50,"0.3815227,0.10355195",3,-0.9585036748139288,"0.38642391841738166,0.10355194599305517"
51,"0.38642392,0.10355195",7,-0.9764761490441662,"0.39541015553250036,0.10355194599305517"
52,"0.39541015,0.10355195",4,-0.9970443602757151,"0.4056942611482748,0.10355194599305517"
53,"0.40569425,0.10355195",1,-1.0032133478700411,"0.40877875494543786,0.10355194599305517"
54,"0.40877876,0.10355195",1,-1.006792028860604,"0.41056809544071926,0.10355194599305517"
55,"0.4105681,0.10355195",0,-1.0111092289086534,"0.412726695464744,0.10355194599305517"
56,"0.4127267,0.10355195",4,-1.0200503397218517,"0.4171972508713431,0.10355194599305517"
57,"0.41719726,0.10355195",6,-1.0330487572099396,"0.42369645961538704,0.10355194599305517"
58,"0.42369646,0.10355195",5,-1.0305903888163712,"0.4224672754186029,0.10355194599305517"
59,"0.42246726,0.10355195",9,-1.0321787059511693,"0.42325473585617807,0.10355194599305517"
60,"0.13396749,0.10344201",6,-0.4265352909906692,"0.12043977293423502,0.10355191504073306"
61,"0.120439775,0.10355192",8,-0.39568606728762945,"0.10501511465423194,0.10355194599305517"
62,"0.105015114,0.10355195",6,-0.3797072030864712,"0.09702568255365282,0.10355194599305517"
63,"0.097025685,0.10355195",9,-0.37485486400187257,"0.1014439326365653,0.09898899957624732"
64,"0.10144393,0.098989",1,-0.3884841497944928,"0.10983383192497805,0.09793882864817892"
65,"0.10983383,0.09793883",5,-0.4124183279036056,"0.12175383210378699,0.09793882864817892"
66,"0.121753834,0.09793883",4,-0.42751526132370427,"0.12934938768958376,0.09793882864817892"
67,"0.12934938,0.09793883",9,-0.44640272297364353,"0.1387931185145534,0.09793882864817892"
68,"0.13879313,0.09793883",6,-0.4616354012778622,"0.14640945766666272,0.09793882864817892"
69,"0.14640945,0.09793883",9,-0.46125891034812705,"0.14622121220179515,0.09793882864817892"
70,"0.1462212,0.09793883",4,-0.4849685348162332,"0.15807602443584823,0.09793882864817892"
71,"0.15807602,0.09793883",6,-0.523061296117697,"0.17712240508658014,0.09793882864817892"
72,"0.1771224,0.09793883",8,-0.5502501506942319,"0.19065715664739322,0.09793882864817892"
73,"0.19065715,0.09793883",2,-0.5650539887453682,"0.1981187514004157,0.09793882864817892"
74,"0.19811875,0.09793883",2,-0.5692981249172235,"0.20024081948634337,0.09793882864817892"
75,"0.20024082,0.09793883",9,-0.5697554070695663,"0.20046946056251475,0.09793882864817892"
76,"0.20046946,0.09793883",8,-0.5697876857723967,"0.20048559991392995,0.09793882864817892"
77,"0.2004856,0.09793883",6,-0.5697149547362723,"0.2004492343958678,0.09793882864817892"
78,"0.20044923,0.09793883",6,-0.5696990832762808,"0.20044129866587204,0.09793882864817892"
79,"0.2004413,0.09793883",0,-0.5530570414971752,"0.19212027777631924,0.09793882864817892"
80,"0.19212028,0.09793883",6,-0.5448378780757397,"0.1880106960656015,0.09793882864817892"
81,"0.1880107,0.09793883",2,-0.5475422535785242,"0.18936288381699368,0.09793882864817892"
82,"0.18936288,0.09793883",5,-0.5196500886451887,"0.17541680135032597,0.09793882864817892"
83,"0.1754168,0.09793883",4,-0.5109466903134076,"0.1710651021844354,0.09793882864817892"
84,"0.1710651,0.09793883",3,-0.5497706459220272,"0.19047707998874522,0.09793882864817892"
85,"0.19047707,0.09793883",7,-0.6029410259792486,"0.21706227001735592,0.09793882864817892"
86,"0.21706226,0.09793883",6,-0.6562213235361266,"0.24370241879579493,0.09793882864817892"
87,"0.24370241,0.09793883",7,-0.6947242932119333,"0.26295390363369825,0.09793882864817892"
88,"0.2629539,0.09793883",5,-0.6456265044125061,"0.2384050092339847,0.09793882864817892"
89,"0.238405,0.09793883",0,-0.6123751764312617,"0.2217793452433625,0.09793882864817892"
90,"0.13162397,0.10344201",3,-0.4588499458639246,"0.13660416567291292,0.10354720483936625"
91,"0.13660416,0.10354721",5,-0.4893539535543848,"0.15184905778760965,0.10355194599305517"
92,"0.15184906,0.10355195",0,-0.5279686190825144,"0.17115639055167442,0.10355194599305517"
93,"0.17115639,0.10355195",5,-0.5556025838842147,"0.18497337295252456,0.10355194599305517"
94,"0.18497337,0.10355195",6,-0.5393432655563087,"0.17684371378857158,0.10355194599305517"
95,"0.17684372,0.10355195",2,-0.4640009170276329,"0.1391725395242337,0.10355194599305517"
96,"0.13917254,0.10355195",0,-0.39173808907550467,"0.10304112554816955,0.10355194599305517"
97,"0.10304113,0.10355195",6,-0.3829574795083912,"0.09908830866582631,0.10326028739224619"
98,"0.09908831,0.103260286",2,-0.3875063470141329,"0.10161801639572308,0.1030901047408956"
99,"0.101618014,0.10309011",8,-0.3820357587655486,"0.0994090583055794,0.10273921405146329"
100,"0.09940906,0.102739215",2,-0.37871296939016746,"0.09820652284104267,0.10243330790269403"
101,"0.09820652,0.10243331",6,-0.38536889307667954,"0.10158151029517398,0.10240195749544384"
102,"0.101581514,0.10240196",5,-0.3954702948533572,"0.10663008168881231,0.10240337715857753"
103,"0.10663008,0.10240338",8,-0.41289048535647505,"0.11518896970025651,0.10240337715857753"
104,"0.11518897,0.10240338",6,-0.4335427346442068,"0.12566630158423708,0.10240337715857753"
105,"0.1256663,0.10240338",6,-0.4679460904719865,"0.14286797949812693,0.10240337715857753"
106,"0.14286798,0.10240338",5,-0.5032120696096043,"0.16050096906693587,0.10240337715857753"
107,"0.16050097,0.10240338",4,-0.5187239374061265,"0.168256902965197,0.10240337715857753"
108,"0.16825691,0.10240338",7,-0.5154380414332185,"0.16661395497874293,0.10240337715857753"
109,"0.16661395,0.10240338",5,-0.5177872909877214,"0.16778857975599437,0.10240337715857753"
110,"0.16778858,0.10240338",3,-0.5088804056070092,"0.16334366472537343,0.10240337715857753"
111,"0.16334367,0.10240338",6,-0.5088834869967469,"0.16333667776050714,0.10240337715857753"
112,"0.16333668,0.10240338",5,-0.5196834259153795,"0.16873664721982348,0.10240337715857753"
113,"0.16873665,0.10240338",2,-0.5090806408747605,"0.16343525469951392,0.10240337715857753"
114,"0.16343525,0.10240338",0,-0.5191737237106895,"0.16848179611747843,0.10240337715857753"
115,"0.1684818,0.10240338",5,-0.527541991010374,"0.17266592976732073,0.10240337715857753"
116,"0.17266592,0.10240338",3,-0.5121239863520916,"0.16495692743817947,0.10240337715857753"
117,"0.16495693,0.10240338",1,-0.5067106682371736,"0.16225026838072049,0.10240337715857753"
118,"0.16225027,0.10240338",8,-0.5155122853121443,"0.16649928269055805,0.10240337715857753"
119,"0.16649929,0.10240338",3,-0.5371148446608778,"0.17745235659257258,0.10240337715857753"
120,"0.13181092,0.10344201",3,-0.4610637926358532,"0.13770748825742457,0.10354960537366802"
121,"0.13770749,0.10354961",6,-0.4628611374000122,"0.13860264971042333,0.10355194599305517"
122,"0.13860264,0.10355195",4,-0.45975906265558775,"0.13705161233821112,0.10355194599305517"
123,"0.13705161,0.10355195",2,-0.4230205337076106,"0.11868234786422253,0.10355194599305517"
124,"0.11868235,0.10355195",1,-0.4099190091228717,"0.11213158557185311,0.10355194599305517"
125,"0.11213159,0.10355195",5,-0.43532689752783726,"0.12483552977433587,0.10355194599305517"
126,"0.12483553,0.10355195",7,-0.45263849421224367,"0.13349132811653905,0.10355194599305517"
127,"0.13349132,0.10355195",3,-0.4740471528441814,"0.14419565743250795,0.10355194599305517"
128,"0.14419566,0.10355195",7,-0.5172030109301003,"0.16577358647546742,0.10355194599305517"
129,"0.16577359,0.10355195",8,-0.5726066418965597,"0.19342520620463985,0.10355194599305517"
130,"0.19342521,0.10355195",8,-0.6049907015045634,"0.20966743176269892,0.10355194599305517"
131,"0.20966743,0.10355195",3,-0.6669571446115635,"0.24065065331619898,0.10355194599305517"
132,"0.24065065,0.10355195",3,-0.7559551829549708,"0.28514967248790263,0.10355194599305517"
133,"0.28514966,0.10355195",9,-0.8493799530511222,"0.33186205753597836,0.10355194599305517"
134,"0.33186206,0.10355195",1,-0.8695063486299788,"0.34192525532540663,0.10355194599305517"
135,"0.34192526,0.10355195",2,-0.8305353329848743,"0.32245794830123936,0.10355194599305517"
136,"0.32245794,0.10355195",6,-0.8435563064242019,"0.3289502342225182,0.10355194599305517"
137,"0.32895023,0.10355195",9,-0.866258650902882,"0.34030140646185825,0.10355194599305517"
138,"0.3403014,0.10355195",0,-0.8658090197474005,"0.3401004393853932,0.10355194599305517"
139,"0.34010044,0.10355195",7,-0.8467465857308687,"0.3305453738758516,0.10355194599305517"
140,"0.33054537,0.10355195",9,-0.8282005457778461,"0.3212723538993403,0.10355194599305517"
141,"0.32127234,0.10355195",0,-0.8106133676977683,"0.3124908991507454,0.10355194599305517"
142,"0.3124909,0.10355195",1,-0.7985855427202314,"0.3064699743062874,0.10355194599305517"
143,"0.30646998,0.10355195",4,-0.7974435540465186,"0.3058938580336765,0.10355194599305517"
144,"0.30589387,0.10355195",6,-0.7973554585730442,"0.30584981029693936,0.10355194599305517"
145,"0.30584982,0.10355195",8,-0.7973286622537684,"0.30583641213730145,0.10355194599305517"
146,"0.3058364,0.10355195",3,-0.8635436453479661,"0.3389439036844003,0.10355194599305517"
147,"0.3389439,0.10355195",7,-0.8898003208558003,"0.3520722414383174,0.10355194599305517"
148,"0.35207224,0.10355195",8,-0.8911804826480041,"0.3527623223344193,0.10355194599305517"
149,"0.3527623,0.10355195",3,-0.9467553161696287,"0.3805497390952316,0.10355194599305517"
150,"0.13272564,0.10344201",8,-0.4481862967096881,"0.13126527472286434,0.10355191575465315"
151,"0.13126527,0.10355192",5,-0.43654374947150243,"0.12544395574616846,0.10355194599305517"
152,"0.12544395,0.10355195",5,-0.41879337944679784,"0.11656877073381613,0.10355194599305517"
153,"0.116568774,0.10355195",2,-0.40333346918727364,"0.10883881560405405,0.10355194599305517"
154,"0.10883882,0.10355195",4,-0.40276612577059756,"0.10855514389571602,0.10355194599305517"
155,"0.108555146,0.10355195",6,-0.37576137744931226,"0.09505276973507339,0.10355194599305517"
