,state,action,reward,next_state
0,"0.13285464,0.10344201",2,-0.44507659108566155,"0.12971748756982815,0.10354720531533508"
1,"0.12971748,0.10354721",3,-0.44201949091086434,"0.12818182646584939,0.10355194599305517"
2,"0.12818183,0.10355195",0,-0.4617228228292659,"0.1380334924250502,0.10355194599305517"
3,"0.1380335,0.10355195",5,-0.4889368415350792,"0.15164050177795685,0.10355194599305517"
4,"0.1516405,0.10355195",9,-0.5110701378576686,"0.16270714993925156,0.10355194599305517"
5,"0.16270715,0.10355195",2,-0.4508595488260184,"0.13260185542342645,0.10355194599305517"
6,"0.13260186,0.10355195",0,-0.4031859966594622,"0.10876507934014833,0.10355194599305517"
7,"0.10876508,0.10355195",5,-0.39717801997536395,"0.10576109099809923,0.10355194599305517"
8,"0.10576109,0.10355195",3,-0.40127591359064807,"0.10781003780574126,0.10355194599305517"
9,"0.107810035,0.10355195",5,-0.4264099810563119,"0.12037707153857316,0.10355194599305517"
10,"0.12037707,0.10355195",5,-0.45931328393010973,"0.1368287229754721,0.10355194599305517"
11,"0.13682872,0.10355195",9,-0.4887552813979098,"0.15154972170937211,0.10355194599305517"
12,"0.15154973,0.10355195",1,-0.4943178468992797,"0.15433100446005707,0.10355194599305517"
13,"0.154331,0.10355195",0,-0.4941374934697059,"0.1542408277452702,0.10355194599305517"
14,"0.15424083,0.10355195",2,-0.44150452879060476,"0.1279243454057196,0.10355194599305517"
15,"0.12792434,0.10355195",9,-0.3966820184488893,"0.1055130902348619,0.10355194599305517"
16,"0.10551309,0.10355195",9,-0.3898478905248821,"0.10209602627285831,0.10355194599305517"
17,"0.10209603,0.10355195",4,-0.3907278789538605,"0.10253602048734749,0.10355194599305517"
18,"0.10253602,0.10355195",3,-0.39751147231138884,"0.10592781716611165,0.10355194599305517"
19,"0.10592782,0.10355195",8,-0.42471486145043613,"0.1195295117356353,0.10355194599305517"
20,"0.11952951,0.10355195",4,-0.46067470237583075,"0.1375094321983326,0.10355194599305517"
21,"0.13750944,0.10355195",8,-0.49118534417366233,"0.15272524491662842,0.10355194599305517"
22,"0.15272525,0.10355195",9,-0.49607691415219357,"0.15521053808651403,0.10355194599305517"
23,"0.15521054,0.10355195",7,-0.4964459875157513,"0.1553914700228921,0.10355194599305517"
24,"0.15539147,0.10355195",7,-0.4964604780244317,"0.15539978239049035,0.10355194599305517"
25,"0.15539978,0.10355195",4,-0.4974190087564275,"0.15588158538863098,0.10355194599305517"
26,"0.15588158,0.10355195",8,-0.497521499845343,"0.1559328309330887,0.10355194599305517"
27,"0.15593283,0.10355195",6,-0.49754710503246924,"0.15594563352665183,0.10355194599305517"
28,"0.15594563,0.10355195",4,-0.49809848905838694,"0.15622132553961068,0.10355194599305517"
29,"0.15622133,0.10355195",3,-0.5318077286382112,"0.17307594532952283,0.10355194599305517"
30,"0.13270186,0.10344201",2,-0.4472144755483054,"0.13078627587195119,0.103547307934801"
31,"0.13078627,0.103547305",3,-0.44648800132127087,"0.13041608167105265,0.10355194599305517"
32,"0.13041608,0.10355195",4,-0.47027419729457753,"0.14230917965770598,0.10355194599305517"
33,"0.14230917,0.10355195",0,-0.4999744710501651,"0.15715931653549978,0.10355194599305517"
34,"0.15715931,0.10355195",1,-0.5278041772157025,"0.17107416961826846,0.10355194599305517"
35,"0.17107417,0.10355195",4,-0.5324452178710253,"0.17339468994592988,0.10355194599305517"
36,"0.1733947,0.10355195",9,-0.5315757772939514,"0.17295996965739296,0.10355194599305517"
37,"0.17295997,0.10355195",0,-0.528288602704658,"0.17131638236274627,0.10355194599305517"
38,"0.17131639,0.10355195",6,-0.5336755857765133,"0.17400987389867387,0.10355194599305517"
39,"0.17400987,0.10355195",5,-0.5236264332016645,"0.16898529761124947,0.10355194599305517"
40,"0.16898529,0.10355195",3,-0.5396261034956691,"0.17698513275825176,0.10355194599305517"
41,"0.17698513,0.10355195",0,-0.595497602561168,"0.20492088229100125,0.10355194599305517"
42,"0.20492089,0.10355195",0,-0.6478630240530663,"0.23110359303695036,0.10355194599305517"
43,"0.2311036,0.10355195",3,-0.6988625618621866,"0.25660336194151057,0.10355194599305517"
44,"0.25660336,0.10355195",4,-0.7595519619152911,"0.2869480619680628,0.10355194599305517"
45,"0.28694806,0.10355195",8,-0.8210824149673956,"0.31762853276298386,0.10355194599305517"
46,"0.31762853,0.10355195",6,-0.8734932314365573,"0.3439186967286959,0.10355194599305517"
47,"0.3439187,0.10355195",6,-0.9269226685623838,"0.37063341529160915,0.10355194599305517"
48,"0.37063342,0.10355195",6,-0.9787411870975048,"0.39654267455916964,0.10355194599305517"
49,"0.39654267,0.10355195",3,-1.0311686151514106,"0.4227563885861225,0.10355194599305517"
