,state,action,reward,next_state
0,"0.13258672,0.10344201",4,-0.44701801688522214,"0.13068809827337793,0.10354727344615543"
1,"0.1306881,0.103547275",7,-0.4337592470400967,"0.12405170453046557,0.10355194599305517"
2,"0.124051705,0.10355195",4,-0.4150449059749961,"0.11469453399791527,0.10355194599305517"
3,"0.114694536,0.10355195",0,-0.40263994309259454,"0.10849205255671449,0.10355194599305517"
4,"0.108492054,0.10355195",0,-0.40145781180812345,"0.10790098691447896,0.10355194599305517"
5,"0.107900985,0.10355195",7,-0.40027388330284897,"0.10730902266184174,0.10355194599305517"
6,"0.10730902,0.10355195",6,-0.39905220492474136,"0.10669818347278794,0.10355194599305517"
7,"0.106698185,0.10355195",1,-0.39777424570603837,"0.1060592038634364,0.10355194599305517"
8,"0.1060592,0.10355195",6,-0.39641772250315244,"0.10538094226199343,0.10355194599305517"
9,"0.105380945,0.10355195",3,-0.40188235711473375,"0.10805978133570251,0.10355194599305517"
10,"0.10805978,0.10355195",2,-0.38912169033504174,"0.10171802900924273,0.10355194599305517"
11,"0.10171803,0.10355195",2,-0.3914714887097487,"0.1029078253652916,0.10355194599305517"
12,"0.10290783,0.10355195",8,-0.39237362016721944,"0.10335889109402693,0.10355194599305517"
13,"0.103358895,0.10355195",3,-0.39885606306615884,"0.10660011254349663,0.10355194599305517"
14,"0.10660011,0.10355195",5,-0.4267102058755836,"0.12052718394820906,0.10355194599305517"
15,"0.120527185,0.10355195",9,-0.460659405562712,"0.13750178379177325,0.10355194599305517"
16,"0.13750179,0.10355195",7,-0.49090458501654355,"0.152624373518689,0.10355194599305517"
17,"0.15262437,0.10355195",7,-0.4953142771541309,"0.15482921958748266,0.10355194599305517"
18,"0.15482922,0.10355195",9,-0.4954976095786876,"0.15492088579976104,0.10355194599305517"
19,"0.15492089,0.10355195",9,-0.4955007809038243,"0.15492247146232938,0.10355194599305517"
20,"0.15492247,0.10355195",1,-0.49652340997674593,"0.15543378599879018,0.10355194599305517"
21,"0.15543379,0.10355195",7,-0.4968872013821485,"0.15561370182071155,0.10355194599305517"
22,"0.1556137,0.10355195",5,-0.4952947989354367,"0.15481948047813557,0.10355194599305517"
23,"0.15481947,0.10355195",6,-0.4952932457749446,"0.15481870389788951,0.10355194599305517"
24,"0.1548187,0.10355195",7,-0.4953060418283872,"0.15482510192461085,0.10355194599305517"
25,"0.1548251,0.10355195",1,-0.5059701642686205,"0.1601571631447275,0.10355194599305517"
26,"0.16015716,0.10355195",7,-0.5274928279613567,"0.17091849499109554,0.10355194599305517"
27,"0.1709185,0.10355195",2,-0.5095063276973503,"0.16192524485909235,0.10355194599305517"
28,"0.16192524,0.10355195",7,-0.5204451656416996,"0.16730042690869038,0.10355194599305517"
29,"0.16730043,0.10355195",4,-0.5438851392893543,"0.1791146506550944,0.10355194599305517"
30,"0.13297391,0.10344201",9,-0.44616459588380547,"0.13025789059533097,0.1035496048977145"
31,"0.13025789,0.10354961",5,-0.433635575955164,"0.12398986898799924,0.10355194599305517"
32,"0.12398987,0.10355195",2,-0.41369417430301647,"0.11401916816192549,0.10355194599305517"
33,"0.11401917,0.10355195",9,-0.4025359757432879,"0.10844006888206122,0.10355194599305517"
34,"0.10844007,0.10355195",3,-0.40624100514251105,"0.11029258358167278,0.10355194599305517"
