,state,action,reward,next_state
0,"0.13271567,0.10344201",2,-0.445620838902563,"0.12999221788104562,0.10354960513569128"
1,"0.12999222,0.10354961",5,-0.43226563012230423,"0.12330489607156936,0.10355194599305517"
2,"0.123304896,0.10355195",5,-0.4121636844849468,"0.11339649175105852,0.10355194599305517"
3,"0.11339649,0.10355195",5,-0.4032099403320921,"0.10878342698586668,0.10355194599305517"
4,"0.108783424,0.10355195",8,-0.40209023124152343,"0.10821719663117893,0.10355194599305517"
5,"0.108217195,0.10355195",8,-0.4011876624135482,"0.10776591221719133,0.10355194599305517"
6,"0.10776591,0.10355195",2,-0.40019761002927434,"0.10727088602505443,0.10355194599305517"
7,"0.10727089,0.10355195",7,-0.3991204250470889,"0.10673229353396167,0.10355194599305517"
8,"0.106732294,0.10355195",0,-0.3960654537392072,"0.10520676731765596,0.10355194599305517"
9,"0.105206765,0.10355195",2,-0.39460305919155725,"0.10448184463643817,0.10355194599305517"
10,"0.104481846,0.10355195",8,-0.39308182601217145,"0.10371299401650298,0.10355194599305517"
11,"0.10371299,0.10355195",5,-0.39151186276487593,"0.10292801239285518,0.10355194599305517"
12,"0.10292801,0.10355195",8,-0.3912613536432854,"0.10280275783205993,0.10355194599305517"
13,"0.10280276,0.10355195",5,-0.39124217720276355,"0.10279316961179903,0.10355194599305517"
14,"0.10279317,0.10355195",5,-0.3912368251776539,"0.10279049359924419,0.10355194599305517"
15,"0.1027905,0.10355195",5,-0.3912327694660246,"0.10278846574342955,0.10355194599305517"
16,"0.10278846,0.10355195",2,-0.39122931271508565,"0.10278673736796008,0.10355194599305517"
17,"0.102786735,0.10355195",8,-0.3912252596717296,"0.10278471084628206,0.10355194599305517"
18,"0.10278471,0.10355195",8,-0.3912214708675319,"0.10278281644418318,0.10355194599305517"
19,"0.102782816,0.10355195",8,-0.39121846243897707,"0.10278131222990579,0.10355194599305517"
20,"0.10278131,0.10355195",5,-0.39121527389467503,"0.10277971795775477,0.10355194599305517"
21,"0.102779716,0.10355195",5,-0.3912118940920911,"0.1027780280564628,0.10355194599305517"
22,"0.102778025,0.10355195",5,-0.3912088167128036,"0.10277648936681906,0.10355194599305517"
23,"0.10277649,0.10355195",5,-0.39120574577522194,"0.10277495389802821,0.10355194599305517"
24,"0.102774955,0.10355195",8,-0.39120300097083127,"0.10277358149583285,0.10355194599305517"
25,"0.102773584,0.10355195",6,-0.39119881156558944,"0.10277148679321195,0.10355194599305517"
26,"0.10277148,0.10355195",5,-0.3911951012688223,"0.10276963164482839,0.10355194599305517"
27,"0.10276963,0.10355195",5,-0.39119176409920486,"0.10276796306001966,0.10355194599305517"
28,"0.10276797,0.10355195",5,-0.39118877314511413,"0.10276646758297431,0.10355194599305517"
29,"0.10276647,0.10355195",8,-0.3911861067214156,"0.10276513437112506,0.10355194599305517"
30,"0.13280793,0.10344201",8,-0.4469227397523522,"0.1306405626171267,0.10354720483936625"
31,"0.13064057,0.10354721",5,-0.4342613225463715,"0.12430274228360297,0.10355194599305517"
32,"0.124302745,0.10355195",5,-0.41459926665431557,"0.11447171433757501,0.10355194599305517"
33,"0.11447171,0.10355195",8,-0.40309964751813065,"0.10872190476948258,0.10355194599305517"
34,"0.108721904,0.10355195",5,-0.4018765072656747,"0.1081103346432546,0.10355194599305517"
35,"0.10811033,0.10355195",8,-0.4008236818828175,"0.10758392195182598,0.10355194599305517"
36,"0.107583925,0.10355195",5,-0.39973056491710546,"0.10703736346896994,0.10355194599305517"
37,"0.107037365,0.10355195",5,-0.3985856871218485,"0.1064649245713415,0.10355194599305517"
38,"0.10646492,0.10355195",8,-0.3973679266349067,"0.10585604432787059,0.10355194599305517"
39,"0.105856046,0.10355195",5,-0.39608184097265986,"0.10521300149674719,0.10355194599305517"
40,"0.105213,0.10355195",8,-0.39472198198465647,"0.10453307200274548,0.10355194599305517"
41,"0.10453307,0.10355195",3,-0.39944493358198785,"0.10689454780141114,0.10355194599305517"
42,"0.106894545,0.10355195",5,-0.4266351960678717,"0.12048967904435308,0.10355194599305517"
43,"0.12048968,0.10355195",2,-0.4030681839950291,"0.10876791950831109,0.10355194599305517"
44,"0.10876792,0.10355195",5,-0.392548738899976,"0.10344645046040522,0.10355194599305517"
45,"0.103446454,0.10355195",6,-0.36732049020316315,"0.09083232611199882,0.10355194599305517"
46,"0.09083232,0.10355195",2,-0.3473274132048797,"0.08083578761285708,0.10355194599305517"
47,"0.08083579,0.10355195",5,-0.3363739731562476,"0.07535906758854105,0.10355194599305517"
48,"0.07535907,0.10355195",5,-0.32702528698231237,"0.07068472450157341,0.10355194599305517"
49,"0.07068472,0.10355195",5,-0.32034263988809475,"0.06804270856986672,0.1030844490935772"
50,"0.06804271,0.10308445",5,-0.316605619598146,"0.06786415628363517,0.10195910234362522"
51,"0.06786416,0.1019591",5,-0.3126771956648392,"0.06767295529598263,0.10077709502429132"
52,"0.06767295,0.1007771",5,-0.3086998768291937,"0.06748905488900947,0.0995739223503916"
53,"0.06748906,0.099573925",2,-0.30479897200614814,"0.06739251307823949,0.09833798194988973"
54,"0.06739251,0.098337986",8,-0.30096649012579885,"0.06723094771459767,0.09716819823220117"
55,"0.06723095,0.0971682",2,-0.2969657893712775,"0.0671044457936946,0.09591896592796276"
56,"0.067104444,0.09591897",8,-0.2933733728678036,"0.06700967428329947,0.09478467476706821"
57,"0.06700967,0.09478468",5,-0.28952657876005716,"0.06689516556987907,0.09357874920676636"
58,"0.066895165,0.09357875",2,-0.2858939417650364,"0.06679742566333856,0.09243303014611975"
