,state,action,reward,next_state
0,"0.13268942,0.10344201",5,-0.4465410064316325,"0.13044959340355627,0.10354727320817332"
1,"0.1304496,0.103547275",5,-0.43300698764644163,"0.12368554949780142,0.10355194599305517"
2,"0.123685546,0.10355195",5,-0.41321384253221594,"0.11391911152456659,0.10355194599305517"
3,"0.11391911,0.10355195",5,-0.40359209791494743,"0.10896812996789097,0.10355194599305517"
4,"0.10896813,0.10355195",5,-0.40236968573507803,"0.10835692387795623,0.10355194599305517"
5,"0.10835692,0.10355195",5,-0.40131621878944923,"0.10783019040514184,0.10355194599305517"
6,"0.10783019,0.10355195",5,-0.40023117384648166,"0.10728778590405562,0.10355194599305517"
7,"0.10728779,0.10355195",5,-0.39904649693926153,"0.10669532948004798,0.10355194599305517"
8,"0.10669533,0.10355195",5,-0.3978075670665746,"0.10607586454370452,0.10355194599305517"
9,"0.10607587,0.10355195",5,-0.39650637930828947,"0.10542527066456198,0.10355194599305517"
10,"0.10542527,0.10355195",5,-0.3951336979513419,"0.1047389299860882,0.10355194599305517"
11,"0.10473893,0.10355195",2,-0.3936235080999929,"0.10398383506041367,0.10355194599305517"
12,"0.103983834,0.10355195",5,-0.39311842255780227,"0.10372979847115003,0.10355194599305517"
13,"0.1037298,0.10355195",5,-0.3930674479698607,"0.10370580499534761,0.10355194599305517"
14,"0.10370581,0.10355195",5,-0.3930559253383389,"0.10369569948850034,0.10355194599305517"
15,"0.1036957,0.10355195",5,-0.39303441171523357,"0.10368928686803404,0.10355194599305517"
16,"0.10368929,0.10355195",5,-0.3930645450856932,"0.10370435355326385,0.10355194599305517"
17,"0.103704356,0.10355195",5,-0.3930378346958733,"0.10369099835835387,0.10355194599305517"
18,"0.103691,0.10355195",5,-0.39303570502967233,"0.10368993352525338,0.10355194599305517"
19,"0.10368993,0.10355195",5,-0.39303988850189475,"0.10369202526136462,0.10355194599305517"
20,"0.103692025,0.10355195",5,-0.3930236371740087,"0.10368389959742157,0.10355194599305517"
21,"0.1036839,0.10355195",5,-0.39304779023746894,"0.10369597612915171,0.10355194599305517"
22,"0.103695974,0.10355195",5,-0.3930569794918113,"0.10369967711635494,0.10355194599305517"
23,"0.10369968,0.10355195",5,-0.3930471705930404,"0.10369109410091863,0.10355194599305517"
24,"0.10369109,0.10355195",5,-0.3930304733292038,"0.10368731767501912,0.10355194599305517"
25,"0.103687316,0.10355195",5,-0.3930423767338561,"0.10369172908752088,0.10355194599305517"
26,"0.10369173,0.10355195",5,-0.39304021164832836,"0.10369218683458142,0.10355194599305517"
27,"0.10369219,0.10355195",5,-0.3930465276619567,"0.1036935595027432,0.10355194599305517"
28,"0.10369356,0.10355195",5,-0.3930016373727371,"0.1036728996967858,0.10355194599305517"
29,"0.1036729,0.10355195",5,-0.3930397055519619,"0.1036919337863982,0.10355194599305517"
30,"0.13284162,0.10344201",0,-0.44502958206047805,"0.12969382877106445,0.10354730817278306"
31,"0.12969384,0.103547305",5,-0.4318184527980171,"0.12308130740942581,0.10355194599305517"
32,"0.123081304,0.10355195",5,-0.4126680503433322,"0.11350610618208332,0.10355194599305517"
33,"0.11350611,0.10355195",5,-0.40147429249953315,"0.10790922726018382,0.10355194599305517"
34,"0.107909225,0.10355195",5,-0.40031750198393967,"0.10733083200238709,0.10355194599305517"
35,"0.10733083,0.10355195",5,-0.3991611283942559,"0.10675264520754517,0.10355194599305517"
36,"0.10675264,0.10355195",5,-0.397950484864369,"0.10614732344260176,0.10355194599305517"
37,"0.10614733,0.10355195",5,-0.3966616886434359,"0.10550292533213518,0.10355194599305517"
38,"0.105502926,0.10355195",5,-0.39530547508562053,"0.10482881294985456,0.10355194599305517"
39,"0.10482881,0.10355195",5,-0.39388981734245765,"0.10411698968164607,0.10355194599305517"
40,"0.10411699,0.10355195",5,-0.39236120353551707,"0.10335268277817575,0.10355194599305517"
41,"0.10335268,0.10355195",5,-0.39122650521696944,"0.10278533361890195,0.10355194599305517"
42,"0.102785334,0.10355195",5,-0.39116189202699037,"0.10275302702391244,0.10355194599305517"
43,"0.10275303,0.10355195",5,-0.3911513757174945,"0.10274776886916448,0.10355194599305517"
44,"0.10274777,0.10355195",5,-0.3911470091046104,"0.10274558556272242,0.10355194599305517"
45,"0.102745585,0.10355195",5,-0.39114323053227396,"0.10274369627655419,0.10355194599305517"
46,"0.10274369,0.10355195",5,-0.39114020621369583,"0.10274218411726516,0.10355194599305517"
47,"0.10274219,0.10355195",5,-0.39113735369745095,"0.10274074357635579,0.10355194599305517"
48,"0.10274074,0.10355195",5,-0.3911343199757803,"0.10273924099830736,0.10355194599305517"
49,"0.102739245,0.10355195",5,-0.39113131061306206,"0.10273773631694827,0.10355194599305517"
50,"0.10273774,0.10355195",5,-0.39112818085191625,"0.10273617143637535,0.10355194599305517"
51,"0.102736175,0.10355195",5,-0.3911250642481886,"0.10273461313451152,0.10355194599305517"
52,"0.10273461,0.10355195",5,-0.3911224275145362,"0.10273326068168358,0.10355194599305517"
53,"0.10273326,0.10355195",5,-0.3911181788119016,"0.10273104522477149,0.10355194599305517"
54,"0.10273104,0.10355195",5,-0.3911153847181047,"0.10272977336946956,0.10355194599305517"
55,"0.102729775,0.10355195",5,-0.39111239352997307,"0.10272827777540378,0.10355194599305517"
56,"0.10272828,0.10355195",5,-0.3911095694379009,"0.10272686572936766,0.10355194599305517"
57,"0.10272687,0.10355195",5,-0.3911062318700155,"0.10272519694542498,0.10355194599305517"
58,"0.1027252,0.10355195",5,-0.39110306787185223,"0.10272361494634337,0.10355194599305517"
59,"0.10272361,0.10355195",5,-0.39110008582333466,"0.10272212392208457,0.10355194599305517"
60,"0.13277505,0.10344201",5,-0.4467235436685595,"0.1305338354319723,0.1035519576015383"
61,"0.13053383,0.103551954",5,-0.43406669726400704,"0.12420542964242078,0.10355194599305517"
62,"0.12420543,0.10355195",5,-0.41440701687825554,"0.11437558944954503,0.10355194599305517"
63,"0.11437559,0.10355195",5,-0.40318228036987924,"0.10876640164095135,0.10355194599305517"
64,"0.1087664,0.10355195",5,-0.4019487276685729,"0.1081464448447037,0.10355194599305517"
65,"0.108146444,0.10355195",5,-0.4008951748469668,"0.10761966843390061,0.10355194599305517"
66,"0.107619666,0.10355195",5,-0.3998130956021475,"0.10707938184108177,0.10355194599305517"
67,"0.10707938,0.10355195",5,-0.3986696108966923,"0.10650688645876336,0.10355194599305517"
68,"0.106506884,0.10355195",5,-0.39745197854971925,"0.10589807028527684,0.10355194599305517"
69,"0.10589807,0.10355195",5,-0.3961560711262181,"0.10525011657352629,0.10355194599305517"
70,"0.10525012,0.10355195",5,-0.39478382603141093,"0.10456399402612268,0.10355194599305517"
71,"0.104563996,0.10355195",5,-0.3933399108740053,"0.10384203644741989,0.10355194599305517"
72,"0.103842035,0.10355195",5,-0.3926297770803644,"0.10348696955059943,0.10355194599305517"
73,"0.10348697,0.10355195",5,-0.3925816092183747,"0.10346288561960457,0.10355194599305517"
74,"0.10346288,0.10355195",5,-0.3925594571253125,"0.10345180957307346,0.10355194599305517"
75,"0.10345181,0.10355195",5,-0.3925756735619781,"0.10345563142326311,0.10355194599305517"
76,"0.10345563,0.10355195",5,-0.3925840125226078,"0.10346408727172114,0.10355194599305517"
77,"0.10346409,0.10355195",5,-0.39256575028641183,"0.10345495615362314,0.10355194599305517"
78,"0.103454955,0.10355195",5,-0.3925317701627947,"0.10343796609181459,0.10355194599305517"
79,"0.10343797,0.10355195",5,-0.39254742759940275,"0.10344579481011863,0.10355194599305517"
80,"0.1034458,0.10355195",5,-0.3925507647912968,"0.10344746340606564,0.10355194599305517"
81,"0.10344747,0.10355195",5,-0.3925594137503948,"0.10345035533200161,0.10355194599305517"
82,"0.10345036,0.10355195",5,-0.3925603883410591,"0.10345227518094678,0.10355194599305517"
83,"0.10345227,0.10355195",5,-0.39255989171195915,"0.1034515549299212,0.10355194599305517"
84,"0.10345156,0.10355195",5,-0.39255369967693854,"0.10344893084888653,0.10355194599305517"
85,"0.10344893,0.10355195",5,-0.39256831460953157,"0.10345579505651084,0.10355194599305517"
86,"0.1034558,0.10355195",5,-0.39252598932976346,"0.10343507567529897,0.10355194599305517"
87,"0.10343508,0.10355195",5,-0.39253411596524046,"0.10343913899303744,0.10355194599305517"
88,"0.10343914,0.10355195",5,-0.3925448186679523,"0.10344449034439339,0.10355194599305517"
89,"0.10344449,0.10355195",5,-0.39253956454245764,"0.10343725007163439,0.10355194599305517"
90,"0.13267776,0.10344201",5,-0.44681613428933853,"0.13059771178573337,0.10354720483936625"
91,"0.13059771,0.10354721",5,-0.43397451971562473,"0.12415934086822958,0.10355194599305517"
92,"0.12415934,0.10355195",5,-0.41476004871597594,"0.11455210536840521,0.10355194599305517"
93,"0.1145521,0.10355195",5,-0.40330269008243214,"0.10882342605163331,0.10355194599305517"
94,"0.108823426,0.10355195",5,-0.4020655514751087,"0.10820574863497433,0.10355194599305517"
95,"0.10820575,0.10355195",5,-0.4010166591744079,"0.10768041059762118,0.10355194599305517"
96,"0.10768041,0.10355195",5,-0.3999387425636505,"0.1071423365406755,0.10355194599305517"
97,"0.10714234,0.10355195",5,-0.3987928752967216,"0.10656872926062039,0.10355194599305517"
98,"0.10656873,0.10355195",5,-0.3975819903072456,"0.10596307616404003,0.10355194599305517"
99,"0.10596307,0.10355195",5,-0.3962914266789034,"0.10531779434986892,0.10355194599305517"
100,"0.105317794,0.10355195",5,-0.39494899617874535,"0.1046465790997899,0.10355194599305517"
101,"0.10464658,0.10355195",5,-0.3934885849325518,"0.10391637347669312,0.10355194599305517"
102,"0.10391638,0.10355195",5,-0.3927088597688281,"0.1035261419959446,0.10355194599305517"
103,"0.103526145,0.10355195",5,-0.39265842327111466,"0.10350129264597456,0.10355194599305517"
104,"0.10350129,0.10355195",5,-0.39264458955336157,"0.103494375787098,0.10355194599305517"
105,"0.103494376,0.10355195",5,-0.39264583959302324,"0.10349500080692883,0.10355194599305517"
106,"0.103495,0.10355195",5,-0.3926291005513226,"0.10348663128607855,0.10355194599305517"
107,"0.103486635,0.10355195",5,-0.3926318768860063,"0.10348801945342039,0.10355194599305517"
108,"0.10348802,0.10355195",5,-0.39262839418012563,"0.10348627810048003,0.10355194599305517"
109,"0.10348628,0.10355195",5,-0.3926329511068283,"0.10348805807576555,0.10355194599305517"
110,"0.10348806,0.10355195",5,-0.39262231600639874,"0.10348323901361663,0.10355194599305517"
111,"0.10348324,0.10355195",5,-0.3926302786743462,"0.10348722034759031,0.10355194599305517"
112,"0.10348722,0.10355195",5,-0.3926125206833029,"0.10347834135206868,0.10355194599305517"
113,"0.10347834,0.10355195",5,-0.39260951366449004,"0.10347683784266225,0.10355194599305517"
114,"0.10347684,0.10355195",5,-0.39262119319653854,"0.10348267760868651,0.10355194599305517"
115,"0.10348268,0.10355195",5,-0.39263101786177457,"0.10348758994130453,0.10355194599305517"
116,"0.10348759,0.10355195",5,-0.39261752715788645,"0.10348084458936045,0.10355194599305517"
117,"0.103480846,0.10355195",5,-0.39263844241657697,"0.10349130221870571,0.10355194599305517"
118,"0.1034913,0.10355195",5,-0.39263060430862773,"0.10348693557237706,0.10355194599305517"
119,"0.10348693,0.10355195",5,-0.39263566011385187,"0.10348991106734315,0.10355194599305517"
