,state,action,reward,next_state
0,"0.13271758,0.10344201",3,-0.45664315802487265,"0.13549364189621418,0.10355195807748141"
1,"0.13549364,0.10355196",9,-0.48391517315185206,"0.14912966758634325,0.10355194599305517"
2,"0.14912967,0.10355195",6,-0.49076900835475945,"0.15255658518779694,0.10355194599305517"
3,"0.15255658,0.10355195",3,-0.4995485696923163,"0.1569463658565754,0.10355194599305517"
4,"0.15694636,0.10355195",4,-0.5379604016659227,"0.17615228184337858,0.10355194599305517"
5,"0.17615229,0.10355195",2,-0.5228907860678601,"0.1686174740443473,0.10355194599305517"
6,"0.16861747,0.10355195",6,-0.5211829019650333,"0.16773314741453352,0.10355194599305517"
7,"0.16773315,0.10355195",7,-0.5179436081140926,"0.16612718196704807,0.10355194599305517"
8,"0.16612718,0.10355195",6,-0.522156443355782,"0.16825030268830826,0.10355194599305517"
9,"0.1682503,0.10355195",8,-0.5184024118309781,"0.16637328692590628,0.10355194599305517"
10,"0.16637328,0.10355195",3,-0.5456711361867035,"0.18000764910376896,0.10355194599305517"
11,"0.18000765,0.10355195",7,-0.6079128752596855,"0.21112851864026,0.10355194599305517"
12,"0.21112852,0.10355195",1,-0.6688474331269315,"0.24159579757388297,0.10355194599305517"
13,"0.2415958,0.10355195",1,-0.7246390099304139,"0.26949158597562417,0.10355194599305517"
14,"0.26949158,0.10355195",6,-0.7625192305707912,"0.28843169629581283,0.10355194599305517"
15,"0.2884317,0.10355195",5,-0.737202256321503,"0.27577320917116876,0.10355194599305517"
16,"0.2757732,0.10355195",1,-0.7288189150087826,"0.27147133150920433,0.10355194599305517"
17,"0.27147132,0.10355195",8,-0.7446686528429345,"0.27936200968598995,0.10355194599305517"
18,"0.27936202,0.10355195",0,-0.7584026313482998,"0.28625821740495766,0.10355194599305517"
19,"0.28625822,0.10355195",1,-0.7754959921468854,"0.2949200770838599,0.10355194599305517"
20,"0.2949201,0.10355195",8,-0.8071254186036714,"0.31073479031225293,0.10355194599305517"
21,"0.31073478,0.10355195",5,-0.8385037666719984,"0.32635910866293505,0.10355194599305517"
22,"0.32635912,0.10355195",7,-0.887563312074288,"0.3509537370475612,0.10355194599305517"
23,"0.35095373,0.10355195",6,-0.8906938073888624,"0.3525129463496521,0.10355194599305517"
24,"0.35251296,0.10355195",4,-0.9428918127521451,"0.3786179873864898,0.10355194599305517"
25,"0.378618,0.10355195",9,-0.9727769325490169,"0.3935605472849257,0.10355194599305517"
26,"0.39356056,0.10355195",1,-0.9903428022307926,"0.40234348212581356,0.10355194599305517"
27,"0.40234348,0.10355195",2,-1.0317848522777864,"0.4230645071493105,0.10355194599305517"
28,"0.4230645,0.10355195",1,-1.0593603004762477,"0.4368522312485411,0.10355194599305517"
29,"0.43685222,0.10355195",7,-1.1047015224458812,"0.4595228422333579,0.10355194599305517"
30,"0.13351661,0.10344201",5,-0.44780649804481415,"0.1310789422559741,0.10354953784428864"
31,"0.13107894,0.10354954",1,-0.4540096756558494,"0.1341769188383419,0.10355194599305517"
32,"0.13417692,0.10355195",1,-0.474842615925142,"0.1445933889729882,0.10355194599305517"
33,"0.14459339,0.10355195",5,-0.49909835520600376,"0.15672125861341912,0.10355194599305517"
34,"0.15672126,0.10355195",9,-0.522144332515875,"0.1682442472683547,0.10355194599305517"
35,"0.16824424,0.10355195",6,-0.5453174437473519,"0.1798308028840932,0.10355194599305517"
36,"0.1798308,0.10355195",3,-0.5809619644807072,"0.19765306325077087,0.10355194599305517"
37,"0.19765307,0.10355195",4,-0.648936214333205,"0.23164018817701976,0.10355194599305517"
38,"0.23164019,0.10355195",1,-0.6947688813659488,"0.25455652169339166,0.10355194599305517"
39,"0.2545565,0.10355195",8,-0.7217713659099722,"0.2680577639654033,0.10355194599305517"
40,"0.26805776,0.10355195",3,-0.7909604289931902,"0.30265229550701234,0.10355194599305517"
41,"0.3026523,0.10355195",2,-0.8071721170995129,"0.3107581395601737,0.10355194599305517"
42,"0.31075814,0.10355195",0,-0.8205191399534836,"0.31743165098715903,0.10355194599305517"
43,"0.31743166,0.10355195",6,-0.8021005136991228,"0.30822233785997866,0.10355194599305517"
44,"0.30822232,0.10355195",5,-0.7419766061577961,"0.2781603840893153,0.10355194599305517"
45,"0.2781604,0.10355195",3,-0.7480164469645895,"0.281180304492712,0.10355194599305517"
46,"0.2811803,0.10355195",4,-0.7978956279213005,"0.3061198949710675,0.10355194599305517"
47,"0.3061199,0.10355195",5,-0.7847937399944435,"0.299901558848132,0.10355194599305517"
48,"0.29990155,0.10355195",1,-0.7817425115450791,"0.2980433367829568,0.10355194599305517"
49,"0.29804334,0.10355195",9,-0.8039560522264146,"0.30915010712362456,0.10355194599305517"
50,"0.3091501,0.10355195",6,-0.7956909036521032,"0.3050175328364688,0.10355194599305517"
51,"0.30501753,0.10355195",0,-0.7846564296636442,"0.29969816773920327,0.10355194599305517"
52,"0.29969817,0.10355195",9,-0.7585065369766276,"0.28642534949873105,0.10355194599305517"
53,"0.28642535,0.10355195",1,-0.7611540616253043,"0.2877491118230694,0.10355194599305517"
54,"0.2877491,0.10355195",0,-0.7609515031124993,"0.2876478325666669,0.10355194599305517"
55,"0.28764784,0.10355195",1,-0.7636620610606185,"0.2890031115407265,0.10355194599305517"
56,"0.2890031,0.10355195",3,-0.814048872339468,"0.31419651718015124,0.10355194599305517"
57,"0.31419653,0.10355195",8,-0.8352665061533163,"0.3248053340870754,0.10355194599305517"
58,"0.32480532,0.10355195",6,-0.8168255998010923,"0.3155848809109634,0.10355194599305517"
59,"0.31558487,0.10355195",5,-0.7964586882566133,"0.30548117104831396,0.10355194599305517"
60,"0.13337177,0.10344201",9,-0.44989858199623567,"0.13212135459581037,0.1035519576015383"
