,state,action,reward,next_state
0,"[0.0691041424870491, 0.10915635526180267, -0.029891790822148323, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",2,-0.4458163625213472,"[0.0640776450748601, 0.10929986247650025, -0.029469742998934456, -0.010000002369598887, 0.10000009348065322, -0.024959749217685512]"
1,"[0.06407764554023743, 0.10929986089468002, -0.029469743371009827, -0.010000002570450306, 0.10000009089708328, -0.02495974861085415]",6,-0.4158610716759228,"[0.06236301867522265, 0.09271746259798674, -0.027621340236299585, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
2,"[0.06907670199871063, 0.10916183143854141, -0.029968708753585815, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",0,-0.4449155079588746,"[0.0639508415259313, 0.10874107741627193, -0.029840789111693078, -0.009999995597071251, 0.1000000699436153, -0.024950083671879897]"
3,"[0.06395084410905838, 0.10874107480049133, -0.02984078973531723, -0.009999996051192284, 0.10000006854534149, -0.02495008334517479]",6,-0.4154517721567946,"[0.06279761965373312, 0.0921305137076972, -0.027748337804690215, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
4,"[0.06279762089252472, 0.09213051199913025, -0.027748337015509605, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.3716103074683887,"[0.06030299381344503, 0.06874560731052726, -0.016803469683282724, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
5,"[0.06030299514532089, 0.06874560564756393, -0.016803469508886337, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.3982503909805728,"[0.06897190689224184, 0.07896916440333301, -0.017488799974678892, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
6,"[0.0689719095826149, 0.07896916568279266, -0.01748879998922348, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",3,-0.4385019221553694,"[0.0649023830118361, 0.10080044275613703, -0.040121527767043696, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
7,"[0.06490238010883331, 0.10080043971538544, -0.04012152925133705, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.4476326206350598,"[0.06149596348971091, 0.09178281031491553, -0.07037130713473916, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
8,"[0.06149596348404884, 0.09178280830383301, -0.07037130743265152, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.4361794602335535,"[0.04541617615873034, 0.07328909018309865, -0.09086584358337091, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
9,"[0.045416176319122314, 0.07328908890485764, -0.0908658429980278, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.4733550950541999,"[0.04160257904443343, 0.07518834641842359, -0.11527998910556814, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
10,"[0.04160257801413536, 0.07518834620714188, -0.11527998745441437, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.5212916490491193,"[0.045333684073321806, 0.08351584499946108, -0.13832140159972595, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
