,state,action,reward,next_state
0,"[0.1326456367969513, 0.10344201326370239, -4.316335980547592e-05, -0.008620166219770908, 0.01429174654185772, 0.0005095867672935128, 3.148454925394617e-05]",2,-0.4457385801301449,"[0.13004141714701278, 0.10355191527870644, -0.006914699605836461, -0.011572821606359085, 0.009886970923487226, 0.008640874368892604, -1.4786221420592938e-06]"
1,"[0.13004142045974731, 0.10355191677808762, -0.006914699450135231, -0.011572821997106075, 0.00988697074353695, 0.008640874177217484, -1.4786221527174348e-06]",1,-0.4515537977650535,"[0.132948979892944, 0.10355194599305517, -0.00612208141925219, -0.06600146025670117, 0.01772328183584637, 0.008665443917163174, 2.115818086956267e-06]"
2,"[0.13294897973537445, 0.10355194658041, -0.0061220815405249596, -0.06600145995616913, 0.01772328093647957, 0.008665444329380989, 2.115818006132031e-06]",8,-0.470887724232949,"[0.14261594312689174, 0.10355194599305517, -0.00741879224816433, -0.11434590743413064, 0.017541549716404425, 0.008759593079798123, 0.38000011502855546]"
3,"[0.14261594414710999, 0.10355194658041, -0.007418792229145765, -0.11434590816497803, 0.0175415500998497, 0.008759592659771442, 0.38000011444091797]",3,-0.4969286926131251,"[0.1556364273169798, 0.10355194599305517, -0.12479929373234455, -0.14312301080111922, 0.017770362334302625, 0.007838475833180425, 0.4000000172986713]"
4,"[0.15563642978668213, 0.10355194658041, -0.12479929625988007, -0.14312301576137543, 0.01777036301791668, 0.0078384755179286, 0.4000000059604645]",8,-0.5438059349478704,"[0.17907504848435246, 0.10355194599305517, -0.28013225273114095, -0.18272442491540275, 0.018312481956684223, 0.007807316056609892, 0.8000000314175235]"
5,"[0.17907504737377167, 0.10355194658041, -0.2801322638988495, -0.18272443115711212, 0.01831248216331005, 0.00780731625854969, 0.800000011920929]",4,-0.5940223619466526,"[0.20415384290539293, 0.10355194599305517, -0.3993852265879685, -0.21203652103583082, 0.008708353776089695, 0.40108212045395586, 0.7997912102630842]"
6,"[0.20415383577346802, 0.10355194658041, -0.3993852138519287, -0.21203652024269104, 0.008708354085683823, 0.4010821282863617, 0.7997912168502808]",9,-0.6191078499340513,"[0.21672600597744288, 0.10355194599305517, -0.40729385848623956, -0.25561135269806456, 0.015233130776087123, 0.4091220630707282, 0.4260000076609103]"
7,"[0.21672600507736206, 0.10355194658041, -0.4072938561439514, -0.2556113600730896, 0.015233131125569344, 0.4091220498085022, 0.4259999990463257]",2,-0.6105455157251587,"[0.2124448388729966, 0.10355194599305517, -0.037044642104878456, -0.40132036844545116, 0.1274441498316916, 0.41569562894217693, 0.4004002389903496]"
8,"[0.21244484186172485, 0.10355194658041, -0.03704464063048363, -0.40132036805152893, 0.12744414806365967, 0.4156956374645233, 0.4004002511501312]",5,-0.621113780050331,"[0.21772897103558275, 0.10355194599305517, -0.009050336057501163, -0.38019400238548773, 0.016976986702696095, 0.01578241113911627, 0.40000175514922365]"
9,"[0.21772897243499756, 0.10355194658041, -0.009050335735082626, -0.3801940083503723, 0.016976986080408096, 0.01578241027891636, 0.40000176429748535]",9,-0.6351948401142552,"[0.22476950106754484, 0.10355194599305517, -0.008161122502318818, -0.3995696839840237, 0.017123151126158476, 0.008229648893427033, 3.1982070973768373e-06]"
