,state,action,reward,next_state,distribution
0,"[-0.003640051931142807, -0.012207291088998318, 0.012641209177672863, 0.001553223468363285, 1.8061828654936107e-07, 0.06889456510543823, 0.11062198132276535, -0.03130418807268143, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",7,-0.4428085426067794,"[-0.002420929349471024, -0.012171307057175618, 0.014668111212805535, -0.1982856081888249, 1.6027453151323812e-06, 0.06287413593228111, 0.10863470440796652, -0.02810376027772654, -0.009999998453717004, 0.10000013716329148, -0.02494028222299527]","[0.10721714049577713, 0.09757375717163086, 0.1000170111656189, 0.09265321493148804, 0.09653168171644211, 0.10531625151634216, 0.10424158722162247, 0.09924956411123276, 0.09881677478551865, 0.0983831137418747]"
1,"[-0.0024209292605519295, -0.012171306647360325, 0.014668110758066177, -0.19828560948371887, 1.6027453284550575e-06, 0.06287413835525513, 0.10863470286130905, -0.02810375951230526, -0.009999998845160007, 0.10000013560056686, -0.024940282106399536]",7,-0.4260964665026249,"[-0.0008792713745249259, -0.012544052142289708, 0.016957797573342148, -0.39759534070872604, 1.581256698024447e-06, 0.05529772726853388, 0.10326865968301957, -0.0270308943136659, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10778814554214478, 0.0966208428144455, 0.10079585015773773, 0.09215947240591049, 0.09635443240404129, 0.10497186332941055, 0.10407314449548721, 0.0984695553779602, 0.0992342159152031, 0.09953251481056213]"
2,"[-0.0008792713633738458, -0.012544051744043827, 0.01695779711008072, -0.3975953459739685, 1.5812566971362685e-06, 0.05529772862792015, 0.10326866060495377, -0.02703089453279972, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.4045691571792265,"[-2.5332329462557368e-05, -0.012535959958845488, 0.01919057612237829, -0.3980759289643334, -0.19999517578298232, 0.04458164991048086, 0.09605153909140579, -0.027700878329547707, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10816546529531479, 0.09578463435173035, 0.10156990587711334, 0.09191083163022995, 0.0962633490562439, 0.1047358438372612, 0.10378961265087128, 0.09780778735876083, 0.09940584748983383, 0.10056675225496292]"
3,"[-2.5332328732474707e-05, -0.012535960413515568, 0.019190575927495956, -0.3980759382247925, -0.19999517500400543, 0.04458165168762207, 0.09605153650045395, -0.02770087867975235, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.4117874064950028,"[0.0304279084805561, -0.016163851261338458, 0.008631857056061065, -0.3972480830106502, -0.19989417191147663, 0.05025499062989561, 0.0974292951818792, -0.02767381301898164, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10849210619926453, 0.09621977061033249, 0.10126420855522156, 0.0920724868774414, 0.09570244699716568, 0.10432253777980804, 0.10389906167984009, 0.09750062972307205, 0.09985564649105072, 0.10067115724086761]"
4,"[0.030427908524870872, -0.01616385206580162, 0.008631857112050056, -0.3972480893135071, -0.19989417493343353, 0.05025498941540718, 0.0974292978644371, -0.027673812583088875, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",3,-0.4335755420756199,"[0.03130946161544479, -0.061858280251213316, 0.02215589142672325, -0.39745939878959824, -0.19989416545349137, 0.05411260829244975, 0.10801354042210981, -0.027765907676276735, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10840144008398056, 0.09619098901748657, 0.10143133252859116, 0.09215740114450455, 0.09582659602165222, 0.10432382673025131, 0.10386926680803299, 0.09742078930139542, 0.09979481250047684, 0.10058356076478958]"
5,"[0.03130946308374405, -0.06185828149318695, 0.022155892103910446, -0.39745938777923584, -0.19989416003227234, 0.05411260947585106, 0.10801354050636292, -0.0277659073472023, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.4210636499365743,"[0.03082920837146652, -0.03393042104545341, 0.00879212534671936, -0.3987253418957426, -0.1998939681684373, 0.05203237903686206, 0.10188019746118276, -0.027699573637123054, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10845822840929031, 0.09617261588573456, 0.10138049721717834, 0.09209682792425156, 0.09582694619894028, 0.10440730303525925, 0.10385536402463913, 0.09726517647504807, 0.09991257637739182, 0.1006244346499443]"
6,"[0.030829207971692085, -0.033930420875549316, 0.00879212561994791, -0.39872533082962036, -0.19989396631717682, 0.05203237757086754, 0.10188020020723343, -0.02769957296550274, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.41412285708342167,"[0.028876442870892305, -0.024185406684455124, 0.008592983346582983, -0.3995095249969598, -0.19989369071710428, 0.050023986468078624, 0.09890270023200393, -0.027661369620031406, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10841622948646545, 0.09618707746267319, 0.10143621265888214, 0.09215729683637619, 0.0958135798573494, 0.10434939712285995, 0.10386497527360916, 0.09737860411405563, 0.09982451051473618, 0.10057208687067032]"
7,"[0.028876442462205887, -0.024185406044125557, 0.008592983707785606, -0.3995095193386078, -0.19989369809627533, 0.050023987889289856, 0.09890270233154297, -0.027661370113492012, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",5,-0.41382252909701833,"[0.02738278094789237, -0.0257880353838571, 0.008648094139533491, -0.3996130019733455, -0.1998934712283349, 0.04925749027383387, 0.09911089571184323, -0.02767200276519055, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10841327160596848, 0.09618695825338364, 0.10143027454614639, 0.09215207397937775, 0.09581395238637924, 0.10433607548475266, 0.10386671870946884, 0.09740645438432693, 0.09980881959199905, 0.10058538615703583]"
8,"[0.027382781729102135, -0.02578803524374962, 0.008648093789815903, -0.39961299300193787, -0.19989347457885742, 0.049257490783929825, 0.09911089390516281, -0.027672002092003822, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.41342701300313933,"[0.025993437650892126, -0.02694363752163742, 0.008719210726972904, -0.3978256602467667, -0.39636277827188415, 0.04862870885322974, 0.09918273016108486, -0.027712122906981884, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10841867327690125, 0.09618949145078659, 0.10142190754413605, 0.09214835613965988, 0.09580416977405548, 0.10434098541736603, 0.1038704589009285, 0.09740843623876572, 0.09981343150138855, 0.10058408975601196]"
9,"[0.025993438437581062, -0.026943637058138847, 0.008719210512936115, -0.3978256583213806, -0.3963627815246582, 0.048628710210323334, 0.09918273240327835, -0.027712123468518257, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",5,-0.413193019632053,"[0.025683873289786163, -0.0277831923348435, 0.008709822629874076, -0.3974151659166445, -0.3963661717885003, 0.048424885279916605, 0.09917722800322148, -0.027607973302267608, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10880660265684128, 0.0964057594537735, 0.10081877559423447, 0.09213943779468536, 0.09566979855298996, 0.10379507392644882, 0.10406072437763214, 0.09714148193597794, 0.10031817108392715, 0.10084418207406998]"
