,state,action,reward,next_state,distribution
0,"[-0.003810758702456951, -0.012390583753585815, 0.011970436200499535, -0.0009238412603735924, 4.036511569438517e-08, 0.06839829683303833, 0.11099254339933395, -0.03319622203707695, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",6,-0.4565650357859988,"[-0.0029649145281842593, -0.01139979753779663, 0.016364674881211627, 0.19711056882336564, 9.568434036211215e-07, 0.0720531614184383, 0.11059335803507225, -0.030452028492326866, -0.010000056737229215, 0.10000004978983251, -0.024940180164027104]","[0.10035888850688934, 0.10800176858901978, 0.0892755314707756, 0.09972777217626572, 0.09768791496753693, 0.1108807921409607, 0.10555233806371689, 0.10142622143030167, 0.09306851029396057, 0.094020314514637]"
1,"[-0.002964914543554187, -0.011399797163903713, 0.016364675015211105, 0.19711056351661682, 9.568434506945778e-07, 0.07205316424369812, 0.11059335619211197, -0.030452027916908264, -0.010000056587159634, 0.1000000461935997, -0.02494017966091633]",9,-0.4598998104320339,"[-0.0021068716763483764, -0.010283373826741382, 0.021521111290810246, 0.19509921850975065, -0.19999904185733808, 0.07528808882636062, 0.1109892829202398, -0.028557343441003025, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10021297633647919, 0.10771508514881134, 0.08957653492689133, 0.0991804450750351, 0.09726583957672119, 0.11193904280662537, 0.1050381064414978, 0.1017029881477356, 0.0933103859424591, 0.09405852854251862]"
2,"[-0.0021068716887384653, -0.010283374227583408, 0.021521111950278282, 0.19509921967983246, -0.19999904930591583, 0.0752880871295929, 0.1109892800450325, -0.028557343408465385, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.4830655453087115,"[-0.11675099463099237, -0.008508108891878585, 0.03697513302178734, 0.1916531364352263, -0.1999992536363564, 0.0767315720910407, 0.11649828039994509, -0.05151261992710843, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10009073466062546, 0.10848146677017212, 0.08899310231208801, 0.09963460266590118, 0.09720326960086823, 0.1126636266708374, 0.10498184710741043, 0.10115836560726166, 0.09323863685131073, 0.09355443716049194]"
3,"[-0.11675099283456802, -0.0085081085562706, 0.036975134164094925, 0.19165313243865967, -0.19999925792217255, 0.07673157006502151, 0.11649828404188156, -0.051512621343135834, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.4850206666330338,"[-0.1157052145748203, -0.008641395188551115, 0.040296307986438684, 0.18952653178256096, -0.19999932621073935, 0.07886767581223603, 0.1152998997516742, -0.05376474670236897, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10048957169055939, 0.10864130407571793, 0.08899810165166855, 0.09957528114318848, 0.09734063595533371, 0.11188813298940659, 0.10522598773241043, 0.10132404416799545, 0.09321561455726624, 0.09330134093761444]"
4,"[-0.1157052144408226, -0.008641394786536694, 0.04029630869626999, 0.1895265281200409, -0.19999933242797852, 0.07886767387390137, 0.11529990285634995, -0.053764745593070984, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.4841483060555436,"[-0.11498073033295153, -0.008638788321275293, 0.04513909839703434, -0.012221655542636434, -0.19999941314011593, 0.07977370628498356, 0.11487644790660634, -0.05209602553458215, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10048886388540268, 0.10863710939884186, 0.08900664001703262, 0.09956559538841248, 0.09736620634794235, 0.11186827719211578, 0.10522770881652832, 0.10131329298019409, 0.0932169184088707, 0.09330938011407852]"
5,"[-0.11498072743415833, -0.008638788014650345, 0.045139096677303314, -0.012221655808389187, -0.19999940693378448, 0.07977370917797089, 0.11487644910812378, -0.05209602415561676, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",3,-0.4981111706629457,"[-0.11370894367307471, -0.03751206379285499, 0.05864298497545484, -0.014327125603868396, -0.19999938167091091, 0.0837053923503953, 0.12037993853194706, -0.05393664265732501, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10041022300720215, 0.10906510800123215, 0.08892437070608139, 0.09977728873491287, 0.09748503565788269, 0.11083613336086273, 0.10542907565832138, 0.10148743540048599, 0.09309650957584381, 0.09348879754543304]"
6,"[-0.11370894312858582, -0.03751206398010254, 0.05864298343658447, -0.014327125623822212, -0.1999993771314621, 0.08370539546012878, 0.12037993967533112, -0.05393664166331291, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.499185520721375,"[-0.11272749973035179, -0.03709909370643416, 0.061479550798115845, -0.01650474878752206, -0.39999935502850104, 0.08518846042469419, 0.11988754268889218, -0.05426894884367106, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.1004410907626152, 0.1089920923113823, 0.08884245902299881, 0.09985841065645218, 0.09754448384046555, 0.11067025363445282, 0.10549506545066833, 0.10142245143651962, 0.09316325187683105, 0.09357048571109772]"
7,"[-0.11272750049829483, -0.037099093198776245, 0.06147954985499382, -0.016504749655723572, -0.39999935030937195, 0.08518846333026886, 0.11988754570484161, -0.05426894873380661, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.4996030026479058,"[-0.11119359889882396, -0.03629118469459147, 0.06494657788548608, 0.18078104717518606, -0.3999993245447797, 0.08520997684231008, 0.11974553850502445, -0.055145003450539076, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09975278377532959, 0.10970602184534073, 0.08832477778196335, 0.10046520829200745, 0.09709335118532181, 0.11121003329753876, 0.10550371557474136, 0.10117477178573608, 0.09341920912265778, 0.09335016459226608]"
8,"[-0.11119359731674194, -0.03629118576645851, 0.06494657695293427, 0.1807810515165329, -0.39999932050704956, 0.08520997315645218, 0.11974553763866425, -0.05514500290155411, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.4957614722735187,"[0.043450231005464524, -0.037937105464100895, 0.0644051232540166, 0.18190671973214378, -0.3999993579476824, 0.09943628275593215, 0.11634438185650442, -0.024855313061516227, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09978993982076645, 0.10928156226873398, 0.08829628676176071, 0.10015984624624252, 0.09707506746053696, 0.11199942976236343, 0.10546965152025223, 0.1009773313999176, 0.09347688406705856, 0.09347406029701233]"
9,"[0.04345023259520531, -0.03793710470199585, 0.06440512090921402, 0.18190671503543854, -0.39999935030937195, 0.09943628311157227, 0.1163443848490715, -0.024855313822627068, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.4988341756043208,"[-0.043869862524940295, -0.03659173425321249, 0.06589198407881192, 0.17751827228328398, -0.3999993100966277, 0.0938394330885497, 0.1194416448722711, -0.03805288500547399, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09944840520620346, 0.10903952270746231, 0.08827488124370575, 0.10027153044939041, 0.0971381738781929, 0.11283836513757706, 0.10490121692419052, 0.10062908381223679, 0.09376898407936096, 0.09368988126516342]"
