,state,action,reward,next_state,distribution
0,"[-0.0033142329193651676, -0.011825889348983765, 0.010574394837021828, 0.001010521431453526, -5.758131464972394e-07, 0.06892681121826172, 0.110852912068367, -0.03136448934674263, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",7,-0.4437695412658817,"[-0.0020356054796613066, -0.011557474229438647, 0.010402244537491612, -0.19534914376287205, -1.8481883543586264e-06, 0.06300876188266802, 0.10900275318062647, -0.028370744626039834, -0.010000060512584133, 0.10000003596837578, -0.024949916523882454]","[0.09213755279779434, 0.10413367301225662, 0.09452345967292786, 0.09970342367887497, 0.09776227176189423, 0.10193948447704315, 0.10141442716121674, 0.09794069081544876, 0.10764304548501968, 0.10280199348926544]"
1,"[-0.002035605488345027, -0.011557473801076412, 0.01040224451571703, -0.19534914195537567, -1.8481883898857632e-06, 0.06300876289606094, 0.10900275409221649, -0.028370745480060577, -0.010000060312449932, 0.1000000387430191, -0.02494991570711136]",1,-0.43708829790709247,"[-0.09649195444563397, -0.01007055334626017, 0.02046950512388701, -0.19605492247865985, 4.372877573821654e-06, 0.04976610082734441, 0.10632090658248905, -0.04498633690658049, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09217677265405655, 0.10457687824964523, 0.09389276802539825, 0.09954702109098434, 0.0982244610786438, 0.10230109840631485, 0.10063546150922775, 0.09829672425985336, 0.107769675552845, 0.10257912427186966]"
2,"[-0.09649195522069931, -0.010070553049445152, 0.020469505339860916, -0.19605492055416107, 4.372877356217941e-06, 0.04976610094308853, 0.10632091015577316, -0.044986337423324585, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.4445134960295203,"[-0.19469756436128716, -0.009148891463323316, 0.028069698120716247, -0.19682484025473812, 4.397308744685802e-06, 0.03515394696212093, 0.10326191012273161, -0.06966347474550694, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.0925121083855629, 0.1046767607331276, 0.09383362531661987, 0.09963805228471756, 0.09811387211084366, 0.10188433527946472, 0.10046380013227463, 0.09867008775472641, 0.10755398869514465, 0.102653369307518]"
3,"[-0.1946975588798523, -0.00914889108389616, 0.028069697320461273, -0.1968248337507248, 4.3973086576443166e-06, 0.03515394777059555, 0.10326191037893295, -0.06966347247362137, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.4623637307219891,"[-0.2957734088541226, -0.00891133564973412, 0.03270090379321555, -0.19758247253772865, 4.428923183752431e-06, 0.021616183821525747, 0.10011191301173034, -0.09301698740912456, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09285686165094376, 0.10499157011508942, 0.09371473640203476, 0.09997405111789703, 0.09788236767053604, 0.10147008299827576, 0.10030916333198547, 0.09890468418598175, 0.10717834532260895, 0.10271816700696945]"
4,"[-0.2957734167575836, -0.008911335840821266, 0.032700903713703156, -0.19758246839046478, 4.4289231482252944e-06, 0.02161618322134018, 0.10011191666126251, -0.09301698952913284, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.4864725005167422,"[-0.3860817044260543, -0.009614210870870998, 0.032964099961596105, -0.19827620456199124, 4.455740111097839e-06, 0.00713466670734636, 0.0946194794965155, -0.1167001145922536, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09305451810359955, 0.10520119220018387, 0.093575119972229, 0.1003497913479805, 0.09768617898225784, 0.10100863873958588, 0.10022276639938354, 0.09910499304533005, 0.10685424506664276, 0.10294254869222641]"
5,"[-0.3860816955566406, -0.009614210575819016, 0.03296409919857979, -0.19827620685100555, 4.45574005425442e-06, 0.007134666666388512, 0.09461948275566101, -0.11670011281967163, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.4623905776896584,"[-0.3865155842495236, -0.06806432694523323, 0.21311542560784513, -0.19763877961637188, 4.4233354072886755e-06, 0.003054999092805988, 0.08020196332661245, -0.11271131753181762, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09305890649557114, 0.10523991286754608, 0.0935404971241951, 0.10063404589891434, 0.09754893183708191, 0.10060079395771027, 0.10020383447408676, 0.09937160462141037, 0.1065320074558258, 0.10326944291591644]"
6,"[-0.3865155875682831, -0.06806432455778122, 0.21311542391777039, -0.19763877987861633, 4.4233352127776016e-06, 0.0030549990478903055, 0.08020196110010147, -0.11271131783723831, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",3,-0.46053288297951256,"[-0.38455540903388385, -0.08298437434706862, 0.22980230710795357, -0.1979248386345116, 4.502765360570038e-06, 0.001177587638094918, 0.08166871519154173, -0.11053588427903471, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09278617054224014, 0.10478746891021729, 0.09352539479732513, 0.10054129362106323, 0.09671201556921005, 0.10189569741487503, 0.10120212286710739, 0.09930222481489182, 0.10621410608291626, 0.10303355008363724]"
7,"[-0.3845553994178772, -0.08298437297344208, 0.22980231046676636, -0.19792483747005463, 4.502765477809589e-06, 0.0011775876628234982, 0.08166871219873428, -0.1105358824133873, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.49364157414352605,"[-0.469768976789112, -0.08329903356160795, 0.2336764820067918, -0.20361841424965998, 4.618197776196098e-06, -0.002749298911572773, 0.08177883997975871, -0.13045484317278377, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09271855652332306, 0.10465770214796066, 0.09350805729627609, 0.10051336884498596, 0.09664826840162277, 0.10201466828584671, 0.1012955829501152, 0.09933631867170334, 0.10620994865894318, 0.10309746861457825]"
8,"[-0.4697689712047577, -0.08329903334379196, 0.233676478266716, -0.20361840724945068, 4.618197635863908e-06, -0.002749298932030797, 0.08177883923053741, -0.13045483827590942, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.4885936119195736,"[-0.47003688621613726, -0.08256350948503322, 0.2332568063977618, -0.4006506829618335, 4.619497190994082e-06, -0.0002395205509439502, 0.08227976567649614, -0.1271723496288364, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.0928296446800232, 0.1048891693353653, 0.09370135515928268, 0.1004989966750145, 0.09654034674167633, 0.10159403830766678, 0.10120152682065964, 0.09946617484092712, 0.10593999922275543, 0.10333876311779022]"
9,"[-0.47003689408302307, -0.08256351202726364, 0.23325680196285248, -0.40065068006515503, 4.619497303792741e-06, -0.00023952055198606104, 0.0822797641158104, -0.1271723508834839, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.47575705247275757,"[-0.4686838981381687, -0.04335268123135094, 0.22165594121036225, -0.40184730472542807, 4.608160091734703e-06, -0.006304940443841278, 0.07268712172555197, -0.1253655005331159, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09246999025344849, 0.1054043099284172, 0.09393437206745148, 0.10045899450778961, 0.096736378967762, 0.1014503464102745, 0.10045674443244934, 0.10031095147132874, 0.10571742057800293, 0.10306050628423691]"
