,state,action,reward,next_state,distribution
0,"[-0.0032870357390493155, -0.01180326845496893, 0.010629959404468536, 0.0009957801084965467, -3.1362864660877676e-07, 0.06892275810241699, 0.11086119711399078, -0.03134196624159813, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",9,-0.4444813964037293,"[-0.00193097199882164, -0.011507848107068952, 0.009547824309450448, 0.0009977403316883127, -0.20000031529419893, 0.06330299688679421, 0.109201155974672, -0.028556969047797254, -0.010000003865745538, 0.10000009530243023, -0.024959749217685512]","[0.0971953496336937, 0.09968002140522003, 0.1073247641324997, 0.10616561770439148, 0.09701081365346909, 0.09822016209363937, 0.09964240342378616, 0.10177787393331528, 0.09484740346670151, 0.09813565015792847]"
1,"[-0.001930971979163587, -0.011507848277688026, 0.009547824040055275, 0.0009977403096854687, -0.2000003159046173, 0.06330299377441406, 0.10920115560293198, -0.02855696901679039, -0.01000000350177288, 0.10000009834766388, -0.02495974861085415]",0,-0.4549502686876868,"[0.09993838688029921, -0.07008181583343465, 0.008684186917901293, 0.003089975844602577, -0.19902371547893516, 0.06884286793023317, 0.11286970893281251, -0.025513936254904057, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09718174487352371, 0.10002999007701874, 0.10746708512306213, 0.106132872402668, 0.0968666821718216, 0.0969684049487114, 0.09886210411787033, 0.10170836746692657, 0.09521129727363586, 0.09957148134708405]"
2,"[0.09993838518857956, -0.07008181512355804, 0.008684187196195126, 0.0030899757985025644, -0.19902370870113373, 0.06884286552667618, 0.11286970973014832, -0.025513935834169388, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.4652445201779123,"[0.09911375701481351, -0.1796109230670524, 0.18642073185480523, 0.004571075918481604, -0.19898589005801703, 0.07294550001948753, 0.11664938807692021, -0.024785723543906513, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09739892929792404, 0.10028944164514542, 0.1074366644024849, 0.10576365888118744, 0.09653906524181366, 0.09683497250080109, 0.09873010963201523, 0.10148664563894272, 0.0954563245177269, 0.1000642478466034]"
3,"[0.09911375492811203, -0.17961092293262482, 0.186420738697052, 0.004571076016873121, -0.19898588955402374, 0.0729454979300499, 0.11664938926696777, -0.02478572353720665, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.4598637754413602,"[0.10161979984921565, -0.1780898047149604, 0.18914661446301828, 0.19921180027068708, -0.1989858680699692, 0.06850852304975807, 0.11562439530516971, -0.02711235367267739, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.0980839654803276, 0.1007448360323906, 0.10601623356342316, 0.10583194345235825, 0.09686712920665741, 0.09715128690004349, 0.09852895140647888, 0.10113022476434708, 0.09517505019903183, 0.10047036409378052]"
4,"[0.10161980241537094, -0.17808979749679565, 0.18914660811424255, 0.19921180605888367, -0.19898587465286255, 0.06850852072238922, 0.11562439799308777, -0.027112353593111038, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.455218773312497,"[-0.0067203971933560425, -0.1761515373683844, 0.1906330875120581, 0.1929840008059207, -0.19898581867402498, 0.05405713185092231, 0.11431226008291273, -0.046653807102625455, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09728454053401947, 0.10106727480888367, 0.10603620111942291, 0.10603351145982742, 0.09708196669816971, 0.09727922827005386, 0.09822363406419754, 0.10143467038869858, 0.09576848894357681, 0.09979046136140823]"
5,"[-0.006720397155731916, -0.17615154385566711, 0.19063308835029602, 0.19298399984836578, -0.19898581504821777, 0.054057132452726364, 0.11431226134300232, -0.046653807163238525, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.4268979027575834,"[-0.005647448213132122, -0.12467987626569066, 0.17527237628108683, 0.19360859508708028, -0.19898585825148896, 0.047687055625594554, 0.10252899784185449, -0.04199027008659317, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09746601432561874, 0.10067082196474075, 0.10603106766939163, 0.10590355098247528, 0.09727541357278824, 0.09772635251283646, 0.09835772216320038, 0.10169178247451782, 0.09549393504858017, 0.09938337653875351]"
6,"[-0.005647448357194662, -0.12467987835407257, 0.1752723753452301, 0.1936085969209671, -0.19898585975170135, 0.04768705740571022, 0.10252899676561356, -0.04199026897549629, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",5,-0.4143690079527962,"[-0.005037863343694937, -0.03577771960303533, 0.021477158300141852, 0.1946432750022673, -0.1989858512209839, 0.04321429488358254, 0.10046424460216963, -0.03341988635643334, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.0971933901309967, 0.10058227926492691, 0.10623624175786972, 0.10588428378105164, 0.09735888987779617, 0.09757440537214279, 0.0982445701956749, 0.1021055281162262, 0.0955917164683342, 0.09922870993614197]"
7,"[-0.005037863273173571, -0.03577771782875061, 0.02147715911269188, 0.1946432739496231, -0.19898584485054016, 0.04321429505944252, 0.10046424716711044, -0.033419884741306305, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",5,-0.4160402827392221,"[-0.0036052914678963432, -0.03445847676501135, 0.013061060904925093, 0.19518155675408888, -0.19898584958402488, 0.04409272496852035, 0.10108677978980263, -0.033264735883939744, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09663663804531097, 0.1001785397529602, 0.10754391551017761, 0.10597655922174454, 0.09716931730508804, 0.09719963371753693, 0.09840335696935654, 0.10229161381721497, 0.09544773399829865, 0.09915269166231155]"
8,"[-0.0036052914801985025, -0.034458477050065994, 0.013061060570180416, 0.19518156349658966, -0.19898584485054016, 0.044092725962400436, 0.10108678042888641, -0.03326473757624626, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.4325076648007653,"[0.088736134944714, -0.04827406671843271, 0.008781824998228771, 0.19765450940087526, -0.19782639324571338, 0.06023055464240529, 0.1055978185192219, -0.021338629589080504, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09662848711013794, 0.10016088932752609, 0.10761557519435883, 0.1059889867901802, 0.09715261310338974, 0.09717928618192673, 0.09841824322938919, 0.10226823389530182, 0.09543974697589874, 0.09914796054363251]"
9,"[0.08873613178730011, -0.04827406629920006, 0.008781825192272663, 0.19765451550483704, -0.19782640039920807, 0.060230553150177, 0.10559781640768051, -0.021338630467653275, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.449805323874081,"[0.08638803216649471, -0.07325364277786939, 0.008594915422477811, 0.0008069124443048636, -0.19729010042720585, 0.06490587132651962, 0.11220687914912647, -0.02530971875773491, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09655721485614777, 0.10046215355396271, 0.10758641362190247, 0.10609278082847595, 0.0967787578701973, 0.09683937579393387, 0.0984613448381424, 0.10197215527296066, 0.0957302451133728, 0.09951966255903244]"
