,state,action,reward,next_state,distribution
0,"[0.13405382633209229, 0.10344201326370239]",3,-0.4617977300089726,"[0.13807455859502213, 0.10354953760630946]","[0.09436937421560287, 0.09430134296417236, 0.1048450842499733, 0.0993821769952774, 0.10790832340717316, 0.0954354926943779, 0.08705490082502365, 0.09495135396718979, 0.10508409887552261, 0.11666791886091232]"
1,"[0.13807456195354462, 0.1035495400428772]",8,-0.4445692256391652,"[0.12945669382999986, 0.10355194599305517]","[0.09438876062631607, 0.09426447749137878, 0.10486328601837158, 0.09939169883728027, 0.10791554301977158, 0.09543363749980927, 0.08699607849121094, 0.09494233131408691, 0.10508366674184799, 0.11672060191631317]"
2,"[0.12945669889450073, 0.10355194658041]",9,-0.4318423988150295,"[0.123093280417932, 0.10355194599305517]","[0.09434818476438522, 0.09434181451797485, 0.10482483357191086, 0.09937155246734619, 0.10789956897497177, 0.0954400822520256, 0.08712173253297806, 0.09496095031499863, 0.10508378595113754, 0.11660747230052948]"
3,"[0.12309327721595764, 0.10355194658041]",8,-0.428959172555695,"[0.12165166728826475, 0.10355194599305517]","[0.0943257063627243, 0.09440132975578308, 0.10480877757072449, 0.09936079382896423, 0.10788759589195251, 0.09544473886489868, 0.08721506595611572, 0.09497219324111938, 0.1050705686211586, 0.11651315540075302]"
4,"[0.12165166437625885, 0.10355194658041]",2,-0.4035244567341012,"[0.10893430937746781, 0.10355194599305517]","[0.09432069957256317, 0.09441498667001724, 0.10480532795190811, 0.09935837984085083, 0.10788475722074509, 0.09544574469327927, 0.08723635971546173, 0.09497474133968353, 0.10506744682788849, 0.11649155616760254]"
5,"[0.10893431305885315, 0.10355194658041]",4,-0.3718269927026495,"[0.093085577361742, 0.10355194599305517]","[0.09427618980407715, 0.09453272074460983, 0.10477514564990997, 0.09933507442474365, 0.10786022990942001, 0.09545398503541946, 0.0874256119132042, 0.09499557316303253, 0.10504153370857239, 0.11630396544933319]"
6,"[0.09308557957410812, 0.10355194658041]",4,0.6642109156335854,"[0.07508334969414276, 0.10354079499270973]","[0.09421613067388535, 0.09468164294958115, 0.1047452837228775, 0.0993078351020813, 0.1078212633728981, 0.0954669862985611, 0.08766934275627136, 0.09501035511493683, 0.10500520467758179, 0.11607599258422852]"
7,"[0.07508335262537003, 0.10354079306125641]",1,0.6674766639038624,"[0.07674883079253535, 0.10134189150368897]","[0.09413954615592957, 0.09485611319541931, 0.10475104302167892, 0.09930922091007233, 0.10775185376405716, 0.09548337012529373, 0.08797844499349594, 0.09498969465494156, 0.10493635386228561, 0.11580441892147064]"
8,"[0.07674883306026459, 0.10134188830852509]",5,0.6536132466054951,"[0.0843825685429102, 0.10087387210289481]","[0.09414234012365341, 0.09484897553920746, 0.1047590896487236, 0.09931584447622299, 0.10776688903570175, 0.09546463936567307, 0.08794765919446945, 0.09499167650938034, 0.10493366420269012, 0.1158292219042778]"
9,"[0.0843825712800026, 0.10087387263774872]",0,-0.3486862307243283,"[0.08553230720782193, 0.10087387210289481]","[0.09417346119880676, 0.09477873891592026, 0.10475411266088486, 0.09931308776140213, 0.10779859125614166, 0.09545565396547318, 0.08781245350837708, 0.09500354528427124, 0.10496237874031067, 0.11594797670841217]"
10,"[0.0855323076248169, 0.10087387263774872]",0,-0.386140068771761,"[0.1042592262315383, 0.10087387210289481]","[0.09417876601219177, 0.09476812928915024, 0.10475343465805054, 0.09931273758411407, 0.10780373960733414, 0.09545433521270752, 0.08779237419366837, 0.09500456601381302, 0.10496644675731659, 0.11596552282571793]"
11,"[0.10425922274589539, 0.10087387263774872]",8,-0.3876073934869539,"[0.10499288858913475, 0.10087387210289481]","[0.09425810724496841, 0.09458553791046143, 0.10476993024349213, 0.09933164715766907, 0.10786902159452438, 0.09543323516845703, 0.08748897910118103, 0.09500546753406525, 0.10502208024263382, 0.11623603105545044]"
12,"[0.10499288886785507, 0.10087387263774872]",2,-0.3798765458556586,"[0.10112746477348712, 0.10087387210289481]","[0.09426070004701614, 0.09457890689373016, 0.10477165877819061, 0.09933310002088547, 0.10787039995193481, 0.09543278813362122, 0.08747796714305878, 0.0950043648481369, 0.10502347350120544, 0.11624667048454285]"
13,"[0.10112746804952621, 0.10087387263774872]",5,-0.3914909583133303,"[0.10693467100232297, 0.10087387210289481]","[0.09424705058336258, 0.09461384266614914, 0.10476257652044296, 0.09932539612054825, 0.10786311328411102, 0.09543509781360626, 0.08753599226474762, 0.0950101763010025, 0.10501612722873688, 0.11619064211845398]"
14,"[0.10693467408418655, 0.10087387263774872]",7,-0.3991260551965699,"[0.11075221944394277, 0.10087387210289481]","[0.09426755458116531, 0.09456135332584381, 0.10477620363235474, 0.09933695942163467, 0.1078740656375885, 0.0954316258430481, 0.08744882792234421, 0.0950014516711235, 0.10502714663743973, 0.11627481877803802]"
15,"[0.11075221747159958, 0.10087387263774872]",0,-0.424117306224683,"[0.12324784495799929, 0.10087387210289481]","[0.09428101778030396, 0.09452686458826065, 0.10478516668081284, 0.09934456646442413, 0.10788125544786453, 0.09542934596538544, 0.08739157021045685, 0.09499571472406387, 0.10503438115119934, 0.11633017659187317]"
16,"[0.12324784696102142, 0.10087387263774872]",7,-0.4459348902021414,"[0.13415663694672847, 0.10087387210289481]","[0.09432453662157059, 0.09440945833921432, 0.1048150435090065, 0.09936625510454178, 0.10790572315454483, 0.09542088210582733, 0.08720647543668747, 0.09497422724962234, 0.10506094247102737, 0.11651639640331268]"
17,"[0.13415664434432983, 0.10087387263774872]",6,-0.4423973913945245,"[0.13238788754292005, 0.10087387210289481]","[0.09436718374490738, 0.09431060403585434, 0.10484981536865234, 0.09938646107912064, 0.10792431235313416, 0.09541210532188416, 0.08704861253499985, 0.09495396912097931, 0.10507660359144211, 0.11667031794786453]"
18,"[0.1323878914117813, 0.10087387263774872]",0,-0.461793212422101,"[0.1420857980567083, 0.10087387210289481]","[0.09435871243476868, 0.09432663768529892, 0.10484173148870468, 0.0993821918964386, 0.10792084783315659, 0.09541334956884384, 0.08707459270954132, 0.09495788812637329, 0.10507692396640778, 0.11664712429046631]"
19,"[0.14208579063415527, 0.10087387263774872]",5,-0.4724312576262027,"[0.14740482065875915, 0.10087387210289481]","[0.09440499544143677, 0.0942399874329567, 0.10488370060920715, 0.09940637648105621, 0.107940673828125, 0.09540916979312897, 0.08693420141935349, 0.09493374079465866, 0.10507276654243469, 0.11677438020706177]"
20,"[0.14740481972694397, 0.10087387263774872]",9,-0.4800187314153396,"[0.1511985575533276, 0.10087387210289481]","[0.09443032741546631, 0.09419205784797668, 0.10489920526742935, 0.0994238629937172, 0.10795274376869202, 0.0954160988330841, 0.08686098456382751, 0.0949133038520813, 0.1050654724240303, 0.11684595793485641]"
21,"[0.15119855105876923, 0.10087387263774872]",2,-0.4811088314838507,"[0.15174360758758312, 0.10087387210289481]","[0.09445192664861679, 0.09415724128484726, 0.10490520298480988, 0.09943662583827972, 0.10796420276165009, 0.09542342275381088, 0.08680672943592072, 0.09489773958921432, 0.10505974292755127, 0.11689718067646027]"
