,state,action,reward,next_state,distribution
0,"[0.13405677676200867, 0.10344201326370239, -0.003670688718557358, -0.012228213250637054, 0.012739783152937889, 0.0030295958276838064, 1.9625377944976208e-07]",0,-0.471670293152891,"[0.14301433896041948, 0.10354720507735066, 0.11630323564560197, -0.07028006876262172, 0.008734076500829246, 0.007527158798562361, 0.0017586290841542507]","[0.09600556641817093, 0.10506537556648254, 0.11156134307384491, 0.10108975321054459, 0.098215751349926, 0.09718845039606094, 0.09319104254245758, 0.09948990494012833, 0.09616756439208984, 0.10202524065971375]"
1,"[0.1430143415927887, 0.10354720801115036, 0.11630323529243469, -0.07028006762266159, 0.008734076283872128, 0.007527158595621586, 0.0017586291069164872]",0,-0.5173469065547418,"[0.16584553428778814, 0.10355194599305517, 0.19951290133179533, -0.15734759899615725, 0.00873981283617642, 0.012049186918020816, 0.0030495971583768267]","[0.09611289203166962, 0.10565585643053055, 0.1118464395403862, 0.10104414075613022, 0.09803120046854019, 0.09723998606204987, 0.09279647469520569, 0.09946694225072861, 0.09590056538581848, 0.10190550982952118]"
2,"[0.16584552824497223, 0.10355194658041, 0.19951289892196655, -0.15734760463237762, 0.008739813230931759, 0.01204918697476387, 0.003049597144126892]",2,-0.5285186103743819,"[0.17143138619760814, 0.10355194599305517, 0.19959980207342465, -0.16741072256835654, 0.008696958920499931, 0.01344272142857772, 0.0030315430339831195]","[0.09624765068292618, 0.10585717856884003, 0.11223725229501724, 0.10107330232858658, 0.09781219065189362, 0.09694477915763855, 0.09288930147886276, 0.09960651397705078, 0.09577315300703049, 0.10155870020389557]"
3,"[0.17143139243125916, 0.10355194658041, 0.19959980249404907, -0.1674107164144516, 0.008696959353983402, 0.013442721217870712, 0.0030315429903566837]",9,-0.5288441810631566,"[0.17159417154199552, 0.10355194599305517, 0.1991363805836519, -0.1694783576685861, 0.008448149586207876, 0.015425963876947613, -0.19046791540767938]","[0.09623970091342926, 0.10577525198459625, 0.11227839440107346, 0.10111510753631592, 0.09779544174671173, 0.09692736715078354, 0.09294084459543228, 0.09964112937450409, 0.09577953815460205, 0.10150720179080963]"
4,"[0.17159417271614075, 0.10355194658041, 0.1991363763809204, -0.16947835683822632, 0.008448150008916855, 0.015425964258611202, -0.19046790897846222]",9,-0.5304941388100453,"[0.17241915041543984, 0.10355194599305517, 0.19776168775650937, -0.1729060213626239, 0.008724031047046665, 0.019503951684973764, -0.3890829533835216]","[0.09535883367061615, 0.10501181334257126, 0.11271316558122635, 0.10154018551111221, 0.09824034571647644, 0.09659223258495331, 0.09387601912021637, 0.09923453629016876, 0.096867136657238, 0.10056580603122711]"
5,"[0.17241914570331573, 0.10355194658041, 0.1977616846561432, -0.1729060262441635, 0.008724031038582325, 0.01950395107269287, -0.38908296823501587]",7,-0.5368932347596239,"[0.17561869839022917, 0.10355194599305517, 0.19562344758366557, -0.18326735492542223, 0.008609889434510798, -0.1765597727378374, -0.3890124763317431]","[0.0951576977968216, 0.10391340404748917, 0.1129394993185997, 0.10182253271341324, 0.09887811541557312, 0.09633691608905792, 0.09436687082052231, 0.09907867759466171, 0.09797649085521698, 0.09952984005212784]"
6,"[0.17561869323253632, 0.10355194658041, 0.19562344253063202, -0.18326735496520996, 0.008609889075160027, -0.17655977606773376, -0.38901248574256897]",3,-0.5510101011990708,"[0.18267713160995264, 0.10355194599305517, 0.1963419584633357, -0.21979043409666854, 0.021366986832255463, -0.1743754574196581, -0.3890124743511967]","[0.09505338966846466, 0.1049448773264885, 0.11213774234056473, 0.10214729607105255, 0.09897778183221817, 0.09684081375598907, 0.09411228448152542, 0.09803835302591324, 0.09794455021619797, 0.09980294108390808]"
7,"[0.18267713487148285, 0.10355194658041, 0.19634196162223816, -0.21979042887687683, 0.021366987377405167, -0.17437545955181122, -0.38901248574256897]",8,-0.5490663825667953,"[0.1817052722938149, 0.10355194599305517, 0.19694411781866084, -0.21895696893328598, 0.025634545631843864, -0.17234401066846416, -0.18901247289730616]","[0.09500622004270554, 0.10470309853553772, 0.11210939288139343, 0.10217297822237015, 0.09910082072019577, 0.0967550277709961, 0.09435644745826721, 0.09807891398668289, 0.09788522869348526, 0.09983187168836594]"
8,"[0.1817052662372589, 0.10355194658041, 0.19694411754608154, -0.21895696222782135, 0.02563454583287239, -0.17234401404857635, -0.18901246786117554]",0,-0.5860035401431931,"[0.20017385108201377, 0.10355194599305517, 0.3341923144364074, -0.2538139538910915, 0.008577434424576147, -0.16776776618144407, -0.18673037333904396]","[0.09542197734117508, 0.10565155744552612, 0.1119220182299614, 0.10201188176870346, 0.0989203155040741, 0.09701931476593018, 0.09368148446083069, 0.09792836755514145, 0.09669139236211777, 0.10075171291828156]"
9,"[0.20017385482788086, 0.10355194658041, 0.33419230580329895, -0.2538139522075653, 0.008577434346079826, -0.16776776313781738, -0.18673036992549896]",4,-0.6012205446697232,"[0.2077823533452788, 0.10355194599305517, 0.33271880703902657, -0.3597744159965517, 0.1825375862387162, -0.16353861473820253, -0.18672469728650665]","[0.0958266407251358, 0.10663371533155441, 0.11218813806772232, 0.1015520766377449, 0.09884996712207794, 0.09685457497835159, 0.09326926618814468, 0.09785472601652145, 0.09666428714990616, 0.10030662268400192]"
10,"[0.20778235793113708, 0.10355194658041, 0.3327188193798065, -0.3597744107246399, 0.18253758549690247, -0.1635386198759079, -0.1867246925830841]",0,-0.6298357613558367,"[0.2220899616883356, 0.10355194599305517, 0.5288980792131808, -0.3601819794081713, 0.17385018785896467, -0.1558248518404035, -0.1867247441823503]","[0.09519796818494797, 0.10629086941480637, 0.11234121024608612, 0.10199294239282608, 0.09942599385976791, 0.09616844356060028, 0.09437145292758942, 0.09812325984239578, 0.09474633634090424, 0.10134154558181763]"
11,"[0.2220899611711502, 0.10355194658041, 0.5288980603218079, -0.360181987285614, 0.1738501936197281, -0.15582485496997833, -0.1867247372865677]",8,-0.6332908454288995,"[0.22381750372486697, 0.10355194599305517, 0.5289817558598111, -0.3584765705685413, 0.1808343617703141, -0.15381431624723696, 0.011275295914719763]","[0.09578242152929306, 0.10747920721769333, 0.11296150088310242, 0.10124528408050537, 0.09896213561296463, 0.09651100635528564, 0.09345245361328125, 0.09835851192474365, 0.09427862614393234, 0.10096890479326248]"
12,"[0.22381749749183655, 0.10355194658041, 0.5289817452430725, -0.35847657918930054, 0.18083436787128448, -0.15381431579589844, 0.011275296099483967]",0,-0.6633728998402605,"[0.23885853093054746, 0.10355194599305517, 0.7280636797809832, -0.35861648477255503, 0.1772741820408017, -0.14965323540496112, 0.011275285002282587]","[0.09635362029075623, 0.10769378393888474, 0.11330302804708481, 0.10115066170692444, 0.09851250797510147, 0.09647393971681595, 0.0933094397187233, 0.09871676564216614, 0.09293089807033539, 0.10155541449785233]"
13,"[0.23885853588581085, 0.10355194658041, 0.728063702583313, -0.3586164712905884, 0.1772741824388504, -0.14965324103832245, 0.011275284923613071]",4,-0.6685442001826576,"[0.24144418110174604, 0.10355194599305517, 0.7268921040706875, -0.39536827059973234, 0.3536002005179366, -0.14669292760416663, 0.011275291195965487]","[0.09657961130142212, 0.10811372846364975, 0.11365485936403275, 0.1003437414765358, 0.09808852523565292, 0.09675437211990356, 0.09252910315990448, 0.09912295639514923, 0.09321095794439316, 0.10160216689109802]"
