,state,action,reward,next_state,distribution
0,"[-0.003548240754753351, -0.012051691301167011, 0.008836769498884678, 0.003166627138853073, -3.366288001416251e-05, 0.0688011571764946, 0.11106311529874802, -0.03158721327781677, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",8,-0.4643047264162764,"[-0.00310996221640103, -0.010477094860915415, 0.01316309233658508, 0.005286563168336755, 0.19496633893795057, 0.07625507125856505, 0.11302160136351042, -0.028698241137775415, -0.010000060699604463, 0.1000000361960999, -0.024949916523882454]","[0.10649920254945755, 0.09839329123497009, 0.10138442367315292, 0.09848807752132416, 0.09709194302558899, 0.09883120656013489, 0.09766647964715958, 0.09296336770057678, 0.11036714166402817, 0.09831487387418747]"
1,"[-0.0031099622137844563, -0.010477094911038876, 0.01316309254616499, 0.005286563187837601, 0.19496634602546692, 0.07625506818294525, 0.1130216047167778, -0.028698241338133812, -0.010000060312449932, 0.1000000387430191, -0.02494991570711136]",8,-0.47437678293384056,"[-0.002126392269469868, -0.009593716929310325, 0.013946844730275743, 0.0073057196142398695, 0.3904663460823672, 0.08451799439227686, 0.11362244772067476, -0.028046283385677162, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10571584850549698, 0.09925228357315063, 0.10155776143074036, 0.09794878959655762, 0.09740664064884186, 0.09889993071556091, 0.09779923409223557, 0.0932115837931633, 0.11013360321521759, 0.0980742946267128]"
2,"[-0.0021263922099024057, -0.009593716822564602, 0.013946844264864922, 0.0073057194240391254, 0.3904663324356079, 0.08451799303293228, 0.11362244933843613, -0.02804628387093544, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.47702506544262935,"[-0.0012206588024996634, -0.0086637874959834, 0.01567280865690268, 0.009337936137866265, 0.19196627801674548, 0.08713665607706995, 0.11337127206372877, -0.027895600307617507, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10488482564687729, 0.10015882551670074, 0.10178438574075699, 0.09712428599596024, 0.09760341793298721, 0.09886778146028519, 0.09817852824926376, 0.09360703825950623, 0.11004859954118729, 0.0977422371506691]"
3,"[-0.001220658770762384, -0.008663787506520748, 0.01567280851304531, 0.009337936528027058, 0.19196628034114838, 0.0871366560459137, 0.11337127536535263, -0.027895599603652954, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.49275816605829703,"[0.08645986539604955, -0.025095171594976762, 0.00870919983232099, 0.013793129132510629, 0.19271900541820486, 0.09949511257171911, 0.11567586412306019, -0.017256216608222408, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10575230419635773, 0.09925699234008789, 0.10153026133775711, 0.09792552888393402, 0.09740284085273743, 0.09892862290143967, 0.09774655848741531, 0.09317250549793243, 0.11020708829164505, 0.09807732701301575]"
4,"[0.08645986765623093, -0.025095172226428986, 0.008709199726581573, 0.013793129473924637, 0.1927190124988556, 0.09949511289596558, 0.11567586660385132, -0.01725621707737446, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",5,-0.5076265751110536,"[0.08556495695811073, -0.02662683298327373, 0.00870610710148334, 0.017523039859222322, 0.19272306069263934, 0.10791209549169775, 0.11846306374440768, -0.015419827080481507, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10545559972524643, 0.09939096122980118, 0.10163980722427368, 0.0974789634346962, 0.09734520316123962, 0.09900855273008347, 0.0979095920920372, 0.09330292046070099, 0.110179603099823, 0.09828884154558182]"
5,"[0.08556495606899261, -0.0266268327832222, 0.008706106804311275, 0.017523039132356644, 0.19272306561470032, 0.1079120934009552, 0.11846306174993515, -0.015419826842844486, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.508378246237328,"[0.08401894809640531, -0.017476602945780684, 0.00871417855733636, 0.02172021062881857, 0.19279891721111042, 0.11038488275950953, 0.11679921500127316, -0.014510659228399003, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10549866408109665, 0.09938611835241318, 0.10162830352783203, 0.09746254980564117, 0.0973426029086113, 0.0990070104598999, 0.0978773832321167, 0.09329050779342651, 0.11023709177970886, 0.09826979786157608]"
6,"[0.08401894569396973, -0.017476603388786316, 0.008714178577065468, 0.02172021009027958, 0.192798912525177, 0.11038488149642944, 0.11679921299219131, -0.014510659500956535, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.4997031767796437,"[0.08385345955071521, -0.08261019975350159, 0.18584040040701488, 0.02466961358189934, 0.19279893687511773, 0.11117141677770051, 0.11032176197329252, -0.011245340308882468, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.1055133044719696, 0.09937110543251038, 0.10161354392766953, 0.09744198620319366, 0.09735420346260071, 0.09901530295610428, 0.09784327447414398, 0.09326441586017609, 0.1102801263332367, 0.0983026921749115]"
7,"[0.08385346084833145, -0.08261019736528397, 0.1858403980731964, 0.02466961368918419, 0.1927989423274994, 0.1111714169383049, 0.1103217601776123, -0.01124534010887146, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.49624403402702155,"[0.0854013744756772, -0.08153005416108616, 0.1849627328605168, 0.22485666034193486, 0.19279895389363322, 0.10775071809046899, 0.1108640801627857, -0.014669538565103557, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10583841055631638, 0.10007517784833908, 0.10181313008069992, 0.09776243567466736, 0.09727893769741058, 0.09911502152681351, 0.09813463687896729, 0.09305793046951294, 0.10966510325670242, 0.0972592681646347]"
8,"[0.08540137112140656, -0.08153005689382553, 0.18496273458003998, 0.2248566597700119, 0.19279895722866058, 0.10775072127580643, 0.1108640804886818, -0.014669538475573063, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",3,-0.5061506590669759,"[0.08645896104503414, -0.10430702912602996, 0.1920657316033223, 0.22559569921928802, 0.19279902169343988, 0.10995132848814661, 0.1152081473474878, -0.017805076087399896, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10671977698802948, 0.09919115900993347, 0.10209787636995316, 0.09779475629329681, 0.09767148643732071, 0.09943967312574387, 0.09799983352422714, 0.09267007559537888, 0.10947363078594208, 0.09694178402423859]"
9,"[0.0864589586853981, -0.10430702567100525, 0.19206573069095612, 0.22559569776058197, 0.19279901683330536, 0.10995133221149445, 0.11520814895629883, -0.017805075272917747, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.5078056128349492,"[0.0874246751779868, -0.10365929945873198, 0.18990790960078385, 0.22661791021859745, -0.007200965600666187, 0.11104196991048337, 0.1152396087969294, -0.018292972493228143, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10674887150526047, 0.09925733506679535, 0.1021248921751976, 0.09787466377019882, 0.09760265052318573, 0.09939677268266678, 0.09804698824882507, 0.09265628457069397, 0.10943426191806793, 0.09685727208852768]"
