,state,action,reward,next_state,distribution
0,"[0.13461171090602875, 0.10344201326370239]",4,-0.4339295406228098,"[0.12414396305235553, 0.10354720483936625]","[0.09193636476993561, 0.10479837656021118, 0.1097419336438179, 0.10809271037578583, 0.09571345895528793, 0.08747802674770355, 0.1099015399813652, 0.10365337878465652, 0.08801507949829102, 0.10066910088062286]"
1,"[0.12414396554231644, 0.10354720801115036]",2,-0.4104859675932523,"[0.11241506480704339, 0.10355194599305517]","[0.09193041175603867, 0.10484559834003448, 0.10973837971687317, 0.10797537118196487, 0.09564205259084702, 0.08752406388521194, 0.10995448380708694, 0.1036653071641922, 0.08804243057966232, 0.1006818488240242]"
2,"[0.11241506785154343, 0.10355194658041]",4,-0.39477012796157,"[0.10455714499120228, 0.10355194599305517]","[0.0919298604130745, 0.10489113628864288, 0.10973353683948517, 0.10784682631492615, 0.09557162970304489, 0.08758232742547989, 0.11000648140907288, 0.10366389155387878, 0.08806895464658737, 0.10070529580116272]"
3,"[0.10455714166164398, 0.10355194658041]",0,-0.4097086856112615,"[0.11202642381604797, 0.10355194599305517]","[0.09192769974470139, 0.10492157936096191, 0.10973270237445831, 0.10775840282440186, 0.09552701562643051, 0.08761704713106155, 0.11004450172185898, 0.10365794599056244, 0.08809100836515427, 0.10072208195924759]"
4,"[0.11202642321586609, 0.10355194658041]",3,-0.4314285280986898,"[0.12288634505976213, 0.10355194599305517]","[0.09192989021539688, 0.10489263385534286, 0.10973333567380905, 0.10784248262643814, 0.09556944668292999, 0.08758436143398285, 0.11000807583332062, 0.10366372764110565, 0.0880698561668396, 0.10070613771677017]"
5,"[0.12288634479045868, 0.10355194658041]",3,-0.4537910207416716,"[0.13406759138125304, 0.10355194599305517]","[0.09193003922700882, 0.10485061258077621, 0.10973814874887466, 0.10796208679676056, 0.0956336110830307, 0.0875297486782074, 0.10996080189943314, 0.1036657989025116, 0.08804508298635483, 0.1006840169429779]"
6,"[0.1340675950050354, 0.10355194658041]",9,-0.4564953587395116,"[0.13541976038017303, 0.10355194599305517]","[0.09193547070026398, 0.10480103641748428, 0.10974172502756119, 0.10808701068162918, 0.09570864588022232, 0.08748045563697815, 0.10990549623966217, 0.10365429520606995, 0.08801604807376862, 0.10066986829042435]"
7,"[0.13541975617408752, 0.10355194658041]",9,-0.4559520014297998,"[0.13514808172531714, 0.10355194599305517]","[0.09193682670593262, 0.10479413717985153, 0.10974233597517014, 0.10810273140668869, 0.09571770578622818, 0.08747466653585434, 0.1098986491560936, 0.10365210473537445, 0.08801200985908508, 0.10066882520914078]"
8,"[0.1351480782032013, 0.10355194658041]",2,-0.4522935121416794,"[0.13331883708125694, 0.10355194599305517]","[0.09193655848503113, 0.10479553043842316, 0.10974222421646118, 0.10809957981109619, 0.09571588784456253, 0.08747583627700806, 0.10990003496408463, 0.10365255177021027, 0.08801282197237015, 0.10066904127597809]"
9,"[0.13331884145736694, 0.10355194658041]",8,-0.4562919413140449,"[0.13533713580302675, 0.10355194599305517]","[0.09193472564220428, 0.10480485111474991, 0.10974138230085373, 0.10807829350233078, 0.0957036167383194, 0.08748364448547363, 0.10990927368402481, 0.10365550220012665, 0.08801828324794769, 0.10067043453454971]"
10,"[0.13533712923526764, 0.10355194658041]",6,-0.4515749464002671,"[0.13295955421055075, 0.10355194599305517]","[0.09193674474954605, 0.10479456186294556, 0.10974229872226715, 0.10810177028179169, 0.09571714699268341, 0.0874750167131424, 0.10989906638860703, 0.1036522388458252, 0.08801225572824478, 0.10066888481378555]"
11,"[0.13295955955982208, 0.10355194658041]",7,-0.4445088230869053,"[0.12942649255386987, 0.10355194599305517]","[0.09193436801433563, 0.10480669140815735, 0.1097412258386612, 0.1080741211771965, 0.09570121020078659, 0.08748519420623779, 0.10991109162569046, 0.1036560907959938, 0.08801936358213425, 0.1006707176566124]"
