,state,action,reward,next_state,distribution
0,"[-0.0035630655474960804, -0.012057154439389706, 0.012896846979856491, 0.003068306716158986, 8.382515375160438e-07, 0.06886424124240875, 0.1106322854757309, -0.031384631991386414, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",5,-0.4464407657339925,"[-0.002396995305302241, -0.011657033256812888, 0.011265431982715235, 0.005075739099172694, 1.1585304395822504e-06, 0.06473204865821874, 0.10946360380482767, -0.02883627294402613, -0.010000056550209357, 0.1000000495621085, -0.024940180164027104]","[0.10044719278812408, 0.09378378093242645, 0.09446097165346146, 0.10723833739757538, 0.10115695744752884, 0.09608600288629532, 0.09279237687587738, 0.10872269421815872, 0.10576769709587097, 0.09954394400119781]"
1,"[-0.0023969952017068863, -0.011657033115625381, 0.01126543153077364, 0.0050757392309606075, 1.1585304946493125e-06, 0.06473204493522644, 0.10946360230445862, -0.028836272656917572, -0.010000056587159634, 0.1000000461935997, -0.02494017966091633]",4,-0.4169608252571755,"[-0.0022207821712543208, -0.05405917944274918, 0.1938939320883719, 0.006741154025033502, 1.533945024334571e-06, 0.06220413169813255, 0.0946457220191308, -0.023416502473232126, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10044065862894058, 0.09377868473529816, 0.09445275366306305, 0.10725409537553787, 0.1011345162987709, 0.09610608965158463, 0.09280413389205933, 0.10868947207927704, 0.10578107833862305, 0.09955854713916779]"
2,"[-0.002220782218500972, -0.05405917763710022, 0.1938939392566681, 0.006741154007613659, 1.5339450101237162e-06, 0.06220412999391556, 0.09464572370052338, -0.02341650240123272, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.41265797107108,"[-0.09058985377622442, -0.03896542518780599, 0.20727693820347426, 0.002098360414167999, -2.9280387892072213e-06, 0.05329047457614744, 0.09268240615197193, -0.03811284581869623, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.100193552672863, 0.09419914335012436, 0.09475664794445038, 0.10702533274888992, 0.10166685283184052, 0.09599851071834564, 0.09189234673976898, 0.1093325987458229, 0.10554946959018707, 0.0993855819106102]"
3,"[-0.09058985114097595, -0.03896542638540268, 0.20727694034576416, 0.0020983603317290545, -2.9280388389452128e-06, 0.0532904751598835, 0.09268240630626678, -0.03811284527182579, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.4068275414075066,"[-0.09027406657751946, -0.00925151611734254, 0.2035152225316592, 0.003977626751723307, -2.912720576730976e-06, 0.055921597746116034, 0.08771657653111409, -0.03752076367201662, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10011646151542664, 0.09421820193529129, 0.09489160031080246, 0.10685383528470993, 0.10194162279367447, 0.09608209133148193, 0.09155943989753723, 0.10960444808006287, 0.10520288348197937, 0.09952938556671143]"
4,"[-0.09027406573295593, -0.009251516312360764, 0.2035152167081833, 0.00397762656211853, -2.9127206744306022e-06, 0.05592159926891327, 0.08771657943725586, -0.03752076253294945, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.3887341819560806,"[-0.09015186082770743, -0.03512725542686557, 0.3811126023384075, 0.005601928701683079, -2.847912572434552e-06, 0.06332650314824216, 0.07277399140731744, -0.03168443816394617, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10004736483097076, 0.09425213187932968, 0.09483996778726578, 0.10689756274223328, 0.10190393030643463, 0.09617608785629272, 0.09166742861270905, 0.1096341609954834, 0.10513605177402496, 0.09944531321525574]"
5,"[-0.09015186131000519, -0.03512725606560707, 0.38111260533332825, 0.005601928569376469, -2.8479125830926932e-06, 0.06332650035619736, 0.0727739930152893, -0.03168443962931633, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.3912669823283432,"[-0.15897859554818172, -0.033675616316016566, 0.39053769902492785, -0.003889159183254165, -2.681768948242791e-06, 0.05516869680845521, 0.07342030764538793, -0.04620453427811966, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10024567693471909, 0.09470523148775101, 0.09497568756341934, 0.10685170441865921, 0.10201900452375412, 0.09612803161144257, 0.09087131172418594, 0.11037416756153107, 0.10483134537935257, 0.09899789094924927]"
6,"[-0.15897859632968903, -0.03367561474442482, 0.39053770899772644, -0.0038891592994332314, -2.6817690468305955e-06, 0.055168695747852325, 0.07342030853033066, -0.04620453342795372, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.3923699326035685,"[-0.15793341855228338, -0.03313837762657812, 0.393961667943608, -0.0034117544851675063, -0.20000254164909315, 0.056229758890934234, 0.07238987084354775, -0.047755628395180216, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10038048028945923, 0.09466712176799774, 0.09506338834762573, 0.10660862922668457, 0.102284736931324, 0.09607954323291779, 0.09062682837247849, 0.11045660823583603, 0.10466311872005463, 0.09916957467794418]"
7,"[-0.15793341398239136, -0.03313837945461273, 0.39396166801452637, -0.0034117545001208782, -0.2000025361776352, 0.05622975900769234, 0.0723898708820343, -0.04775562882423401, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.3930591385121291,"[-0.15676685673330581, -0.03250271887269296, 0.3978450070186579, -0.003255288410855428, -0.40000241885198484, 0.05754053579983803, 0.0722397397104832, -0.04716501896979264, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.1008673757314682, 0.09415502101182938, 0.09483454376459122, 0.10676320642232895, 0.10289667546749115, 0.09568937867879868, 0.09035895019769669, 0.11052357405424118, 0.10492708534002304, 0.09898420423269272]"
8,"[-0.1567668616771698, -0.03250271826982498, 0.39784500002861023, -0.0032552883494645357, -0.4000024199485779, 0.05754053592681885, 0.07223974168300629, -0.04716501757502556, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.3907054345940107,"[-0.04594911701196569, -0.03401651045884346, 0.3910467568113596, 0.014297920514635187, -0.3996377824072779, 0.07047837228085063, 0.07062160357643127, -0.02359496592311372, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10178769379854202, 0.09390708059072495, 0.09454599022865295, 0.10645894706249237, 0.10284010320901871, 0.09528491646051407, 0.09013761579990387, 0.11058498173952103, 0.10529681295156479, 0.09915581345558167]"
9,"[-0.045949116349220276, -0.03401650860905647, 0.39104676246643066, 0.014297920279204845, -0.39963778853416443, 0.07047837227582932, 0.07062160223722458, -0.023594966158270836, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.4023253433604487,"[-0.08754060346799797, -0.03587866605771772, 0.37779675829913106, -0.16883798943851058, -0.3991047890708508, 0.07357243366158778, 0.07523611844835149, -0.025749604394618708, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10181508958339691, 0.09375211596488953, 0.09471850842237473, 0.10675380378961563, 0.1025354340672493, 0.09538771212100983, 0.09047543257474899, 0.11033216863870621, 0.10532323271036148, 0.0989064946770668]"
10,"[-0.08754060417413712, -0.03587866574525833, 0.3777967691421509, -0.1688379943370819, -0.3991048038005829, 0.07357243448495865, 0.07523611932992935, -0.025749605149030685, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.4068222875064333,"[-0.09085075271713361, -0.03672013280697328, 0.3730593195257441, -0.1582589959528935, -0.599104636745392, 0.07492525511731896, 0.0767773526380564, -0.0268345647741971, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10221176594495773, 0.09357613325119019, 0.0943107157945633, 0.10621370375156403, 0.10286693274974823, 0.09505108743906021, 0.09051764011383057, 0.11073465645313263, 0.10502376407384872, 0.0994936004281044]"
11,"[-0.09085075557231903, -0.03672013431787491, 0.37305933237075806, -0.15825898945331573, -0.599104642868042, 0.0749252587556839, 0.07677735388278961, -0.02683456428349018, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",5,-0.4307940148298131,"[-0.0886610141999915, -0.00846519185739325, 0.23705483999060117, -0.15721487889218544, -0.5991049640961226, 0.0771675294108497, 0.09080220312200227, -0.028693444377263844, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.1030198186635971, 0.09350503236055374, 0.09404390305280685, 0.10582397878170013, 0.10273182392120361, 0.09449441730976105, 0.09063464403152466, 0.11091400682926178, 0.1048654243350029, 0.09996695816516876]"
12,"[-0.08866101503372192, -0.008465192280709743, 0.23705483973026276, -0.15721487998962402, -0.5991049408912659, 0.07716752588748932, 0.09080220013856888, -0.028693445026874542, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.4544533758338435,"[-0.04570913792135656, -0.020907539791664043, 0.2155762436216131, -0.14738001463857486, -0.5982976988447088, 0.09000099017534575, 0.09620360626778357, -0.026602950921182367, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10269048810005188, 0.09328363090753555, 0.09400234371423721, 0.10593873262405396, 0.10238976031541824, 0.09441358596086502, 0.09118781238794327, 0.11052106320858002, 0.10556278377771378, 0.10000985115766525]"
13,"[-0.04570913687348366, -0.020907539874315262, 0.21557624638080597, -0.1473800092935562, -0.5982977151870728, 0.09000098705291748, 0.09620360285043716, -0.02660295180976391, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.4823246940155171,"[-0.06022376089810155, -0.026183860172167783, 0.18560886676129051, -0.3413334166644315, -0.5978293047317642, 0.1013951098627179, 0.10400797109475851, -0.030074510472468563, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10271653532981873, 0.09314345568418503, 0.09405132383108139, 0.10597032308578491, 0.10228948295116425, 0.09444736689329147, 0.09124500304460526, 0.11044912040233612, 0.1057702973484993, 0.09991711378097534]"
14,"[-0.060223761945962906, -0.02618386037647724, 0.1856088638305664, -0.34133341908454895, -0.597829282283783, 0.10139510780572891, 0.10400797426700592, -0.030074510723352432, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",8,-0.4870978960037428,"[-0.0602835100808683, -0.026992938191387594, 0.18271913973121023, -0.34257825119021135, -0.3978248755781051, 0.10373286827014004, 0.10605908439656592, -0.02660434633542108, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.103077732026577, 0.09290732443332672, 0.09381118416786194, 0.10576042532920837, 0.10257106274366379, 0.09399086236953735, 0.09171194583177567, 0.11057420819997787, 0.1056351512670517, 0.099960096180439]"
15,"[-0.060283511877059937, -0.026992937549948692, 0.1827191412448883, -0.342578262090683, -0.39782488346099854, 0.1037328690290451, 0.10605908185243607, -0.026604346930980682, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",5,-0.5041795786648885,"[-0.057635306622112026, -0.008480507597620424, 0.06782863629934699, -0.34454109254240706, -0.39782521108524893, 0.10367305471009117, 0.1164635089020633, -0.032442135663422245, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.1027231439948082, 0.09321113675832748, 0.09372380375862122, 0.1058465763926506, 0.10247666388750076, 0.0943572074174881, 0.09169703722000122, 0.11060690134763718, 0.10567408800125122, 0.09968339651823044]"
16,"[-0.05763530731201172, -0.008480507880449295, 0.06782863289117813, -0.34454110264778137, -0.3978252112865448, 0.103673055768013, 0.11646351218223572, -0.032442133873701096, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.4981071277542167,"[-0.06094681438324567, -0.0659706129318085, 0.23176380585827694, -0.34072693281230126, -0.3975501390141858, 0.10826337635005873, 0.10925964183312498, -0.027346373220338505, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10266753286123276, 0.09284748882055283, 0.09349104762077332, 0.10598615556955338, 0.10213138163089752, 0.09424842149019241, 0.09217239171266556, 0.11030767112970352, 0.10632126778364182, 0.09982666373252869]"
17,"[-0.060946814715862274, -0.06597061455249786, 0.2317638099193573, -0.34072694182395935, -0.39755013585090637, 0.10826337337493896, 0.10925964266061783, -0.027346372604370117, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",3,-0.5109258525389143,"[-0.06094911033128003, -0.09168630280648937, 0.24365765590982313, -0.34010668518073484, -0.3975507755833503, 0.1120814266928574, 0.11455623344563759, -0.027654452845193078, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10275344550609589, 0.09332119673490524, 0.09382344782352448, 0.10570826381444931, 0.10260776430368423, 0.09435287863016129, 0.09138250350952148, 0.11087421327829361, 0.10555398464202881, 0.09962231665849686]"
18,"[-0.06094910949468613, -0.09168630093336105, 0.243657648563385, -0.34010669589042664, -0.3975507616996765, 0.11208142340183258, 0.11455623060464859, -0.027654452249407768, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.5168142506054548,"[-0.062154107944594195, -0.09281078435062273, 0.235829684480926, -0.3393492849922435, -0.5945671832341093, 0.11457187980763167, 0.11551564712355733, -0.030755376607388585, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10278105735778809, 0.09336856752634048, 0.09385725855827332, 0.10563700646162033, 0.1025969609618187, 0.0943293645977974, 0.09123432636260986, 0.1109764575958252, 0.10560406744480133, 0.0996149480342865]"
19,"[-0.06215410679578781, -0.09281078726053238, 0.2358296811580658, -0.33934929966926575, -0.5945671796798706, 0.11457187682390213, 0.11551564931869507, -0.03075537644326687, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.5082369031271061,"[-0.15650488397827278, -0.09216122941778515, 0.25173670394962055, -0.3482008936152603, -0.5945670998885646, 0.10167407882318352, 0.11631827852037635, -0.04633654794552766, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10312159359455109, 0.09301281720399857, 0.09381739050149918, 0.10562353581190109, 0.10265257954597473, 0.09394960105419159, 0.09131414443254471, 0.11095818877220154, 0.10565555840730667, 0.09989463537931442]"
20,"[-0.15650488436222076, -0.09216123074293137, 0.25173670053482056, -0.34820088744163513, -0.5945671200752258, 0.10167407989501953, 0.11631827801465988, -0.046336546540260315, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.4888050070296408,"[-0.15815922417326167, -0.14399186986020585, 0.4314265677454001, -0.34704117880521057, -0.5945671241700969, 0.10315364998388465, 0.10398400239070121, -0.039006491970071666, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10328900814056396, 0.09312856197357178, 0.09371631592512131, 0.10563778877258301, 0.102619968354702, 0.09379241615533829, 0.09098253399133682, 0.1112493947148323, 0.1055220440030098, 0.10006197541952133]"
21,"[-0.15815922617912292, -0.1439918726682663, 0.4314265549182892, -0.34704118967056274, -0.5945671200752258, 0.10315365344285965, 0.10398400574922562, -0.039006490260362625, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.4766362086831794,"[-0.15398010139741025, -0.1435864044920967, 0.4386178147096427, -0.16057394319219753, -0.5945670892097521, 0.09526744175464276, 0.1002684788368775, -0.045141341661782075, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10387463867664337, 0.0935211330652237, 0.09347400069236755, 0.10563377290964127, 0.10286407172679901, 0.09388133883476257, 0.09015846997499466, 0.11198040843009949, 0.10467112809419632, 0.09994105994701385]"
22,"[-0.1539801061153412, -0.1435863971710205, 0.4386178255081177, -0.16057394444942474, -0.594567060470581, 0.09526744484901428, 0.10026847571134567, -0.04514134302735329, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",5,-0.4873122672308024,"[-0.1513720180433218, -0.07251498128797351, 0.25862984895239105, -0.1615205365343586, -0.5945670011022681, 0.09217573666933651, 0.10838864072323473, -0.05004684264613124, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10359004139900208, 0.09364591538906097, 0.09400226920843124, 0.10561997443437576, 0.10263437777757645, 0.0942934900522232, 0.08974376320838928, 0.11163905262947083, 0.10502483695745468, 0.09980618208646774]"
