,state,action,reward,next_state,distribution
0,"[-0.003304999088868499, -0.011816704645752907, 0.010588264092803001, 0.001008878811262548, -6.195772357386886e-07, 0.06892525404691696, 0.11086180806159973, -0.031375810503959656, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",0,-0.47119303764207915,"[0.11339754497088173, -0.06868274812519193, 0.008691720415728632, 0.003196119138330289, 0.0018102288426167235, 0.07781959420829093, 0.11763627412955863, -0.022129021240220537, -0.009999995971109607, 0.10000007039905903, -0.024950083671879897]","[0.0977618619799614, 0.10230964422225952, 0.10252275317907333, 0.09330637007951736, 0.10195856541395187, 0.11214985698461533, 0.09887895733118057, 0.09304501861333847, 0.09970827400684357, 0.09835878759622574]"
1,"[0.11339754611253738, -0.06868274509906769, 0.00869172066450119, 0.003196119097992778, 0.0018102288013324142, 0.0778195932507515, 0.11763627082109451, -0.02212902158498764, -0.009999996051192284, 0.10000006854534149, -0.02495008334517479]",1,-0.4534301474779151,"[-0.004726990935036035, -0.06875960022266625, 0.008723549787426954, 0.0022660186653737924, 0.0018102102061794412, 0.057180547150412486, 0.11511301884818104, -0.03748530546922091, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09808170050382614, 0.10212242603302002, 0.10312885791063309, 0.09343677759170532, 0.10212276130914688, 0.11164544522762299, 0.09878523647785187, 0.09309559315443039, 0.09976902604103088, 0.09781213849782944]"
2,"[-0.004726991057395935, -0.06875959783792496, 0.008723549544811249, 0.0022660186514258385, 0.0018102101748809218, 0.05718054622411728, 0.1151130199432373, -0.03748530521988869, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",8,-0.442607625750156,"[-0.0037292252663769787, -0.06772869470421572, 0.010265264907395988, 0.0020984655679132658, 0.2013102116319141, 0.051667367445387, 0.11122525442503062, -0.03828160431627181, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09807330369949341, 0.10243583470582962, 0.10269644111394882, 0.09309574961662292, 0.1017768532037735, 0.11185760051012039, 0.0989743173122406, 0.0930662527680397, 0.09971094876527786, 0.09831274300813675]"
3,"[-0.003729225369170308, -0.06772869825363159, 0.01026526466012001, 0.002098465571179986, 0.20131021738052368, 0.05166736617684364, 0.11122525483369827, -0.038281604647636414, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.415520551125785,"[-0.0030953259415822387, -0.12003237751765727, 0.19368526431251798, 0.00109906702712248, 0.2013101810960407, 0.04811757422027392, 0.09879393924701763, -0.03367347927831976, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09768287092447281, 0.10294792801141739, 0.10235835611820221, 0.09266947954893112, 0.10182413458824158, 0.11158349364995956, 0.10020039230585098, 0.0926283523440361, 0.09985636919736862, 0.09824860841035843]"
4,"[-0.0030953260138630867, -0.12003237754106522, 0.19368526339530945, 0.0010990670416504145, 0.2013101875782013, 0.04811757430434227, 0.09879393875598907, -0.0336734801530838, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.4098074363339581,"[-0.0034452414604571047, -0.1170696839378147, 0.20527522254067776, -0.1947621345757513, 0.2013102485301621, 0.048299053219109725, 0.09761583592262019, -0.026444938958480657, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09813100099563599, 0.10307052731513977, 0.10248574614524841, 0.09208208322525024, 0.10153593868017197, 0.11250894516706467, 0.09995955973863602, 0.09201014041900635, 0.09996777027845383, 0.09824834764003754]"
5,"[-0.003445241367444396, -0.11706968396902084, 0.20527522265911102, -0.19476214051246643, 0.20131024718284607, 0.04829905182123184, 0.09761583805084229, -0.0264449380338192, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.41349188041885854,"[-0.004792603105127746, -0.11537325809490451, 0.20754889432752321, -0.39073527121321927, 0.20213159307502782, 0.05211609895103178, 0.09870616824190115, -0.022766645334198143, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09701091796159744, 0.10276482254266739, 0.10235296934843063, 0.09258148074150085, 0.1019323319196701, 0.11365246027708054, 0.09957509487867355, 0.0920175090432167, 0.10015983134508133, 0.09795258939266205]"
6,"[-0.004792603198438883, -0.11537326127290726, 0.20754890143871307, -0.3907352685928345, 0.20213159918785095, 0.05211609974503517, 0.09870617091655731, -0.02276664599776268, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",3,-0.4265343132939393,"[-0.0037856762539325572, -0.1442128960712239, 0.21779501878016116, -0.39145053780425876, 0.20213167667051213, 0.055086347362288055, 0.1043836211871042, -0.02398257554227634, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09592197835445404, 0.1024824008345604, 0.102353036403656, 0.09319259226322174, 0.1020711362361908, 0.11465024948120117, 0.09969582408666611, 0.09196504950523376, 0.1003720611333847, 0.09729568660259247]"
7,"[-0.003785676322877407, -0.14421290159225464, 0.2177950143814087, -0.39145052433013916, 0.20213167369365692, 0.055086348205804825, 0.10438361763954163, -0.0239825751632452, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",8,-0.42720422875059505,"[-0.002920483148120212, -0.14377336087559733, 0.2178103393966122, -0.3925305978166662, 0.40213172263008445, 0.05569449848547754, 0.10425357663158774, -0.024813723401368226, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09601018577814102, 0.1025494709610939, 0.10243161767721176, 0.09307019412517548, 0.10198983550071716, 0.11453410238027573, 0.09975254535675049, 0.09196403622627258, 0.10042557120323181, 0.09727245569229126]"
8,"[-0.0029204832389950752, -0.14377336204051971, 0.21781033277511597, -0.3925305902957916, 0.40213173627853394, 0.055694498121738434, 0.10425357520580292, -0.02481372281908989, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.4189705875351397,"[-0.00047402657552986227, -0.14350212821982122, 0.21854373952575568, -0.2010589193164689, 0.4021317595411613, 0.05070970373304973, 0.10112563185402268, -0.028479389381142473, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09625747054815292, 0.10342353582382202, 0.10161646455526352, 0.09260691702365875, 0.10222799330949783, 0.11428330838680267, 0.10054516792297363, 0.09160412102937698, 0.10066328197717667, 0.096771739423275]"
9,"[-0.00047402657219208777, -0.1435021311044693, 0.21854373812675476, -0.20105892419815063, 0.4021317660808563, 0.05070970207452774, 0.10112563520669937, -0.02847938984632492, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.3888072563010241,"[0.0003742816768346202, -0.09159773346108935, 0.2032599583574184, -0.2019269420937384, 0.4021317183260642, 0.04393053963003432, 0.08858609056854888, -0.023242997593695525, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.09704382717609406, 0.10327109694480896, 0.10193534195423126, 0.09219496697187424, 0.10207079350948334, 0.11384163051843643, 0.1004054844379425, 0.09162493795156479, 0.10025139153003693, 0.09736055880784988]"
