,state,action,reward,next_state,distribution
0,"[-0.003532345173880458, -0.012043389491736889, 0.012935872189700603, 0.0015614524018019438, -3.0770945613767253e-06, 0.0688580647110939, 0.11066514998674393, -0.03131891041994095, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",5,0.0,"[-0.0023252133637727823, -0.011715416270553725, 0.010952820728053148, 0.0018885995939257327, -3.0702751692146535e-06, 0.0641097094724549, 0.10935869488611683, -0.028721554025842866, -0.010000005983092253, 0.10000006908816172, -0.025009222280492405]","[0.09817356616258621, 0.09930937737226486, 0.09073279052972794, 0.09561409801244736, 0.10599472373723984, 0.10117801278829575, 0.10339304804801941, 0.09711193293333054, 0.10545404255390167, 0.1030384749174118]"
1,"[-0.0023252132814377546, -0.011715415865182877, 0.010952821001410484, 0.0018885995959863067, -3.070275170102832e-06, 0.06410971283912659, 0.10935869812965393, -0.028721554204821587, -0.010000006295740604, 0.10000006854534149, -0.025009222328662872]",3,0.0,"[0.0001285690538512796, -0.06634840426429811, 0.02404354802516373, 0.0019722901874628107, -3.069460816185199e-06, 0.058231414298896333, 0.11422712629586806, -0.03435790199006128, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09817956387996674, 0.09932047873735428, 0.09072711318731308, 0.09561557322740555, 0.10600907355546951, 0.10121631622314453, 0.10336513072252274, 0.09711119532585144, 0.10544859617948532, 0.10300691425800323]"
2,"[0.00012856905232183635, -0.06634840369224548, 0.024043548852205276, 0.0019722902216017246, -3.0694607175973943e-06, 0.0582314133644104, 0.11422712355852127, -0.03435790166258812, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,2.0,"[0.0010777988553813955, -0.06649490165998895, 0.023379493422709174, 0.0020975640611249347, 0.19999693053698486, 0.05115597141888119, 0.10886785568960466, -0.03675627258495773, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09811766445636749, 0.0990130826830864, 0.09089415520429611, 0.09564521908760071, 0.1059567779302597, 0.10110019892454147, 0.10352438688278198, 0.0971587672829628, 0.10545719414949417, 0.10313259810209274]"
3,"[0.001077798893675208, -0.0664949044585228, 0.02337949350476265, 0.0020975640509277582, 0.1999969333410263, 0.051155973225831985, 0.10886785387992859, -0.03675627335906029, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,0.0,"[0.002090784471660889, -0.06573024493652824, 0.027536598222390296, 0.002174180031731865, 0.3934969364351302, 0.04935189142014529, 0.1077019175055875, -0.035575727739498575, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09770233184099197, 0.09908600151538849, 0.09046752750873566, 0.09596135467290878, 0.1062842607498169, 0.10098493099212646, 0.10365680605173111, 0.09751349687576294, 0.10578784346580505, 0.10255541652441025]"
4,"[0.002090784488245845, -0.06573024392127991, 0.027536598965525627, 0.0021741800010204315, 0.39349693059921265, 0.04935188964009285, 0.10770191997289658, -0.03557572886347771, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[0.002715605823550682, -0.11710363608980057, 0.20881380135248762, 0.0013827196331810399, 0.39349690614213184, 0.04632691758749305, 0.09525988951702336, -0.031228342905613382, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.0971992239356041, 0.09900424629449844, 0.09002487361431122, 0.09594496339559555, 0.10661911219358444, 0.10112913697957993, 0.10375583171844482, 0.09746324270963669, 0.10669510066509247, 0.10216427594423294]"
5,"[0.002715605776757002, -0.11710363626480103, 0.20881380140781403, 0.0013827196089550853, 0.39349690079689026, 0.04632691666483879, 0.095259889960289, -0.03122834302484989, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[0.003184515551539313, -0.15483895193499464, 0.3892694722675776, 0.0003080282111165289, 0.39349688645172076, 0.04250924660476463, 0.07745307741408702, -0.024868358201518892, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09758079797029495, 0.09880229085683823, 0.08999861776828766, 0.09693071246147156, 0.10571097582578659, 0.1006813794374466, 0.1043161153793335, 0.09718695282936096, 0.10721614211797714, 0.10157598555088043]"
6,"[0.003184515517205, -0.1548389494419098, 0.38926947116851807, 0.000308028218569234, 0.39349690079689026, 0.04250924661755562, 0.07745307683944702, -0.024868357926607132, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[0.005581421246459328, -0.15317104606595766, 0.39463165013217427, 0.19591221359996958, 0.3934969711287044, 0.03472143609320873, 0.07492304562592983, -0.03386971676336925, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.0980178564786911, 0.09862196445465088, 0.09000776708126068, 0.0978069007396698, 0.10476930439472198, 0.100089430809021, 0.10467975586652756, 0.09691616147756577, 0.10772659629583359, 0.10136429965496063]"
7,"[0.005581421311944723, -0.15317104756832123, 0.39463165402412415, 0.1959122121334076, 0.39349696040153503, 0.034721437841653824, 0.07492304593324661, -0.03386971727013588, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[0.009353299011565674, -0.151345185318851, 0.3957306887173129, 0.38652352970134185, 0.39349704797011853, 0.02985607580909269, 0.07465746370476689, -0.04452673840533794, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09793142229318619, 0.0993746966123581, 0.09043169021606445, 0.09769905358552933, 0.104497529566288, 0.10075973719358444, 0.10425682365894318, 0.09612415730953217, 0.10774264484643936, 0.1011822372674942]"
8,"[0.00935329869389534, -0.1513451784849167, 0.3957306742668152, 0.3865235149860382, 0.3934970498085022, 0.02985607646405697, 0.07465746253728867, -0.04452673718333244, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,0.0,"[0.14551500494409542, -0.15184848418287977, 0.40589697184078144, 0.40331630244726124, 0.393497120330931, 0.046436990562541955, 0.07334793037120696, -0.019380393096514292, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09824824333190918, 0.10016113519668579, 0.09076341241598129, 0.09720961004495621, 0.10432273894548416, 0.10144983232021332, 0.1039203330874443, 0.09502628445625305, 0.10787607729434967, 0.10102234035730362]"
9,"[0.14551500976085663, -0.15184848010540009, 0.40589696168899536, 0.40331628918647766, 0.393497109413147, 0.046436991542577744, 0.07334793359041214, -0.019380392506718636, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",1,0.0,"[0.07918792701899591, -0.15033038271669508, 0.4017633120558948, 0.3916432941327006, 0.3934971422540716, 0.03714625564639096, 0.07300078881536337, -0.029271070973448943, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09855269640684128, 0.10022617131471634, 0.09071481972932816, 0.09698032587766647, 0.10454246401786804, 0.10147501528263092, 0.10328244417905807, 0.09555470943450928, 0.10779908299446106, 0.10087220370769501]"
