,state,action,reward,next_state,distribution
0,"[-0.0031933393329381943, -0.012073906138539314, 0.012754199095070362, 0.0034485512878745794, 4.2474257497815415e-05, 0.06888092309236526, 0.11063159257173538, -0.03122374229133129, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",1,0.0,"[-0.10628950622376898, -0.009680626004664461, 0.025522060534974855, 0.003664957376557254, 4.249429825264883e-05, 0.05925300309667539, 0.11182274087687621, -0.048837032826967275, -0.01000000268888164, 0.10000009565600879, -0.025009323334940214]","[0.10407114773988724, 0.10564009845256805, 0.10207054764032364, 0.09526611119508743, 0.0946020856499672, 0.10244647413492203, 0.10335046052932739, 0.09950558841228485, 0.09750477224588394, 0.09554272890090942]"
1,"[-0.10628950595855713, -0.009680625982582569, 0.025522060692310333, 0.003664957359433174, 4.2494299123063684e-05, 0.05925300344824791, 0.11182273924350739, -0.04883703216910362, -0.010000002570450306, 0.10000009834766388, -0.02500932291150093]",4,2.0,"[-0.1064108357609248, -0.04574178568611753, 0.20520647187007945, 0.004984693549848096, 4.252535769388999e-05, 0.06360072789192578, 0.09840281449255933, -0.045834328245420775, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10413230955600739, 0.10543719679117203, 0.10163473337888718, 0.09547975659370422, 0.09493275731801987, 0.10234980285167694, 0.10387752950191498, 0.09967542439699173, 0.09689424932003021, 0.09558622539043427]"
2,"[-0.10641083866357803, -0.04574178531765938, 0.2052064687013626, 0.004984693601727486, 4.2525356548139825e-05, 0.06360072642564774, 0.09840281307697296, -0.04583432897925377, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",9,0.0,"[-0.10476851994832703, -0.03567633360035227, 0.21844529183594652, 0.0046477253696588505, -0.1979574350033424, 0.0716809982632509, 0.09877358269431513, -0.04224650543775088, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10438678413629532, 0.10491175204515457, 0.1018964871764183, 0.09569024294614792, 0.0950855016708374, 0.10135023295879364, 0.10403277724981308, 0.10022152960300446, 0.09691179543733597, 0.09551293402910233]"
3,"[-0.10476852208375931, -0.03567633405327797, 0.218445286154747, 0.004647725261747837, -0.19795744121074677, 0.07168100029230118, 0.09877358376979828, -0.0422465056180954, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,0.0,"[0.003674690482712073, -0.038498890795694685, 0.20470678131826503, 0.013382985084159138, -0.19743860493273324, 0.08532825149679077, 0.09802867446041785, -0.022077680735570704, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10410305112600327, 0.10563429445028305, 0.10084077715873718, 0.09619298577308655, 0.09448663890361786, 0.10148998349905014, 0.10369924455881119, 0.10063968598842621, 0.09770843386650085, 0.0952049195766449]"
4,"[0.003674690378829837, -0.0384988896548748, 0.20470678806304932, 0.013382985256612301, -0.19743859767913818, 0.08532825112342834, 0.09802867472171783, -0.022077681496739388, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[0.006537171137790843, -0.03778882984081644, 0.20581754286333798, 0.20354388277914026, -0.19743852834044961, 0.08838204563703568, 0.10024075167833002, -0.02357748928288983, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10401032865047455, 0.10584329813718796, 0.10121174901723862, 0.09623051434755325, 0.09413732588291168, 0.10162945836782455, 0.10312376171350479, 0.1004716157913208, 0.09812905639410019, 0.09521294385194778]"
5,"[0.006537171080708504, -0.03778883069753647, 0.20581753551959991, 0.20354388654232025, -0.19743852317333221, 0.0883820429444313, 0.10024075210094452, -0.023577488958835602, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,0.0,"[0.007920499698224504, -0.03691621320613603, 0.20947378195042088, 0.20179947576472657, -0.0009384541991970252, 0.0893097365794289, 0.09982591819770281, -0.023164369223820147, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10410831868648529, 0.10533537715673447, 0.10143067687749863, 0.09619811922311783, 0.09432105720043182, 0.10143943130970001, 0.10296875238418579, 0.10021321475505829, 0.09855944663286209, 0.09542561322450638]"
6,"[0.00792049989104271, -0.03691621497273445, 0.20947378873825073, 0.20179948210716248, -0.0009384541772305965, 0.08930973708629608, 0.099825918674469, -0.02316436916589737, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[0.009868137459218218, -0.08199895770070764, 0.3885411289219256, 0.1987848382395354, -0.0009383972074399338, 0.08683475668310969, 0.08532467488330736, -0.023612924033129534, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10481428354978561, 0.10453523695468903, 0.10256969928741455, 0.09562084078788757, 0.09459104388952255, 0.10128911584615707, 0.10324418544769287, 0.0997258648276329, 0.09784746170043945, 0.0957622304558754]"
7,"[0.009868137538433075, -0.08199895918369293, 0.3885411322116852, 0.19878484308719635, -0.0009383971919305623, 0.08683475852012634, 0.08532467484474182, -0.02361292392015457, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[0.013247798777112685, -0.06600806436244522, 0.39361467579563225, 0.39231484838405706, -0.0009382358470775287, 0.08205258719704787, 0.08347086926620967, -0.030602464602448087, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10516972094774246, 0.10418374836444855, 0.10281767696142197, 0.09543288499116898, 0.09476976841688156, 0.10017146170139313, 0.10363633185625076, 0.10006905347108841, 0.0983591079711914, 0.09539029002189636]"
8,"[0.013247799128293991, -0.066008061170578, 0.39361467957496643, 0.3923148512840271, -0.0009382358402945101, 0.08205258846282959, 0.08347086608409882, -0.030602464452385902, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,-2.0,"[0.1289419784878909, -0.06875153306609683, 0.3960087137831385, 0.4084741023278653, 0.00022513103569288262, 0.0988476682482251, 0.0813715043373997, -0.010528752831517552, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10500551760196686, 0.10421594977378845, 0.10275854170322418, 0.09570132195949554, 0.09469415992498398, 0.09993064403533936, 0.10368762910366058, 0.09993652254343033, 0.09846091270446777, 0.09560870379209518]"
9,"[0.12894198298454285, -0.06875153630971909, 0.39600870013237, 0.4084740877151489, 0.00022513103613164276, 0.09884766489267349, 0.0813715010881424, -0.010528752580285072, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,-2.0,"[0.12626124609183265, -0.06267280334905934, 0.2783587319226095, 0.4130579904855427, 0.0022258207273422315, 0.11388281117126552, 0.09739754581192406, -0.011558060078515231, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10468992590904236, 0.10444685816764832, 0.10313691943883896, 0.09541818499565125, 0.09445325285196304, 0.0998067632317543, 0.10326354950666428, 0.09993363171815872, 0.09905820339918137, 0.09579277783632278]"
