,state,action,reward,next_state,distribution
0,"[-0.003686146577820182, -0.012241114862263203, 0.012682034634053707, 0.0030329383444041014, 1.7997260215452116e-07, 0.06883984059095383, 0.11067188531160355, -0.031369153410196304, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",6,0.0,"[-0.0024482768208722305, -0.011857561675276962, 0.013934418932994852, 0.203731655469781, 1.44138432656149e-06, 0.06574607480261542, 0.10963054459200255, -0.029098798396472336, -0.01000005051847594, 0.10000003821284179, -0.024999586499671156]","[0.09426572173833847, 0.10134103149175644, 0.09620426595211029, 0.10045091062784195, 0.0992765948176384, 0.10328943282365799, 0.1025526374578476, 0.10179249197244644, 0.10433151572942734, 0.0964953601360321]"
1,"[-0.002448276849463582, -0.011857561767101288, 0.013934418559074402, 0.20373165607452393, 1.4413843700822326e-06, 0.06574607640504837, 0.10963054746389389, -0.02909879758954048, -0.010000050067901611, 0.1000000387430191, -0.0249995868653059]",9,0.0,"[-0.0011357406549992177, -0.011625511292780999, 0.014069392343325049, 0.20567669012024492, -0.1999985602005756, 0.06234314462937485, 0.10664155195393682, -0.028482697391034595, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09338769316673279, 0.10158538073301315, 0.09662406891584396, 0.10048835724592209, 0.09895329922437668, 0.10404104739427567, 0.10238917171955109, 0.10171385109424591, 0.10432977229356766, 0.09648744761943817]"
2,"[-0.0011357406619936228, -0.011625511571764946, 0.0140693923458457, 0.20567668974399567, -0.19999855756759644, 0.06234314292669296, 0.10664155334234238, -0.028482697904109955, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",3,0.0,"[0.0012010634768016004, -0.06054791517437064, 0.02412184894206515, 0.20729673075555688, -0.19999855702916047, 0.05604444611789933, 0.11171806364966003, -0.03408077074100868, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09372908622026443, 0.10198911279439926, 0.09581048041582108, 0.10076479613780975, 0.09889093041419983, 0.10337367653846741, 0.10278508812189102, 0.10261387377977371, 0.10408376902341843, 0.0959591493010521]"
3,"[0.0012010635109618306, -0.06054791435599327, 0.024121848866343498, 0.2072967290878296, -0.19999855756759644, 0.05604444444179535, 0.1117180660367012, -0.03408076986670494, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,2.0,"[0.0022009370577835696, -0.06235477801177858, 0.01033953648188124, 0.2085263473967478, -0.19999855737032846, 0.047870834091711986, 0.10811998240805609, -0.03699495673830855, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09388303011655807, 0.10189469158649445, 0.09569001942873001, 0.1009078398346901, 0.099036805331707, 0.1029365062713623, 0.10259748250246048, 0.10272666811943054, 0.10436920076608658, 0.09595780819654465]"
4,"[0.002200937131419778, -0.06235477700829506, 0.01033953670412302, 0.2085263431072235, -0.19999855756759644, 0.047870833426713943, 0.10811997950077057, -0.03699495643377304, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,0.0,"[0.003220516406381435, -0.0615941930812518, 0.013342576454234312, 0.20931556177745403, -0.0049985555231453205, 0.046298032775521955, 0.10709539510624266, -0.03618103971650577, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09386417269706726, 0.10198601335287094, 0.09574463218450546, 0.10089663416147232, 0.09895198047161102, 0.10297055542469025, 0.10257553309202194, 0.10276447236537933, 0.10427448898553848, 0.09597160667181015]"
5,"[0.003220516489818692, -0.06159419193863869, 0.01334257610142231, 0.20931556820869446, -0.0049985554069280624, 0.046298034489154816, 0.1070953980088234, -0.03618104010820389, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[0.005161517642479296, -0.10945768046698579, 0.1922388835436566, 0.20792712055838525, -0.004998578537412257, 0.04028627733284662, 0.09377315003703135, -0.03615198986528445, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09360074996948242, 0.10144075751304626, 0.09641388803720474, 0.10066712647676468, 0.09893679618835449, 0.10368426144123077, 0.10215485095977783, 0.10192571580410004, 0.10463165491819382, 0.09654418379068375]"
6,"[-0.0036751043517142534, -0.01223947387188673, 0.012649144046008587, 0.0012846682220697403, -1.9124044570162368e-07, 0.068850077688694, 0.11073280870914459, -0.031388815492391586, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",8,2.0,"[-0.00214927873516757, -0.012741921773848475, 0.010609120894829793, 0.0013840982661834644, 0.19549980761708863, 0.05969825850369094, 0.10761482754839025, -0.02861630111561886, -0.009999996045744391, 0.1000000719146607, -0.025009244986457402]","[0.10432685911655426, 0.09863532334566116, 0.0953148677945137, 0.10287857055664062, 0.0993848517537117, 0.09949139505624771, 0.10813199728727341, 0.0967048928141594, 0.09875176846981049, 0.09637938439846039]"
7,"[-0.003711608937010169, -0.012265629135072231, 0.012537733651697636, 0.0020649246871471405, 1.3908801577144914e-07, 0.06885276734828949, 0.11067184060811996, -0.031394440680742264, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",4,2.0,"[-0.004173311285033066, -0.047032369857547884, 0.19741320020251774, 0.003154827099657531, 1.3189659071599635e-06, 0.06851017107174125, 0.09700791577720663, -0.02312609961993506, -0.01000000268888164, 0.10000009565600879, -0.025009323334940214]","[0.09218896180391312, 0.101854108273983, 0.10014905035495758, 0.10447655618190765, 0.10058912634849548, 0.10268330574035645, 0.10439711809158325, 0.09542912989854813, 0.09901860356330872, 0.09921415150165558]"
8,"[-0.0041733114048838615, -0.047032371163368225, 0.19741320610046387, 0.0031548270490020514, 1.3189659284762456e-06, 0.06851017475128174, 0.09700791537761688, -0.02312609925866127, -0.010000002570450306, 0.10000009834766388, -0.02500932291150093]",7,0.0,"[-0.00815608242191157, -0.04835632467510553, 0.19006814263850913, -0.1836081054317873, 0.0010609340879108586, 0.07470650848584687, 0.09798097080955631, -0.022271977188972447, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.091910220682621, 0.10198040306568146, 0.10059433430433273, 0.10437440127134323, 0.10025016963481903, 0.10213802754878998, 0.10384861379861832, 0.09564822912216187, 0.09978480637073517, 0.09947077929973602]"
9,"[-0.003447114024311304, -0.011989438906311989, 0.013209672644734383, -0.0002423084806650877, 0.006452661473304033, 0.0687849372625351, 0.11071375757455826, -0.031658317893743515, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",4,2.0,"[-0.004226228702192358, -0.0420812227639491, 0.19186174431041447, -0.00015392440500683335, 0.006452665327691065, 0.07072418391230986, 0.09686112496948679, -0.02291764237628302, -0.010000002501504318, 0.10000009542785007, -0.025009323334940214]","[0.1040417030453682, 0.11248096078634262, 0.09360796958208084, 0.09404391795396805, 0.09457127004861832, 0.09939868748188019, 0.10209916532039642, 0.09137365221977234, 0.10819267481565475, 0.10019006580114365]"
10,"[-0.004226228687912226, -0.04208122193813324, 0.19186174869537354, -0.00015392441127914935, 0.006452665198594332, 0.07072418183088303, 0.09686112403869629, -0.022917643189430237, -0.010000002570450306, 0.10000009834766388, -0.02500932291150093]",7,-2.0,"[-0.008703509372437246, -0.04320638437088142, 0.1853522634689, -0.19341866180932676, 0.007711260829013078, 0.08036231214160074, 0.09953561221693724, -0.022182872744149096, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10412373393774033, 0.1123022511601448, 0.09354961663484573, 0.09377346187829971, 0.09494345635175705, 0.09923611581325531, 0.10214882344007492, 0.09094662219285965, 0.10848354548215866, 0.10049235820770264]"
11,"[-0.003665010444819927, -0.012226870283484459, 0.012763657607138157, -0.0009675045148469508, 1.9803849227173487e-07, 0.0688445046544075, 0.1106685996055603, -0.03138367459177971, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",9,0.0,"[-0.0025577165396866164, -0.011913211036238991, 0.014815887111571335, -0.0029706188020659496, -0.19999980223940028, 0.06518463073403685, 0.10927069676040668, -0.028695620055471438, -0.010000005795714015, 0.10000006886000301, -0.025009222280492405]","[0.10295294970273972, 0.09530214965343475, 0.10081519186496735, 0.0971771776676178, 0.1088268831372261, 0.10019595175981522, 0.09980222582817078, 0.09814140945672989, 0.09631533920764923, 0.10047073662281036]"
12,"[-0.002557716565206647, -0.011913211084902287, 0.014815887436270714, -0.0029706188943237066, -0.19999980926513672, 0.06518463045358658, 0.10927069932222366, -0.028695620596408844, -0.01000000536441803, 0.10000006854534149, -0.025009222328662872]",4,2.0,"[-0.0025621970717768505, -0.051408729108970874, 0.19241513785127662, -0.005130992642296661, -0.19999978001527463, 0.06354620811261116, 0.09452014631505729, -0.022792843993594936, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10357777029275894, 0.0951528549194336, 0.10057475417852402, 0.09804992377758026, 0.10853565484285355, 0.1007831022143364, 0.09974653273820877, 0.09866740554571152, 0.09465562552213669, 0.10025639086961746]"
13,"[-0.002562197158113122, -0.05140873044729233, 0.19241513311862946, -0.005130992736667395, -0.19999977946281433, 0.06354621052742004, 0.09452014416456223, -0.022792844101786613, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[-0.00422392320117293, -0.11091712413447485, 0.37057724065188946, -0.002627204977114772, -0.19999973734150167, 0.06663449229689222, 0.08493704927320733, -0.021211585647401554, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.1036982387304306, 0.09576240926980972, 0.10017242282629013, 0.0972420945763588, 0.10831228643655777, 0.10166245698928833, 0.10040697455406189, 0.09891247004270554, 0.09357228875160217, 0.10025843977928162]"
14,"[-0.004223923198878765, -0.1109171211719513, 0.37057724595069885, -0.0026272048708051443, -0.19999973475933075, 0.06663449108600616, 0.08493705093860626, -0.02121158502995968, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",9,-2.0,"[-0.007069858445632349, -0.11165987630813135, 0.3705074794107741, 0.004282597672903954, -0.39984810945557214, 0.07381720047341488, 0.08735598901632263, -0.024796197342877524, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10379522293806076, 0.09639442712068558, 0.09964699298143387, 0.0964316800236702, 0.10816670954227448, 0.10266004502773285, 0.10096769034862518, 0.09914606064558029, 0.09272976964712143, 0.10006139427423477]"
