,state,action,reward,next_state,distribution
0,"[-0.0032688167411834, -0.012211346998810768, 0.012824319303035736, -0.0009706501732580364, -1.974422190187397e-07, 0.06893394887447357, 0.11072064936161041, -0.031114645302295685, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",4,2.0,"[-0.002939781947442377, -0.0531736158090661, 0.19783260108928058, -0.0029988973785854967, -1.4516755886262445e-06, 0.06556535513158859, 0.09716547737942205, -0.023011648200849222, -0.010000060752793083, 0.10000003771510524, -0.02499941878703571]","[0.1040591299533844, 0.09293677657842636, 0.10034418851137161, 0.10133461654186249, 0.09797786921262741, 0.1035194844007492, 0.09871146827936172, 0.10379035770893097, 0.1009257584810257, 0.09640040993690491]"
1,"[-0.0029397818725556135, -0.05317361652851105, 0.1978325992822647, -0.0029988973401486874, -1.4516756436933065e-06, 0.06556535512208939, 0.09716548025608063, -0.023011649027466774, -0.010000060312449932, 0.1000000387430191, -0.02499941922724247]",3,0.0,"[-0.0005281766813789446, -0.07559592701810036, 0.21121845724794142, -0.0064272972521024485, 2.0326022509564723e-06, 0.06369529065057528, 0.098421083854346, -0.0229411761110212, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10348347574472427, 0.09290163964033127, 0.1002865731716156, 0.10087846964597702, 0.09792186319828033, 0.10292022675275803, 0.09904162585735321, 0.10406367480754852, 0.10122840851545334, 0.09727403521537781]"
2,"[-0.0005281766643747687, -0.0755959302186966, 0.21121846139431, -0.006427297368645668, 2.0326021967775887e-06, 0.06369528919458389, 0.09842108190059662, -0.02294117584824562, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[0.0002483270480402311, -0.15333589204842024, 0.38986425981736694, -0.008231111547679859, 2.083471076552712e-06, 0.06158604500404663, 0.08779101786689969, -0.024022256772972983, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10345490276813507, 0.09291922301054001, 0.10027534514665604, 0.10084522515535355, 0.09785285592079163, 0.1029646024107933, 0.09912947565317154, 0.10406513512134552, 0.10127623379230499, 0.09721705317497253]"
3,"[0.0002483270363882184, -0.15333589911460876, 0.3898642659187317, -0.00823111180216074, 2.0834711449424503e-06, 0.06158604472875595, 0.08779101818799973, -0.024022256955504417, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",2,2.0,"[9.643721237750924e-05, -0.0883836371219866, 0.37621712880009905, -0.007234026532215054, 6.09245877676301e-05, 0.054963340138580896, 0.07343549794667481, -0.017619084776376637, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10305485874414444, 0.0926433727145195, 0.10038576275110245, 0.10060194134712219, 0.09763885289430618, 0.10245112329721451, 0.09970152378082275, 0.10418012738227844, 0.10169590264558792, 0.09764653444290161]"
4,"[9.643721568863839e-05, -0.08838363736867905, 0.3762171268463135, -0.007234026677906513, 6.092458716011606e-05, 0.05496333912014961, 0.07343550026416779, -0.01761908456683159, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,0.0,"[0.002214897267915461, -0.028297146236303305, 0.19477052572136344, -0.00861182148862305, 6.0901002941982085e-05, 0.048592257581935444, 0.08202516090641893, -0.01835228470165784, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10308001190423965, 0.09257496893405914, 0.10027429461479187, 0.10067068040370941, 0.09799416363239288, 0.10236246883869171, 0.09945563226938248, 0.10415498167276382, 0.1016056090593338, 0.0978272333741188]"
5,"[0.0022148971911519766, -0.028297146782279015, 0.19477052986621857, -0.008611821569502354, 6.0901002143509686e-05, 0.048592258244752884, 0.08202516287565231, -0.018352285027503967, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",3,0.0,"[0.0037803994587513046, -0.08845026561404712, 0.20757279400584316, -0.009376402242834203, 6.096559618384845e-05, 0.04196342064149121, 0.08882633502113346, -0.024915760190789227, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10348214954137802, 0.09275718033313751, 0.10028445720672607, 0.1009695902466774, 0.09810402989387512, 0.10271675139665604, 0.0990140363574028, 0.10400479286909103, 0.10121673345565796, 0.09745027869939804]"
6,"[0.0037803994491696358, -0.08845026791095734, 0.2075727880001068, -0.009376402013003826, 6.09655944572296e-05, 0.04196342080831528, 0.08882633596658707, -0.02491576038300991, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",1,0.0,"[-0.08287845216252165, -0.08781467371917184, 0.21201833873025322, -0.015122970254363821, 6.104308789733892e-05, 0.031209024589170825, 0.08764242900226704, -0.0430886032494493, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10345945507287979, 0.09285425394773483, 0.10023028403520584, 0.10092141479253769, 0.09789402037858963, 0.10297547280788422, 0.09913376718759537, 0.10401494055986404, 0.10128305852413177, 0.0972333550453186]"
7,"[-0.08287845551967621, -0.08781467378139496, 0.21201834082603455, -0.015122970566153526, 6.104308704379946e-05, 0.031209023669362068, 0.08764243125915527, -0.043088603764772415, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",2,2.0,"[-0.08552505467656957, -0.04234626048671064, 0.19796552748795104, -0.014832982642444037, 6.099412698468143e-05, 0.02504250033663201, 0.07608964717402117, -0.04100647614061825, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10336793214082718, 0.09297186881303787, 0.10020683705806732, 0.10134674608707428, 0.09757514297962189, 0.10309551656246185, 0.09902191162109375, 0.10386147350072861, 0.1012624129652977, 0.09729010611772537]"
8,"[-0.08552505820989609, -0.04234626144170761, 0.19796553254127502, -0.014832982793450356, 6.099412712501362e-05, 0.025042500346899033, 0.07608965039253235, -0.04100647568702698, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,3.0,"[-0.08511941440061577, -0.09337950267851891, 0.37759920995900487, -0.014076844394762311, 6.132576333151007e-05, 0.022007412542392857, 0.06271618961515757, -0.035872926862093535, -0.009807065523090033, 0.09956056294251267, -0.02500990452226093]","[0.10336601734161377, 0.09290359914302826, 0.10021165758371353, 0.10151021182537079, 0.09782173484563828, 0.10293203592300415, 0.09877897799015045, 0.10381884127855301, 0.10120432823896408, 0.0974525660276413]"
9,"[-0.08511941134929657, -0.09337950497865677, 0.37759920954704285, -0.014076844789087772, 6.13257652730681e-05, 0.02200741320848465, 0.06271618604660034, -0.0358729250729084, -0.00980706512928009, 0.09956056624650955, -0.02500990405678749]",6,1.0,"[-0.08088473725975387, -0.09267581084336207, 0.37814055862457874, 0.1780954436397053, 6.153445144274627e-05, 0.017314537966415647, 0.06354819541014617, -0.04525606985542818, -0.009728287385500453, 0.09745709017136608, -0.02501408598152155]","[0.1031012162566185, 0.09254784882068634, 0.10033027827739716, 0.10114580392837524, 0.09771865606307983, 0.10231053084135056, 0.09919045120477676, 0.10407014936208725, 0.10158509016036987, 0.09800003468990326]"
