,state,action,reward,next_state,distribution
0,"[1.063124179840088, 0.0, 0.26912418007850647, 1.5707963705062866, 1.5707963705062866, 1.2273818254470825, 6.172656536102295, -52.429420471191406, 1.6353225708007812, 7.696577072143555, -65.23943328857422]",8,-5.0,"[1.063124137671518, 0.0, 0.2691241874985274, 1.5707963267948966, 1.5707963267948966, 1.2273818307848885, 6.172656756862686, -52.42942112964158, 1.6353225450898208, 7.696577235089002, -65.23942948648317]","[0.0713185966014862, 0.0015687694540247321, 0.005605809390544891, 0.4047573208808899, 0.0037986731622368097, 0.23914556205272675, 0.16326388716697693, 0.03450775519013405, 0.0738062933087349, 0.002227287506684661]"
1,"[1.063124179840088, 0.0, 0.26912418007850647, 1.5707963705062866, 1.5707963705062866, 1.2273818254470825, 6.172656536102295, -52.429420471191406, 1.6353225708007812, 7.696577072143555, -65.23943328857422]",5,5.0,"[1.0660491241583012, 0.0, 0.1950152063058106, 1.5707963267948966, 1.5707963267948966, 1.0768960190532222, 5.420029739219821, -46.0378063844455, 1.6408725698652669, 7.724840470564203, -65.47958144015416]","[0.0713185966014862, 0.0015687694540247321, 0.005605809390544891, 0.4047573208808899, 0.0037986731622368097, 0.23914556205272675, 0.16326388716697693, 0.03450775519013405, 0.0738062933087349, 0.002227287506684661]"
2,"[1.0660490989685059, 0.0, 0.19501520693302155, 1.5707963705062866, 1.5707963705062866, 1.076896071434021, 5.420029640197754, -46.03780746459961, 1.640872597694397, 7.7248406410217285, -65.47958374023438]",5,5.0,"[1.0554322931232578, 0.0, 0.1818373952792296, 1.5707963267948966, 1.5707963267948966, 0.870915894295524, 4.336825712192116, -36.82526546190161, 1.6414215238356773, 7.728620674205402, -65.51194848403702]","[0.08632606267929077, 0.0015552490949630737, 0.008761982433497906, 0.3286632299423218, 0.004908183589577675, 0.2537594735622406, 0.17762254178524017, 0.03724333271384239, 0.09804005920886993, 0.003119963686913252]"
3,"[1.0554323196411133, 0.0, 0.18183739483356476, 1.5707963705062866, 1.5707963705062866, 0.8709158897399902, 4.336825847625732, -36.82526397705078, 1.6414215564727783, 7.728620529174805, -65.51194763183594]",5,5.0,"[1.0676627458515529, 0.0, 0.1442607348518891, 1.5707963267948966, 1.5707963267948966, 0.7926560557517508, 3.9424379109097742, -33.475202025268345, 1.644021911933792, 7.736157166875074, -65.57455600837193]","[0.07921089231967926, 0.0013253920478746295, 0.01908879354596138, 0.21816186606884003, 0.00599699979647994, 0.2940410077571869, 0.1992018222808838, 0.0459151417016983, 0.13257533311843872, 0.004482783377170563]"
4,"[1.0676627159118652, 0.0, 0.1442607343196869, 1.5707963705062866, 1.5707963705062866, 0.7926560640335083, 3.9424378871917725, -33.47520065307617, 1.6440218687057495, 7.736156940460205, -65.57455444335938]",5,5.0,"[1.0841487614740604, 0.0, 0.0718428920330397, 1.5707963267948966, 1.5707963267948966, 0.7154782775546664, 3.549570778404856, -30.137059884307064, 1.64585927310495, 7.750818599372295, -65.70046314549842]","[0.07209205627441406, 0.001167177688330412, 0.02539777010679245, 0.19253113865852356, 0.0064441608265042305, 0.29959315061569214, 0.19911371171474457, 0.04973864555358887, 0.14898045361042023, 0.004941747989505529]"
5,"[1.0841487646102905, 0.0, 0.07184289395809174, 1.5707963705062866, 1.5707963705062866, 0.7154783010482788, 3.5495707988739014, -30.137060165405273, 1.6458592414855957, 7.750818729400635, -65.7004623413086]",4,6.0,"[1.1063122873260705, 0.0, 0.1227481659907892, 1.5707963267948966, 1.5707963267948966, 0.5493511218203286, 2.6948004934461167, -22.871900568803994, 1.632299119873199, 7.676334886040834, -65.06621648807567]","[0.06543058902025223, 0.0009781899861991405, 0.03246678039431572, 0.16747543215751648, 0.0069834040477871895, 0.2998661398887634, 0.20316702127456665, 0.05204897001385689, 0.16640260815620422, 0.005180888809263706]"
6,"[1.1063122749328613, 0.0, 0.12274816632270813, 1.5707963705062866, 1.5707963705062866, 0.5493510961532593, 2.69480037689209, -22.87190055847168, 1.6322990655899048, 7.676334857940674, -65.06621551513672]",5,6.0,"[1.1318274692178036, 0.0, 0.0939773287897656, 1.5707963267948966, 1.5707963267948966, 0.527545269123971, 2.591720113009167, -21.99802528931661, 1.6221379742307, 7.627401419546992, -64.65113472519937]","[0.05401557311415672, 0.0007233268115669489, 0.051260411739349365, 0.11158701032400131, 0.007741741836071014, 0.31208986043930054, 0.21603630483150482, 0.05299735814332962, 0.1874975711107254, 0.006050874479115009]"
7,"[1.131827473640442, 0.0, 0.09397733211517334, 1.5707963705062866, 1.5707963705062866, 0.5275452733039856, 2.5917201042175293, -21.99802589416504, 1.6221380233764648, 7.627401351928711, -64.65113830566406]",0,6.0,"[1.1460383612367109, 0.0, 0.1004999944780239, 1.5707963267948966, 1.5707963267948966, 0.4603299782634691, 2.2352008223990865, -18.96512483483457, 1.621727990498666, 7.637286426506563, -64.7381276784169]","[0.05366431921720505, 0.0007197973900474608, 0.054163169115781784, 0.1066182553768158, 0.00788471195846796, 0.3126407563686371, 0.21759909391403198, 0.05302878096699715, 0.18739737570285797, 0.00628379313275218]"
8,"[1.1460384130477905, 0.0, 0.10049999505281448, 1.5707963705062866, 1.5707963705062866, 0.46032997965812683, 2.235200881958008, -18.965124130249023, 1.6217279434204102, 7.63728666305542, -64.73812866210938]",5,6.0,"[1.1548869303568037, 0.0, 0.0862565282985571, 1.5707963267948966, 1.5707963267948966, 0.2740216743518253, 1.3843462135661184, -11.759972043887617, 1.633070706045439, 7.678726748027515, -65.08615481172268]","[0.05029715970158577, 0.0005943510914221406, 0.06513652205467224, 0.08538612723350525, 0.0079411705955863, 0.3219850957393646, 0.223331481218338, 0.050214432179927826, 0.18849432468414307, 0.006619357503950596]"
9,"[1.1548869609832764, 0.0, 0.08625652641057968, 1.5707963705062866, 1.5707963705062866, 0.2740216851234436, 1.3843462467193604, -11.759971618652344, 1.633070707321167, 7.678726673126221, -65.08615112304688]",4,6.0,"[1.1559999725147847, 0.0, 0.094973024141456, 1.5707963267948966, 1.5707963267948966, 0.1867042681532114, 0.975257766674666, -8.292872414993553, 1.5562005426949854, 7.288843921380703, -61.7737255271561]","[0.048705268651247025, 0.00044352016993798316, 0.1018260195851326, 0.05407285317778587, 0.007775307632982731, 0.29666319489479065, 0.21530863642692566, 0.04507138207554817, 0.22170394659042358, 0.008429852314293385]"
