,state,action,reward,next_state,distribution
0,"[1.0412341356277466, -0.4798388183116913, 0.38525986671447754, 0.0, 1.5707963705062866, 1.8875995874404907, 0.49519094824790955, -60.2177848815918, 2.712958335876465, 0.573881983757019, -84.7162857055664]",7,-5.0,"[1.041234163133002, -0.479838803981709, 0.3852598735167463, 0.0, 1.5707963267948966, 1.8875995827016376, 0.4951909503613692, -60.21778399321437, 2.7129583165862705, 0.573881987517241, -84.71628799755354]","[0.001946285250596702, 0.008953014388680458, 0.3689434826374054, 0.00016053968283813447, 0.0031481850892305374, 0.0004923866363242269, 0.0067209466360509396, 0.43167486786842346, 3.208386033293209e-06, 0.17795710265636444]"
1,"[1.0412341356277466, -0.4798388183116913, 0.38525986671447754, 0.0, 1.5707963705062866, 1.8875995874404907, 0.49519094824790955, -60.2177848815918, 2.712958335876465, 0.573881983757019, -84.7162857055664]",2,5.0,"[1.0385952053787446, -0.4647032721772318, 0.380111081032625, 0.0, 1.5707963267948966, 1.7620655394234743, 0.475071884417964, -56.38332519669172, 2.7102642151123693, 0.5728725148230329, -84.62631817830783]","[0.001946285250596702, 0.008953014388680458, 0.3689434826374054, 0.00016053968283813447, 0.0031481850892305374, 0.0004923866363242269, 0.0067209466360509396, 0.43167486786842346, 3.208386033293209e-06, 0.17795710265636444]"
2,"[1.038595199584961, -0.4647032618522644, 0.38011106848716736, 0.0, 1.5707963705062866, 1.7620655298233032, 0.47507187724113464, -56.383323669433594, 2.710264205932617, 0.572872519493103, -84.6263198852539]",4,5.0,"[1.0185366990190703, -0.4498228378089889, 0.4231667171982796, 0.0, 1.5707963267948966, 1.736192823799632, 0.4796137361155126, -55.7085146864876, 2.709762455905917, 0.5731382299821646, -84.61559221644683]","[0.002128108637407422, 0.00967743806540966, 0.33930766582489014, 0.00018875242676585913, 0.0035531583707779646, 0.0005156099796295166, 0.006588479038327932, 0.46457862854003906, 3.939540420105914e-06, 0.17345823347568512]"
3,"[1.0185366868972778, -0.4498228430747986, 0.4231667220592499, 0.0, 1.5707963705062866, 1.7361928224563599, 0.479613721370697, -55.70851516723633, 2.7097625732421875, 0.5731382369995117, -84.61559295654297]",2,5.0,"[1.017131540175654, -0.4184558824003497, 0.4543184403874039, 0.0, 1.5707963267948966, 1.6192909774696425, 0.4809323807244512, -52.404264857613896, 2.731068294768788, 0.579012441663715, -85.29907238405252]","[0.002156211296096444, 0.009802053682506084, 0.33527252078056335, 0.00019339115533512086, 0.003629680722951889, 0.0005199991865083575, 0.006576719228178263, 0.46971651911735535, 4.0823506424203515e-06, 0.1721288561820984]"
4,"[1.0171315670013428, -0.4184558689594269, 0.45431843400001526, 0.0, 1.5707963705062866, 1.6192909479141235, 0.4809323847293854, -52.404266357421875, 2.7310683727264404, 0.5790124535560608, -85.299072265625]",5,5.0,"[1.014707782011602, -0.4183876871199493, 0.3144633905876585, 0.0, 1.5707963267948966, 1.5487028374537817, 0.4816733256856182, -50.40834474879608, 2.709169774393871, 0.5750484194694754, -84.62413907302806]","[0.0022393541876226664, 0.010252437554299831, 0.3169932961463928, 0.00020976434461772442, 0.003869002452120185, 0.0005330743733793497, 0.0064096408896148205, 0.496776282787323, 4.519773028732743e-06, 0.16271263360977173]"
5,"[1.0147078037261963, -0.41838768124580383, 0.31446337699890137, 0.0, 1.5707963705062866, 1.5487028360366821, 0.48167333006858826, -50.40834426879883, 2.709169864654541, 0.5750484466552734, -84.62413787841797]",5,5.0,"[1.0171554390416504, -0.425903744288941, 0.2851308283008101, 0.0, 1.5707963267948966, 1.2444874925569067, 0.3779027033037354, -40.38484561977191, 2.7228161968664413, 0.5775474254831607, -85.04511709617373]","[0.0024255148600786924, 0.01067675556987524, 0.30810755491256714, 0.00023461457749363035, 0.0041490462608635426, 0.0005811236915178597, 0.006578488741070032, 0.506784200668335, 5.318946932675317e-06, 0.16045735776424408]"
6,"[1.017155408859253, -0.4259037375450134, 0.2851308286190033, 0.0, 1.5707963705062866, 1.2444875240325928, 0.37790271639823914, -40.38484573364258, 2.722816228866577, 0.5775474309921265, -85.04512023925781]",4,5.0,"[1.0231977026655437, -0.4201975210838303, 0.3702360005981258, 0.0, 1.5707963267948966, 1.1329436523080716, 0.3538633489544334, -36.89581582594752, 2.6942682028883382, 0.5719597581590552, -84.15965889383455]","[0.0033315077889710665, 0.011758431792259216, 0.2780062258243561, 0.00029839755734428763, 0.004842129070311785, 0.0007090487633831799, 0.005861574783921242, 0.544307291507721, 8.428412002103869e-06, 0.15087701380252838]"
7,"[1.0231976509094238, -0.4201975166797638, 0.37023600935935974, 0.0, 1.5707963705062866, 1.1329436302185059, 0.35386335849761963, -36.895816802978516, 2.694268226623535, 0.5719597339630127, -84.15966033935547]",4,1.0,"[1.0338040826842243, -0.4105841488028177, 0.4837908653967187, 0.0, 1.5707963267948966, 1.2150365149530256, 0.3826715380015519, -39.61137528438053, 2.643022458570414, 0.5653922068688799, -82.61621878608429]","[0.004056347534060478, 0.012584363110363483, 0.28028783202171326, 0.00034838682040572166, 0.00518565671518445, 0.0007831837283447385, 0.005375550594180822, 0.5499754548072815, 1.0935068530670833e-05, 0.14139223098754883]"
8,"[1.0338040590286255, -0.41058415174484253, 0.48379087448120117, 0.0, 1.5707963705062866, 1.2150365114212036, 0.3826715350151062, -39.61137390136719, 2.6430225372314453, 0.5653921961784363, -82.61621856689453]",0,5.0,"[1.0674062233635309, -0.4232219194660921, 0.4917369537039709, 0.0, 1.5707963267948966, 1.256267700366141, 0.4070071021365122, -41.10640201633646, 2.618020297078429, 0.5599848890545727, -81.83391269806191]","[0.003699853550642729, 0.012875311076641083, 0.2800475060939789, 0.0003587077953852713, 0.005456754006445408, 0.0008225284982472658, 0.006614205427467823, 0.5356132984161377, 1.1079281648562755e-05, 0.1545007973909378]"
9,"[1.067406177520752, -0.4232219159603119, 0.4917369484901428, 0.0, 1.5707963705062866, 1.2562676668167114, 0.407007098197937, -41.10640335083008, 2.6180202960968018, 0.5599848628044128, -81.83391571044922]",4,5.0,"[1.050620810676275, -0.4100739883012082, 0.5911192713236718, 0.0, 1.5707963267948966, 1.2014738216227716, 0.3744502778023366, -39.11672308224405, 2.5350943728795343, 0.5451061817028982, -79.2798157147896]","[0.003578254021704197, 0.012830007821321487, 0.28490149974823, 0.00036551360972225666, 0.005498981568962336, 0.0008198566501960158, 0.007100582588464022, 0.5284276604652405, 1.0982482308463659e-05, 0.15646664798259735]"
