,state,action,reward,next_state,distribution
0,"[-0.022571437060832977, -0.022398877888917923, 0.009424799121916294, -0.0024711464066058397, 0.949999988079071, 0.07563693821430206, 0.11344710737466812, -0.029169278219342232, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",0,-2.0,"[-0.054770293886377, -0.023795905909919313, 0.008716313239418128, -0.006003011622747856, 0.949852513206721, 0.07731756801530432, 0.11924652785795337, -0.028605479331292205, -0.010000006357848729, 0.10000006954447938, -0.025009222280492405]","[0.10935051739215851, 0.09319890290498734, 0.10889753699302673, 0.08840759098529816, 0.09654706716537476, 0.09777899831533432, 0.10332974791526794, 0.09870888292789459, 0.09939178824424744, 0.10438898950815201]"
1,"[-0.054770294576883316, -0.023795906454324722, 0.008716313168406487, -0.006003011483699083, 0.9498525261878967, 0.07731756567955017, 0.11924652755260468, -0.02860547974705696, -0.010000006295740604, 0.10000006854534149, -0.025009222328662872]",9,0.0,"[-0.05441014558336921, -0.02335416873289553, 0.009503015124170844, -0.008682475248614985, 0.7498431207643477, 0.07640673643046696, 0.11803125316294338, -0.024822170786017894, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.1092425286769867, 0.09318462759256363, 0.10886925458908081, 0.0884435698390007, 0.0966028943657875, 0.09780994057655334, 0.10326255857944489, 0.09881506860256195, 0.0994429737329483, 0.10432657599449158]"
2,"[-0.054410144686698914, -0.023354168981313705, 0.0095030153170228, -0.008682475425302982, 0.7498431205749512, 0.07640673965215683, 0.11803125590085983, -0.024822169914841652, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",1,0.0,"[-0.15760234677937657, -0.0220176660949285, 0.015676020969027427, -0.01171364142790221, 0.7498431412665396, 0.06304352425659326, 0.11960043519206093, -0.04173253791840381, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10905501991510391, 0.09392216801643372, 0.10791832208633423, 0.08844240009784698, 0.09726352244615555, 0.0976104587316513, 0.10327677428722382, 0.09935086220502853, 0.09909220039844513, 0.10406824946403503]"
3,"[-0.15760233998298645, -0.022017665207386017, 0.015676021575927734, -0.011713641695678234, 0.7498431205749512, 0.06304352730512619, 0.11960043758153915, -0.0417325384914875, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",2,2.0,"[-0.15634813084072352, 0.025143256461927166, 0.008720806520480018, -0.013608874152660988, 0.7498430810753383, 0.05615199750404712, 0.11076715643491092, -0.037316222135983845, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10861710458993912, 0.09395015239715576, 0.10790910571813583, 0.08851167559623718, 0.09747979044914246, 0.09764496237039566, 0.10329879075288773, 0.09972411394119263, 0.0991506427526474, 0.10371364653110504]"
4,"[-0.1563481241464615, 0.025143256410956383, 0.008720806799829006, -0.013608873821794987, 0.7498430609703064, 0.05615199729800224, 0.11076715588569641, -0.0373162217438221, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,2.0,"[-0.10146852726164468, 0.029925502463636455, 0.022668135146794555, -0.015134055284478087, 0.7498416600900355, 0.05334496872789736, 0.10404721046005772, -0.025963432058920044, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10850420594215393, 0.09366355836391449, 0.10796212404966354, 0.08852511644363403, 0.09741073846817017, 0.09774421155452728, 0.10333729535341263, 0.09956852346658707, 0.0993351861834526, 0.10394906997680664]"
5,"[-0.101468525826931, 0.029925502836704254, 0.022668134421110153, -0.0151340551674366, 0.7498416304588318, 0.0533449687063694, 0.10404720902442932, -0.02596343122422695, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[-0.1105826386838098, -0.045023149139360896, 0.2097205620523166, -0.010651013706409529, 0.7492451975292655, 0.05216275500157075, 0.09725525512533151, -0.028061976729295446, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10861363261938095, 0.09367725253105164, 0.1079920083284378, 0.08846236765384674, 0.09725326299667358, 0.09769469499588013, 0.10349198430776596, 0.09940409660339355, 0.09926901757717133, 0.10414168983697891]"
6,"[-0.11058264225721359, -0.045023150742053986, 0.20972056686878204, -0.010651013813912868, 0.7492452263832092, 0.05216275528073311, 0.09725525230169296, -0.02806197665631771, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",3,0.0,"[-0.11349105445532448, -0.057717159095718173, 0.2253839289715458, -0.006622405398045927, 0.7492238833540035, 0.049984430533900504, 0.0955364128439154, -0.028372025995373806, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10778000950813293, 0.09524419903755188, 0.1083100363612175, 0.08788757026195526, 0.09700664132833481, 0.09735409170389175, 0.10426685214042664, 0.09997688233852386, 0.09855322539806366, 0.1036205142736435]"
7,"[-0.11349105089902878, -0.057717159390449524, 0.225383922457695, -0.006622405257076025, 0.7492238879203796, 0.04998442903161049, 0.09553641080856323, -0.0283720251172781, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[-0.11088200318462249, -0.05835323005995008, 0.22293276677427265, 0.1858661823359169, 0.7492241880974411, 0.047696558911208234, 0.09894121739804979, -0.03059548215199326, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10772375017404556, 0.09543390572071075, 0.10832947492599487, 0.0878063514828682, 0.09700705856084824, 0.09729228913784027, 0.10427626222372055, 0.10007139295339584, 0.09851430356502533, 0.10354527086019516]"
8,"[-0.11088200658559799, -0.058353230357170105, 0.22293277084827423, 0.18586617708206177, 0.7492241859436035, 0.0476965606212616, 0.09894121438264847, -0.030595481395721436, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[-0.10776744158043439, -0.0565089390958482, 0.22488008296836437, 0.37881019950746797, 0.7492242895448995, 0.04419569500250525, 0.09995325675680045, -0.03484051905019614, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10875589400529861, 0.09487349539995193, 0.1086641326546669, 0.08783809095621109, 0.09697247296571732, 0.09716129302978516, 0.1030292809009552, 0.1002567857503891, 0.09900182485580444, 0.10344672203063965]"
9,"[-0.10776744037866592, -0.05650893971323967, 0.22488008439540863, 0.37881019711494446, 0.7492243051528931, 0.04419569671154022, 0.09995325654745102, -0.03484052047133446, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",3,-2.0,"[-0.10616423957323917, -0.08359970551677964, 0.23516083144169198, 0.3756623337624383, 0.7492243914033607, 0.04701347547701809, 0.10568153299535765, -0.03823892144411323, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10941488295793533, 0.09434328228235245, 0.10903557389974594, 0.08794861286878586, 0.09698215872049332, 0.09684203565120697, 0.10190428793430328, 0.10055676847696304, 0.09967023879289627, 0.10330214351415634]"
10,"[-0.10616423934698105, -0.08359970897436142, 0.23516082763671875, 0.37566232681274414, 0.7492243647575378, 0.047013476490974426, 0.10568153113126755, -0.03823892027139664, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",7,0.0,"[-0.1064087700077172, -0.08345142761054802, 0.23538895022436712, 0.18993132078355313, 0.749224428275379, 0.05167834771114732, 0.10426051663897812, -0.03282919753598268, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.1094336062669754, 0.09461056441068649, 0.10892920196056366, 0.0879032164812088, 0.09698133915662766, 0.09677473455667496, 0.10192862898111343, 0.10067801177501678, 0.09954017400741577, 0.10322046279907227]"
11,"[-0.10640876740217209, -0.08345142751932144, 0.23538894951343536, 0.18993131816387177, 0.7492244243621826, 0.05167834833264351, 0.10426051914691925, -0.032829198986291885, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[-0.10404959442639239, -0.12854785151032733, 0.4064300350304819, 0.1767331874574758, 0.7492245308894403, 0.04896432744222652, 0.09022662835799306, -0.03289429003017763, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.1087833046913147, 0.09514378011226654, 0.10862673074007034, 0.08774586021900177, 0.09698338806629181, 0.0970972403883934, 0.10298342257738113, 0.10037638247013092, 0.09891493618488312, 0.10334494709968567]"
12,"[-0.10404959321022034, -0.12854784727096558, 0.40643003582954407, 0.17673318088054657, 0.7492245435714722, 0.048964329063892365, 0.09022662788629532, -0.03289429098367691, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",1,0.0,"[-0.18509658933482243, -0.12900959188173822, 0.4221733299254975, 0.16456592392093938, 0.7492247345304714, 0.03895212186073797, 0.08904977804453346, -0.04903117466263973, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10789318382740021, 0.09673050045967102, 0.10847201943397522, 0.08711785078048706, 0.09663592278957367, 0.0968879833817482, 0.10360436886548996, 0.10110390931367874, 0.09827298671007156, 0.10328122973442078]"
13,"[-0.1850965917110443, -0.12900958955287933, 0.42217332124710083, 0.16456592082977295, 0.7492247223854065, 0.03895212337374687, 0.08904977887868881, -0.049031175673007965, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[-0.18668111218097128, -0.17915625892843856, 0.600385956720161, 0.16249358684388504, 0.7492248808254156, 0.040063594844562, 0.07377631355781489, -0.05494635259548741, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10750840604305267, 0.09673535823822021, 0.1085890531539917, 0.08700763434171677, 0.09683506935834885, 0.09690921008586884, 0.10366401076316833, 0.1013709306716919, 0.09829393774271011, 0.10308636724948883]"
