,state,action,reward,next_state,distribution
0,"[-0.022763952612876892, -0.021164540201425552, 0.015200464054942131, -0.0017519273096695542, 0.949999988079071, 0.07465363293886185, 0.11269554495811462, -0.029485300183296204, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",2,0.0,"[-0.077689896470579, 0.008039637287636126, 0.008726630283254266, -0.005298532663057465, 0.9496325739310545, 0.07394658109096856, 0.11533475796427689, -0.02909281532608643, -0.010000057067494642, 0.10000005188096497, -0.024989719583818903]","[0.09650247544050217, 0.10827406495809555, 0.09885311126708984, 0.0945853441953659, 0.1114802211523056, 0.10396120697259903, 0.09779157489538193, 0.10445921868085861, 0.08628473430871964, 0.09780798107385635]"
1,"[-0.07768989354372025, 0.008039637468755245, 0.008726630359888077, -0.005298532545566559, 0.9496325850486755, 0.07394658029079437, 0.11533475667238235, -0.02909281477332115, -0.010000057518482208, 0.1000000536441803, -0.024989720433950424]",1,0.0,"[-0.17460274195660208, 0.009213200356727569, 0.01398704685094021, -0.0081836136066471, 0.9496325863216746, 0.05898691386450715, 0.11462591197826111, -0.043051342858693276, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.0966958999633789, 0.10791812837123871, 0.09871484339237213, 0.0948246642947197, 0.11147090792655945, 0.10412111133337021, 0.09801924228668213, 0.10434744507074356, 0.08629495650529861, 0.09759283810853958]"
2,"[-0.17460274696350098, 0.009213200770318508, 0.013987046666443348, -0.008183613419532776, 0.9496325850486755, 0.05898691341280937, 0.11462590843439102, -0.0430513434112072, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",1,-2.0,"[-0.26764649045584044, 0.010308980823154457, 0.0193630492562038, -0.01123657982747961, 0.9496326091501817, 0.046137996096972805, 0.11653723609812716, -0.06454737918250963, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09686821699142456, 0.1074451357126236, 0.0984431579709053, 0.09525425732135773, 0.11156320571899414, 0.10409630835056305, 0.09849388897418976, 0.10433303564786911, 0.08617907762527466, 0.09732376039028168]"
3,"[-0.2676464915275574, 0.010308980941772461, 0.019363049417734146, -0.011236580088734627, 0.9496325850486755, 0.04613799601793289, 0.11653723567724228, -0.06454738229513168, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[-0.27383905676736564, 0.011293704360870294, 0.022496934554427916, 0.1866416497281156, 0.9496326194071272, 0.04515821933553807, 0.1177617080557784, -0.06495643826448871, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09696181863546371, 0.10702842473983765, 0.09829673916101456, 0.09561706334352493, 0.11176548898220062, 0.10407570004463196, 0.09898821264505386, 0.10421416908502579, 0.08609015494585037, 0.09696227312088013]"
4,"[-0.2738390564918518, 0.011293704621493816, 0.022496934980154037, 0.1866416484117508, 0.9496326446533203, 0.04515821859240532, 0.11776170879602432, -0.06495644152164459, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,0.0,"[-0.27226521353193256, 0.012666755797932971, 0.014332915032342797, 0.1845369751566217, 0.94963262630622, 0.0467438125075999, 0.11886891729501742, -0.06450850003778208, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09718836843967438, 0.10743355751037598, 0.09827020764350891, 0.0954483151435852, 0.11202890425920486, 0.10407322645187378, 0.0989864245057106, 0.10381317138671875, 0.08661723881959915, 0.09614064544439316]"
5,"[-0.27226522564888, 0.012666755355894566, 0.014332914724946022, 0.18453697860240936, 0.9496326446533203, 0.046743813902139664, 0.11886891722679138, -0.06450849771499634, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,0.0,"[-0.2706716758293295, 0.013799573111324293, 0.012966710800824899, 0.1824525297768398, 0.9496326325579871, 0.04827116122089352, 0.11924115187675566, -0.0641032602070476, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09717968106269836, 0.1074061244726181, 0.09826739877462387, 0.09544958174228668, 0.11198823899030685, 0.10410158336162567, 0.09901927411556244, 0.10382742434740067, 0.08664190024137497, 0.09611872583627701]"
6,"[-0.27067166566848755, 0.013799573294818401, 0.012966711074113846, 0.18245252966880798, 0.9496326446533203, 0.04827116057276726, 0.1192411482334137, -0.06410326063632965, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[-0.26789823639250265, -0.035221394669948225, 0.19245481303976586, 0.17871030597607884, 0.9496326476240546, 0.044692956653025, 0.10829102706318622, -0.06568355315262986, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09718319773674011, 0.10739899426698685, 0.09827075898647308, 0.09543987363576889, 0.1119738295674324, 0.10411325097084045, 0.09901788085699081, 0.10383675992488861, 0.08664288371801376, 0.096122607588768]"
7,"[-0.26789823174476624, -0.035221394151449203, 0.19245481491088867, 0.17871031165122986, 0.9496326446533203, 0.044692955911159515, 0.10829102993011475, -0.06568355113267899, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",9,0.0,"[-0.26632007062239094, -0.033670179228562525, 0.19869388314895176, 0.1755457493674335, 0.7621327153221418, 0.0427493842570586, 0.1068687582376005, -0.06504929753969302, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09719951450824738, 0.10779870301485062, 0.0985172763466835, 0.09528318792581558, 0.11245863884687424, 0.10382317006587982, 0.09816356003284454, 0.10413359105587006, 0.08573130518198013, 0.09689108282327652]"
8,"[-0.2663200795650482, -0.033670179545879364, 0.1986938863992691, 0.17554575204849243, 0.7621327042579651, 0.04274938255548477, 0.10686875879764557, -0.06504929810762405, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",7,0.0,"[-0.265648259880944, -0.033062497022569026, 0.20082688584990827, -0.02575539908893809, 0.7521327503475663, 0.045894713411236146, 0.10572274866174275, -0.0592809004064051, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09687452018260956, 0.1075616329908371, 0.0981312245130539, 0.09568875283002853, 0.11142820119857788, 0.10351847857236862, 0.09909206628799438, 0.1036447063088417, 0.08678963035345078, 0.09727087616920471]"
9,"[-0.2656482458114624, -0.03306249529123306, 0.20082688331604004, -0.025755399838089943, 0.752132773399353, 0.04589471220970154, 0.10572274774312973, -0.05928090214729309, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,-2.0,"[-0.26379190609325676, 0.03489770245705781, 0.026974223014113008, -0.0280314004403035, 0.7521327699212335, 0.04644742880769581, 0.11290139043992897, -0.05927974664422675, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09645090997219086, 0.10723118484020233, 0.0980086699128151, 0.09597776085138321, 0.11126278340816498, 0.10333375632762909, 0.09922946244478226, 0.1041141152381897, 0.08618797361850739, 0.09820330142974854]"
