,state,action,reward,next_state,distribution
0,"[1.0412341356277466, -0.4798388183116913, 0.38525986671447754, 0.0, 1.5707963705062866, 1.8875995874404907, 0.49519094824790955, -60.2177848815918, 2.712958335876465, 0.573881983757019, -84.7162857055664]",7,-5.0,"[1.041234163133002, -0.479838803981709, 0.3852598735167463, 0.0, 1.5707963267948966, 1.8875995827016376, 0.4951909503613692, -60.21778399321437, 2.7129583165862705, 0.573881987517241, -84.71628799755354]","[0.028429018333554268, 0.00017579413542989641, 0.005062443669885397, 0.056731052696704865, 0.03966832533478737, 0.0007023846847005188, 0.03647478669881821, 0.004934374708682299, 0.005082405637949705, 0.8227394223213196]"
1,"[1.0412341356277466, -0.4798388183116913, 0.38525986671447754, 0.0, 1.5707963705062866, 1.8875995874404907, 0.49519094824790955, -60.2177848815918, 2.712958335876465, 0.573881983757019, -84.7162857055664]",2,5.0,"[1.0385952053787446, -0.4647032721772318, 0.380111081032625, 0.0, 1.5707963267948966, 1.7620655394234743, 0.475071884417964, -56.38332519669172, 2.7102642151123693, 0.5728725148230329, -84.62631817830783]","[0.028429018333554268, 0.00017579413542989641, 0.005062443669885397, 0.056731052696704865, 0.03966832533478737, 0.0007023846847005188, 0.03647478669881821, 0.004934374708682299, 0.005082405637949705, 0.8227394223213196]"
2,"[1.038595199584961, -0.4647032618522644, 0.38011106848716736, 0.0, 1.5707963705062866, 1.7620655298233032, 0.47507187724113464, -56.383323669433594, 2.710264205932617, 0.572872519493103, -84.6263198852539]",4,5.0,"[1.0185366990190703, -0.4498228378089889, 0.4231667171982796, 0.0, 1.5707963267948966, 1.736192823799632, 0.4796137361155126, -55.7085146864876, 2.709762455905917, 0.5731382299821646, -84.61559221644683]","[0.030977945774793625, 0.00018465581524651498, 0.005617563612759113, 0.06759751588106155, 0.04173743352293968, 0.0007312283269129694, 0.03937973082065582, 0.005880787502974272, 0.006409878842532635, 0.8014832735061646]"
3,"[1.0185366868972778, -0.4498228430747986, 0.4231667220592499, 0.0, 1.5707963705062866, 1.7361928224563599, 0.479613721370697, -55.70851516723633, 2.7097625732421875, 0.5731382369995117, -84.61559295654297]",2,5.0,"[1.017131540175654, -0.4184558824003497, 0.4543184403874039, 0.0, 1.5707963267948966, 1.6192909774696425, 0.4809323807244512, -52.404264857613896, 2.731068294768788, 0.579012441663715, -85.29907238405252]","[0.03151032701134682, 0.0001866317179519683, 0.00573011627420783, 0.06960898637771606, 0.04225820675492287, 0.0007290735375136137, 0.039925333112478256, 0.006085080094635487, 0.006705180741846561, 0.797261118888855]"
4,"[1.0171315670013428, -0.4184558689594269, 0.45431843400001526, 0.0, 1.5707963705062866, 1.6192909479141235, 0.4809323847293854, -52.404266357421875, 2.7310683727264404, 0.5790124535560608, -85.299072265625]",5,5.0,"[1.014707782011602, -0.4183876871199493, 0.3144633905876585, 0.0, 1.5707963267948966, 1.5487028374537817, 0.4816733256856182, -50.40834474879608, 2.709169774393871, 0.5750484194694754, -84.62413907302806]","[0.033406537026166916, 0.00018498134159017354, 0.00617695739492774, 0.08040158450603485, 0.04401930794119835, 0.0006863083108328283, 0.04222390428185463, 0.0070254141464829445, 0.008389021269977093, 0.7774860262870789]"
5,"[1.0147078037261963, -0.41838768124580383, 0.31446337699890137, 0.0, 1.5707963705062866, 1.5487028360366821, 0.48167333006858826, -50.40834426879883, 2.709169864654541, 0.5750484466552734, -84.62413787841797]",5,5.0,"[1.0171554390416504, -0.425903744288941, 0.2851308283008101, 0.0, 1.5707963267948966, 1.2444874925569067, 0.3779027033037354, -40.38484561977191, 2.7228161968664413, 0.5775474254831607, -85.04511709617373]","[0.034693632274866104, 0.00020112672063987702, 0.0067061553709208965, 0.08639559149742126, 0.045518115162849426, 0.0007283135782927275, 0.044556599110364914, 0.00778995594009757, 0.009656906127929688, 0.7637536525726318]"
6,"[1.017155408859253, -0.4259037375450134, 0.2851308286190033, 0.0, 1.5707963705062866, 1.2444875240325928, 0.37790271639823914, -40.38484573364258, 2.722816228866577, 0.5775474309921265, -85.04512023925781]",4,5.0,"[1.0231977026655437, -0.4201975210838303, 0.3702360005981258, 0.0, 1.5707963267948966, 1.1329436523080716, 0.3538633489544334, -36.89581582594752, 2.6942682028883382, 0.5719597581590552, -84.15965889383455]","[0.039081502705812454, 0.00022357222042046487, 0.009376130998134613, 0.12095030397176743, 0.049226559698581696, 0.0007275636307895184, 0.0641065314412117, 0.011673619039356709, 0.01855977065861225, 0.6860744953155518]"
7,"[1.0231976509094238, -0.4201975166797638, 0.37023600935935974, 0.0, 1.5707963705062866, 1.1329436302185059, 0.35386335849761963, -36.895816802978516, 2.694268226623535, 0.5719597339630127, -84.15966033935547]",4,1.0,"[1.0338040826842243, -0.4105841488028177, 0.4837908653967187, 0.0, 1.5707963267948966, 1.2150365149530256, 0.3826715380015519, -39.61137528438053, 2.643022458570414, 0.5653922068688799, -82.61621878608429]","[0.040806520730257034, 0.00024679373018443584, 0.010765003971755505, 0.13369600474834442, 0.051015350967645645, 0.0007635458605363965, 0.0724213495850563, 0.013310081325471401, 0.022688154131174088, 0.6542871594429016]"
8,"[1.0338040590286255, -0.41058415174484253, 0.48379087448120117, 0.0, 1.5707963705062866, 1.2150365114212036, 0.3826715350151062, -39.61137390136719, 2.6430225372314453, 0.5653921961784363, -82.61621856689453]",0,5.0,"[1.0674062233635309, -0.4232219194660921, 0.4917369537039709, 0.0, 1.5707963267948966, 1.256267700366141, 0.4070071021365122, -41.10640201633646, 2.618020297078429, 0.5599848890545727, -81.83391269806191]","[0.041626572608947754, 0.0002710452536121011, 0.010228062979876995, 0.12373977899551392, 0.0516665056347847, 0.0008623297908343375, 0.06664390116930008, 0.012640062719583511, 0.019852224737405777, 0.6724694967269897]"
9,"[1.067406177520752, -0.4232219159603119, 0.4917369484901428, 0.0, 1.5707963705062866, 1.2562676668167114, 0.407007098197937, -41.10640335083008, 2.6180202960968018, 0.5599848628044128, -81.83391571044922]",4,5.0,"[1.050620810676275, -0.4100739883012082, 0.5911192713236718, 0.0, 1.5707963267948966, 1.2014738216227716, 0.3744502778023366, -39.11672308224405, 2.5350943728795343, 0.5451061817028982, -79.2798157147896]","[0.04140115901827812, 0.0002822497917804867, 0.009908637031912804, 0.11851723492145538, 0.05190299078822136, 0.0009126383811235428, 0.06350938975811005, 0.012201409786939621, 0.018290363252162933, 0.6830739378929138]"
