,state,action,reward,next_state,distribution
0,"[1.0412341356277466, -0.4798388183116913, 0.38525986671447754, 0.0, 1.5707963705062866, 1.8875995874404907, 0.49519094824790955, -60.2177848815918, 2.712958335876465, 0.573881983757019, -84.7162857055664]",7,-5.0,"[1.041234163133002, -0.479838803981709, 0.3852598735167463, 0.0, 1.5707963267948966, 1.8875995827016376, 0.4951909503613692, -60.21778399321437, 2.7129583165862705, 0.573881987517241, -84.71628799755354]","[0.013781172223389149, 0.000536339299287647, 0.001648643403314054, 0.009492351673543453, 0.0015446336474269629, 2.0573410438373685e-05, 0.0020378599874675274, 0.9701686501502991, 0.0004333438992034644, 0.0003363944124430418]"
1,"[1.0412341356277466, -0.4798388183116913, 0.38525986671447754, 0.0, 1.5707963705062866, 1.8875995874404907, 0.49519094824790955, -60.2177848815918, 2.712958335876465, 0.573881983757019, -84.7162857055664]",2,5.0,"[1.0385952053787446, -0.4647032721772318, 0.380111081032625, 0.0, 1.5707963267948966, 1.7620655394234743, 0.475071884417964, -56.38332519669172, 2.7102642151123693, 0.5728725148230329, -84.62631817830783]","[0.013781172223389149, 0.000536339299287647, 0.001648643403314054, 0.009492351673543453, 0.0015446336474269629, 2.0573410438373685e-05, 0.0020378599874675274, 0.9701686501502991, 0.0004333438992034644, 0.0003363944124430418]"
2,"[1.038595199584961, -0.4647032618522644, 0.38011106848716736, 0.0, 1.5707963705062866, 1.7620655298233032, 0.47507187724113464, -56.383323669433594, 2.710264205932617, 0.572872519493103, -84.6263198852539]",4,5.0,"[1.0185366990190703, -0.4498228378089889, 0.4231667171982796, 0.0, 1.5707963267948966, 1.736192823799632, 0.4796137361155126, -55.7085146864876, 2.709762455905917, 0.5731382299821646, -84.61559221644683]","[0.017690440639853477, 0.0006423286977224052, 0.0017586954636499286, 0.013549858704209328, 0.001894635846838355, 2.66060287685832e-05, 0.002615056000649929, 0.9609182476997375, 0.0004778630973305553, 0.0004262745496816933]"
3,"[1.0185366868972778, -0.4498228430747986, 0.4231667220592499, 0.0, 1.5707963705062866, 1.7361928224563599, 0.479613721370697, -55.70851516723633, 2.7097625732421875, 0.5731382369995117, -84.61559295654297]",2,5.0,"[1.017131540175654, -0.4184558824003497, 0.4543184403874039, 0.0, 1.5707963267948966, 1.6192909774696425, 0.4809323807244512, -52.404264857613896, 2.731068294768788, 0.579012441663715, -85.29907238405252]","[0.018436871469020844, 0.000661764177493751, 0.0017780339112505317, 0.014433452859520912, 0.001968023367226124, 2.7898960979655385e-05, 0.0027475859969854355, 0.9590146541595459, 0.0004867505340371281, 0.0004449699481483549]"
4,"[1.0171315670013428, -0.4184558689594269, 0.45431843400001526, 0.0, 1.5707963705062866, 1.6192909479141235, 0.4809323847293854, -52.404266357421875, 2.7310683727264404, 0.5790124535560608, -85.299072265625]",5,5.0,"[1.014707782011602, -0.4183876871199493, 0.3144633905876585, 0.0, 1.5707963267948966, 1.5487028374537817, 0.4816733256856182, -50.40834474879608, 2.709169774393871, 0.5750484194694754, -84.62413907302806]","[0.022645849734544754, 0.0007516828482039273, 0.0019169055158272386, 0.01974041573703289, 0.002399912104010582, 3.470206502242945e-05, 0.0035339088644832373, 0.9479227066040039, 0.0005357868503779173, 0.0005181622691452503]"
5,"[1.0147078037261963, -0.41838768124580383, 0.31446337699890137, 0.0, 1.5707963705062866, 1.5487028360366821, 0.48167333006858826, -50.40834426879883, 2.709169864654541, 0.5750484466552734, -84.62413787841797]",5,5.0,"[1.0171554390416504, -0.425903744288941, 0.2851308283008101, 0.0, 1.5707963267948966, 1.2444874925569067, 0.3779027033037354, -40.38484561977191, 2.7228161968664413, 0.5775474254831607, -85.04511709617373]","[0.02562425471842289, 0.0008773338631726801, 0.002190841594710946, 0.023632461205124855, 0.0028409140650182962, 4.323512257542461e-05, 0.004239039495587349, 0.9393264651298523, 0.0006230089929886162, 0.0006024466711096466]"
6,"[1.017155408859253, -0.4259037375450134, 0.2851308286190033, 0.0, 1.5707963705062866, 1.2444875240325928, 0.37790271639823914, -40.38484573364258, 2.722816228866577, 0.5775474309921265, -85.04512023925781]",4,5.0,"[1.0231977026655437, -0.4201975210838303, 0.3702360005981258, 0.0, 1.5707963267948966, 1.1329436523080716, 0.3538633489544334, -36.89581582594752, 2.6942682028883382, 0.5719597581590552, -84.15965889383455]","[0.04887370392680168, 0.0014912650221958756, 0.003648124635219574, 0.06212443485856056, 0.006375008728355169, 9.375697845825925e-05, 0.01003306545317173, 0.8651394844055176, 0.0012010429054498672, 0.0010200664401054382]"
7,"[1.0231976509094238, -0.4201975166797638, 0.37023600935935974, 0.0, 1.5707963705062866, 1.1329436302185059, 0.35386335849761963, -36.895816802978516, 2.694268226623535, 0.5719597339630127, -84.15966033935547]",4,1.0,"[1.0338040826842243, -0.4105841488028177, 0.4837908653967187, 0.0, 1.5707963267948966, 1.2150365149530256, 0.3826715380015519, -39.61137528438053, 2.643022458570414, 0.5653922068688799, -82.61621878608429]","[0.06127721071243286, 0.0018435807432979345, 0.0044361199252307415, 0.0847015380859375, 0.008304262533783913, 0.00012565912038553506, 0.01333080418407917, 0.8231847286224365, 0.0015095800627022982, 0.0012865456519648433]"
8,"[1.0338040590286255, -0.41058415174484253, 0.48379087448120117, 0.0, 1.5707963705062866, 1.2150365114212036, 0.3826715350151062, -39.61137390136719, 2.6430225372314453, 0.5653921961784363, -82.61621856689453]",0,5.0,"[1.0674062233635309, -0.4232219194660921, 0.4917369537039709, 0.0, 1.5707963267948966, 1.256267700366141, 0.4070071021365122, -41.10640201633646, 2.618020297078429, 0.5599848890545727, -81.83391269806191]","[0.05059412866830826, 0.001713465084321797, 0.004122596234083176, 0.06297166645526886, 0.006946717854589224, 0.00011628050560830161, 0.010987815447151661, 0.8599562048912048, 0.001395094790495932, 0.0011959861731156707]"
9,"[1.067406177520752, -0.4232219159603119, 0.4917369484901428, 0.0, 1.5707963705062866, 1.2562676668167114, 0.407007098197937, -41.10640335083008, 2.6180202960968018, 0.5599848628044128, -81.83391571044922]",4,5.0,"[1.050620810676275, -0.4100739883012082, 0.5911192713236718, 0.0, 1.5707963267948966, 1.2014738216227716, 0.3744502778023366, -39.11672308224405, 2.5350943728795343, 0.5451061817028982, -79.2798157147896]","[0.04614172875881195, 0.0016378326108679175, 0.003928720485419035, 0.0535903200507164, 0.006228935439139605, 0.0001100859881262295, 0.009826917201280594, 0.8760899305343628, 0.0012997174635529518, 0.001145839923992753]"
