,state,action,reward,next_state,distribution
0,"[-0.023413825780153275, -0.0223989337682724, 0.008864017203450203, 0.00010812484833877534, 0.949999988079071, 0.07859063893556595, 0.1152418702840805, -0.02895902656018734, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",2,0.0,"[-0.025894849498765637, -0.05097957476130155, 0.008717972932961615, -0.0009988724340210808, 0.9493469056862542, 0.06935997795282518, 0.12476069652816318, -0.028173391320034824, -0.01000000268888164, 0.10000009565600879, -0.025009323334940214]","[0.09456830471754074, 0.10607844591140747, 0.09433064609766006, 0.09521261602640152, 0.10711432248353958, 0.10922859609127045, 0.11333668977022171, 0.09388086944818497, 0.09167776256799698, 0.0945717841386795]"
1,"[-0.025894848629832268, -0.05097957327961922, 0.008717972785234451, -0.0009988724486902356, 0.9493468999862671, 0.06935998052358627, 0.1247606948018074, -0.02817339077591896, -0.010000002570450306, 0.10000009834766388, -0.02500932291150093]",7,0.0,"[-0.02749618485140637, -0.04941677940000133, 0.008723950514892387, -0.19771423324444903, 0.9493464914896448, 0.06543893874472928, 0.1219941115241111, -0.024290291697615096, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09469436854124069, 0.10607203096151352, 0.09422070533037186, 0.09519574046134949, 0.10699212551116943, 0.10931916534900665, 0.11334797739982605, 0.09391383081674576, 0.09176133573055267, 0.09448280930519104]"
2,"[-0.027496185153722763, -0.04941678047180176, 0.008723950944840908, -0.19771423935890198, 0.9493464827537537, 0.06543894112110138, 0.12199410796165466, -0.024290291592478752, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",2,2.0,"[-0.031587247586958966, -0.02910869324147569, 0.008721078355977241, -0.19866445312316383, 0.9482905202173981, 0.06237525785724421, 0.11672041668353328, -0.02463528016979577, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.0948580652475357, 0.10690668970346451, 0.09436727315187454, 0.09554500877857208, 0.10653331875801086, 0.1094566211104393, 0.11273740977048874, 0.09333793073892593, 0.09143117815256119, 0.09482654184103012]"
3,"[-0.03158724680542946, -0.029108693823218346, 0.008721078746020794, -0.19866445660591125, 0.9482905268669128, 0.062375258654356, 0.11672041565179825, -0.024635279551148415, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",1,2.0,"[-0.13012172459175453, -0.028013568460423244, 0.015897592007452666, -0.19874649846993364, 0.9482905232479162, 0.044909902214325004, 0.11433221275761751, -0.038659455716999025, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09480994939804077, 0.10692885518074036, 0.0944061130285263, 0.09555239230394363, 0.10660193860530853, 0.10942309349775314, 0.11270910501480103, 0.09326303005218506, 0.09139256924390793, 0.09491297602653503]"
4,"[-0.13012172281742096, -0.028013568371534348, 0.015897592529654503, -0.19874650239944458, 0.9482905268669128, 0.04490990191698074, 0.11433221399784088, -0.03865945711731911, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,0.0,"[-0.1332516340234422, -0.02693477772156161, 0.010492733516362485, -0.19812743825762524, 0.948290524016457, 0.04198385128257309, 0.11599621226286955, -0.03915805192031152, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09469068795442581, 0.10698280483484268, 0.09411369264125824, 0.09533484280109406, 0.10658938437700272, 0.11002633720636368, 0.11261105537414551, 0.09347086399793625, 0.09124983847141266, 0.09493054449558258]"
5,"[-0.1332516372203827, -0.026934778317809105, 0.010492733679711819, -0.19812743365764618, 0.9482905268669128, 0.04198385030031204, 0.11599621176719666, -0.03915805369615555, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[-0.13365795387916535, -0.0779593344900622, 0.18992479581209754, -0.19715144691479392, 0.9482905076538266, 0.039982525656007614, 0.10640256167242179, -0.02963040318602672, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09468735754489899, 0.1069532036781311, 0.09408010542392731, 0.09534159302711487, 0.10657928884029388, 0.11008312553167343, 0.11261765658855438, 0.09345919638872147, 0.09125605970621109, 0.09494239836931229]"
6,"[-0.13365794718265533, -0.0779593363404274, 0.18992479145526886, -0.19715145230293274, 0.9482905268669128, 0.03998252749443054, 0.10640256106853485, -0.029630403965711594, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,0.0,"[-0.13068216927916865, -0.0040871354368769985, 0.023930107579737125, -0.19749729802320726, 0.9482905086818079, 0.03489490555950037, 0.110600927804485, -0.031118319985607656, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09495336562395096, 0.10787349939346313, 0.09434283524751663, 0.09505125880241394, 0.10661560297012329, 0.1092386320233345, 0.11261971294879913, 0.09361062198877335, 0.09097948670387268, 0.09471498429775238]"
7,"[-0.13068217039108276, -0.004087135661393404, 0.023930108174681664, -0.19749729335308075, 0.9482905268669128, 0.0348949059844017, 0.11060092598199844, -0.031118320301175117, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[-0.12928669775118262, -0.0033644478510010956, 0.023222857550140752, -0.005937661331513411, 0.9482905133776205, 0.034980584097979675, 0.11037684107672152, -0.03238131068790384, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09469354897737503, 0.107037253677845, 0.0941738486289978, 0.09536203742027283, 0.1066606193780899, 0.10991537570953369, 0.11257253587245941, 0.09334148466587067, 0.09118574857711792, 0.09505756944417953]"
8,"[-0.12928669154644012, -0.0033644477371126413, 0.02322285808622837, -0.00593766150996089, 0.9482905268669128, 0.03498058393597603, 0.11037684231996536, -0.03238131105899811, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,0.0,"[-0.12819957886084232, -0.0016677812151311144, 0.01232236004856535, 0.003103415582994984, 0.9482905199662133, 0.0352647176031437, 0.1114655256728177, -0.03232936768234862, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09463348239660263, 0.10630383342504501, 0.0939093604683876, 0.09505809843540192, 0.10703171789646149, 0.10982975363731384, 0.11314233392477036, 0.09382706135511398, 0.09145122021436691, 0.09481320530176163]"
9,"[-0.12819957733154297, -0.0016677812673151493, 0.012322359718382359, 0.0031034154817461967, 0.9482905268669128, 0.035264719277620316, 0.11146552860736847, -0.03232936933636665, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",7,0.0,"[-0.12728741598889126, -0.0007610965300166583, 0.012645450991653817, -0.19255041833222286, 0.9482905255601652, 0.035761996493462456, 0.1112466403327429, -0.03191109706946338, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09460817277431488, 0.10622329264879227, 0.0938689112663269, 0.09507951140403748, 0.10705772787332535, 0.10985714197158813, 0.1131804957985878, 0.09383495151996613, 0.09146928042173386, 0.09482049942016602]"
