,state,action,reward,next_state,distribution
0,"[-0.024321291595697403, -0.021837633103132248, 0.011913263238966465, -0.0031796623952686787, 0.9501124024391174, 0.07673528045415878, 0.1144360899925232, -0.02894798293709755, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",6,0.0,"[-0.027814364697895222, -0.055544445381931595, 0.008725926247614701, 0.1937318068975502, 0.9497067495415621, 0.06740524734387589, 0.12213576243445001, -0.03077288164612324, -0.010000015539371118, 0.10000008072426625, -0.025009222280492405]","[0.10179570317268372, 0.09951114654541016, 0.09584078192710876, 0.10076416283845901, 0.09482641518115997, 0.10239902883768082, 0.10029274970293045, 0.09345874935388565, 0.10289199650287628, 0.10821925848722458]"
1,"[-0.027814364060759544, -0.055544447153806686, 0.008725926280021667, 0.19373179972171783, 0.9497067332267761, 0.06740524619817734, 0.12213576585054398, -0.03077288158237934, -0.01000001560896635, 0.10000008344650269, -0.025009222328662872]",3,-2.0,"[-0.02651994043307848, -0.1091424334898985, 0.02058785853729539, 0.19154008328438987, 0.949706755835023, 0.07322856919653362, 0.1348682573065917, -0.031211051245596866, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10172009468078613, 0.0994531437754631, 0.09609062969684601, 0.1003129631280899, 0.09564749151468277, 0.10269004106521606, 0.10004114359617233, 0.09274251013994217, 0.10290373116731644, 0.10839825868606567]"
2,"[-0.02651994116604328, -0.10914243012666702, 0.02058785781264305, 0.19154007732868195, 0.9497067332267761, 0.07322856783866882, 0.13486826419830322, -0.03121105208992958, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",3,-2.0,"[-0.025231924477456147, -0.16355746896467593, 0.03225977440133665, 0.1892572691839156, 0.9497067642143024, 0.07907093681191382, 0.1486457172870928, -0.037160213510632034, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10181660950183868, 0.0997016578912735, 0.09602556377649307, 0.10005275160074234, 0.09591349959373474, 0.1025833860039711, 0.10000356286764145, 0.09266746789216995, 0.10293975472450256, 0.1082957535982132]"
3,"[-0.025231923907995224, -0.16355746984481812, 0.03225977346301079, 0.18925726413726807, 0.9497067928314209, 0.07907093316316605, 0.14864571392536163, -0.03716021403670311, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",9,0.0,"[-0.02399753019464068, -0.16237246499808133, 0.03554092150525001, 0.18710220745116413, 0.7517067669916209, 0.07760115380772684, 0.15075375330023794, -0.0347080012594525, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10198679566383362, 0.09997567534446716, 0.0959591493010521, 0.09979229420423508, 0.09615092724561691, 0.1024278774857521, 0.10001574456691742, 0.09261098504066467, 0.10286139696836472, 0.10821917653083801]"
4,"[-0.023997530341148376, -0.16237246990203857, 0.03554091975092888, 0.18710221350193024, 0.7517067790031433, 0.07760115712881088, 0.15075375139713287, -0.03470800071954727, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[-0.02261644731563095, -0.17665899089938453, 0.21938419532149478, 0.18323565307175205, 0.751510075136097, 0.06423580679004474, 0.12937855952367439, -0.0293149519606124, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10172168165445328, 0.10003072768449783, 0.096330925822258, 0.10003955662250519, 0.09655258059501648, 0.10274267941713333, 0.09943259507417679, 0.0924818143248558, 0.10280711203813553, 0.10786032676696777]"
5,"[-0.022616447880864143, -0.1766589879989624, 0.21938419342041016, 0.18323566019535065, 0.7515100836753845, 0.06423580646514893, 0.1293785572052002, -0.029314951971173286, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,0.0,"[-0.025147944170917036, -0.17633656362730843, 0.22580813847889925, 0.18691600517701268, 0.9477689614839147, 0.062447094170137774, 0.12752791281980386, -0.031901288391278926, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10161194205284119, 0.0996822640299797, 0.09634105861186981, 0.10008499771356583, 0.09724738448858261, 0.10213153064250946, 0.09875762462615967, 0.0926925465464592, 0.10304813086986542, 0.10840250551700592]"
6,"[-0.025147944688796997, -0.17633655667304993, 0.22580814361572266, 0.18691600859165192, 0.9477689862251282, 0.062447093427181244, 0.12752790749073029, -0.0319012887775898, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",9,0.0,"[-0.024471800940961685, -0.1759274335731904, 0.22674897649477188, 0.18450588142025026, 0.7477769783389663, 0.06223039867664866, 0.12767343296515082, -0.029374092435424104, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10187525302171707, 0.09969063103199005, 0.09591078013181686, 0.09961983561515808, 0.09691984951496124, 0.10204460471868515, 0.09924696385860443, 0.09302126616239548, 0.10286303609609604, 0.10880778729915619]"
7,"[-0.02447180077433586, -0.17592743039131165, 0.2267489731311798, 0.1845058798789978, 0.747776985168457, 0.06223039701581001, 0.1276734322309494, -0.02937409281730652, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[-0.02247742461559543, -0.17429402346885592, 0.228909666294431, 0.3798670775186048, 0.747777024409336, 0.05775717520366311, 0.1281887672535008, -0.03404931482078766, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10159406065940857, 0.09966764599084854, 0.09634347259998322, 0.10011005401611328, 0.09728401154279709, 0.10210509598255157, 0.09872564673423767, 0.09267160296440125, 0.10307793319225311, 0.1084204688668251]"
8,"[-0.022477423772215843, -0.17429402470588684, 0.2289096713066101, 0.3798670768737793, 0.7477770447731018, 0.0577571764588356, 0.12818877398967743, -0.03404931351542473, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[-0.020756636486389368, -0.17257671540499597, 0.230447642166153, 0.5672752367043472, 0.7477770776146206, 0.055072333216981004, 0.12957569599831992, -0.04031720375863912, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10130195319652557, 0.09980504214763641, 0.09656933695077896, 0.09937550872564316, 0.09825342148542404, 0.10237951576709747, 0.09873122721910477, 0.09136036038398743, 0.10337589681148529, 0.1088477373123169]"
9,"[-0.020756635814905167, -0.17257671058177948, 0.23044763505458832, 0.5672752261161804, 0.7477771043777466, 0.05507233366370201, 0.1295756995677948, -0.04031720384955406, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,0.0,"[0.05992489111639454, -0.174670763189134, 0.24661116664621652, 0.5815989624055442, 0.747772254408499, 0.06686850065064184, 0.12807585199208582, -0.031907893313227076, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10096278041601181, 0.09953421354293823, 0.09735830128192902, 0.09861599653959274, 0.09898977726697922, 0.10228368639945984, 0.09917440265417099, 0.09028009325265884, 0.10354860126972198, 0.10925216972827911]"
