,state,action,reward,next_state,distribution
0,"[-0.007602880708873272, -0.003736358368769288, 0.008705776184797287, 0.0028290189802646637, -0.03132843226194382, 0.08423659205436707, 0.10879447311162949, -0.009507756680250168, -0.010000007227063179, 0.10000015050172806, -0.02498975396156311]",3,-2.0,"[-0.006181525697157575, -0.12254017170177445, 0.020925271954465252, 0.003973121980160421, -0.031340311522730424, 0.07517786732091232, 0.1270709129165425, -0.023121732089492086, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10271725803613663, 0.09864985942840576, 0.10172303766012192, 0.09890434890985489, 0.0961504802107811, 0.09550241380929947, 0.10125859081745148, 0.09966886788606644, 0.10534939169883728, 0.10007573664188385]"
1,"[-0.006181525532156229, -0.12254016846418381, 0.02092527225613594, 0.003973121754825115, -0.03134031221270561, 0.0751778706908226, 0.12707091867923737, -0.023121731355786324, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[-0.0049082886265425785, -0.12374275256895029, 0.008761287679051044, 0.20480789374909047, -0.03134031957845895, 0.07830310924570655, 0.1286541432111687, -0.027029603197484153, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10308346897363663, 0.09879431873559952, 0.10239821672439575, 0.09869640320539474, 0.09597031027078629, 0.09483642876148224, 0.10129471123218536, 0.09990067034959793, 0.10510321706533432, 0.09992227703332901]"
2,"[-0.004908288829028606, -0.12374275177717209, 0.008761287666857243, 0.20480789244174957, -0.03134031966328621, 0.07830310612916946, 0.1286541372537613, -0.027029603719711304, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,0.0,"[0.10832686076634879, -0.12312440703797112, 0.015968951136418497, 0.20418063304163603, -0.03248223450121479, 0.08578885394429835, 0.12512643995989275, -0.010621451651763647, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10356250405311584, 0.09907570481300354, 0.1024615615606308, 0.09826785326004028, 0.09545669704675674, 0.09497717767953873, 0.10140711814165115, 0.09899722784757614, 0.10547945648431778, 0.10031475126743317]"
3,"[0.10832685977220535, -0.12312440574169159, 0.01596895046532154, 0.20418062806129456, -0.03248223289847374, 0.08578885346651077, 0.1251264363527298, -0.010621451772749424, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",3,-2.0,"[0.11113754700060063, -0.19356395351736566, 0.021126284444413557, 0.20420600013736312, -0.03247308768676138, 0.08513387967664024, 0.1381709242826169, -0.01844817981927993, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10386837273836136, 0.09863805025815964, 0.10315077751874924, 0.09785638749599457, 0.09517454355955124, 0.0954020619392395, 0.10141400992870331, 0.09872076660394669, 0.10508742183446884, 0.100687675178051]"
4,"[0.11113754659891129, -0.19356395304203033, 0.021126285195350647, 0.20420600473880768, -0.032473087310791016, 0.0851338803768158, 0.13817092776298523, -0.018448179587721825, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,0.0,"[0.11190768531492257, -0.19548689381681772, 0.008725641261101202, 0.40475256250359504, -0.03247310268096992, 0.089324705864603, 0.14056732131802646, -0.022199639648490033, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10398401319980621, 0.0986592248082161, 0.10352455079555511, 0.09796735644340515, 0.09506701678037643, 0.0950508639216423, 0.10122863948345184, 0.09896315634250641, 0.10497289896011353, 0.10058234632015228]"
5,"[0.11190768331289291, -0.1954868882894516, 0.008725641295313835, 0.40475255250930786, -0.03247310221195221, 0.0893247053027153, 0.14056731760501862, -0.022199640050530434, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,2.0,"[0.3033640476270074, -0.19702069803981725, 0.01241053580917928, 0.40379011715163493, -0.03329386705812354, 0.08957001238850057, 0.13511396671859477, -0.009785164100364452, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.1040109172463417, 0.09933143854141235, 0.10351260006427765, 0.09801290184259415, 0.09446346014738083, 0.0952388346195221, 0.10117684304714203, 0.09800459444522858, 0.10550533980131149, 0.10074306279420853]"
6,"[0.3033640384674072, -0.19702069461345673, 0.012410535477101803, 0.40379011631011963, -0.033293865621089935, 0.08957001566886902, 0.13511396944522858, -0.009785164147615433, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,2.0,"[0.304343152793078, -0.1992924903787312, 0.008594375989979142, 0.40315508218523455, -0.0351536987106531, 0.0811062598600305, 0.13232222349072487, -0.009780591790967352, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10409687459468842, 0.09900452941656113, 0.10493147373199463, 0.09747260063886642, 0.09397842735052109, 0.09605719149112701, 0.10086126625537872, 0.09740535914897919, 0.10484255105257034, 0.10134968161582947]"
7,"[0.30434316396713257, -0.19929249584674835, 0.008594376035034657, 0.4031550884246826, -0.035153698176145554, 0.0811062604188919, 0.13232222199440002, -0.00978059135377407, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,2.0,"[0.30107925672110003, -0.20171590102965453, 0.008680984857527108, 0.40284233466162434, 0.16391542411661142, 0.07026881903976447, 0.12745255198269184, -0.014300260394974451, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10409972071647644, 0.09903739392757416, 0.10491872578859329, 0.09747075289487839, 0.0939883440732956, 0.09604741632938385, 0.10086175799369812, 0.09742656350135803, 0.10479713976383209, 0.10135217756032944]"
8,"[0.30107924342155457, -0.20171590149402618, 0.008680985309183598, 0.40284234285354614, 0.16391542553901672, 0.07026881724596024, 0.127452552318573, -0.014300260692834854, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,2.0,"[0.29851991284366086, -0.2062434093414085, 0.008728440021782191, 0.5996290189446851, 0.163422767278389, 0.062473373648388175, 0.12401534901127687, -0.018218115038481697, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10437683761119843, 0.09848757833242416, 0.10512397438287735, 0.09724941849708557, 0.09334510564804077, 0.09625975042581558, 0.10132623463869095, 0.09697022289037704, 0.10550357401371002, 0.1013573482632637]"
9,"[0.29851990938186646, -0.20624341070652008, 0.008728439919650555, 0.5996290445327759, 0.16342276334762573, 0.06247337535023689, 0.12401534616947174, -0.018218114972114563, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",3,-2.0,"[0.29932031522258207, -0.292095720980984, 0.01249139302450164, 0.6038742045470471, 0.16381007502138356, 0.0634870518895201, 0.14254461922103595, -0.01993364947492815, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10420601814985275, 0.09938617795705795, 0.10506656020879745, 0.09734165668487549, 0.09306361526250839, 0.09615979343652725, 0.10079240053892136, 0.09641577303409576, 0.10588447004556656, 0.10168354958295822]"
