,state,action,reward,next_state,distribution
0,"[0.007701746188104153, -0.003906843718141317, 0.008687137626111507, -0.3592250943183899, 1.8238699436187744, -0.06879806518554688, -0.11497151106595993, -0.17510052025318146, -0.009999999776482582, 0.10000000149011612, -0.02449999935925007]",4,0.0,"[0.007701746227684936, -0.003906843844122321, 0.008687137959240587, -0.3592250965715085, 1.8238699440992079, -0.06866127500689528, -0.11500772540640222, -0.17467746764117398, -0.00999997876467075, 0.10000011425519756, -0.024989372905932505]","[0.0976613387465477, 0.0957852303981781, 0.10822148621082306, 0.10813356190919876, 0.11093717068433762, 0.09797554463148117, 0.10153613239526749, 0.09951646625995636, 0.09144988656044006, 0.0887831375002861]"
1,"[0.007701746188104153, -0.003906843718141317, 0.008687137626111507, -0.3592250943183899, 1.8238699436187744, -0.06866127252578735, -0.11500772833824158, -0.17467746138572693, -0.009999978356063366, 0.10000011324882507, -0.024989372119307518]",1,0.0,"[0.007701746227684936, -0.003906843844122321, 0.008687137959240587, -0.3592250965715085, 1.8238699440992079, -0.06864178072619348, -0.11501002617372766, -0.17460213137024072, -0.010000041057634024, 0.10000001374005452, -0.02499891936535481]","[0.09766189008951187, 0.0957847386598587, 0.10822300612926483, 0.1081349104642868, 0.11093668639659882, 0.09797445684671402, 0.10153527557849884, 0.09951602667570114, 0.09145081788301468, 0.08878222852945328]"
2,"[0.007701746188104153, -0.003906843718141317, 0.008687137626111507, -0.3592250943183899, 1.8238699436187744, -0.0686417818069458, -0.11501002311706543, -0.17460213601589203, -0.010000040754675865, 0.10000001639127731, -0.024998920038342476]",0,0.0,"[0.01083762393072174, -0.0025940078833279756, 0.00872139095039337, -0.5273317173840066, 1.8238699377691567, -0.06839542164779239, -0.11501175442657888, -0.17385552346445188, -0.009999977050058714, 0.10000008452352258, -0.024989733470395237]","[0.09766184538602829, 0.0957845076918602, 0.1082230806350708, 0.10813497006893158, 0.11093664169311523, 0.09797439724206924, 0.10153523832559586, 0.09951598197221756, 0.09145116060972214, 0.08878220617771149]"
3,"[0.010837623849511147, -0.0025940078776329756, 0.00872139073908329, -0.5273317098617554, 1.8238699436187744, -0.06839542090892792, -0.11501175165176392, -0.17385552823543549, -0.009999977424740791, 0.10000008344650269, -0.02498973347246647]",8,0.0,"[0.01083762393072174, -0.0025940078833279756, 0.00872139095039337, -0.5273317173840066, 1.8238699377691567, -0.06839517767429362, -0.11501259988183041, -0.1738899561043531, -0.009999983388972025, 0.10000007215569764, -0.025009323334661215]","[0.09797494858503342, 0.09526292234659195, 0.10817846655845642, 0.10845864564180374, 0.11128132045269012, 0.09791462868452072, 0.10131056606769562, 0.09948650002479553, 0.09120167046785355, 0.0889304131269455]"
4,"[0.010837623849511147, -0.0025940078776329756, 0.00872139073908329, -0.5273317098617554, 1.8238699436187744, -0.06839517503976822, -0.11501260101795197, -0.17388994991779327, -0.009999983012676239, 0.10000006854534149, -0.02500932291150093]",9,0.0,"[0.01083762393072174, -0.0025940078833279756, 0.00872139095039337, -0.5273317173840066, 1.8238699377691567, -0.06843907124995421, -0.11504055103241076, -0.17425867067988476, -0.010000031405744556, 0.1000000149405228, -0.02499958649904077]","[0.09797496348619461, 0.09526301175355911, 0.10817842930555344, 0.1084587424993515, 0.11128129065036774, 0.09791456907987595, 0.10131052881479263, 0.09948654472827911, 0.09120148420333862, 0.0889304131269455]"
5,"[0.010837623849511147, -0.0025940078776329756, 0.00872139073908329, -0.5273317098617554, 1.8238699436187744, -0.0684390738606453, -0.11504054814577103, -0.17425866425037384, -0.010000031441450119, 0.10000001639127731, -0.0249995868653059]",1,0.0,"[0.003381659119058078, -0.0033928152197413297, 0.015816033581140587, -0.7016000381656031, 1.8310481712595106, -0.06849180012079928, -0.11506868021732788, -0.17444957470226596, -0.009999979117154695, 0.10000011524349717, -0.024989754268653575]","[0.09797501564025879, 0.09526370465755463, 0.10817793011665344, 0.10845912247896194, 0.11128110438585281, 0.09791474789381027, 0.101310595870018, 0.09948714077472687, 0.09119993448257446, 0.08893072605133057]"
6,"[0.0033816590439528227, -0.003392815124243498, 0.015816032886505127, -0.7016000151634216, 1.8310481309890747, -0.06849180161952972, -0.11506868153810501, -0.17444957792758942, -0.00999997928738594, 0.10000011324882507, -0.02498975396156311]",6,0.0,"[0.003381659119058078, -0.0033928152197413297, 0.015816033581140587, -0.7016000381656031, 1.8310481712595106, -0.0685288987803995, -0.11508144447899715, -0.17450223874065285, -0.010000031593124722, 0.1000000151686826, -0.024999586499677706]","[0.09816667437553406, 0.09468642622232437, 0.10814910382032394, 0.10884476453065872, 0.11165052652359009, 0.09790781885385513, 0.10094676166772842, 0.09952229261398315, 0.09098440408706665, 0.08914122730493546]"
7,"[0.0033816590439528227, -0.003392815124243498, 0.015816032886505127, -0.7016000151634216, 1.8310481309890747, -0.06852889806032181, -0.11508144438266754, -0.17450223863124847, -0.010000031441450119, 0.10000001639127731, -0.0249995868653059]",8,0.0,"[0.003381659119058078, -0.0033928152197413297, 0.015816033581140587, -0.7016000381656031, 1.8310481712595106, -0.0685932864246549, -0.11507909858490009, -0.17455370104984436, -0.00999997780022234, 0.10000008543461714, -0.024989745375808226]","[0.09816671162843704, 0.09468666464090347, 0.10814923048019409, 0.10884467512369156, 0.11165064573287964, 0.09790775179862976, 0.10094679147005081, 0.09952226281166077, 0.09098412096500397, 0.08914121985435486]"
8,"[0.0033816590439528227, -0.003392815124243498, 0.015816032886505127, -0.7016000151634216, 1.8310481309890747, -0.06859328597784042, -0.11507909744977951, -0.17455370724201202, -0.009999977424740791, 0.10000008344650269, -0.024989744648337364]",5,0.0,"[0.001824399777530239, -0.0022034963562056475, 0.015143396996338154, -0.8689269871961898, 1.8238699939214342, -0.0687546587788456, -0.1150402717960538, -0.17460300987287136, -0.009999977987600106, 0.10000008566277496, -0.024989745375808226]","[0.09816674143075943, 0.09468701481819153, 0.10814937949180603, 0.10884452611207962, 0.11165086925029755, 0.09790769219398499, 0.10094679147005081, 0.09952201694250107, 0.09098377078771591, 0.08914124220609665]"
9,"[0.0018243998056277633, -0.002203496405854821, 0.015143397264182568, -0.868927001953125, 1.8238699436187744, -0.0687546581029892, -0.11504027247428894, -0.17460301518440247, -0.009999978356063366, 0.10000008344650269, -0.024989744648337364]",4,0.0,"[0.001824399777530239, -0.0022034963562056475, 0.015143396996338154, -0.8689269871961898, 1.8238699939214342, -0.06894707396521296, -0.11499646624576781, -0.1745796775131523, -0.009999987619984496, 0.10000004672863033, -0.025009222280492405]","[0.09822506457567215, 0.09424249082803726, 0.10843680799007416, 0.10898616909980774, 0.11207254230976105, 0.09794708341360092, 0.1004161462187767, 0.0993499681353569, 0.0907297432422638, 0.0895940363407135]"
