,cumulative_reward,succeed,actor_loss,critic_loss,average_reward
0,13.0,False,5.103214263916016,20.657289505004883,0.325
1,8.0,False,2.5425260066986084,16.951162338256836,0.2
2,-2.0,False,-5.9483962059021,34.99051284790039,-0.05
3,7.0,False,8.14732837677002,28.222003936767578,0.175
4,16.0,False,13.97434139251709,71.46104431152344,0.4
5,16.0,False,28.177692413330078,166.95245361328125,0.4
6,17.0,False,8.52290153503418,60.97766876220703,0.425
7,4.0,False,-4.112746715545654,16.566247940063477,0.1
8,-5.0,False,-0.6533973813056946,5.955228328704834,-0.125
9,-14.0,False,-18.554269790649414,80.69261932373047,-0.35
10,8.0,False,4.282845973968506,23.981782913208008,0.2
11,-4.0,False,-8.718416213989258,31.275537490844727,-0.1
12,12.0,False,10.14904499053955,31.26844596862793,0.3
13,-12.0,False,-18.58272361755371,89.16259765625,-0.3
14,5.0,False,7.264451026916504,20.492765426635742,0.125
15,1.0,False,12.269810676574707,43.57212829589844,0.025
16,14.0,False,7.769789218902588,38.68324661254883,0.35
17,14.0,False,8.9286470413208,24.089393615722656,0.35
18,26.0,False,24.970605850219727,190.78317260742188,0.65
19,-4.0,False,-9.486319541931152,35.25627517700195,-0.1
20,10.0,False,16.218936920166016,58.1162223815918,0.25
21,7.0,False,0.6871189475059509,11.375,0.175
22,10.0,False,6.186479091644287,32.38908386230469,0.25
23,23.0,False,15.7460298538208,93.48970794677734,0.575
24,29.0,False,30.796945571899414,218.390869140625,0.725
25,6.0,False,3.9247701168060303,9.033088684082031,0.15
26,1.0,False,-9.213469505310059,41.52010726928711,0.025
27,10.0,False,1.712685465812683,11.28752326965332,0.25
28,46.0,False,59.1101188659668,793.6547241210938,1.15
29,9.0,False,7.873970031738281,25.718585968017578,0.225
30,18.0,False,20.445987701416016,101.8260498046875,0.45
31,2.0,False,3.3490452766418457,7.224634647369385,0.05
32,0.0,False,-9.024626731872559,32.87336349487305,0.0
33,-1.0,False,-3.8409841060638428,5.561086177825928,-0.025
34,11.0,False,10.891634941101074,40.98417282104492,0.275
35,32.0,False,29.692352294921875,269.5888977050781,0.8
36,18.0,False,3.523581027984619,28.482772827148438,0.45
